,0,1,2,3,4,5,6,7,8,9,10,11
PO4,-0.0814773343183025,0.15041403690186123,-0.09385934094609599,-0.07085470530045701,-0.17766118558488486,0.1745073946266458,-0.040329422367087066,-0.1495132511754456,-0.013060153546640578,0.11747029974399167,0.0336691339775784,0.23869263189208517
NOx,-0.03822887064630576,-0.08680105172478955,-0.053348271237150746,-0.07858869973185906,-0.18553051241161583,-0.09201819314783383,-0.10533723358311603,-0.06369476962684167,-0.06590280490833833,0.25651534289956085,0.3650023858150516,-0.06306428110186771
NH4,-0.037993376646352724,-0.021275833749548795,-0.07833856516977517,-0.08413697868632328,-0.21934181814406378,0.056684703916178206,-0.1387935017716489,-0.13029074642440483,-0.0968097002554213,0.3805338490516336,0.23030272783649994,-0.019172971582393644
NO2,-0.03306249686029972,-0.05694062963346177,-0.06467125493012028,-0.039372652863499995,-0.22816377780260338,-0.1407510325231544,-0.07471242900829286,-0.08310809176931536,-0.0826936091942964,0.2858947968286844,0.35453817853001646,-0.06075042451962404
NO3,-0.03821577275152059,-0.0870781923562673,-0.05301629488723238,-0.07904580092764696,-0.18432089279975525,-0.09095127966901716,-0.10557855963322317,-0.0631986368105786,-0.06544525543317822,0.25534336638640265,0.364219496564789,-0.06293757811785655
temperature,-0.2394693769805254,0.3640074063413548,-0.06330183190036426,-0.17383099166670773,0.37561774944298776,0.26634813996349216,-0.11295995600083278,-0.17208086647122092,0.30910716045247355,-0.388965398507296,-0.15905603164776433,0.31635094377481343
salinity,0.0005952664676814484,0.23087466033180748,0.018961304998112726,0.1451832096880505,0.4074896515781218,0.19415462526778451,0.2722937617723964,0.014985271023994213,0.11738442802864657,-0.4471198144195365,-0.78577849160869,0.21294991522311793
Chl_a,-0.11182582575702332,0.06110573281009111,-0.08744516337231371,-0.16162078689217427,-0.23466708204073333,0.4196858348401328,-0.17039794254259166,-0.1427962686975039,0.1394270302408408,0.11008587494218977,0.22823679872431346,0.06552419012707436
Phaeo,-0.05837104033332382,0.04688953488265907,-0.04773476178248176,-0.010979292030292034,-0.12239628318990256,0.1772827207909833,-0.08310381398225439,-0.07893200284305374,0.0793723362862056,0.03339202181293027,0.11919335304128616,-0.008985012470444491
Chl_a_conc,-0.10970394985268256,0.0640171042068252,-0.08635335307579992,-0.1386297758440465,-0.230188344268761,0.4003772401691008,-0.16557884671969325,-0.14127999936137758,0.13857174142792747,0.10146160294274884,0.22392176733906333,0.05255514742858545
f0,-0.15245746806505683,0.19884365447028624,-0.12994290166045763,-0.23515833577826137,-0.3521724237108478,0.21831793824978057,-0.2410532426329977,-0.20952274353517625,0.27059603974697855,0.16192110235676094,0.4187618081717748,0.16702380389905455
fa,-0.14850778212972232,0.204963441630372,-0.12743261476611872,-0.21620617939836556,-0.34512254363049377,0.20874310522792422,-0.23040309106316098,-0.20485428498143674,0.2603355422614968,0.1488900167022691,0.41261172419447784,0.14592080703888627
