,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
PO4,-0.09893854865078916,0.03901310970641174,-0.07430542260377665,-0.020663995848003977,-0.012645356133746642,0.0984910916550981,-0.02336613932821458,0.06409745893257299,-0.02385060188291453,0.03601708099145801,-0.01183267193871839,0.053636150104530024,-0.08024079089535549,-0.12442400886629494,-0.06988576498022177,-0.06456775359421113,-0.03811583597903992,0.023200002607350747,0.0015789184530462727,-0.08489689771338825,0.02561260069799614,-0.0031529173318544353,-0.023914504091445677,-0.024507647067085157,-0.03402889599516004,0.16441341588432345,-0.03263635445773305,0.06288478839392371,0.029630854815250504,-0.10934617412705291,-0.04320568537265358,0.1670357225950782,0.024667682130390223,0.022013459801326594,-0.02894215560495472,-0.08644732801163205,-0.09399244243464266,0.048085566211165415,-0.022803879697553427,0.06859558152761752,-0.06291120421526429,-0.027286166584683927,-0.09052988025431075,-0.02465959220265496,0.15061355398429344,0.02926251414452798,-0.024570560179729126,-0.040002985838740124,-0.04000884781174379,-0.1506018747404391,-0.02793744746986594,-0.036122924584738175,-0.1405706460700782,-0.025933133836058442,-0.005763797230724538,0.18640178939232616,-0.005605688587785412,0.1401145274611583,-0.03546772892819253,0.013822219091542052,-0.0670196347982992,0.002544084986972374,0.06800672864841166,0.03633029235401642,0.0430525211333697,0.0073990610502006615,-0.11031172175235093,-0.04664689728424732,0.09371615933197014,0.07164715864243182,0.03579717112139368,-0.010619021072204252,0.054850884947971155,0.11815783999685828,-0.003577103848017767,-0.096478748534111,-0.10125891978738377,-0.031962774763972364,0.008023174560082948,0.0017571391631031504,-0.01406210603396323,0.01797879676450817,-0.019527255345431982,-0.04179167148864795,-0.00905044396956086,0.037906549283697216,-0.019149494838266667,0.02793140611943154,-0.07431088836548908,0.06363686979750058,-0.011602243302552447,0.011556572056603721,-0.05418076528429636
NOx,-0.07141988148232487,0.03946411711852345,-0.034817774559547925,-0.029505461391845254,-0.020267968311182563,-0.04371500214849833,-0.03347979203587953,0.06865776329800172,-0.04603330758984395,0.07302143288438287,-0.010434804627763706,-0.051707682605238156,-0.06316053319866856,-0.08100232271315137,-0.04075657467411385,0.12154971087616417,0.1308166808103714,-0.025487599938884147,-0.05556811911960626,-0.04344668175933472,-0.022134279725389172,-0.014083435780240287,-0.0685458499305118,0.007446734657288349,-0.028008809640693515,-0.03876047889471564,0.036587030476468926,-0.03286957647241742,-0.028695350231809122,-0.07102010382393109,-0.03397403829246134,-0.026419810914499086,-0.012518253954961537,-0.01765027746508926,-0.08190839013520833,-0.028840882903835793,-0.052031040277697074,-0.04111579230824568,-0.007681977092318415,-0.0015115253588314347,-0.01698198385957067,-0.0365427162866493,-0.036336564813165724,-0.021282195989350557,-0.04305204827341261,-0.01269400572676877,-0.013751970706520417,-0.024748502524410926,-0.013469271674176449,-0.07670607598133206,-0.023692336149570097,-0.030319123211690238,-0.10545260133899412,0.15212645339492914,-0.024006551436089436,-0.05928228701463975,-0.009487544206369459,0.11624836121952023,-0.007249479544834748,-0.017703934519956672,-0.03960617107608953,-0.04346037630972751,0.128208900402319,-0.019972492756051063,-0.030729694292041854,-0.038932106264001884,-0.09065549507971069,0.029398594370948116,-0.04785785002363531,-0.019867772537354052,0.21409964127804076,-0.02287054668260067,-0.024148488638935244,-0.030069673140785114,-0.030044599511599733,-0.04989479282373991,-0.07642151547202071,-0.08505346756076605,-0.00993254832593406,-0.031213887477624963,-0.02306206573232262,0.3542332557567522,-0.017378878215070854,-0.04561442731162256,-0.008397325581849888,0.04365031170851568,-0.024919348991454197,-0.022660928356402814,-0.03245691520589433,-0.051148417901758184,-0.013930418797517097,-0.004586811389204296,-0.0030932419587508466
NH4,-0.11592772449900973,0.23185931864324716,-0.05234990156919564,-0.05340199232630696,-0.020304896650409347,-0.04885702646840947,-0.06802433019079555,0.22953548952700098,-0.07951765447554282,0.232084832808712,-0.03408593988355073,0.04736007799491423,-0.09429470854831834,-0.14192931216373092,-0.07307124787548899,-0.004541448590905682,-0.01137808256985658,-0.025244757326455113,-0.020525829624866144,-0.0566920308355649,0.005671959699715374,0.009750396139041422,-0.0999315810943536,0.05247889510857352,-0.04541511446583019,-0.04595139060782612,-0.039048116290039805,-0.04649054098442357,0.05522857858718087,-0.12240836994623253,-0.018203830637122803,0.01303306805570013,-0.02612006576479466,-0.00427234917858601,-0.0949966301746393,-0.07221482477899979,-0.07633216235607271,-0.048748985258529665,-0.01320882011296609,0.09132838461464586,-0.05417437437285083,-0.06038040283637208,-0.07214107576235254,-0.04006196144747312,-0.016653480366932847,0.07516776356004073,-0.02493861523149351,-0.04061064941470226,0.01415040041150596,-0.1300196588676265,-0.036321374872271994,-0.051073352767641786,-0.15699081289936334,-0.023542376364098304,-0.02736179937183063,0.13044212513933082,0.054486147789640324,0.3109035795138918,-0.017646681852664287,0.01685262838093721,-0.047644067095322526,-0.04541966123347728,0.2681667909701848,-0.033573318986719586,0.02845016874763208,0.05063037482096977,-0.13157096135972957,0.016757466708403702,-0.0035226240938095394,0.0652396866367512,0.3108717531576224,-0.03394158120535256,-0.04824354542983623,0.01240592153954911,-0.026864920236008387,-0.0803188511005774,-0.12135539820768468,-0.03858703302872418,-0.007179819388910191,-0.038311044272699546,-0.06720241449119047,0.11632627634283342,0.013325429824234103,-0.04783167805437862,-0.027022025126937577,0.13619812299309392,-0.06342388961641271,-0.0036216332971393565,-0.02956462261594021,0.021959370221862035,-0.039441230833824836,0.02063782064308123,0.017844419475480353
NO2,-0.10745199788349918,0.05609090657917295,-0.051994143488230726,-0.00636662742733906,-0.02488908089648611,-0.03367345263055378,-0.024060378901884172,0.10381776629793349,-0.0661470729637077,0.08709727793263727,0.013867859254047933,-0.08902389178185521,-0.08646880456576647,-0.09939484815922764,-0.07009418166081327,0.12335596536776194,0.1804349816631895,-0.024434845319458907,0.00040570886652999474,-0.06384898101237733,-0.036721448290964534,-0.020048483753189142,-0.03652010588088286,0.022986282463939613,-0.020822252951132086,-0.054433013915382564,0.02344013275490718,-0.033599211149281175,-0.04122699202889944,-0.08247743265191114,-0.03736283806751985,-0.00714147971614674,0.031198270906918787,0.01864064859513164,-0.10307386389313469,-0.05680476834297535,-0.07886693791160636,-0.04665767870343641,0.029592285406072533,0.04927974245068387,-0.021257819613592896,-0.05730470085189411,-0.06598929316250632,-0.03730724346999505,-0.06488321606795362,0.001317213291939386,-0.021739286421628614,-0.03556927147635724,0.0012229947009372453,-0.07670118228829201,-0.031683502134463706,-0.03469066353715439,-0.14554895909437449,0.06774401528874974,-0.020743145371822463,-0.09602773807164522,0.022165572935086114,0.13587959001858346,0.0021277508117267738,0.006828287426726716,-0.05869484242754355,-0.04618621991345424,0.1575591007169579,-0.021042560543132846,-0.03743511617452519,-0.034597920532470454,-0.12110833517710261,0.05521686820604454,-0.03291300370844913,0.0558294950030971,0.210706277166394,-0.012385448174879476,-0.037335233530519776,0.029486609622681195,-0.05714692008390248,-0.07893466748719917,-0.08420491575225109,-0.13088580561880636,-0.0010637690783593696,0.007305258011481663,0.024139537931209158,0.26508659140229407,0.0057662384020016446,-0.03365217824636749,0.0034630254084567283,0.09723589850899898,-0.027003117049858104,0.0011608872993423638,0.008262279684181926,-0.05196334293752363,-0.003679100902158778,0.03955265835288797,0.026584871018354682
NO3,-0.0706221274250805,0.039078881874560094,-0.0344354573209021,-0.029819523648572877,-0.02013643967147881,-0.04376999595931319,-0.033551175313063605,0.06788203614080832,-0.04557177098840181,0.07259111584115246,-0.010818725680635091,-0.050940039211896965,-0.06259987649447735,-0.0804779470774303,-0.04015278663009858,0.12119944155563442,0.12963273306499234,-0.02543838323068172,-0.05636942369257668,-0.04298706444388068,-0.021829148979874174,-0.01394542493046844,-0.06890765663349262,0.00716411377868957,-0.028056787370220937,-0.03839324680334698,0.03671333559404354,-0.03277077384099751,-0.028407756304089114,-0.07063937368966261,-0.03382731960132916,-0.02667664297931041,-0.013225309688489636,-0.01821814354995406,-0.08133469426345927,-0.02829168774453564,-0.05143994450916471,-0.04091384479921595,-0.008292706140917714,-0.002367283290922467,-0.01686494231640879,-0.03609516918639714,-0.03573906810798835,-0.02095496767591498,-0.04256928273934206,-0.01289778351939293,-0.013580601147201159,-0.024500249036177826,-0.013682538343562605,-0.07650440954437723,-0.023494756663518142,-0.030165382882973504,-0.1044965411861195,0.15315466085602197,-0.02399864937130191,-0.05850438230481727,-0.009998376337053793,0.11561031557421254,-0.007389138727799416,-0.018072622279171353,-0.039178890432140026,-0.04329992875409882,0.12737488556323823,-0.01990184907929119,-0.03053536895595995,-0.03890307246848401,-0.08990158755442279,0.02888425067345303,-0.04798494459080964,-0.02109682940256301,0.21359396369923242,-0.022987872615251155,-0.023861764888633598,-0.030998682197877617,-0.029506821918445086,-0.0492720094562817,-0.07608876660275919,-0.08405396862365955,-0.010056544159288848,-0.03178379571289789,-0.02380038077314036,0.3548105330324393,-0.017724941673948565,-0.04569693662146512,-0.00857599702500943,0.0426284720373669,-0.024818535591252668,-0.023004553524336176,-0.03306079386893242,-0.05100009529570612,-0.014067301542107911,-0.005321887189827797,-0.003587461634180243
temperature,0.27035157954188277,-0.14930199106523462,0.0018392193056508191,-0.09059566350035285,0.0005019845794047356,0.23067449540480242,-0.03505336312911603,-0.17810317147601415,0.2422288703689019,-0.20233375182503516,-0.10254725417609162,-0.01644609997705985,0.2828414868656073,0.049539010135997985,-0.054228157441275834,-0.06105573408585173,0.031387081925180735,0.11047154136861256,-0.26522039661509583,-0.1395479916550792,0.03682487378862994,0.01056109465240159,-0.09264731876060475,-0.045366225468039326,-0.005624896148012461,0.24599982766526834,-0.07171862105799931,0.14861718115645542,-0.04750496935575872,-0.037813019696627884,0.11551909665977225,0.14212238978882422,-0.12343207530094438,0.06448481227515068,0.3097353316675251,-0.08661267244313,0.08735107344891829,0.24478316199928488,0.1348157477469261,-0.06845748708361833,-0.13777624946807385,0.1308472003083761,-0.03623112969581292,0.13083714530084334,0.2132380960677419,-0.07644638431505846,0.029358767650154154,-0.004088727777941162,-0.21032640246171846,-0.22159165823911675,0.07302394064155358,0.04090208048582312,0.2397513113054176,-0.16066669018436835,0.05203432955081257,0.06627676761429538,-0.21603977813328923,-0.23258780392499137,0.16550871939873857,-0.055407926038291054,0.0304445672874512,0.08340333176249326,-0.27527543620439954,0.11873107274756703,0.07169168272505093,0.028777808158230708,0.1939564182234175,0.07683020569767926,0.21629379247999445,-0.1330341198966365,-0.11319473174771011,0.1359208970110214,0.18229835705729214,0.10059919365941172,0.07674354962247695,-0.0034572437516263363,0.02117987468490917,0.047412185372725124,-0.02943313338472748,0.1747465958357016,-0.1910167763662916,-0.2525234335233428,0.10329876018867959,-0.10966124514885954,-0.07491059529285188,-0.1853051892990792,-0.03417264139014389,-0.0466003946884157,0.08100953043356654,0.17091222348857554,-0.11114293896848916,0.056350662135792484,0.04459700311420972
salinity,0.19211505522375213,-0.057507982200010924,0.005386831042828524,0.034593288069373215,0.03580488262697464,0.11024739735736343,0.07949471355667867,-0.05696496872217253,0.07779329031230345,-0.30509721942985746,0.01930039440304325,0.06037016610769852,0.1881988357327612,0.12282228452811242,0.06600314456371831,-0.17991627865087773,-0.3679211405856101,0.0565505834598657,0.11403673337035862,0.018499184952167458,0.06066585835316453,0.0407513551218815,0.16737127585339834,-0.042226217968151035,0.04080733466265069,0.1307320166664448,-0.060642980491403556,0.08187504121477482,0.08024261385613174,0.09518398126816136,0.04587575638156257,0.12112401448914889,0.06890972279114756,0.039239507985448716,0.2537857879268166,-0.005507219858000719,0.06154883149530527,0.138087856848622,-0.231813880568178,0.021517583522341465,0.002731154745477103,0.176726115651497,-0.004084468568173004,0.05291089029118465,0.08774030989553569,0.031939730304081246,0.008802123383882586,-0.0006087835040783056,-0.0317129237733611,0.015222502287938533,0.05409585352021608,0.05685997179203231,0.225353657755616,-0.2639883072017018,0.10298715260698936,0.17822150417154692,0.018470507539199467,-0.20254112916469832,0.009108373512440301,0.07705344680245163,0.09220140933139934,0.12625065370891997,-0.36140169450006865,0.06688435361742398,0.09685117389857564,0.04262810484646842,0.2166249141301512,-0.06849315217756166,0.14945420167994253,0.12677345749100305,-0.5383278579348558,0.0673810908975726,0.11180244951937215,0.06767524391056559,0.09328215158540798,0.0914632399176335,0.11092293836582526,0.15700454368393527,0.03600925107368239,0.06530977649188974,0.010725426442204918,-0.45330346513304837,-0.015676473792364497,0.05142184350258701,0.00153173968552983,-0.038679479251952434,0.12423710198988841,0.09275638700574151,-0.022028965853763096,0.11502651588166683,0.04359380141479009,-0.03034345571794417,-0.09638540365588749
Chl_a,-0.0947658992286878,-0.059543650428410505,-0.04863872368296261,-0.06733964247158084,-0.021179124755791354,0.08749552001534841,-0.05834362353342689,-0.06764005898415235,0.16716178866986056,0.07604047668327044,-0.03153756784137544,-0.07999023374557684,-0.07800333619698277,-0.1199306515406701,-0.08783762931313471,0.09949381677816242,0.20944393560948266,0.04198617778910378,-0.1751636778812489,-0.08601703504579683,-0.015384797623763637,-0.02876375610631956,-0.10007990696068675,-0.015866856798379417,-0.04101857042428204,0.08899896578129063,-0.025526477867920703,0.08229547122129971,-0.05333822469127787,-0.10876640838259152,-0.012463264271080188,0.041572957280026426,-0.05142698044415045,0.0040953577250916326,-0.0800202289937594,-0.061163600564647036,-0.07392692933382097,0.07731590821549661,0.07428906566769192,-0.004692803138449827,-0.04617960681737441,-0.04511736126941665,-0.06291581171909442,0.01972521078898976,0.5685863620750544,-0.023550753922821643,-0.013712874824451231,-0.03501929756979076,-0.061117489126600595,-0.14696236818861672,-0.03233613161973198,-0.0424684897189403,-0.14326222410186903,0.06327637555097823,-0.052147007894530584,-0.02619124180060854,-0.08907585935832302,-0.013428028081051346,0.05511997060646055,-0.027903597716242515,-0.06337561924675594,-0.03916468020344345,0.11483391312801755,0.018262685697563265,0.02416781150093388,0.20770764091883842,-0.11188101334267775,0.08777262731286452,0.04247324080331369,-0.12290318594525748,0.12544600595112185,0.16168757052137392,0.032997229172036076,0.08824401049592213,-0.03662855775745684,-0.08209074502960365,-0.11069298451063862,-0.0962387657784168,-0.01868244395939718,0.2039710185201342,-0.07615348004325397,0.143443479686648,0.10910168495687797,-0.10553059140303434,-0.02691008358426626,-0.05046030820919338,-0.08202834915224345,-0.022425192450013308,0.011163004830015666,-0.04202647618229966,-0.04414004576499021,0.03166958396890768,0.04408055649473553
Phaeo,-0.06206915383362946,-0.036932670436426895,-0.030836213584276483,-0.03124683042512781,-0.009441309476579072,0.03499883222439207,-0.03375707712059797,-0.046590498820780736,0.02813954537885005,0.005204358453968515,0.002811320330814826,-0.05404737065868393,-0.06170840361084229,-0.07314131999766958,-0.042830433202385026,0.0850876708069277,0.07495547032484609,0.017818379903299587,-0.10702582057477472,-0.05753677231436591,-0.011766897488206925,-0.013889254386889203,-0.03834259494582854,-0.00974196512843652,-0.01887405174912279,-0.018708856727689717,-0.00938986559885114,0.035419532974392626,-0.042425296309094605,-0.06569059123562448,0.012730403501057221,-0.008814581634080266,-0.02190797430091288,0.016572087007908343,-0.05265505095282267,-0.03598114412968415,-0.04915903980156622,0.009113458461661231,0.12139124266034265,0.007834470214938629,-0.013786379445750466,-0.037557079920014454,-0.04065739350320435,-0.004203324014267501,-0.0025639253207221466,-0.007373632406293519,-0.008111613868531752,-0.019476057736674237,0.018682318091693205,-0.07229823684610891,-0.025042540016030287,-0.019362335956479133,-0.08742562114030358,0.0022695881076537955,-0.035307435887572305,-0.03415841182084879,-0.05514115400947374,-0.02588824506974769,0.11386121865300178,-0.019874389909720125,-0.03760632458997021,-0.01691631807194769,-0.000800203840360867,0.037125037777785926,-0.00794517263132758,0.473729299882493,-0.06253009121510658,0.044202094516968035,0.07252736680412719,-0.08480604563039534,0.05648313231550575,0.26944744555830047,-0.023107022571760123,0.033000022996718996,-0.03011280583412358,-0.041702438869882646,-0.051364734268551634,-0.06367088180584954,-0.007553350345600915,0.39038866782113474,-0.04970316719705737,0.01774965856608546,0.28585787824440523,-0.07014208226893333,-0.017174902210244366,-0.030238559482263096,-0.03414521620443928,-0.010966263132922068,0.0595755758290441,0.010308947655182098,-0.024173855736620432,0.061309434562393045,0.06090384535007475
Chl_a_conc,-0.0963895693871272,-0.060002676378087566,-0.04919490242374461,-0.06500212538056879,-0.020339093091731823,0.08293771201294375,-0.05813329151896478,-0.0694201931120948,0.14793949968310793,0.06523402464617484,-0.025706279605106835,-0.08181033148358977,-0.08222275341278668,-0.12051660212450307,-0.08535118694217841,0.10660743407428813,0.19613792612164285,0.04007695595646793,-0.1760737565638897,-0.087816044025256,-0.016107312475269215,-0.02791254913815168,-0.09440768373637115,-0.015962121045144276,-0.03955146344306846,0.06961749647888574,-0.023973872180629158,0.07868751903983118,-0.056285735281819835,-0.10912348759894239,-0.007004049914142361,0.03249907916964537,-0.049111007150239694,0.007936698638466085,-0.08145748077982998,-0.06110395847351742,-0.07539416143507596,0.0673658497082798,0.09530971757206462,-0.0018115631618707377,-0.042501793524855676,-0.04806418072087808,-0.06384423321945884,0.015414192893015488,0.476520113361386,-0.021768217897855033,-0.013711624258895702,-0.034679705123587166,-0.04622369493235161,-0.14297549925800274,-0.033939059830995585,-0.040900958078459185,-0.14397716163438376,0.053724262929194355,-0.0533533880842743,-0.03125666662233614,-0.08973289514110086,-0.018299047416723172,0.07717657754511496,-0.028815627224156114,-0.06340176173007399,-0.03746394765137438,0.0961631861028315,0.025407668097321204,0.018126939521141035,0.30295089555672505,-0.11087948414792265,0.08566904745737319,0.05533967178860205,-0.12617852437886867,0.12062282599827223,0.20886197425302877,0.021420934155676214,0.08302322981400927,-0.0389183232117656,-0.08022155034598383,-0.10685088531929676,-0.0980606325057595,-0.017731025582527003,0.27718709680909215,-0.07741064701363287,0.125211715407507,0.16918204493829248,-0.10761627170283751,-0.027248835584679575,-0.05056149596828356,-0.07811733561024832,-0.021798958416966406,0.025544383185443283,-0.03247398675806412,-0.043610265734594825,0.04322637292412256,0.05353281871879226
