,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
PO4,0.07101513511196236,0.04290511477492795,-0.08910391458686545,-0.011915412636403808,-0.1108154814268626,0.08233226655978895,-0.03290287856056127,0.06429952649660975,-0.02200690013640002,0.06111387730591941,0.04818087289868804,-0.015142940242595809,-0.08069388615945844,-0.11491831507279773,-0.06980306092606761,-0.062465701583644916,0.03451595381599724,0.09450306403537811,-0.10084306012621234,-0.08490214464319171,-0.01927294562005287,-0.14152302293546182,-0.025356778483942646,-0.024682141864565375,-0.012680142222087146,0.16558675499864142,0.07026519260170061,0.00437329080492232,0.03867831400377066,-0.11075317715542672,-0.04354108353398893,0.12310481637755182,-0.04028031167551586,0.021541563001763804,-0.028245704847760705,0.06259605295644433,-0.003377009885220328,0.05010756828881474,-0.023136547891286153,-0.07717675578844677,-0.0632628507341803,-0.025601206567457187,-0.0907624136166606,0.19389913091730215,0.15099315382732345,-0.013753105327145056,0.011993090055548026,-0.05230860658233921,-0.04318566246660946,-0.15163672224355146,-0.027804220103243682,-0.03646716938382937,-0.023045999318751176,0.06306062134247088,-0.003348891052668574,0.014120264880144569,-0.03269150056586197
NOx,-0.027799037816091457,-0.030711111345814383,-0.031015802869079526,-0.02165945933954406,-0.0910154723710371,-0.04200574901940335,-0.08810586614220041,0.06939376475873349,-0.022708258343739646,0.12215177160485777,0.05152958971762865,-0.02182701218364502,-0.0633655372709654,-0.06341038196175182,-0.04084788409764505,0.12355564823139661,0.21576780685602176,-0.04848669786799949,-0.0763677286515526,-0.04347271744522621,-0.04546010407647867,-0.10584870727247851,-0.06840241980005196,0.007324845279733382,-0.011036863883695748,-0.039086395181347273,-0.000266115337240629,-0.04033868374712003,-0.021350423120486836,-0.07196470100543043,-0.03407576372903167,-0.030546990684536687,-0.04495362591464688,-0.01818431287627317,-0.08205211153827482,-0.05283966534519329,-0.030461052919337074,-0.041829950051078674,-0.019286456368429218,-0.00948705662938788,-0.017310335150143907,-0.03744552927639673,-0.03655314006738086,-0.06051480915551195,-0.04323793489970051,-0.01179945224194192,0.35690396862584517,-0.029820475401374114,-0.014497913246927945,-0.07736116587244712,-0.024002470539113866,-0.030566366211672292,-0.007698653147024806,0.036062852604958555,-0.024718788009812687,-0.018169148812553,0.03691953500723559
NH4,0.04561576656382821,0.029389526000848328,-0.07529909115470533,-0.057965209623629825,-0.13204987030915694,-0.04902418248933441,-0.04538349217491219,0.2310897518094537,-0.04171139948128991,0.2661295550555187,0.16069584319475938,-0.07567961443069106,-0.09484971793956978,-0.09256894523740011,-0.07306400404775512,0.00048154463777934494,0.30925787646028996,-0.005544470282772893,-0.12131688788580608,-0.05668258925779236,-0.07839705653650822,-0.15781847563130139,-0.10268507272363392,0.05241207029961772,-0.03531599542084023,-0.04645354183368691,0.0932046268026823,0.043933589573647056,-0.035352088703414636,-0.12412479197435834,-0.018517341671056467,0.01369915869967117,-0.047907446152079626,-0.004580524342768939,-0.09512256761543975,0.020962499263551544,-0.027151130207083214,-0.05014431432038152,0.008529324996772985,0.0064048552568135905,-0.054339424715366014,-0.060583130035255645,-0.07238373137761263,0.13266850516012094,-0.017087702995528205,-0.032722332629943715,0.10268687376534069,-0.047991521185183725,0.01259718348787429,-0.13044954545211562,-0.036133861077912846,-0.0515489649905633,-0.01311821608982833,0.2616479393116119,-0.02757428426449607,0.01703911055511417,-0.03782546322738927
NO2,0.06550920458469095,-0.03650972591599715,-0.0594536044066703,0.024302962477116028,-0.12163991169025021,-0.03564518385913821,-0.13321811593824515,0.10492430786514204,-0.03811880932627111,0.1455586488975329,0.10526099960592886,0.019370408267675353,-0.08679100959765845,-0.09667396066738224,-0.0702657777959716,0.1259210495491785,0.21383968221232078,-0.03337725563516511,-0.08391898037597798,-0.0638815878644153,-0.06461933755611185,-0.14628338405741043,-0.03722300152978424,0.022930704156209243,0.013218461081338412,-0.054886770108215896,0.0507287817138566,-0.03344575769196251,-0.02182260341175654,-0.08373201879882688,-0.03746001684313657,0.03015009013848742,-0.032052592574542405,0.018809680607249652,-0.10330700252613013,-0.054082199879930314,-0.057611837040817904,-0.04755854506299338,0.006558872296443811,0.03336098344074412,-0.021725783232975138,-0.05819622041461961,-0.06621107331325744,-0.09675525379354433,-0.06503205199729313,0.0005555423731472813,0.2588221155844922,-0.043264053927694945,-7.363700928329688e-05,-0.07729495244793477,-0.031791961974007424,-0.03495844115035275,0.03066327026886904,0.050325515141556504,-0.021244221000587562,0.0064997240309249546,0.023801035886047796
NO3,-0.02930533158133778,-0.030532184229266797,-0.030452865440099997,-0.02238048808020926,-0.09025771342257413,-0.042002931164397586,-0.08711052769562055,0.06860982974254926,-0.02238768071535273,0.1214342894081803,0.050484557964886635,-0.02246694402206345,-0.06280235753634739,-0.06268055664762806,-0.04024249689833448,0.12319063840929291,0.2152329399232148,-0.048614924546280025,-0.07603905078175519,-0.043012920422949956,-0.045016232259853184,-0.10488587863994805,-0.06875027816248971,0.00704142255570344,-0.011418400128007303,-0.03871614195776179,-0.0011285956881189108,-0.040349261705783054,-0.021286275586409643,-0.0715762393088798,-0.03392885444410801,-0.0314940543773181,-0.04505376384901855,-0.018762675042071006,-0.08147652410889461,-0.05267965642811471,-0.02992135965432105,-0.041622963813868916,-0.019673208532617052,-0.010187384231735652,-0.017190066800905505,-0.03699579879485942,-0.03595498563235234,-0.059742210856156365,-0.042755307603646264,-0.011977548279102208,0.3576254656249092,-0.029514486046156148,-0.014703938209455567,-0.07715881439075901,-0.023807489054113666,-0.03041162800901448,-0.008327748950620729,0.03572658032852158,-0.024712586927181077,-0.018538926045637623,0.03704448488726532
temperature,-0.2684095748012677,0.07178442839029124,-0.08750400928762797,-0.18842101122945565,0.19517327140207535,0.18060829222536817,0.03969642634381055,-0.1795172853874102,0.13442694199919386,-0.2742991946502801,-0.19760214314087954,-0.1629097076410215,0.2831866994752603,0.0672265269790751,-0.054058182716784454,-0.06279773643541903,-0.11165395309060012,0.2203801428611928,0.019590246435649647,-0.1396112223562792,0.2382191425055622,0.2411715644116912,-0.09140616344954178,-0.04570631479521509,-0.10256105199753371,0.24855951376945612,-0.07006894889406079,0.03436262590057112,0.15619909244947627,-0.036833503074421854,0.11582478491122618,0.10466599673232166,-0.11165867902001991,0.06628812636906935,0.3096814318698486,0.1740634831056608,0.07780925768731473,0.24895848692979927,0.13536984517285305,0.07025698367904142,-0.1382360586921111,0.13348453240203426,-0.03647663303181095,0.06917090341579477,0.21452497680577554,-0.0777338638414143,-0.26470476071589616,-0.002477184915631416,-0.21062723451153914,-0.22232494185670354,0.07383607904249044,0.04143922028520626,0.14343862569950933,-0.18206556564751858,0.056488482531431475,-0.05564038628055304,-0.07262451435449441
salinity,0.14422493247578222,0.09534751019578393,-0.0031080660312138037,0.005261300645686789,0.21723936258448726,0.0890469610075519,0.17413850442981785,-0.057708727060885666,0.054483033086548324,-0.3711904298624238,-0.053725515669815774,0.02489980818453992,0.18870109861377846,0.08132089542081394,0.06619128893168134,-0.18416904335335005,-0.5448726119164369,0.1514995743637959,0.11150278712690767,0.018529703887455493,0.07713303838700875,0.22569777670842114,0.16713376110124384,-0.04216036746265765,0.02082118430158297,0.1325931152684312,0.019224523285975282,0.04493804594730264,0.08423202812677363,0.09706672201346797,0.046070040388062755,0.07081539596993593,0.05162172885174729,0.039392294770584604,0.2538812582028562,0.11824342081472636,0.09449926131780731,0.14046690096573133,-0.01878611545855337,-0.09670529072254758,0.002801445653718742,0.1799100886505589,-0.003834927935237607,0.18399774959191512,0.08842127951306229,0.006665559473253416,-0.47210137499341476,0.0010523022103686801,-0.03188628200394861,0.01651742220503023,0.05510515062480484,0.05739283966050233,-0.2684908788292901,-0.05833797206157824,0.10608174342520606,0.07834597430613587,-0.061215352338840644
Chl_a,-0.17648402569456825,0.02479528961871403,-0.0649569999121383,-0.07300916945102319,-0.11228620584261828,0.0868356575259863,-0.1050303412315343,-0.06792662849462873,0.0226268386980071,0.1119326457258028,-0.05163917279215435,-0.07153435357371571,-0.07855567860918442,-0.0951282722754033,-0.08798682923040427,0.10118035701260683,0.13022848277284596,0.043536968316272295,-0.11111334404897735,-0.08605303579486727,0.16949485049809804,-0.14392129210565974,-0.10178301750612961,-0.01608558953927714,-0.03284972386791965,0.08931798030322707,-0.003102442214177983,0.21631226267785514,0.022029775145538406,-0.11037296739320135,-0.012257144954705989,0.08990363119335584,-0.10454269802025451,0.005054835153892814,-0.07950503678111565,-0.043464742680385055,-0.03712856738979255,0.07839707502431312,0.1186377547436849,0.04714647514307438,-0.04672876588637573,-0.04580316279240895,-0.06334585630670911,-0.026768355047319933,0.5688422335829695,-0.03299551556067532,0.14700769449738355,-0.041777036590448464,-0.06003645696013944,-0.14853231241698367,-0.03306757156417976,-0.04285075617752283,0.07576034362645558,-0.07017088300487725,-0.05131084996311766,-0.02812934408422594,-0.025771255318955907
Phaeo,-0.10497317490383032,-0.007269483855757982,-0.03828629578527443,-0.04819730665535632,-0.06281095345489475,0.030069998557993857,-0.06694180618046862,-0.04676575872866967,-0.0016664167620581397,6.770227030332768e-05,-0.031978259410311065,-0.04529403152691022,-0.061965281717460866,-0.06006776928904023,-0.04292830918495081,0.08644447133910926,0.05820840124208465,0.07303601933174139,-0.051442513421048094,-0.05755919672881335,0.028944278574164248,-0.08784133457381443,-0.04087754016984961,-0.009820515987036284,0.002243091250059493,-0.01908221935022955,0.00821425791701617,0.48970353137226863,0.04171329090440207,-0.06655382862581208,0.013241081948458256,0.03664692413145322,-0.06919263156455976,0.018020338616355658,-0.05239680355791252,0.009907521204944278,-0.03050475310058147,0.008913189238787457,0.3008821246731277,0.06892795809213825,-0.01420254459482493,-0.038371079546218094,-0.040927749231656985,-0.03579001397614457,-0.0022310564338605225,-0.020057962222095518,0.017147203155686404,-0.024298795777415484,0.02175020639010659,-0.07363617223887456,-0.025708446718741597,-0.01959018914281116,0.12292655265324792,-0.048186927937214116,-0.03670963479621299,-0.019973238885930653,-0.009620674505672038
Chl_a_conc,-0.17662461891991255,0.018837038631177437,-0.06491363682066642,-0.07436276466123717,-0.11129581974677076,0.08104567014643498,-0.1063275099790737,-0.06970829621220706,0.01853832827305251,0.09396378703813221,-0.05202326283083901,-0.07233668512530556,-0.08275608049268544,-0.09615031844876953,-0.08550298498323097,0.10839133442152135,0.12510519729207986,0.05637056466305106,-0.107224811995529,-0.08785234796772015,0.15011613689776726,-0.14464318887020503,-0.09652536719164978,-0.016167031269745072,-0.026961854781344,0.06978387542092358,-0.0003736531042231178,0.3145099105270518,0.029815144562724626,-0.11070625317072813,-0.006692400118529954,0.08540631692845216,-0.10652934645211866,0.00913520268192646,-0.08095496220126998,-0.03379011859872199,-0.0394443995770653,0.06821890157722577,0.18126489857942785,0.05828466347253905,-0.043075696506346114,-0.0488607833290755,-0.06427857464916896,-0.032184032383479354,0.47682524361944933,-0.03313913047970958,0.12803960018424781,-0.04166090725442266,-0.04448342546940945,-0.14465641819309855,-0.03473375850391989,-0.04128365940500514,0.0969614143751586,-0.07197776442859663,-0.05303230631129102,-0.02903193510638461,-0.024241981072172798
