,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
PO4,0.027716175862772585,0.03897990598704004,-0.0612897366260926,0.027904273985702582,-0.012631660641109146,0.06950957258566895,-0.02508719751141847,0.06413671116032606,-0.023921087617565083,0.03605752181186943,-0.012012823756554072,0.052852131327527814,-0.08054813013532088,-0.09061187150654049,-0.0699137765516172,-0.06464242778199406,-0.04251939236923475,0.020448680770905087,-0.02023886366650341,-0.08490542795964111,0.02565778162817482,-0.003614586301139389,-0.02424188999414486,-0.02450916359497526,-0.03513981952499061,0.16440804960652516,-0.03265409600673996,-0.03587384642221478,0.029461443412531055,-0.1101732528907524,-0.04345946111620361,0.16684854600072221,0.024752198842536502,0.021654795591892886,-0.028885541308398908,0.06254799911778791,-0.09881634630848057,0.04825089195775568,-0.02283965295656436,0.06858025175125634,-0.0629302089477426,-0.028041117723133027,-0.022329617504568144,-0.024905363360834487,0.15060537946941244,0.011155235057345421,-0.025426810173474396,-0.03810870753229046,-0.04027899315695894,-0.149345930161308,-0.028315391359691612,-0.036374310708790096,-0.14117400775606337,-0.025907533364349505,-0.005963804300923536,0.18644288681650084,-0.004714596498845283,0.13861672435609043,-0.0568262296668502,0.013776180393707902,-0.0877277163104115,-0.001270451436055843,0.06802087445323948,0.036225741719135646,0.042840597202081,0.009425512621156158,-0.11067113927658251,-0.07671664355118503,0.0932232544373483,0.07605980725443573,0.035820299742678086,0.02840475799843808,0.05487082794367253,0.11762480061204722,-0.003750804109644011,-0.10155113863902557,-0.1019121822586042,-0.03421609067855008,0.00714866411062515,0.09976050104418366,-0.014067612604263714,0.017998832276530718,-0.019659132249976792,-0.042026065005981814,-0.009331063797391813,0.037959267342213214,-0.02068650218017233
NOx,-0.013134183112035526,0.039453517439290174,-0.03245959902042753,-0.022715814924899637,-0.020328326010924373,-0.034383471402091845,-0.03435643333245647,0.06868524859383857,-0.04604913821013516,0.07330673713157712,-0.010566339836515965,-0.051945565843897826,-0.06331302118770465,-0.036394125098338864,-0.04077450428922305,0.12149370881462884,0.13763189512371973,-0.02647888593569899,-0.029422685648746234,-0.04345267916338269,-0.02231944597269756,-0.014440431529427412,-0.06873660068901954,0.0074323091222237726,-0.028752956676794828,-0.03876194161388144,0.03656841414792686,-0.007807930253117608,-0.02884762658270776,-0.07133593666168664,-0.03395112235976018,-0.026392462906353602,-0.012548591095740518,-0.017490069151693554,-0.08195714430578654,-0.051662887841084026,-0.05376057262853931,-0.041168303638419564,-0.007753197844285133,-0.0015404036924055726,-0.016997986259511676,-0.03700702909172389,-0.0626497945588812,-0.021426500906086648,-0.04304614134037189,-0.0045265816714947,-0.014442445702656275,-0.023831864054079707,-0.013258395450899688,-0.07629103830755617,-0.023864642693765974,-0.030463356951761854,-0.10555637989152754,0.15210322566907442,-0.02410588789461213,-0.059273451341929274,-0.009799417746823864,0.11594545695247399,0.00064414842193491,-0.01773711928923081,-0.029753976216419276,-0.04465251042588844,0.13277729704775904,-0.02012199842937771,-0.03065668680914862,-0.03875299956941618,-0.09075861303074839,-0.0291119608681575,-0.047888569881255574,-0.01855415425692032,0.21412551368905738,-0.03152377927321803,-0.024156119320116416,-0.030197997103706527,-0.03014141371417388,-0.05437156313852208,-0.07677469841927495,-0.08569914820701366,-0.010498324363466031,-0.0451505182809631,-0.023052446190000325,0.3540796297944624,-0.01811256314842656,-0.04566113638806642,-0.008692331226549353,0.0437660180824892,-0.02595495586805137
NH4,0.07180720442450989,0.23194868878617325,-0.05296061905079564,-0.003755435538299473,-0.020325684593810015,-0.04415997629341374,-0.07110040430627837,0.22990853680227702,-0.07955402292276775,0.23228775178644845,-0.03433111254240229,0.047551281560170744,-0.09457132393464243,-0.07227796351955262,-0.0731174163308192,-0.004582655252113977,-0.013971855449304942,-0.026440691388944833,-0.05293937894278429,-0.056705554951536036,0.005712888062682116,0.009509537146334733,-0.10032606661276061,0.05245507771980201,-0.04669805878950534,-0.04595490637988181,-0.039079255740472614,-0.01814196563170628,0.05524924163695053,-0.12324946027079584,-0.018193265778422448,0.012976554530091208,-0.02614675466128004,-0.003975385862226817,-0.09510590346455118,0.021022506146868618,-0.07916322871614653,-0.048790952239433916,-0.013275875351891165,0.09131450635656149,-0.054193903183361064,-0.06116916001560657,-0.043880353232463656,-0.04029811778156711,-0.016573983972138134,0.02065555227368008,-0.0261989893590952,-0.03787264871022311,0.014107674772243796,-0.12911703679715827,-0.03664542521230321,-0.05134902022117345,-0.1574882055831573,-0.02354283708212227,-0.02746497301517431,0.13052573855344957,0.05497828346938923,0.3097462707118929,0.01923933862093125,0.016793611187837423,-0.07405862301035272,-0.04969163050558388,0.2692146508069786,-0.033856355168409596,0.028524547846761915,0.04977555799006397,-0.13189719975692538,-0.02834481751653322,-0.00371874931703673,0.07013532051015516,0.3108953261437022,-0.04574666822732799,-0.04822066640955989,0.012027241154665622,-0.027029096996120754,-0.08824984955626142,-0.12202630437138569,-0.03951998075973617,-0.008340285453449526,-0.05047412420824145,-0.06723136218328826,0.11637246260230875,0.011171724166535831,-0.04785767634886532,-0.027724013640865016,0.13636582266583014,-0.06532259076573665
NO2,0.0017264061554592928,0.05604088117863782,-0.04866128151687568,0.0011871736163484331,-0.02494657149819665,-0.03230792008019438,-0.02566684314916329,0.1038588236777267,-0.06612362499995621,0.08750664774629863,0.013709583354485777,-0.08929596254196959,-0.086670625222509,-0.06604930878076536,-0.07011953100333163,0.12360501281104211,0.18125164938451463,-0.02581595104687465,-0.005459944462817586,-0.063858517495224,-0.03692546391836596,-0.020385734478900575,-0.03666825083243093,0.022970874414764496,-0.02183619830856251,-0.054438009747725474,0.023415388392937973,0.0005329937904252607,-0.041428846803980526,-0.08309438839934061,-0.037286550787642904,-0.007080706114234698,0.03161145166745239,0.018866643099350745,-0.103149490595154,-0.05270970074263742,-0.08155562962700402,-0.04668240547782938,0.029688664963731327,0.04926435296966355,-0.021278596946889102,-0.05805347423309156,-0.01860214905244529,-0.03753750695030246,-0.06486495595089505,0.03974448643914835,-0.022331859298702232,-0.033166072773212596,0.0014297820580931697,-0.07572416998124817,-0.031964031032314384,-0.03494008778616773,-0.145883364564281,0.06772219165483485,-0.02085875796727603,-0.09594988000975038,0.022918914334982533,0.1361331772556538,0.03190990252679829,0.00679744540312965,-0.05799906415458708,-0.048042017597193745,0.16097192014675274,-0.020978129626521663,-0.037253715711755474,-0.03228343077811409,-0.12131201275920939,0.013396475387021819,-0.03296609058497308,0.06196806568767213,0.21087849458341595,-0.022667393646923613,-0.0373882382043432,0.029629530419036022,-0.057319191103699395,-0.08307409418421513,-0.08476926863975921,-0.1319031506288048,-0.001662475003751158,-0.03516676752315011,0.024155660698676733,0.2649854776716134,0.005345338192269504,-0.03386304918176858,0.0032576484599863985,0.0973622581756117,-0.02788883181088328
NO3,-0.013351180285487034,0.03906897742536776,-0.032099982480832775,-0.0230606697293277,-0.02019668715158507,-0.034328169798717084,-0.034413157337529594,0.0679092194140011,-0.045588224832248406,0.07287356965978438,-0.010949462296462275,-0.05117671809427976,-0.06275112837160908,-0.03579643543946279,-0.04017054349522637,0.1211384232774135,0.13653155845381637,-0.026420463586981805,-0.02975091172933036,-0.04299298616852611,-0.022013509150647613,-0.014301815943635473,-0.06909862686678968,0.007149742815910836,-0.028794410358922218,-0.03839464587103701,0.0366948719574073,-0.0079285792745101,-0.02855879293985558,-0.07094927879004252,-0.03380536734716916,-0.026649932689053225,-0.01326307437526441,-0.018059470159600757,-0.08138286533686834,-0.05150928697779069,-0.0531486924168018,-0.0409666883197158,-0.008366576507333407,-0.0023963139929223673,-0.016880821803145474,-0.03655344576792868,-0.06323060111932705,-0.021097438044429255,-0.042563600442321534,-0.005264043424813809,-0.014270917252760437,-0.02361118417538604,-0.013472147547137383,-0.07609997591679797,-0.023664778156066876,-0.030307456726791707,-0.1045961430093876,0.15313147045602887,-0.02409744905615282,-0.05849673819932078,-0.010327460277312185,0.11529878837513449,0.00011322513163179975,-0.01810575942236545,-0.029197619617737033,-0.04447769366793364,0.13195082681453651,-0.020054582789995397,-0.030464388240425997,-0.0387605820490454,-0.0900027321362511,-0.029754923422709037,-0.04801520504829042,-0.019868337139194787,0.21361729090943501,-0.03159077692500746,-0.023868607463532223,-0.031131259953225247,-0.029602104241915658,-0.05374271529474112,-0.07643744619152892,-0.08469165993905689,-0.010620274717648814,-0.045200758106430164,-0.02379089661052855,0.35465642226715677,-0.018461991341922057,-0.04574074411107065,-0.008871743884348277,0.04274369375891239,-0.02585395584924591
temperature,-0.07797347872476332,-0.14924982888641147,-0.0026661630340081626,-0.046842365893157684,0.0006483210723256571,0.1583653282851027,-0.03533833215595184,-0.17834552799488934,0.24205523728750772,-0.2026143105138285,-0.10263422492849719,-0.01776816656803415,0.28320246597725984,-0.03627845549977375,-0.05419838598797755,-0.060825488801624084,0.028455427959477746,0.11253022403598356,-0.09255340997070859,-0.1395388288537577,0.0367063960618039,0.009862050397681966,-0.092805592465265,-0.045374560715274,-0.003444500423364468,0.2460042613381896,-0.07170012731403733,0.15362833627910621,-0.04783035906359735,-0.03561362972611889,0.11538296568746113,0.14175810305886427,-0.12443175213112528,0.06360271072977186,0.30992482641544794,0.17303985168155883,0.09263856921339692,0.2448829160932149,0.13627181903727686,-0.06851401330427268,-0.13776876245427924,0.13249399462376077,-0.25157417092552475,0.13094728645879972,0.21323587302195918,0.056149937488848875,0.0298018395255765,-0.001969952135308823,-0.21002584618290135,-0.2201288731304179,0.07373743116230998,0.041630190488059084,0.2414512031875931,-0.16062103366651195,0.051888282274635655,0.06610288870513392,-0.21770296951838253,-0.2316787390530165,0.05034853001831653,-0.05550009625341355,-0.08603607171779515,0.08024337366840734,-0.2780103873914678,0.12848617879107782,0.07216987019285707,0.029996014403301206,0.1945729791355178,0.08630936225602165,0.2161285535087574,-0.14347060210152301,-0.11313293671040853,0.1203243084640721,0.18234102807162605,0.10058571816691597,0.07712630836613557,0.012688726409593797,0.02220375630619173,0.046827351436326534,-0.02953136713919323,0.24013154825621824,-0.1910223072694744,-0.2525010038168054,0.11088593359033785,-0.10917619039464954,-0.07673814161798345,-0.18536469045910922,-0.0346256759794021
salinity,0.034134558746094154,-0.05750924534470576,-0.0005263916912282728,0.09282406746062061,0.035887519905394495,0.08073383632021369,0.08484100861825189,-0.05705311520542392,0.07763410447609247,-0.3055839942654205,0.019514875085381474,0.06019558102332778,0.18840203206727119,-0.00395382559345288,0.0660303704521097,-0.17982784803818047,-0.3746861735676227,0.05836840776036463,0.0355416801149164,0.018505487042028146,0.06099467267610374,0.04115442574708713,0.16709255258364203,-0.04221517003146045,0.042417545303853436,0.1307400811670041,-0.060641339667871254,0.009363823138963081,0.08022564685202875,0.09559522268389169,0.04579488107050919,0.12101085494384328,0.06903403899939034,0.038728407155538366,0.2538882069318825,0.11628641933493553,0.06331993275753292,0.13811136129512028,-0.23339885671757332,0.021509843680286512,0.0027500164209855885,0.17777365235668047,0.11292470086296749,0.052960969665743624,0.08767537463080742,-0.030391004755762358,0.0097451270304561,0.0029378712896485576,-0.03233974335330163,0.01629446798401025,0.05436368528707727,0.0572456478586606,0.22556788636772235,-0.26394770912730836,0.10297212838066429,0.17816053643512267,0.020413836460311544,-0.2025584847892102,-0.09969226426718684,0.07705145127976817,-0.0037678732443943933,0.1301614423629085,-0.36694678291358673,0.06925578043989276,0.09642700278034529,0.04251805399424764,0.21673382022776044,-0.02749394663440475,0.14931237263163152,0.12701901080991318,-0.5385539542872491,0.06647100210488319,0.11188471195147882,0.06735562009649904,0.09348559197099444,0.10679306539911038,0.11158054089770952,0.15665129129186536,0.03673760612239524,0.11543784767492951,0.010760357802128667,-0.4530274773662182,-0.005949746958006237,0.05135491428614476,0.002418100135854866,-0.03874486297589295,0.12581605878467034
Chl_a,-0.024301664746698346,-0.05950905036173683,-0.044908167205458815,-0.02261067315861597,-0.021189255978670843,0.07482086110126196,-0.06106123959621344,-0.0677434242808688,0.16743272697657202,0.07638869257745032,-0.031714907879407825,-0.0811242220564578,-0.07822522346578524,-0.06301570504677348,-0.08785732744288363,0.10056820221662838,0.2143404703867302,0.04075932189010567,-0.06765308829287194,-0.08602274719062591,-0.014977353475555642,-0.029451878863349643,-0.10044157423978081,-0.01587840004881908,-0.04215470223276549,0.0889960488939188,-0.02552797649949535,0.0555151772160367,-0.05369301218832839,-0.10912090371751709,-0.012435721159617469,0.04131291611662083,-0.05173808722182377,0.00307606259466177,-0.07983185135357779,-0.042693807151731406,-0.07779337824991728,0.07738717000817925,0.07476805829334589,-0.004568973163874213,-0.04619865769406241,-0.04573883973378222,-0.17641968561895927,0.019571264722902163,0.5681883007306663,0.031224526115020565,-0.014431687550109838,-0.03260274035989158,-0.06087231691074528,-0.1467743486170165,-0.03262293954690085,-0.042681028899167556,-0.14348364819867382,0.06323194556495995,-0.05232715112313253,-0.026314865816824018,-0.08933272134320118,-0.012369670653610491,0.05228663922253862,-0.027964097782631696,-0.06281188754620959,-0.04388257136721624,0.1168099959005868,0.01920954471589047,0.024917340398943427,0.2125672079407006,-0.11206686382559705,0.02007023883868242,0.04243924467083093,-0.12495922327795435,0.12559992035023843,0.18569590460204927,0.032947196957248556,0.08995993652095577,-0.0367291118770426,-0.08716860395110469,-0.11120708330371529,-0.09834609258100366,-0.019523473291062646,0.09668197602539373,-0.07617304710610137,0.14324240094334603,0.11609150332098458,-0.10557473173516935,-0.027541199401981235,-0.050430513932620206,-0.08369593867972075
Phaeo,-0.007415276669439707,-0.0368589510877057,-0.027112265882701814,-0.011062851794910959,-0.009479108923772997,0.02810490172839354,-0.03525517270181845,-0.04665589131929859,0.028653528295447945,0.005251696996909966,0.002688749920760774,-0.05458491723628109,-0.06182108783120211,-0.04072417189173855,-0.042844046761631775,0.08730266242200858,0.07521307803856415,0.02264412641743376,-0.031786673966364254,-0.05754038017172365,-0.011745077505229785,-0.01418737741574876,-0.038627735947514334,-0.009746222640002456,-0.019504628455186968,-0.018711444179093872,-0.009386244139763264,0.11611572003983743,-0.042503271554443195,-0.0660662785642076,0.013035504543468909,-0.008827072635993144,-0.0220349191480531,0.01617983574864297,-0.052607584997873685,0.009879749007501637,-0.05096122286812568,0.009110332057858094,0.12242349450709511,0.008061828177619747,-0.01378176251555889,-0.037954333051364586,-0.10766067339848799,-0.004242083591813677,-0.0031809455281087296,0.061902227169384934,-0.008471853104547535,-0.01783517859301595,0.018902854616383753,-0.0720943202050327,-0.025224424184256328,-0.019513987702346892,-0.08760462535947533,0.0022868412095514603,-0.03539675904079394,-0.03406458335493935,-0.055216920161949165,-0.025589717698650934,0.06452178195948094,-0.019909923233786198,-0.036923087238096064,-0.02020449377266758,-0.00044955893598856017,0.03871431018104622,-0.007836669411659093,0.4832318721413703,-0.06267703295897636,0.06503271907652144,0.07270418921439956,-0.08436004581008419,0.05653323915663086,0.21946648536798574,-0.02321613354808022,0.03642965433584542,-0.030183567701693163,-0.04584914748175009,-0.05173352986030776,-0.06462761124279749,-0.008161285961235554,0.0375428904995512,-0.0497105389570246,0.01767501756940638,0.29679110470039216,-0.07018191225323031,-0.017563597522862646,-0.030246125700777032,-0.03504777892613392
Chl_a_conc,-0.022409766351555244,-0.05995362105245182,-0.04505275394473204,-0.02198085751730898,-0.020357859106180192,0.07042807614274135,-0.060820939624639254,-0.06952470249594082,0.14830644944126303,0.06553913607933816,-0.02588840046618797,-0.08290803941946483,-0.08243957871964122,-0.06394620484937043,-0.08537141583050974,0.10811055672735616,0.20031754497945883,0.04035748044311324,-0.06541177318722705,-0.08782181780733699,-0.015759419081563635,-0.028571035391186137,-0.09478865020447053,-0.015972965277909135,-0.04067622883813406,0.069614345813056,-0.02397414673183771,0.07812039058500549,-0.0566046803878533,-0.1095230186762502,-0.006898095553423255,0.032277434435366945,-0.04940658653142502,0.00697470186039752,-0.0812864874793679,-0.033150610467974455,-0.07912859055672386,0.06742481110130683,0.09599200205535809,-0.0016459028087529859,-0.042516529449768414,-0.04869364682554403,-0.17730029518570461,0.015274461966262604,0.4760184934174684,0.04301378241070263,-0.014412733735896676,-0.0322059697504517,-0.04595804374645525,-0.1427623288876488,-0.034229161573995144,-0.04112051749771872,-0.144211604603486,0.053691657062186746,-0.05352883477858121,-0.031334949459848285,-0.0899690512848316,-0.017329712312058317,0.06140250695602621,-0.028876052689718663,-0.062743115681117,-0.04231645355167734,0.09791692116492298,0.026633869731488808,0.018785480855488573,0.3096095682161045,-0.11107536486069808,0.034501908936031965,0.055359147414683896,-0.12778307020340574,0.12076561121859587,0.21544201530860294,0.021349317475193377,0.08539458369192657,-0.03902193099235177,-0.08560927673672158,-0.10738250089679069,-0.10008907781726034,-0.018601963348526925,0.09133866403084609,-0.0774290711992787,0.1250226837944638,0.17801707786253373,-0.10766413297157915,-0.02788406683349231,-0.05053854383071059,-0.07976200141626788
