,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
PO4,-0.13884831975744816,0.052848759257400936,-0.05401638663932798,0.11155764901190096,-0.1101634282368005,0.15274739011841193,-0.014649189911985421,-0.04250366000901647,-0.022973247496547396,0.06986027095731889,0.012484940909861872,-0.013583984755996665,-0.0671275112299898,-0.09278429223945375,-0.07077191780874262,-0.06721724275065055,0.033653266806225,0.12869281690524886,-0.10141711815119564,-0.08583320090413452,-0.0010175761172693323,-0.1438329630013778,-0.025680320334850557,-0.025677044160609917,-0.0006922752538960821,0.16669984890590697,0.06467171109581113
NOx,-0.06715389277832336,-0.04378481467078908,-0.030900897857944445,-0.060629954034269545,-0.09339380805705697,-0.04408976821077315,-0.06558500320415106,-0.03858154600638973,-0.047551608796875616,0.10693967963231815,0.35602398791806333,-0.02339724586697802,-0.08025634579246355,-0.03797377497954403,-0.04222955795294131,0.11717897818682096,0.21499787713906937,-0.03360462606915164,-0.07828936067892711,-0.04406222241267255,-0.049821428580553495,-0.10884020923076534,-0.06959777484996679,0.007081695862776888,-0.0411364799473439,-0.039500167791047924,0.06423530579297261
NH4,-0.129571190821629,-0.050969573425038786,-0.04996262825079577,-0.004289042775853868,-0.13345111737358634,-0.017011875452656117,-0.02084531135113908,-0.022651974083758512,-0.08256457706638773,0.268110361597495,0.1074846935829722,-0.06755512339279712,-0.1066047864015154,-0.07476788549371019,-0.07426726197134847,-0.0001118537145479567,0.3082588298408309,0.017899308695620272,-0.12318950119819648,-0.057283140881676665,0.05189951885957102,-0.16086956044897088,-0.10362815811300179,0.05624484243695502,-0.027451424403218225,-0.04555757203911172,0.241339780608902
NO2,-0.07218650254342872,-0.04899074611312565,-0.04458938167151953,-0.04731008678474617,-0.12443561610255435,-0.06594950025984697,-0.04654587655664898,-0.041420388810693265,-0.06842356421994361,0.1389139506603263,0.2608857769320819,0.025798813699702956,-0.10613891435209989,-0.06757366014443916,-0.0700237159677056,0.12141416545599595,0.21435459812836893,0.027876807262583268,-0.08545188023160868,-0.06435199027159144,-0.030393930924629196,-0.14988351325006405,-0.03845673032758334,0.025910776722542543,-0.07456128805824044,-0.05555588714297909,0.10399222618195378
NO3,-0.0668920813148117,-0.0435815338465821,-0.030587921356422194,-0.06069595023026651,-0.09262272898886952,-0.0436037898056376,-0.06573477557035737,-0.03843201784171753,-0.047073245090814606,0.1061171891395131,0.3566979729755168,-0.02416843908078095,-0.07960714975533187,-0.037372866615138924,-0.041648021374488975,0.11679909054128763,0.21444328692342607,-0.034556924266694836,-0.07796220859957562,-0.043602890922742304,-0.050019235551304275,-0.10785921035899336,-0.06994183969242965,0.00674435383607268,-0.040462509467339064,-0.03912450411591406,0.06339339931963822
temperature,-0.20219772034241734,0.25272915427957854,-0.0034495476838830997,0.24483594484920937,0.1986021918303201,0.21513424661671426,-0.13989805759699203,0.1233379685297774,0.2510367587352017,-0.26873576596961757,-0.27027780314842065,-0.19751584585584742,0.3364403843160775,-0.037447850141806224,-0.059343194850651336,-0.07480911515551111,-0.11152919556798024,0.11084627568329847,0.017916217598895855,-0.14046751022615173,-0.001067468290245191,0.2421170589529001,-0.0919308729179866,-0.0499616794566586,0.0923006949704206,0.24893633097990353,-0.19940316685091564
salinity,0.02846519063497041,0.14353758632378244,0.00212930869950035,0.1758507033751857,0.2231303733721349,0.08967618992421725,0.10472506930146533,0.05314840305947954,0.0827503678638058,-0.34028180503390437,-0.47212268902906795,0.012634380833022405,0.24607906446475866,-0.003000969311530672,0.0677226720093062,-0.18528390521306679,-0.5449532451698261,0.07942681259450737,0.1157435275439648,0.018525379607679596,0.05991240611492087,0.22916161518064707,0.16969043607441608,-0.04370296585384843,0.12864051053806724,0.1340191418880669,-0.05137725413263115
Chl_a,-0.13227404410298207,0.07750708146657626,-0.043666616973334293,0.04057502633419305,-0.11531128257020473,0.5683101542097405,-0.14893857908603841,-0.014994964435779216,0.16477303402299204,0.1020325267165544,0.14396102084827367,-0.07978445617220387,-0.09224583266055321,-0.06609381316352567,-0.09139937225084582,0.08313442550482927,0.1323524177783135,0.0872330421334849,-0.1144203885724841,-0.08719766117746167,0.19934926075659917,-0.14818632498039158,-0.10353675787187347,-0.018141368979668372,-0.04731840140920595,0.08877109578855955,-0.08001170379438569
Phaeo,-0.06475951557997157,0.009870080367959513,-0.025553398727283915,0.0711907752194105,-0.06434572231791355,-0.0024037670576287605,-0.09511502116135294,0.01101974897404377,0.02796470087067363,-0.0022300635170582304,0.01627430001219242,-0.05170568483365145,-0.06714088487021569,-0.04280262964031509,-0.04415960465861163,0.07151463276810308,0.06196257437665832,0.03458973859333607,-0.05340520466126644,-0.05816094326295144,0.5024255122234079,-0.09057205136197082,-0.04180814957706895,-0.009260621780411909,-0.03805747512320752,-0.019291393374503685,-0.05089276776508594
Chl_a_conc,-0.12860072237791406,0.06773173081957154,-0.04358747235592403,0.05338359951019387,-0.1142514775966287,0.47633177550583017,-0.15082907628621325,-0.009593369682761437,0.14588713907612866,0.08503072588135287,0.12524551774784537,-0.0810018355379317,-0.09565148502195016,-0.06709398793318294,-0.08870144903104116,0.08919176078943866,0.12790710999399268,0.08260634138485104,-0.11053331057022138,-0.08897641442545426,0.3037269304886393,-0.14896425494890003,-0.09824995455147545,-0.01774043741834986,-0.050047381565921645,0.06926808120622482,-0.08097185173922705
