,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
PO4,0.02761142700697152,0.038977079455290664,-0.059269897770366356,-0.02001387617237909,-0.01262073489744608,0.06950321239816745,-0.024229569446293567,0.06411173644580967,-0.023815624526923804,0.035960129658609244,-0.012018603663602447,0.05304771172524547,-0.08024565365435277,-0.10287098465895786,-0.06989179341213335,-0.06462396397513616,-0.041205114994303335,0.020690216554895974,-0.019338904610265842,-0.08489646162688237,0.02566877668757523,-0.003340210068189283,-0.022927946746225402,-0.02450956727144849,-0.03392855065443356,0.16440925465218534,-0.03266836844546146,-0.03584792477970006,0.029639919525747474,-0.10968113416862968,-0.04342247545266888,0.16679922268607988,0.02476941192693243,0.021655454576812547,-0.028848276399735542,-0.08666526099413374,-0.0946818926325933,0.04825169762480948,-0.022815671558775046,0.027892802261673715,-0.06286846444276936,-0.027289306244411875,-0.0906032885598611,-0.024654909036557468,0.15060902481893218,0.0111551906829979,-0.0256513255326294,-0.05212467017969588,-0.04021881327263324,-0.1492410494020444,-0.027947907057662084,-0.036108797340414146,-0.14113703531412125,-0.02589907754020458,-0.005827052052153482,0.18638865388031067,-0.004839961927482269,0.13876435380052674,-0.05675441459931788,0.013807236428184697,-0.06866474118509908,0.002379356403334927,0.06799532511885217,0.03622546559970581,0.04284221100442804,0.009647866472255417,-0.11042470033413773,-0.07681233048565364,0.09352874296427709,0.07611209105699426,0.03582924139810959,0.028427684216294016,0.0548777324755282,0.11763017946737807,-0.003566365453920594,-0.10161731709803429,-0.10131913926150085,-0.031751275837704825,0.007253535207261615,0.09975707633618817,-0.014058862840346674,0.01799171121679853,-0.01948883699158257,-0.04199541489052304,-0.009329456551708195,0.03796083807775001,-0.02035941283384768,0.06353356228789292,0.06858095225967367
NOx,-0.013614509180993935,0.039473676943192926,-0.04618476406217907,-0.02939846576279749,-0.02026981632847906,-0.034383708884018226,-0.06867275159456192,0.06867866882805886,-0.045988085310507666,0.07322214362629106,-0.010572048802436918,-0.05170282336067627,-0.06316235454107995,-0.0735056309423516,-0.04075686635471374,0.12152756252973644,0.13633592623930352,-0.026354042908362938,-0.06082212498596616,-0.0434449150332042,-0.022303263072142226,-0.014150704176486773,-0.03326628340761391,0.007431961432779426,-0.02800681604000122,-0.038760514274497906,0.03657139740358907,-0.00777441671498858,-0.028701771178661364,-0.07114584232523627,-0.0339326684338065,-0.026381212230614313,-0.012551319355022558,-0.017488623149024083,-0.08194095904364612,-0.028914679086743864,-0.052358297652047865,-0.041168044666152065,-0.007742420031606477,-0.02269088848363318,-0.016965053470935534,-0.0365396383676723,-0.036366034336721184,-0.02130092422486476,-0.043043240904091465,-0.00451846367321982,-0.014521838677119692,-0.029669685348764584,-0.013244749989109865,-0.07590241130562289,-0.023708682040038162,-0.030315154711682432,-0.10563912842920056,0.1520944617965704,-0.024045227602469334,-0.05926389677926603,-0.009775913041570324,0.11607139431911641,0.0006732509434315067,-0.01772586487234422,-0.040738512903676895,-0.042517554437348476,0.1308785143748487,-0.020122281689975326,-0.03065460114307835,-0.03863797727902425,-0.09063886995493091,-0.029097567800841117,-0.04781061172158324,-0.018566158159268834,0.21411822080110438,-0.03151462586779017,-0.024142176860304964,-0.03019364354085112,-0.030037239521623533,-0.053739930013613685,-0.07638869689459474,-0.0850905455104529,-0.0104368526786013,-0.04515242065274247,-0.02305067022345167,0.35412425426699334,-0.018048205882690023,-0.04563016024323109,-0.008688487435917068,0.04376386159405745,-0.02562999982816276,-0.05104731823234746,-0.0015403607248162974
NH4,0.07202949577968523,0.23196772687094838,-0.06938090239224029,-0.05282625018677245,-0.02027235663311684,-0.04416390987691742,-0.10024471652365827,0.22982181729913492,-0.0794353461641984,0.23205167471308796,-0.03433869803366157,0.04707650234848508,-0.09429692178678566,-0.12004493450271078,-0.07308626944900581,-0.004567303890343452,-0.012790257314497976,-0.026314159800888425,-0.04057375209298656,-0.056687282238236915,0.005774380630157883,0.009419906056139758,-0.06915910237965489,0.052454971479509886,-0.04539447341372081,-0.04595266522892957,-0.039084211560459894,-0.0180163474401433,0.05542145582559624,-0.12280024151924354,-0.01816925391553468,0.012976128793781839,-0.026164409529496696,-0.003972673811665524,-0.09507057748856601,-0.0728447553376507,-0.0768851823382706,-0.04879026955342099,-0.013257935356265448,-0.003734462955174725,-0.05415235862376072,-0.06037786481150338,-0.07222948098829306,-0.040062522536237016,-0.016569655202712655,0.0206630108837225,-0.02649971627139276,-0.047801782570688234,0.014158232708239689,-0.12862343097753565,-0.0363302517902394,-0.051067267937213445,-0.15739541442202876,-0.0235268510546724,-0.027441700304876693,0.13056207770110093,0.05467036640076775,0.3097781675074539,0.019284314027358147,0.016810037477901135,-0.04943495862553664,-0.04600876247727801,0.2687856431777224,-0.0338569974734754,0.02853338970373117,0.049900664790285286,-0.13164484132772192,-0.02829507966131099,-0.0034994030534778856,0.06970632423334183,0.3109099154027597,-0.04573136393648393,-0.048213413233771873,0.01203347276440532,-0.026844059350919894,-0.08697204025700594,-0.12136088594750392,-0.0385477722034981,-0.008214638092555177,-0.05048669544982799,-0.06721863891597875,0.11636015678451324,0.01126982507287344,-0.04785996232480914,-0.027716231644018555,0.13636118835098482,-0.06492539637866404,0.022132413140608154,0.0913164210792326
NO2,0.0010987864894698397,0.0560783253806566,-0.055927150054380564,-0.0054407461831654114,-0.0248778166940489,-0.03230928986592485,-0.03666206883399385,0.10384146292264715,-0.06600753716818766,0.08732110422307493,0.013697939635520254,-0.08899390590437098,-0.0864591628545196,-0.1100151529537621,-0.07009388672991629,0.12363183264209687,0.18193833810718416,-0.025627084196973366,-0.015179739693183201,-0.06384684033546383,-0.03695181980357519,-0.020022949200023094,-0.023462523789899437,0.022970763757730807,-0.020619040520152815,-0.05443616813105487,0.023422141224304704,0.0005714594807497385,-0.041229084417924194,-0.08276787705206995,-0.0372593380103398,-0.0070826311657593705,0.03156694580415319,0.018869366134858526,-0.10312238723279069,-0.05699485427333658,-0.07929611323022961,-0.046682135435030664,0.02969570784559286,0.0011780775005412652,-0.02122406101088322,-0.05730319866151607,-0.06601644469685322,-0.03733440193235012,-0.06486035533451805,0.03975295580059522,-0.02245052136813038,-0.043066495636992316,0.001470931843566151,-0.07541214364488852,-0.03169181841043081,-0.03467352437035498,-0.14583745642475776,0.06772168239115506,-0.020788408835174257,-0.0959705946475025,0.02290993302637203,0.13620664883556288,0.0319334588874811,0.00681091322859863,-0.06016424630009129,-0.044551243951737485,0.15958124906632193,-0.02097910317164431,-0.037254126439041774,-0.03212610953636284,-0.12111301717781628,0.01336093327339287,-0.032863991985423065,0.061850017611744856,0.21081128217559714,-0.0226654251741479,-0.03736731341360925,0.029636453894535994,-0.05714140177974021,-0.08286114542328994,-0.08413708226443588,-0.13080169792457838,-0.0016199826363149593,-0.035167235953994444,0.02416009769492141,0.2650151481123384,0.005428838899922004,-0.033808683359640095,0.003254302011249619,0.09736820229927608,-0.027454793522725666,-0.05177919726805249,0.04926372034473543
NO3,-0.013827749811079858,0.03908879133196639,-0.045898383340657614,-0.029726670545851732,-0.02013850477607699,-0.03432838748975115,-0.06903396958644673,0.06790283944167841,-0.04552826407666148,0.07279090740944635,-0.010955055790527253,-0.05093561806134489,-0.0626018870792501,-0.07269431008188754,-0.04015308747298556,0.12117230701295384,0.13520543813215116,-0.02629703263506877,-0.06143473244709419,-0.04298530869431202,-0.021996648768317334,-0.014014087256750872,-0.03334473400165987,0.007149392028745916,-0.02805820500333616,-0.038393229298172356,0.03669778355978586,-0.007895237706432237,-0.028414233631442423,-0.07076199353522512,-0.03378711021729772,-0.02663848858153158,-0.013265088297759731,-0.01805804957622579,-0.08136690745302841,-0.02836332141869428,-0.05176461599981377,-0.0409664302159755,-0.008355763821612955,-0.02303523295567477,-0.01684834130517438,-0.036092072690801946,-0.03576849935810762,-0.020973503956429246,-0.04256073641325687,-0.0052559527256283755,-0.014349436710974994,-0.02936488423202632,-0.01345900353520575,-0.07571107446222897,-0.023511195477330608,-0.03016164775796145,-0.10468085165062048,0.15312258990982502,-0.024037112311327165,-0.05848669640607379,-0.01030346750903382,0.11542528258405008,0.00014234498757229334,-0.018094572072316746,-0.040302548638416084,-0.04237130260617583,0.1300484375424807,-0.020054853621266137,-0.030462265804047817,-0.03864657827147713,-0.0898846454949947,-0.029739722968788768,-0.047937860551398676,-0.019878514481143986,0.21361103144850274,-0.03158152597660528,-0.02385481986312327,-0.031126961341327752,-0.02949945011257979,-0.053105656480877436,-0.07605662703373539,-0.08409300033720635,-0.010558643454110025,-0.045202679746694195,-0.023789170357766332,0.3547011824940368,-0.018398127383264868,-0.045710245350782386,-0.008867788495778205,0.04274140582497325,-0.025531700908900917,-0.050900667237421704,-0.0023962597027272427
temperature,-0.07798792375176909,-0.14924986535702914,-0.012742294842932862,-0.09263889728186234,0.0005094859448790106,0.15838609060914227,-0.0923863754508289,-0.17828459736845906,0.24166771655156222,-0.2023792499051253,-0.10263984055034718,-0.016894065983745387,0.28281686245530513,0.2737789055088993,-0.054243512458033716,-0.06082175194168278,0.030161719808091843,0.11251625976701984,-0.25603451860959553,-0.1395469389235363,0.036765352325667945,0.010651684815517252,-0.042084900348649514,-0.045372666761638945,-0.006068266031704208,0.24599951884384214,-0.0717087265005672,0.15199052936458435,-0.04777937910108604,-0.03575901629317543,0.11536243033780638,0.14179023540258573,-0.1242518952573845,0.06359721211523545,0.309889995720956,-0.08778651680200766,0.08785419590247143,0.24488377998056263,0.13620310914175715,-0.04677721804456835,-0.13783288139820188,0.13083448151473737,-0.03621755540628885,0.1308162545562081,0.2132293326179836,0.056132482162063145,0.029840041477683037,-0.0023220496769747858,-0.21012100286331545,-0.22208513490378182,0.07308855227306324,0.04087667224103863,0.23927106233607165,-0.16064285239681697,0.05203848702960984,0.06603730891565945,-0.21751836125545732,-0.23159400048135553,0.05050613006749434,-0.05548111351740006,0.03877810058041059,0.07157054051442945,-0.2768100811642229,0.12852006109878045,0.07214565565910522,0.0300346543341313,0.1940389874476784,0.08604885802865764,0.21613481991984002,-0.14311892298693712,-0.11318099521563241,0.12028601837757921,0.18230392284396701,0.1005707959536426,0.07682430758667592,0.010597121444990115,0.020177154486183686,0.04728014010076165,-0.02960049039618401,0.2401516775225479,-0.1910209197840692,-0.2525058901173808,0.11148481337974844,-0.10915910376060928,-0.07670390646411641,-0.18538384066371813,-0.03562102632051654,0.1709221899341526,-0.06851660471637473
salinity,0.034590234413599395,-0.05752347456835842,0.06038405824536626,0.03530246485176748,0.035761825222881634,0.08074024801946585,0.16701430501909512,-0.05703310772391141,0.07745636925478934,-0.30535313121123975,0.01951723208422427,0.060445057669784384,0.18818490392138326,0.19446419472714677,0.0660081321830498,-0.1798621023359273,-0.3735249547134188,0.0582734184871509,0.11094320708385676,0.018502465643259542,0.06100154475724638,0.040890586155198014,0.08233938820566278,-0.04221530990079239,0.04091406867629076,0.13073378894229218,-0.060646989125617994,0.008241496450748018,0.08011216624930295,0.09552073710008863,0.0457663733773502,0.12099928925546964,0.06903528653810263,0.03872396876610529,0.2538743718949772,-0.00485782840663994,0.06141601126673231,0.1381112828261601,-0.2332567564552499,0.09276036046646374,0.0027423529115247307,0.17671103724865472,-0.003994282111495098,0.05289448207930765,0.08767260167310217,-0.030390752798481413,0.009892603571215557,0.0009236492563548155,-0.03236386303043976,0.01498920055292414,0.054122127461592055,0.05685877720009674,0.2250668847614084,-0.26395966687976385,0.10304902894608518,0.17814386445431576,0.020321067563834956,-0.20264564894008308,-0.0997324342156915,0.07705855844810243,0.09864719031382792,0.12519549017474937,-0.36461100567441523,0.06927165954693502,0.09641921754198368,0.042451613370051704,0.21649976887728367,-0.027626610688653325,0.14931601798266717,0.12693430526285357,-0.5384525309287955,0.0664564547089819,0.11185176876618552,0.06734493818599685,0.09324795990896091,0.10344837672939075,0.11039640238607902,0.15715181903130981,0.03666594119264698,0.11544393403615547,0.010752553001025698,-0.45310317639837705,-0.006367770068880164,0.05131778313390312,0.002424167276296573,-0.038749934110844736,0.12518746633703742,0.11491907030353457,0.02150914849957704
Chl_a,-0.025079177027730104,-0.05949794995064392,-0.07686070091278338,-0.06730020984300414,-0.021154696340829362,0.0748127790516167,-0.10037216928326613,-0.06769984640300314,0.16750615087255585,0.07625942664912388,-0.03172108941511254,-0.08012338920356463,-0.07801194090424429,-0.0977458202401287,-0.08784267532673612,0.10061326050141742,0.21482976637659346,0.041019784190643546,-0.17562645308936647,-0.086012679120482,-0.014820827015993267,-0.028827765597831435,-0.059457453535326894,-0.015878210200336484,-0.041100273279236724,0.08899846076904201,-0.025516750281838967,0.05552524656768609,-0.05346257698907204,-0.10880865894428643,-0.012366098506846309,0.04136143585940051,-0.051672552494385286,0.0030766451851581595,-0.07980951310670231,-0.061652609183292725,-0.07449828539453127,0.07738650756494429,0.07479097741397485,-0.022577083177364246,-0.04617387080064572,-0.0451250473116903,-0.06293273372183021,0.019720645291498126,0.5681905325693254,0.031218772559353524,-0.014539477286865414,-0.04153473448995845,-0.060848855385101645,-0.1456616372311716,-0.03235083092313598,-0.042469693990529564,-0.14356666983700916,0.0632437399074012,-0.052175448841525536,-0.026228271965531763,-0.08921745021018315,-0.01218859418953901,0.052407538350424485,-0.027933873677638422,-0.06412104753681601,-0.040038858100368294,0.1160188472768753,0.019209931089718378,0.024911916741964565,0.2128217196261855,-0.11190372405963875,0.02003611179185863,0.04267161777117073,-0.12415066286400708,0.12552240656918612,0.1856301836001473,0.0329633465841383,0.08996412667756298,-0.03659396448989722,-0.08631203908729745,-0.11070315190428263,-0.09652601425039947,-0.019422403869479698,0.09669040571086032,-0.07616906921997656,0.14329433321792714,0.11627302280083557,-0.10551423187828866,-0.027539056972703858,-0.05043258074816119,-0.08338468433540974,-0.04173629283127457,-0.004569727633491097
Phaeo,-0.007897106195861148,-0.03684833344535446,-0.045293224904725225,-0.03158074101703669,-0.009428144506543782,0.028105068371014563,-0.03859917452125433,-0.046630449417749284,0.028702060535689973,0.0052682895502259176,0.0026833912245533068,-0.05410430698041711,-0.06169691884730875,-0.06393171347684816,-0.04282964563496404,0.08733551443815271,0.07582079607762157,0.022793887287552442,-0.10721934031659155,-0.05753360054616441,-0.011664012391084746,-0.013866702207751963,-0.03421988024505696,-0.009746194270840159,-0.01884002255950317,-0.018709960033535616,-0.00937981590028024,0.1161625628030676,-0.04236798428968375,-0.06588483317150572,0.013082413686854437,-0.008802279096920575,-0.02196945448307578,0.016180886939873726,-0.05259435495498309,-0.03625056308223085,-0.04950945450470534,0.009109531510352181,0.12245782155898462,-0.011042988787287421,-0.013774870335954939,-0.03754803602578248,-0.04067933187954591,-0.004132973513171961,-0.0031797849929353274,0.06189995219622897,-0.008463054809760655,-0.024130757537000204,0.018917948765434858,-0.07124699534640905,-0.025062390831507922,-0.01936223893230051,-0.08760502597907605,0.0022904065483811947,-0.03533813715962735,-0.03400357511339045,-0.05516944374989022,-0.025504420069536023,0.06460162931270966,-0.019886325201861958,-0.03806464945407626,-0.017392233356592936,-0.0005755341293144887,0.0387151976434867,-0.007834181097290675,0.48344405083551056,-0.06256239031805974,0.06500255484978702,0.07282134340080784,-0.08372473077895187,0.05650080337761605,0.21932378972767846,-0.023204646542677232,0.03643286487678967,-0.03010341963618984,-0.045068163712267774,-0.051377255759714226,-0.06377354255575066,-0.008098807247341723,0.03754364686750237,-0.049709704366374424,0.017690026595924474,0.29697447240597574,-0.07014705876646951,-0.017564122761642972,-0.030248608028526525,-0.03477394040725741,0.010543197109890807,0.008061813087673722
Chl_a_conc,-0.02319315526640841,-0.059941421670298145,-0.07680688542082384,-0.06505968882216656,-0.020315015856347853,0.07042133809901813,-0.09472264376327527,-0.06948121977494935,0.1483812512242636,0.06543514780729676,-0.025895043576025872,-0.08193754792031852,-0.08222685716532487,-0.09939632569676582,-0.08535520824575127,0.10815729386300413,0.2008932128227833,0.04061674849329871,-0.17651470732386323,-0.08781152692393472,-0.015606036135241759,-0.02796014940149888,-0.05919378708731436,-0.01597279823505638,-0.03961079770036585,0.06961677306433241,-0.023962979215851204,0.07814156000253028,-0.05637454387210927,-0.10921168684306774,-0.006826924848880267,0.032324888842868243,-0.04933380886409507,0.006975476237076962,-0.08126414686053451,-0.06158753424929094,-0.07596884265250817,0.06742403775573687,0.09602055820797678,-0.021947272381705976,-0.042493854454526546,-0.048068176150444966,-0.06386439234970373,0.01542946177439829,0.4760206817008228,0.04300833576097754,-0.014500813178726995,-0.04141191866410843,-0.04593425423682494,-0.14159837148688528,-0.03395678665374818,-0.04090194248438525,-0.1442813936849799,0.05370252410685275,-0.053385594294442076,-0.03124570676088012,-0.08985941365595099,-0.017154575312036464,0.06152565714428165,-0.028844278455535804,-0.0641518407534501,-0.03832686254423645,0.09721870449098886,0.02663443496926903,0.018781604360935737,0.30988078882982,-0.11090731478255192,0.03446507617727006,0.0555859871425179,-0.12693194996972354,0.12069174709924385,0.21534811248029317,0.021365990718252414,0.08539897219018047,-0.03888674055159798,-0.08467831601038624,-0.10686281852710762,-0.09832959421505706,-0.01850017201512472,0.09134594445102322,-0.07742550594956274,0.12507034577764414,0.17821921348797093,-0.1076038922630598,-0.027882411292653415,-0.05054095248679944,-0.07942641538898373,-0.032166834422502115,-0.0016465401344053481
