,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
PO4,-0.1410888872025201,0.052547974801131214,-0.05277737368802126,-0.019230118442723737,-0.11068094204863183,0.15272348167920352,-0.015459295095193407,-0.04288429448290228,-0.022655447155415488,0.06812217620155304,0.012229936663664107,-0.01356621998410493,-0.0815292610658152,-0.09131470332167713,-0.07105074251171827,-0.06640577119041595,0.033677328931669616,0.10878716646684557,-0.1000719121433415,-0.08591782920938645,0.0027339011118692183,-0.14062943656430027,-0.02536199753455659,-0.02526341959790553,-0.001034887272889938,0.16672836556387677,0.06786896665522088,0.0002562277363236491,0.12863891406666475,-0.07420061526208688
NOx,-0.0887004055719188,-0.04305068025668489,-0.029929846028527052,-0.08624080874991016,-0.09175355224197478,-0.0439039534925424,-0.06361646186782738,-0.03678515880872187,-0.04767968317146638,0.11104069201003494,0.35517521060153134,-0.02333030444877328,-0.06630138049441123,-0.036738538453085154,-0.04210313115207172,0.12052351039614922,0.21490532481040042,-0.056695763462011495,-0.07649488614821937,-0.04405678561704887,-0.01436228682470687,-0.10663195394070833,-0.06928802588632185,0.00733852260865374,-0.040476147405354775,-0.03949184228688635,0.06735920313680607,-0.049583257962860686,-0.03333785679438743,-0.02238300195276926
NH4,-0.14800819378466795,-0.05051078242102941,-0.04840781516132568,-0.09294570701823072,-0.13235111832494967,-0.01691937470985845,-0.020922931332668496,-0.021129029314158235,-0.08270750927999301,0.26863418625391455,0.10542746340807455,-0.0675756707247875,-0.09803372391776072,-0.07284061501645334,-0.07441485662755788,-0.0009021193698027933,0.30819740921343974,-0.0025112975960694967,-0.12097580834977582,-0.05737571404314118,0.04710444913610086,-0.15738634110689118,-0.10315810091182967,0.05643539900176995,-0.02740509314483048,-0.045545945438672256,0.24238857316039186,0.04720360867977847,0.018001178701345166,-0.06106913292323786
NO2,-0.0996103776618783,-0.048349609342548075,-0.043559037986827004,-0.10687566779262185,-0.12244485919678028,-0.065699788968409,-0.044482471752513464,-0.03931434024724228,-0.0685608193656227,0.13992664316688508,0.2599318577650703,0.025898388113886707,-0.09038984098875051,-0.06639799302038023,-0.06988646080737107,0.12393408893467134,0.21427472863910413,-0.04256392604548395,-0.08338256496588764,-0.06434682238659759,0.02199762276965973,-0.14736810911312592,-0.038178792313434004,0.026073294273150666,-0.0737468999524383,-0.05554549456412508,0.10578163671675431,-0.03818815843799986,0.028216705399173057,-0.024861933115644524
NO3,-0.08828243840735454,-0.04284775617138228,-0.029620427170126685,-0.08566469953059785,-0.09099272017027653,-0.04341954537422321,-0.06377301754786913,-0.0366455970053559,-0.0472008272082274,0.11025969056143478,0.3558532077941111,-0.02410222610133561,-0.06571925675545398,-0.03613987063949426,-0.041522110385808664,0.12014878407965716,0.21435076334236297,-0.05678585126393262,-0.07617710599780064,-0.04359746387496666,-0.01493996852212353,-0.10566196218042712,-0.0696323669607059,0.007002101439068431,-0.039806521373024414,-0.039116235498116506,0.06653166890035642,-0.0496457285868995,-0.03429209447527956,-0.022282170706012197
temperature,-0.11433172265628128,0.25120541836035426,-0.003314913672043669,0.30650339347152844,0.19567557393282098,0.21456602824716015,-0.14086892877893414,0.11994576043704203,0.25188118307243906,-0.2696469019192762,-0.26795184851404097,-0.19762467382164084,0.28983406402048706,-0.03768578220291591,-0.06070812245168674,-0.06751443654706213,-0.11138390463025857,0.23470517365400304,0.015213942209228313,-0.1408335115892796,-0.1682293106940887,0.2421780444592338,-0.09187350465412805,-0.048893654130542405,0.09141457647451881,0.248948311828104,-0.192088902329061,0.04146143014300042,0.11009420013381371,-0.15671974509696535
salinity,0.09671843749278536,0.14186257261140506,0.001017891473860553,0.25906504347215104,0.21907676602298076,0.08913535487998622,0.10013620473312894,0.04855430266624504,0.08321097921232083,-0.34978982146683646,-0.4689635809262304,0.012570455707368554,0.199430685558161,-0.004006563081499078,0.06734070531390363,-0.18579009586420056,-0.5447433624900972,0.16546961576921046,0.11294355414238479,0.01851345675173128,0.00655053575840366,0.22743972063297713,0.16951668598396255,-0.04371443992967372,0.12720252725241254,0.13402514004834973,-0.05117817137020283,0.06332520217309602,0.07875146661448926,0.0011004662777162294
Chl_a,-0.1465592065748681,0.07833187478549213,-0.04212570642832168,-0.07898516192639694,-0.11348781651681034,0.5684333657288989,-0.14539867907130635,-0.012509282616517724,0.1653481478225367,0.10567265072656924,0.14332225580164823,-0.07974264734656525,-0.08348724937253005,-0.06398043867446762,-0.0913817639833851,0.09431308859593503,0.1322693020282419,0.04252896595626206,-0.11216994069745781,-0.08722452576228147,-0.04740721901111474,-0.1451040303294252,-0.10307013645399477,-0.017276585192138455,-0.04685061916341121,0.08884188619460512,-0.07566757027523376,0.2199788477297971,0.08746135804213526,-0.05988637313915075
Phaeo,-0.08595349032839861,0.010116077028546708,-0.024508763939854274,-0.049981721606057836,-0.06341804837012957,-0.002448231432965811,-0.09352734171222973,0.013120575254465822,0.028040035769936397,-0.0018287089809720242,0.016530274006362353,-0.05174224154215992,-0.06520623447340256,-0.041240237243547584,-0.04403121599192133,0.08406015635413376,0.06196390649465548,0.07277290828933514,-0.05193820982226492,-0.05813298939294824,0.01394809965490426,-0.08835047146253211,-0.04150056496850604,-0.009127599043586135,-0.037685900057083624,-0.019273877461030466,-0.05133855422379618,0.5202523181301271,0.03465200984001054,-0.0211218663595225
Chl_a_conc,-0.14634463376267287,0.06849077236417361,-0.04201055491106642,-0.07986291583655816,-0.1124691662584323,0.476423114874107,-0.14742696006471973,-0.006936738534406179,0.1463902878339543,0.08819486381171124,0.1247788992907541,-0.08097667070047132,-0.08777510691913785,-0.06489602449931463,-0.08865181182150265,0.1019802550738601,0.1278377123761903,0.0554531085307203,-0.10824620222330335,-0.08899137225541932,-0.03600200182250504,-0.14577409929911433,-0.09777480614318,-0.016978505066763405,-0.04955388495624241,0.06933225151533816,-0.07744684199213703,0.3258815234337011,0.08281487474757684,-0.05599756629612636
f0,-0.22269936056490403,0.16260654287560183,-0.06213166454543112,-0.09077162533586391,-0.17729963054180198,0.1542514780064358,-0.22800546622724904,0.032950205051306775,0.23928776486570957,0.08713202873615933,0.2625110610147278,-0.11617396742221012,-0.13709390335584498,-0.10082440355961216,-0.1267367866136565,0.13073853946111927,0.2104506607744263,0.1469798337897855,-0.1606900370256843,-0.1288914684254668,-0.04451661182870154,-0.22603674858246792,-0.1350819017028972,-0.0019904610388897506,-0.07327328368547345,0.1976467386641742,-0.11283855910805621,0.15711050775092839,0.14096903966499869,-0.06815190782500773
fa,-0.2198276186465803,0.15480831221979302,-0.061165300920443325,-0.08974336812545936,-0.17423423810911434,0.12910109713122606,-0.22888101925692494,0.039383498898295864,0.21798046928393894,0.07105074658196184,0.23929901518926397,-0.11662359688623394,-0.14299194428738587,-0.10118629931504654,-0.12049250045481816,0.13652420008063126,0.20556792021585388,0.15946873098157954,-0.15225342207598885,-0.13009353700076504,-0.02721624067856148,-0.22471871127412849,-0.12439832570067247,-0.0008126419508256448,-0.076868404249067,0.16812856013014957,-0.11432913770977857,0.19690490183935028,0.13348703383262178,-0.06051671724095038
