,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
PO4,-0.08489946812834606,0.04207761754397305,-0.03405031903652214,-0.0127284616354458,-0.11056008839421454,0.08232705014815996,-0.028340372312164797,0.06655796934555372,-0.022085825536905468,0.06205143281563665,0.05728248145677235,-0.012984601669647832,-0.08039233551189238,-0.08570625821632508,-0.06947785507384088,-0.06362123260343225,0.03453535483869832,0.09466829801415616,-0.10071548132114017,-0.1514811196520594,-0.019456702639281467,-0.14153843521499715,-0.025247887856396176,-0.026059665313327936,-0.012591171538987485,0.1655915412641571,0.07058772449153894,0.004407414433084622,0.0386717975092501,-0.1107508048075301,-0.04433354293610522,0.12342902691660299,-0.032626118617764474,0.021130018206479608,-0.027734695869754328,0.017104693192675595,-0.0034532270698801083,0.05016812524527591,-0.02881382866101022,0.0587697304950824,-0.06304151861981094,-0.02529361748565585,-0.09071261737041067,0.1969262158696648,0.15098780234187692,-0.029082629240320484,0.010965323273386882,-0.05470335536969471,-0.041164946650945514,-0.10659788674005088,-0.02656577175781281,-0.03647811709770268,-0.023064888498518517,0.0015698406948164104
NOx,-0.04348545565143225,-0.03088774027719482,-0.021747650461124934,-0.013103715118907427,-0.09105230936846762,-0.04202769207291525,-0.08856345866799825,0.06853710912399638,-0.02272812344961645,0.11949312685918582,0.05288081076910039,-0.02301720923272041,-0.06337490347677537,-0.02989989219790962,-0.04086399414631134,0.12282655927891514,0.21576527805270232,-0.04841836917168982,-0.07642515753914114,-0.07744132921716192,-0.045633680227781415,-0.10587510772176,-0.06839663657232463,0.006828955740654164,-0.011084159170544186,-0.03908521060915986,-0.0002259716125378227,-0.04033618857215638,-0.021351524126286228,-0.07218725639472012,-0.03425539057925231,-0.03048655869540673,-0.04647272266576219,-0.018249245068364273,-0.08198380815349166,-0.017295232140346572,-0.03044995801952855,-0.04182038095386184,-0.020142493213928667,-0.052874517223383787,-0.017320064552544284,-0.037465059786397595,-0.03653123718222007,-0.060836629008654323,-0.04324629374814743,0.039143613814602456,0.35628709776907075,-0.02863074944263924,-0.014051708420579855,-0.06281548446993322,-0.023917356328568347,-0.030550898459057677,-0.007711293310901651,-0.02300160705688479
NH4,-0.05663602297108334,0.029500192651581554,-0.03690994078135879,-0.03513216836929306,-0.13189380510809684,-0.048998397476996546,-0.038140160850627,0.23846315634744436,-0.0417946319428711,0.26838948166452486,0.17322968399583138,-0.06749794009002111,-0.09475206006560015,-0.06828684690149862,-0.07279245327062127,0.0023476380161178137,0.3092492409419542,-0.004969076049966143,-0.12141676197568965,-0.129416819972027,-0.07871621081030392,-0.15785581385741063,-0.10264040617212035,0.05281196114834671,-0.035446571241169435,-0.04644699009620304,0.09367580075378328,0.044083070654756334,-0.035308661375907616,-0.12476935054231822,-0.018290327578058773,0.014176697617698856,-0.043401257779497604,-0.004707809375082122,-0.09470753128542125,0.02400920117302955,-0.027184600583814982,-0.05009243359370088,0.007477085583128321,0.023232646207774297,-0.05418373685202017,-0.0603020541266178,-0.0723820159251948,0.13752187400207883,-0.01707835470044551,-0.01873193430384971,0.10209271798105898,-0.04337274628022045,0.02400796150209889,-0.0854090720594913,-0.03509842064115436,-0.0514779410242754,-0.01312176612649248,-0.01756001995337539
NO2,-0.06388174905615722,-0.03608922561730127,-0.030350405682511693,0.0023486597267991976,-0.12146563218959472,-0.03563070196298156,-0.1259402859271942,0.1051976415700831,-0.03816574679578161,0.1442418326110212,0.1146962616830774,0.025386637633487037,-0.08656945581210204,-0.05557654424765855,-0.0699490666548758,0.12697266641468918,0.2138616929509154,-0.03294024768953377,-0.08380798303013959,-0.07507287428594628,-0.06492399137361449,-0.14632145379299621,-0.03711748847722594,0.023952335670018837,0.013330555002913644,-0.0548800807997008,0.051011726035614685,-0.033211400921869166,-0.021691492074026666,-0.08337916121881112,-0.03706238553298893,0.030668979456803937,-0.02505185021484105,0.018975423426872102,-0.10279375689439496,0.009759762195819345,-0.05762655562279642,-0.04752164198222476,0.008818100809911295,-0.049954776401558765,-0.021553033363962013,-0.057995364556321455,-0.06610119032922679,-0.09475808126628266,-0.06503736313629577,0.02780617150076474,0.2586840717292699,-0.04243227321787798,0.0018673023524424315,-0.0885004779264146,-0.030606434493136943,-0.03502220947591049,0.030655965698092605,-0.01472998671270625
NO3,-0.04302583801420475,-0.030718456083589665,-0.021544833563126684,-0.013330809462487807,-0.09029802705893158,-0.04202543306189588,-0.08769785260771634,0.06773630014909766,-0.022407035324410872,0.11875992446611443,0.05169538816606618,-0.0237759923801082,-0.06281560784338143,-0.029386627210028996,-0.04026419817174967,0.12243332543146582,0.21523000239520576,-0.04855301612424884,-0.07609917953885069,-0.07727773646795116,-0.04518713315299994,-0.10491201212817557,-0.06874619825209041,0.006521150514578149,-0.01146826896946766,-0.03871505367874409,-0.0010926673842933336,-0.040350697767711524,-0.021289611627903854,-0.0718079492404278,-0.03411777997869852,-0.03144154154820561,-0.04671307872042976,-0.018831341041217302,-0.08141593182010569,-0.017707697308744164,-0.029909856996307584,-0.041613882561705395,-0.020579725328763936,-0.05278487063082494,-0.01720285940302544,-0.03701900837183492,-0.035934629576574034,-0.060102437385075785,-0.042763696054941784,0.039232566423725586,0.35700211222982403,-0.028321830390728213,-0.014284208041540288,-0.06221550500655802,-0.02374122517976273,-0.03039485972604753,-0.00834044618334303,-0.023081121183931602
temperature,-0.1396337498216268,0.073305408278327,-0.01067841601604553,-0.08673865281862682,0.19479911045219506,0.18068867778734787,0.02300318734118148,-0.18484263779250637,0.13439488821227655,-0.27434091600823785,-0.2209903460959946,-0.19341574701952674,0.28280711955200133,-0.0951489456600374,-0.05475417639477405,-0.05990721276727068,-0.11169654263528958,0.21965752098677271,0.019152098790543352,-0.21944321840906494,0.23930993799385772,0.24116526513474068,-0.091675367069799,-0.04435051256720437,-0.10296675451020894,0.24854202996084604,-0.0706091061651441,0.03395624164986405,0.15320251907280857,-0.04210849436161338,0.11589106716248479,0.10379957553205889,-0.12780976055725313,0.06651611288994566,0.3080071766684909,-0.06349988472631302,0.07789262496893182,0.24885971038195054,0.13062835579695453,0.17192378460835744,-0.13874190965514188,0.13286361118719736,-0.03670764412185616,0.059350505312353474,0.2145070142732073,-0.08104940804553216,-0.2637396872295895,6.239505984428071e-05,-0.21804031831724824,0.012502212720505813,0.07165523842555083,0.04161317525055881,0.14403075554868255,0.04534441036752069
salinity,0.018521515842907198,0.09360752230273475,-0.0039177526204906,0.011772286284849831,0.21764766723442963,0.0889918267019292,0.17935297476091877,-0.05660593168419563,0.05445364349712008,-0.36752124804384767,-0.0489887385737532,0.01243001672508665,0.18908217326841056,-0.002000100007999459,0.06655693700289238,-0.1863657984829043,-0.5448485090120843,0.15159467152611386,0.1119355485082737,0.015001255810184525,0.07760114465616691,0.2257657230358276,0.1672271142234503,-0.0434627048877764,0.02106512972074662,0.13259578669457767,0.01949680888128076,0.04501191766563048,0.08449403254677985,0.0993855071817333,0.04490160476668731,0.0710352270879142,0.06245848061920683,0.039194858594658835,0.25438650880020985,0.07872360967107116,0.09443202717900143,0.1405094132172881,-0.05069468840056254,0.11233341442581371,0.003067356861249868,0.18027135297736152,-0.003759103496264134,0.18606691754293586,0.08841848362534752,-0.06356726747066707,-0.47268958919507825,0.004086514983536255,-0.035173374442365624,0.10138000718667317,0.056047213703233366,0.05732858531340327,-0.26886485659661485,0.10699899487850627
Chl_a,-0.08606872386956031,0.025338448035990013,-0.028363285113960218,-0.03889031295457207,-0.11260726532504914,0.08686959061087988,-0.11389226304512792,-0.07111911409390792,0.022651233957938572,0.10977326460879208,-0.06294693300232247,-0.07767150661754105,-0.07893218635798097,-0.06828596263387363,-0.08839142703755712,0.10233359772656242,0.13020480965327555,0.043195026339246205,-0.11142330824245031,-0.14595584450018373,0.1695366282759309,-0.14395095263463453,-0.10188325495239253,-0.015446264409065944,-0.03304393170018234,0.08930982164328294,-0.003378079510557082,0.21627100256875403,0.02195766973566815,-0.11225909136909908,-0.012307818181819485,0.08951673525343039,-0.11641951670090386,0.005072513810220397,-0.0802096562985431,-0.03199814556300021,-0.03710554822432049,0.07834385440477241,0.11932157357974198,-0.04303466221148142,-0.046982595776669224,-0.04627714987015766,-0.06345653935952864,-0.03337018263998028,0.5688367445550421,-0.029870750917801822,0.147420088681457,-0.03856566645386311,-0.06320958106631733,-0.10271344112680642,-0.034162625268247024,-0.042766893815483945,0.0757636259637903,-0.05620068020854191
Phaeo,-0.05755733114220271,-0.006579710466350659,-0.015412878675065779,-0.023570386248456695,-0.06302567422505974,0.030162609225239684,-0.07098316717026906,-0.048710618548146845,-0.0016061637358586493,-0.0004843593829344413,-0.03925411563178628,-0.05067917749587251,-0.06219010698784674,-0.04044946406425634,-0.04313465800507853,0.08690146684536239,0.05819021819514479,0.07283538946018188,-0.05159542738610899,-0.07107701746748678,0.028883917615875204,-0.08786231136378361,-0.04093747231116153,-0.008416918133679334,0.002139728900201504,-0.019087914510626067,0.00810850539163299,0.4898350500259286,0.04168642636089137,-0.06774995682205726,0.013643031843414881,0.036350541490985766,-0.07650164056583986,0.018166308732021373,-0.0528285728107996,-0.022393703620831512,-0.030496096820717224,0.008867343510492745,0.30116268159553106,0.011632431386659911,-0.014317503775889378,-0.03865821475210025,-0.040990592303565866,-0.03986943396874839,-0.0022307345218425013,-0.012273336338196574,0.01779483602992772,-0.02343243655978576,0.019641607855237428,-0.06552772742747816,-0.02645347138561027,-0.01955056567259384,0.12294675380897334,-0.03958457168374507
Chl_a_conc,-0.08786500849436052,0.019480192047622687,-0.02799010867043706,-0.039040302502425975,-0.1116235843198293,0.08109929481456511,-0.11486260899459412,-0.07291580376646067,0.018575162460769526,0.09200152288629919,-0.06348935237172466,-0.07894972578212084,-0.0831331264137197,-0.06829496250555024,-0.08589859047221952,0.10948333070447615,0.12508039153083955,0.05602909913998569,-0.1075264832231522,-0.14179915019264497,0.15013481263473832,-0.14467377840543483,-0.09662576883108506,-0.01524935585836028,-0.02715291769255248,0.06977548155209358,-0.0006337089604869471,0.31451098914774944,0.029747332340006316,-0.11261404094166147,-0.006625797736419268,0.08500112377584804,-0.11848204971612664,0.009189672471419025,-0.08166358024100498,-0.032936207101022116,-0.039422729274025486,0.06816178587397918,0.18191500320192694,-0.03296082402235282,-0.04331994902105399,-0.04933656158332832,-0.06438853365818838,-0.03883256085956474,0.4768207240635012,-0.0284029186812043,0.12856156130453433,-0.03873037128961814,-0.04771913921990088,-0.10399899521204156,-0.035855120448718136,-0.04120251538761082,0.09696965402418677,-0.05791692359444252
