,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
PO4,0.0258580316755736,0.033165907127498354,-0.03330783762186873,-0.011275963542380595,-0.012597843532208764,0.031836119140529716,-0.02346270146267076,0.0637185755382449,-0.02372878592852354,0.035632309628351816,-0.0118193632432468,-0.015838557131410722,-0.08024181902616959,-0.12697747683586683,-0.06996472274308335,-0.06468602707096865,-0.03739421612272406,0.09989865864536977,0.02566889535477132,-0.08490208279226968,0.025474284699327554,-0.13926329793718895,-0.023834056049626313,-0.02451391663226019,-0.03392043434160299,0.16440601673807478,-0.03266410947991386,-0.004573606826004529,0.053114961380070824,-0.10930103973055447,-0.026157188083331055,0.16653669353373218,0.02477005108815008,0.02141116007849108,-0.02886053097777244,-0.08651193730187891,-0.0945066829095046,0.04822194494342078,-0.022818013971471252,0.06838831943310666,-0.062904422198691,-0.02732767443187458,-0.09063078131823206,-0.02463890661562043,0.15057080115141602,-0.0028620015930922353,-0.02433033664470712,-0.05216054690810004,-0.04016168856749172,-0.016911118202859416,-0.027989318734964234,-0.03613592045618431,-0.09924874712890264,-0.02618775276713816,0.024442567740828387,0.1860235625123873,-0.006021637945469312,0.13386768387735876,-0.03525797097708397,0.013795876273491173,-0.06788776997875805,0.002152977252188267,0.06834195349514224,0.03639125468951591,0.04302323083101422,0.007419297963628708,-0.11029365075779848,-0.01971138311169432,0.09366135471294001,0.07879629723820748,0.0357617737450235,-0.04652943027278049,0.0548056751139317,0.1181329857141141,-0.010931302803845425,-0.09681594312981442,-0.10086754609036948,-0.031735803625334055,0.008125648590765668,0.06602365824921655,-0.011575161018811087,0.017931442666741744,-0.019628006204211502,-0.042202732345999514,-0.008760209670250107,0.03703063008698168,-0.019410842101656688,0.028050319319072474,-0.07484286903301293,0.06359511796409756,0.021899236767932925,0.01107796859710042,-0.054032475972470025,-0.005737347787508989,-0.15049784011499884,-0.04336736757788546,0.06834258207014804,0.020607947925955696,-0.010014041364348813
NOx,-0.024213416195117188,0.05379011282366833,-0.03178516896107772,-0.013539935659757526,-0.020259420142399637,-0.02837418495164202,-0.03334804816178601,0.06939062563361406,-0.04593358443358646,0.0766732707905596,-0.010409578341649434,-0.022759001882655117,-0.06315444421547678,-0.08157424220578677,-0.04071312772810788,0.12131657141265859,0.12719650696260354,-0.04533519983619759,-0.009438582379209673,-0.04342832909310718,-0.02201957235044035,-0.10441316180662233,-0.06849860093131102,0.007437904138959049,-0.02797953397686838,-0.038758998835791834,0.03649991311656835,-0.03005879645810973,-0.050983243384613006,-0.07106660445654503,-0.037532416363690216,-0.02645323927896317,-0.012604989334064957,-0.017393601556550058,-0.08194405932576534,-0.028837592963745426,-0.05206611944573935,-0.04115841466696307,-0.0077082153860343,-0.0014423921497759657,-0.01697678379967784,-0.03648812741323512,-0.036346355748838155,-0.02126802870009358,-0.04301883763839078,-0.013121862976201843,-0.013524574128076328,-0.02968246027979383,-0.013397666639634277,-0.06077051229634517,-0.023667155089900686,-0.030321146575253595,-0.07131049058692839,0.15186715462385908,-0.02834524071185039,-0.05919182246718209,-0.010235607697542486,0.1458231890324887,-0.006898427029289475,-0.017709741837806887,-0.039297902381505836,-0.04345566686676107,0.12828535803549374,-0.0200886964597348,-0.030687899137662913,-0.0388878945871174,-0.09063484459889383,-0.02907750471464382,-0.04782792378254854,-0.021287450094150392,0.2141273313586029,0.028758609497037776,-0.024118278023752902,-0.030101378605500082,-0.031195287250202416,-0.04945605644883115,-0.0761702624558869,-0.08508765167717477,-0.009891714432278051,-0.004251822474667252,-0.021061014087164993,0.3542427800919449,-0.0176672967019462,-0.045569054161018425,-0.007743993933901338,0.04288733818986265,-0.0246265043071053,-0.02260392905001368,-0.032257117527749804,-0.051166366719905515,-0.010054624270140073,-0.00446211099019743,-0.0028464331039012767,-0.023930519065632472,-0.07642160756173938,-0.033915819890385904,-0.03378484007998475,-0.026221405695197854,-0.017415753010042966
NH4,-0.010987254510599506,0.22839385655553823,-0.041980426299173625,-0.03947364763501975,-0.02025754508920011,-0.03926331634695159,-0.06772390497404276,0.22897182380401343,-0.07932140341349397,0.2323899930049575,-0.034022140550190205,-0.07670845605048915,-0.09428876773490713,-0.14500787534274584,-0.07325834255884407,-0.00464643740425018,-0.010673333156206923,-0.050630147023748226,0.06281191995017127,-0.05669963974259616,0.0052746852108110885,-0.1550938998525221,-0.09986464689361113,0.05245411367387363,-0.04537004114430723,-0.04595486002938706,-0.03934035152570638,-0.040550020069025604,0.0465686017456394,-0.12252422225383741,0.006758672979635107,0.01252419234059991,-0.02667669739777747,-0.003918672723761957,-0.09507965210308611,-0.07256424343393485,-0.07695312330959918,-0.048774768948287306,-0.013202566280260166,0.09072226171874566,-0.054173365788338604,-0.060255735561532756,-0.07221117100803678,-0.040071215426675466,-0.01652786334948252,0.008205629453914539,-0.024657202354566747,-0.04783073421246952,0.013679970997479982,-0.03497754323167069,-0.03636205408447263,-0.05107148630017726,-0.11594018095011607,-0.0240125552525222,0.04109218495978784,0.1304123383169143,0.050501398392901395,0.30885806726651044,-0.01824559772119775,0.01679046613937442,-0.05107902881499042,-0.045498613600946855,0.26871302736256863,-0.03368957482096113,0.028391407535264167,0.05083033513219003,-0.1315242118620421,-0.05309644868391166,-0.003614326571251337,0.0823498371471448,0.31080916679783605,0.0169039496956407,-0.04822823433063546,0.012369125078482042,-0.030632632501474077,-0.08020621605537753,-0.12091717114863602,-0.039406217539736096,-0.0070788135439626265,0.1836374390078311,-0.05592588699549868,0.11618586069979586,0.011963624923809807,-0.04830562388551922,-0.02527914039117473,0.13411468226144518,-0.06292034507550542,-0.003729128875268151,-0.029764645621317587,0.02172265856337345,0.001171406986961299,0.02072839072003161,0.017178503842249053,-0.02774881178969732,-0.12966916530187003,-0.018171124051641847,-0.04336385981363533,-0.02637705752231591,-0.034864313938332225
NO2,-0.04223497586528906,0.0805683480645893,-0.03799012824735824,-0.0030525713210610298,-0.02487730003738546,-0.027439710366407487,-0.02410771816498315,0.10482817326053243,-0.06592952010004384,0.09034470438809322,0.013877996831068148,0.020600859230133127,-0.08647192008719826,-0.10181649067205316,-0.07001660056801925,0.12324905419705837,0.1794416964875639,-0.03574797938919924,0.00871998477214247,-0.0638274808308299,-0.0364661827780588,-0.14374468341018873,-0.036437800152607905,0.02298127220119356,-0.020659922299933346,-0.05444310759966068,0.02331581657692742,0.008500240226833806,-0.08857915010293552,-0.08243459493361231,-0.04472034449606206,-0.007334030201390375,0.03163444650648621,0.01888386929554562,-0.10313715889036101,-0.05685098587906988,-0.07900309237509011,-0.046672104041777754,0.029600530963309737,0.04964813002248793,-0.021248565207414367,-0.05729307045992736,-0.06601674666968058,-0.037278779807377954,-0.06481916041261106,-0.019141258242846244,-0.021489264827419842,-0.043096013492762125,0.0014179552264725367,-0.015958728116872746,-0.03168173744436408,-0.03469395360338416,-0.10733603885264002,0.06747355783795052,-0.036375991282413436,-0.0959233628697809,0.02137257386951938,0.17536549592898681,0.0026793750223670105,0.006829248150104621,-0.05815290712326319,-0.04630415577020276,0.1575254082270504,-0.02119996572807171,-0.03736065455395224,-0.0347751729063824,-0.1210763558150735,-0.004518169774163216,-0.032859637295856434,0.055997744129217826,0.2106692092119334,0.054450871983743876,-0.037318626878795544,0.02950750285541545,-0.059531432899311655,-0.07846077704538032,-0.08375738177061692,-0.1306444710223863,-0.000978021562337267,-0.015185361357077385,0.02442974327767627,0.2650676243821643,0.004909645693559633,-0.033803988584143844,0.003296846070381606,0.09626415302233471,-0.026779421537088777,0.0013813023669896958,0.008819345521679109,-0.05202660861876586,0.008765652076595375,0.039631252440445464,0.02694508758497693,-0.02070243792899301,-0.07634211569639593,-0.03728853789235323,-0.031560500759680525,-0.02548219488141702,-0.012784110177663892
NO3,-0.02384468374603834,0.0531953664520875,-0.03159653878631818,-0.013681840947831914,-0.020127968704842757,-0.02831537396015585,-0.033416746642538124,0.06860827298944688,-0.04547430459957802,0.07624019421903344,-0.010793310340177923,-0.023433085633193827,-0.0625936477235047,-0.08101705244385099,-0.04011003173830048,0.12096477864557309,0.12597761604292795,-0.045378241931454705,-0.00972112377735258,-0.0429688133254595,-0.021717122502788264,-0.10347278177265817,-0.06886112530487205,0.007155241821347278,-0.02802984090086081,-0.03839157473081214,0.03662707702360649,-0.030632417998039226,-0.05021277099896382,-0.07068726423030283,-0.03731203149306182,-0.02670728999396252,-0.01332066814769827,-0.01796191498660681,-0.08136980202190441,-0.028287568454509276,-0.0514732205323534,-0.04095683233954342,-0.008319459124865822,-0.0023033973311723677,-0.016859824560603812,-0.03603999674096726,-0.03574853432116649,-0.02094107964071048,-0.04253668156101346,-0.012985461291375951,-0.013354185627249108,-0.029377342158849476,-0.013613209655106009,-0.06136919609057963,-0.02346924546993362,-0.030167379483547394,-0.07051313542276458,0.15289623296297877,-0.028134753300949555,-0.058414391156440836,-0.010743711686020984,0.1449395940425923,-0.0070424045730161575,-0.018078528884105844,-0.03887538776091874,-0.04329315570561525,0.12745300658937275,-0.02001704973949882,-0.03049423666818054,-0.03885522839833579,-0.08988118314935356,-0.029416737097847853,-0.047955493827560126,-0.02253965149270357,0.2136226770965667,0.028248082030844505,-0.023831403460680668,-0.031031194599620615,-0.030633598457140268,-0.04883502207410251,-0.07584149683040228,-0.08409272647972085,-0.010016577909090532,-0.0040555697056960235,-0.021775633066253477,0.35482051458449565,-0.01800298420420533,-0.04564834512461342,-0.007910512047784177,0.04187103910207787,-0.02452529066135136,-0.022950470240694687,-0.03286756909635079,-0.051017229836237514,-0.010346745996699772,-0.00519673434067262,-0.0033432215554982385,-0.023922219040279524,-0.07622195203044094,-0.03376952653589088,-0.033733631477177936,-0.02616495166788016,-0.017448345667445072
temperature,0.05877499585537084,-0.13883605212158365,-0.036535282992745645,-0.10990532870732206,0.0005902924787553783,0.11678662641112582,-0.034876656874140516,-0.17777281134497813,0.24141756724339905,-0.2033839108732827,-0.10254884804192747,-0.17239172185213109,0.2828330573874832,0.05874059325167111,-0.05393827977879189,-0.06096334240649763,0.03335444563443947,0.24313758437287872,-0.05463724797411895,-0.13951940583985734,0.03608696541239338,0.23222438570325477,-0.092771288197246,-0.045358892435031696,-0.005985720473358356,0.24599643102887456,-0.07130062589318445,0.15433057348074336,-0.014237578452499736,-0.03819723086134241,-0.10144536179562225,0.1423141554022979,-0.1248549630547487,0.06459954731507565,0.3099401942624719,-0.08727151168361684,0.08663767013569859,0.24481408828673618,0.1351634370172301,-0.06760521499391288,-0.13779551035098947,0.1309988294504426,-0.03628284256623798,0.13083449994755691,0.21304443687154595,0.015502478963226169,0.029183323206020052,-0.0023383208136058143,-0.20927984413934525,-0.24919265610195795,0.07306924960443832,0.04091067269752986,0.26954010808647344,-0.16038129504400175,-0.029586607749110396,0.06596818166130972,-0.21659877206991296,-0.22265124446898515,0.16730960997104977,-0.05544541632538642,0.06293058283912144,0.08345010602744998,-0.27585633595802195,0.13024522884466636,0.07179695391476071,0.029098176057712803,0.19383126518244476,-0.09223976507388155,0.21627615033321962,-0.13074791166054484,-0.11318477524281842,0.07732448727459805,0.1821558749687426,0.10062613863818064,0.08043214689829634,-0.008554825131018337,0.019650936288116747,0.04726666554386859,-0.02948785102281998,-0.18165938990133457,-0.18606057902145615,-0.25242754083741475,0.11056716755830279,-0.10875312708004145,-0.07279762008687927,-0.18415379923180292,-0.033884217548069716,-0.04677344341699072,0.08216423756362132,0.17184166680425078,-0.02776049251763154,0.05598158737641093,0.04609745867362086,0.053165577788435434,-0.21981095497564782,0.11543731215672944,0.15526906072800484,0.11279489673755183,-0.015899938100692346
salinity,0.07813514408738571,-0.062019487253862415,0.029426364252189106,0.04213605448476094,0.03567720167218346,0.06699404175797656,0.07890233263275259,-0.05737853845713434,0.07743430969240353,-0.3094104584354055,0.01926449567654879,0.022175891364509523,0.18818089287230627,0.12401907377295511,0.06596610142517098,-0.17983659257600854,-0.3650947485442002,0.11747422328255121,0.03237445650735137,0.01848445309150407,0.06053135480324491,0.22126605385027098,0.16728548230177281,-0.042230107208791515,0.04080655487875427,0.13073602241587645,-0.060684168942206185,0.04720009243773127,0.05996336236081503,0.0953304696440287,0.06093206650457855,0.1211032754834859,0.06922507532062282,0.03812661575854802,0.2538884699104651,-0.00495784273254925,0.059848010975907084,0.13807083970400968,-0.23132988348573025,0.021783812771682266,0.002738692047791139,0.17645120141773307,-0.004090997336045144,0.05288717466600382,0.08753577650420538,0.039530287984541224,0.00853796545782082,0.0009275050545874438,-0.0317701821677079,0.1074556165077106,0.05401725203449709,0.056822387890674675,0.19130811897588862,-0.26370732422626403,0.08801361507810213,0.17779294402010676,0.01791133342389243,-0.22328499728373885,0.006739740455480915,0.07704612540535068,0.09670533298737868,0.12604106793017944,-0.3617623842510326,0.07396334287055106,0.09674358204239758,0.042571457572000794,0.21653755336165348,0.03480094964175549,0.1493850270301979,0.13307454268271363,-0.5383211128627798,-0.067995767257362,0.11175059506748194,0.06766465549876723,0.09644644759662674,0.08969771006627741,0.11008159118254002,0.1570373638445186,0.035990792474945243,-0.041043699453823336,0.0038236779255600376,-0.45336499208075365,-0.006232215286976645,0.05112710864464497,0.0009674571762383478,-0.03805152118380131,0.12345399237724061,0.09284412222818667,-0.02311263934533952,0.11541466415606949,0.046099001300537706,-0.030404585743689698,-0.09700098446212577,0.1031091773002428,0.015266870031563868,0.045800191910668794,0.07781153250300628,0.05823868944741881,0.062451997745877355
Chl_a,-0.030471844248852773,-0.05718786621506202,-0.057290576745181745,-0.0426672697322972,-0.021086029038313477,0.14969117058802217,-0.05814861224905721,-0.06731742993182349,0.16705111431029063,0.07804017438124533,-0.03151763866187131,-0.07388241403291348,-0.07798372335475359,-0.11931984917606499,-0.08769717901041948,0.1000285219893943,0.20840911289843211,0.09540366689644075,-0.012939574554749636,-0.08599162682400338,-0.015269539401062973,-0.14176011005682684,-0.1000136799451693,-0.01585762468118112,-0.04108644412725844,0.0889974643952669,-0.025230239253305656,0.2035192206994818,-0.07788763773634175,-0.10878689095632743,-0.0780167299030142,0.04168460738307309,-0.051819130301736765,0.0036135706611965393,-0.07978615082230425,-0.061384655306606944,-0.07384271125416775,0.07727546878224936,0.07447216145117518,-0.00436708745653001,-0.04618503767538329,-0.04500613217483333,-0.0629132954621758,0.019740876400302323,0.5681696116056391,-0.02618536923573828,-0.013381518086539333,-0.04154722091466262,-0.060797822457541735,-0.17407867343686087,-0.03227195895405635,-0.0424594630043318,-0.09462789183777068,0.06332811298603981,-0.04914805113411511,-0.026023158061779725,-0.08789270149516143,0.0025732971580693115,0.05595507478448949,-0.027917773405203506,-0.06027934765176042,-0.03908411965746178,0.1146077313075607,0.01854452414682077,0.02420183151909339,0.20743608703098562,-0.11187218668712902,-0.06741755739199443,0.042618891394593995,-0.12587350131412695,0.12545659408892856,0.08841804197032875,0.032980383035089364,0.08853845139761801,-0.0374982991130622,-0.08184562231369441,-0.11037128770903312,-0.09617232849032822,-0.0186306497372864,-0.057286592866415,-0.07146769257730429,0.14351814247442937,0.1129670263546321,-0.10511289528637012,-0.025799171587552974,-0.05006861533308477,-0.08171839666496317,-0.022354371360899676,0.013240348221585924,-0.04183089870090079,-0.028289667550700396,0.030787636629029135,0.0467958182621509,-0.05169239977698578,-0.14583177854667484,-0.012428365078092325,0.07169338192482955,0.04072883569566161,-0.03341898795231109
Phaeo,-0.024563281841140587,-0.03315843374361163,-0.03295317843230161,-0.02329617927495269,-0.009388072985740722,0.1440451952681051,-0.0336145106133926,-0.046343106014728505,0.028313419790776326,0.005788898840808587,0.0028271646936235267,-0.046979741698477066,-0.06168380417082523,-0.07184689405867448,-0.042711157654136696,0.0865239467408364,0.07512465371625443,0.03504233690939644,-0.00016007371694342493,-0.0575189104636646,-0.011618106092566362,-0.08636513656676689,-0.038333744800468646,-0.009738402544055006,-0.01891686207488738,-0.018714700912319776,-0.009226859794110549,0.40108159114182723,-0.05246796324001564,-0.06563713596804063,-0.03642764809251247,-0.008731564993178387,-0.022084498945951325,0.01672668996467526,-0.05258866445855549,-0.0360705208550805,-0.04918051119540613,0.009041231900376041,0.12186896006008133,0.008249541261783237,-0.01379528458005307,-0.03749368655551896,-0.040654910915363746,-0.004205511874776899,-0.003126465483194927,-0.012409847741573594,-0.007867842141031268,-0.024139309644037748,0.018868806064394884,-0.10661248960150026,-0.024991528188954573,-0.019358583282042506,-0.06180317021420342,0.002326635213520751,-0.038859617887414516,-0.03385407463810208,-0.05429632423182118,-0.015789294412632677,0.11508467393448926,-0.019877854966186558,-0.035849366841501466,-0.016901554330926848,-0.0009296317021284493,0.03717910406297903,-0.007884191210382613,0.4729958553522776,-0.0625124732596865,-0.0311564410485217,0.07273538662372418,-0.08646571838342516,0.05647111136331559,0.046135840620328626,-0.023079359931279048,0.0336451308227803,-0.030969711231438775,-0.04133464166825669,-0.051126712554557883,-0.0635912558822161,-0.007506085543517105,-0.04405029819518001,-0.04736033694990398,0.017784051400181015,0.29064456300742436,-0.0698782877177114,-0.01645787046608756,-0.029993512226421368,-0.03370648521904883,-0.01089086761079122,0.06360120993503582,0.010311623829088304,-0.019524270213662136,0.061358557813932485,0.0645149223218187,-0.03513911428646266,-0.07168496876528314,0.012867327265638159,0.028193998570809738,0.022718088488116416,-0.01812291741592863
Chl_a_conc,-0.03224423546535847,-0.05700072452583976,-0.057031201342450474,-0.042135864295462386,-0.020246503448718204,0.16474565762325757,-0.057930910029389084,-0.06908224047831739,0.14789381863832085,0.06707108425828454,-0.025685251115222706,-0.07476510294853653,-0.08219961335306103,-0.11965250699353851,-0.08520092232763599,0.10744617403100082,0.19531533094401973,0.08958685527919814,-0.010903685019759123,-0.08778986919483248,-0.015970177863184012,-0.14242850286612377,-0.09434969631915754,-0.015953405231665413,-0.0396200533874195,0.06961464961877051,-0.02368098085827327,0.2797111147452043,-0.07961679474723152,-0.10912616515684442,-0.07537006983897279,0.03261532711026222,-0.049488067538537496,0.007574309235259455,-0.0812429938103965,-0.061313756868982175,-0.07532930660132828,0.06731229868835018,0.09559309446247864,-0.0014254939428536215,-0.042508769474626756,-0.04795361400858127,-0.06384144727525669,0.015426747066162356,0.4760175993415927,-0.025346830704981338,-0.013367329603875967,-0.04142472052247943,-0.04590476477940785,-0.17505088645252415,-0.03387134940591993,-0.04089236304903762,-0.09620152271482674,0.05378317505380888,-0.05180080016958533,-0.03103296348540751,-0.08851048923480367,-0.0021271422131032922,0.07820966076646248,-0.028828465712645437,-0.0603260237757661,-0.037392324471078875,0.09593821033490045,0.025658895377039945,0.01817204956224236,0.3025238435766702,-0.1108672924952869,-0.06504297817678452,0.05551839579207517,-0.12912213324950422,0.1206284488705585,0.08673577326760862,0.021414305767947464,0.08344550682001664,-0.03988095632926296,-0.07991595826775104,-0.1065162594519144,-0.09798325242290759,-0.0176747217691717,-0.060040813392321715,-0.07284175460621431,0.12528371803557797,0.17372586031764345,-0.10719407579331947,-0.026121764027073793,-0.05016621469545026,-0.07773807262744717,-0.02171904758421009,0.028380895205510973,-0.03230911138885781,-0.029044596529408058,0.042499489227151105,0.05679218200659569,-0.05292613348229566,-0.14186008484850693,-0.0069375830323973,0.0678273639850247,0.04035197457547625,-0.032969172168186185
