,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
PO4,-0.08591578611858086,0.05220636988146267,-0.052724617712009716,-0.039582216955013995,-0.11012727589737518,0.15218992176476237,0.10077328989460381,0.06664008169236638,-0.022537620234597835,0.06726543854245223,0.012237919206794536,-0.01342507916691371,-0.0814540935779436,-0.09125171871761524,-0.07114975899468465,-0.0666598315256539,0.033666524634978746,0.10234471949166063,-0.10035223192681444,-0.14126958478419158,-0.022814374555588386,-0.1412235047851329,-0.02552816424773004,-0.025348847968512986,-0.0065765319963806065,0.1663366133124578,0.0028798455851527446,-0.007833079636715123,0.02443882550920627,-0.07411899439819275,-0.042994895234421064,0.12469608445885297,-0.03239483075678206
NOx,-0.04405374715119595,-0.04283733767899961,-0.02992062427912329,-0.03418842457183852,-0.09126088313700231,-0.043538801345006345,-0.07655456825197232,0.06840561610247034,-0.0477279232612198,0.11192940332003304,0.3551610363094282,-0.023381158211798862,-0.06640396242582047,-0.03674218954719248,-0.04207726429960046,0.12075474356158826,0.214907796757262,-0.053599401431128936,-0.07636144970668178,-0.0885777379347227,-0.0835308180291517,-0.10645800610424622,-0.06882155517488725,0.007454565095066661,-0.03629661236282225,-0.03932752240511646,-0.01445929615114789,-0.04368155713250853,-0.020750458610910696,-0.02242398951232285,-0.03676619639461095,-0.03079699632335389,-0.04920948042628938
NH4,-0.057373197922031216,-0.05075685403574029,-0.04835790650282235,-0.05534583844442175,-0.13148351392184396,-0.017438467100842944,0.08132065331173771,0.24124835602510422,-0.08276149475456362,0.26788108187582227,0.10542912598170806,-0.06736092632768224,-0.09801225245708656,-0.0727822909289576,-0.07455398464179094,-0.001199499073928619,0.3081879661307519,-0.008171277902532168,-0.12126118373705685,-0.14834545548639358,-0.09624096249862032,-0.15760254480304167,-0.10318210785348869,0.05630537992432459,-0.032359716257940596,-0.04590596134884734,0.0473359747559799,0.039643397211246205,-0.005669885579149119,-0.06106402525164593,-0.0211245062176114,0.014958656232410588,-0.03259491742716582
NO2,-0.06434997813916232,-0.04824268901755408,-0.04354035620798005,-0.0405686838350552,-0.1218669103335031,-0.06512677877321042,-0.09788518779532918,0.10687792890148687,-0.0686168465641058,0.1410408220740138,0.259882590456206,0.02571167483290321,-0.09046178619663788,-0.06639033999781466,-0.06983954758471454,0.12433080002601993,0.21428251546316615,-0.037919324533509324,-0.0832750537928232,-0.0996121634709719,-0.10366749428744582,-0.14704759828113356,-0.03749660445052776,0.026193968040800705,-0.06682209302644701,-0.055277882156334376,0.02178244437596356,-0.028393785357363262,0.016561537787143175,-0.025033801488501345,-0.03927847666729178,0.030435815353814035,-0.023649229321547668
NO3,-0.04359432855248732,-0.04263317333098211,-0.029611389803400792,-0.03399050618257003,-0.0905027903771651,-0.0430588720063524,-0.0759921584004867,0.06757448533681783,-0.047248808608004914,0.11114224797400195,0.3558396647950429,-0.02415064644431729,-0.06582208746154919,-0.03614370347312864,-0.04149666781494275,0.12037660805353662,0.21435313882376006,-0.0537238398969634,-0.0760435816837268,-0.08815798680746399,-0.08297026915861783,-0.10549095269674053,-0.06917077454245107,0.007117760322389061,-0.03568444783762605,-0.03895409621559953,-0.015034722474662844,-0.043825440648901745,-0.021327454173037316,-0.022320835068741652,-0.03662697054803807,-0.03175247066872573,-0.049512704792200296
temperature,-0.14082347146175003,0.25072051256203987,-0.0033211390088579073,0.04769859836895256,0.19495613029373288,0.2144364099455981,0.05896514253766358,-0.1922168322545149,0.2521990642702633,-0.27014421323082727,-0.26794170473094275,-0.19746869151233407,0.29011922131052936,-0.03772691327524301,-0.060742444841517904,-0.06784083865114052,-0.11140022130985025,0.2302916006485195,0.015357291722395338,-0.11320700560297617,0.30439679237851985,0.24181275167894623,-0.09242347176706982,-0.04898629519982711,0.08866905615270573,0.24880989768283132,-0.16778772834921052,0.03125623143732539,0.07214060000096885,-0.15637144548007292,0.11989651088861936,0.1047400723942693,-0.15088641992081203
salinity,0.018509379595617402,0.14144099640178875,0.0010378331973568,0.06465740500810614,0.21826094956739187,0.08835976757281405,0.22522101859907145,-0.05378201103633144,0.08335431983883232,-0.3512929179217381,-0.468915063591132,0.012677483839248967,0.1995360088494073,-0.003969863167167785,0.06725585330711019,-0.1863215085280074,-0.5447578933954584,0.15684892770480124,0.11237986436184266,0.09653404068998032,0.25414394321725997,0.2270212446926119,0.16843552844795714,-0.04394564496794939,0.11655679121195997,0.13361576766534172,0.007059016007461569,0.04221390646784928,0.04237958992387868,0.0012247982705227397,0.04842923500520843,0.07223717007866119,0.06562266239640657
Chl_a,-0.08721832169572089,0.07845752538563874,-0.042126408991604136,-0.04722504214040963,-0.11283241989249906,0.5687776694648219,-0.0348875716800429,-0.0751534274522929,0.16567477006677694,0.10576429317689533,0.14333773786433102,-0.07972739893079207,-0.08362452791261016,-0.06399867720169551,-0.09137558314650923,0.09459407694327454,0.1322746158459204,0.04468796495465076,-0.11207298497635479,-0.14641940145584392,-0.07766962901858632,-0.14505661351293553,-0.10264021525477271,-0.017278465284334764,-0.044271937108580905,0.08902284146532768,-0.04747842280530758,0.22192865462477657,0.005468321975046904,-0.05972312091830105,-0.012557022800413417,0.08887981031977717,-0.13383884952323458
Phaeo,-0.05813149306657826,0.010088303890723724,-0.024502620196692824,-0.022940440700330973,-0.06318869123889333,-0.0018548719641193461,-0.03656275626661061,-0.051054678298615534,0.02804220118867873,-0.0015856951249003833,0.01652497847329333,-0.05172620438589787,-0.06516812000325428,-0.041246745624342954,-0.04403323805656635,0.08457479879664817,0.06196559782482322,0.07498021781662867,-0.051838044020466746,-0.08594396410820351,-0.04987608625773629,-0.08845539801059348,-0.041283224050458193,-0.00909774626865377,-0.03571957797521047,-0.01924128991438947,0.013743214185729855,0.5256497542788281,0.01973238862636409,-0.021016280879478058,0.013150770739128506,0.03606324765847777,-0.08633003515806337
Chl_a_conc,-0.08898575889930693,0.06858869066335924,-0.04200947649970624,-0.04586463051523841,-0.11185681763151681,0.4768731918184396,-0.039208320899491514,-0.07693824582095699,0.14666501079166136,0.0883377597779746,0.12479045565332124,-0.08095951844468165,-0.08787997682972362,-0.06491309922676007,-0.08864717323310556,0.10235581892776222,0.12784263148881783,0.05786446485073175,-0.10813763118879591,-0.1462247084628025,-0.078730104288608,-0.14576279060996822,-0.09735496221379107,-0.016971977769422456,-0.04685571738426521,0.06949297559338749,-0.036117391404940115,0.32898344878740765,0.009947078521691357,-0.05583188092502034,-0.006968608701200318,0.08438854822196588,-0.13577063482792565
