,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
PO4,-0.08506055385237485,0.052190581048100426,-0.052732575014242125,-0.03939756718621414,-0.1101547721221686,0.15219265420714562,0.1029922978531648,0.06675321185975883,-0.022759802939935056,0.06723918922947203,0.01242331038968774,-0.012783090223066727,-0.08079290232048733,-0.09119512274223576,-0.06856461963944242,-0.06487909019145205,0.03373388006938647,0.10347643280193114,-0.10039932619325521,-0.1496660901365462,-0.02244021639000856,-0.14108765914321586,-0.02540592055534388,-0.02511684393573793,-0.005979042251706937,0.16634119035817563,0.005363831998274641,-0.003964867987288614,0.024376270378177776,-0.11251817284615633,-0.041609125434613495,0.12470975058843196,-0.023678997786734955,-0.06470395713869385
NOx,-0.043562129419914775,-0.04283263685672489,-0.029904738836513473,-0.03424588635761943,-0.09135017445506277,-0.04355577098748284,-0.074332478081212,0.0684409155801579,-0.0836102471591213,0.11213518393618901,0.35515809373965795,-0.02301558923391163,-0.06613362015599054,-0.036669130584366674,-0.040713672841646384,0.12153209550480455,0.2149353508598365,-0.05334688237376356,-0.07637838624729357,-0.08623653683265972,-0.04775032697115998,-0.10644456403465413,-0.06878169036598022,0.007526745176139455,-0.03629256758307016,-0.039330730385816734,-0.013459099276659437,-0.04180033544010006,-0.020780711954761624,-0.0733736176569933,-0.03603812722202618,-0.030800425376808195,-0.046038952659819,-0.017580895371897443
NH4,-0.05677041678841355,-0.05076125221227014,-0.04832668627452036,-0.05521412823496289,-0.13154636271240072,-0.017428589502493177,0.08148291749891705,0.24138683734878938,-0.096155882462331,0.2680159035706226,0.10546576511845049,-0.06678834403638038,-0.09752251164292502,-0.07279919287063798,-0.07279726567073387,-9.475143996519027e-05,0.30822333803547775,-0.00775844121058709,-0.12129882987355667,-0.12391988600646714,-0.08278499725379962,-0.1576299374186626,-0.10307137898030778,0.056424299945301785,-0.03186505106439896,-0.04589674502560587,0.048852358495516154,0.04236131516324787,-0.0056568417520282115,-0.12575322090993887,-0.020379435803398963,0.01500579580095852,-0.028306092742531583,-0.054824492337209235
NO2,-0.06396590879513805,-0.04823562658515515,-0.04351644292459825,-0.04077887431602976,-0.12196001241458669,-0.06515489959508934,-0.09530860641064262,0.10688679270897061,-0.10383213024705516,0.14122325099068747,0.2598495566946193,0.025804899013677572,-0.09015583884400316,-0.0664678801342737,-0.06889555570235106,0.1251103272748093,0.21429974718194028,-0.03762939249260715,-0.08353052778752171,-0.08300255325515309,-0.06864231916068254,-0.1471255098573675,-0.037491039395296286,0.02616973268054503,-0.06695495341823413,-0.05528455963771291,0.022261175271016866,-0.026738113218841217,0.01649736605689423,-0.0860683140389666,-0.038490596445703996,0.030448743838633618,-0.021615260304981343,-0.02182306457070433
NO3,-0.04310218340488576,-0.04262852484711873,-0.029595682027682663,-0.03404523162700754,-0.09059178234073811,-0.04307560826219842,-0.07378191308381282,0.06761013944244895,-0.0830480470985285,0.11134788262364206,0.3558372393122018,-0.023781429046292935,-0.0655530589152229,-0.03606828750668134,-0.040129560344139906,0.12115187861562024,0.21438079517952585,-0.053472618287165735,-0.07605643600343046,-0.08606446190584545,-0.04727110144617641,-0.10547599965731581,-0.06913043399940758,0.007191382562897431,-0.035678096330228684,-0.038957237031262394,-0.014028329529387491,-0.04194534903945786,-0.021357053816100598,-0.07296575273465082,-0.03590182872353814,-0.03175616758395183,-0.04633127772243145,-0.017462848462436353
temperature,-0.1397453059222052,0.25069682064251014,-0.003330166771954409,0.048169167865894355,0.19493848625496846,0.21443918058814881,0.062164702892752,-0.192079112034939,0.30459231514532636,-0.27033907186560824,-0.26763845324568564,-0.19576096536890647,0.29044836640341615,-0.037238012592761646,-0.05641136883942327,-0.06596420781424935,-0.111335996548658,0.2309169357006593,0.01687655483101256,-0.22708906821482988,0.2524070562227506,0.24228529178255298,-0.09209441314280287,-0.04855137977093651,0.08893015427278494,0.24881075045273382,-0.16223400313394398,0.036867575082662134,0.07216003609930154,-0.041057962769546784,0.12130592060023036,0.10472030327895265,-0.1410813358103502,-0.14174048179900295
salinity,0.01854023702663847,0.14142590257589202,0.0009414889181839367,0.0650353696734664,0.21844385144481424,0.0883994688552849,0.22432079998667148,-0.05380997014032312,0.2543879230353971,-0.3516221967143175,-0.46878926071277593,0.012622546890661503,0.1994555076339482,-0.003940337743532097,0.06718147672511321,-0.18603568154453315,-0.5447460144733853,0.1573346608118006,0.11273728729596424,0.046396450728198174,0.08345648498938776,0.22708229875678362,0.16852687917860001,-0.043916753855543604,0.11691698410302023,0.1336255826889599,0.006508330566290726,0.041825616171156446,0.042442775270442545,0.0998232758909228,0.048425785655918735,0.0722665225245505,0.06683813880744344,0.0023361601116374023
Chl_a,-0.08619425838842282,0.0784550632556676,-0.042131178772474624,-0.04719829605157021,-0.11299894425084005,0.5687473464230978,-0.03025825339143295,-0.07496258608645773,-0.07771105536037631,0.10580053268383063,0.14350431623027893,-0.07869633611113723,-0.08297153317709485,-0.06375088198823277,-0.08834152732039123,0.09601377372670034,0.13234264565554044,0.04548409696054104,-0.11183107858973322,-0.16672531138328955,0.165895735688511,-0.14488294076593056,-0.10251204564802041,-0.016994878813206188,-0.04409596381149128,0.08901700193969254,-0.04441060643057851,0.22600264418004218,0.0054088152078526274,-0.11392205677415393,-0.011016496949362083,0.08885697461176796,-0.12451596589497924,-0.04844001256147251
Phaeo,-0.057602339108000875,0.010082065044487727,-0.0245104266239596,-0.023052752900346654,-0.06329384588807677,-0.0018855317382397672,-0.03446315497549535,-0.05088723029143257,-0.04988406509221559,-0.0015928509581361189,0.016608905682059992,-0.05125602629162577,-0.06470899049716655,-0.041127936373359944,-0.042537647819137575,0.08517693363268683,0.06200489148942046,0.07558607207902919,-0.05177569630965088,-0.08371427063763,0.028073470082313555,-0.08837225723897893,-0.04122647121419953,-0.008975846414536132,-0.03567958550599442,-0.019244352909898572,0.015573823226407347,0.5283038548512796,0.019685559763401042,-0.06877324577983596,0.014358291071661877,0.03605374268847885,-0.08136517446404781,-0.014913698949285294
Chl_a_conc,-0.08798259001109748,0.06858493029422134,-0.04201559929780718,-0.04587267609270229,-0.11202513234345085,0.47683941722753675,-0.034752861826146106,-0.07673260863260004,-0.07876703985817304,0.08836623283957203,0.12495305227613933,-0.07996648725807926,-0.0872072590993037,-0.064672866310004,-0.08569461650544401,0.10371085906441696,0.1279103976526393,0.05869715505266936,-0.10791767053652093,-0.1626621401776257,0.14685895765262452,-0.1455944531757501,-0.09723198023471762,-0.01670086601955947,-0.04669716419662076,0.0694872428345126,-0.03304553909436156,0.3331233697268108,0.00988441990702827,-0.11428760383522096,-0.005347789418136497,0.08436680146924508,-0.12659791170918225,-0.04470503500266168
