,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
PO4,0.056878902952896826,0.08190567514886185,-0.05270974914717395,-0.037164762843880275,-0.11066101210822764,0.1509538102617085,-0.013699635869277301,0.06638928904863234,-0.027389464934796083,0.06198004954819713,0.010863633396094391,-0.013299995195111991,-0.08011081009426765,-0.15831660782632495,-0.06941436157114428,-0.06462713403503158,0.033719676029422795,0.09604680304317904,-0.10124474580015677,-0.08500569586920635,-0.023085553516781585,-0.14136359345478883,-0.025502995905082926,-0.026178599125502914,0.04634882914179406,0.1659038244441343,0.07056039475673032,0.004226915390960104,0.03906412415476726,-0.11232990428354088,-0.04467288953843915,0.12421854312834174,-0.03330222098299755,0.02246649079983975,-0.028331564138975838,0.01878982154374191,-0.005183504773527112,0.05064833152262989,-0.03039081360107273,-0.04204313470855828,-0.06423623478210455,-0.018170904411183797,-0.09114003755154437,0.11901594194514284
NOx,0.052645605596103824,-0.042673974800041176,-0.02991268890796398,-0.03136526570797213,-0.09115052989913563,-0.04327696286967565,-0.011863197200024139,0.06884235363345709,-0.02436775853684111,0.12263590105453259,0.3561607415950202,-0.023230105249386464,-0.06414731882812535,-0.08421036307502011,-0.040882651594126004,0.12238941745330437,0.2148679102478332,-0.05034285555689147,-0.07665086813777847,-0.0435319979726296,-0.047367951622600546,-0.10610694316757668,-0.0685885762943727,0.006811229771375742,-0.03483750437879861,-0.03911023847186634,-0.0002449803586792149,-0.04044040893251772,-0.02176154921013724,-0.07326282148218295,-0.034525824113440434,-0.03068267423491748,-0.046896194304190876,-0.019548311361524587,-0.08195068298066088,-0.017489570275819263,-0.03203714429824382,-0.04231299671395355,-0.020792794125940685,-0.014010031478383568,-0.01754886802935869,-0.03897199901158839,-0.03667520383711483,-0.09047401570285339
NH4,0.17316157340648086,-0.050090439530057755,-0.04831235499939905,-0.052208550968829856,-0.13199231044418855,-0.017115828192654434,-0.03739390978917491,0.23830851954148785,-0.03586761094465436,0.26910793827104035,0.10194758284456143,-0.06803657583548602,-0.09468538905553334,-0.13504931231781114,-0.07285105484816072,-0.0014760543630808242,0.30823981893064833,-0.004232151211479121,-0.12181429275869306,-0.05672609413434811,-0.08234362756571428,-0.15771101524604678,-0.10296779349720751,0.05279399045605657,0.030647373882508155,-0.04625209189653965,0.09362261640379241,0.04368088448359324,-0.034999304654390315,-0.1257775759174705,-0.0186394837118872,0.014472047044958632,-0.04460452967075926,-0.003831181451584416,-0.09492631370646701,0.0251116887211747,-0.029081749366793516,-0.050023830557277785,0.006623392609122567,0.0236758372819493,-0.05511900721219056,-0.0553799021840665,-0.07275254859595814,0.09106632247608973
NO2,0.11474653965940826,-0.036643657903892894,-0.04350168683193991,-0.03623720505580106,-0.12161866846116337,-0.06508327524502776,0.012998452486211839,0.10547058935356166,-0.031222913028699686,0.1465299293809485,0.25852653275315807,0.025173000458338177,-0.08742343889489582,-0.08927282735608404,-0.06990899591235085,0.12515906325850124,0.21427735494884742,-0.03490353449151567,-0.08432482955339107,-0.06391122443658552,-0.06828209983986988,-0.1465794314635377,-0.03739275906447151,0.02397408051158078,-0.03904366934534904,-0.054903729463024686,0.050987007265281076,-0.03321966394533433,-0.022124721724198212,-0.08580859933595081,-0.0374422500150622,0.030497392691134075,-0.02521318547303028,0.017750159298229345,-0.10245696488696507,0.009062349862160046,-0.06017054569087775,-0.047912429366699566,0.009647910806747149,0.0015075662277295044,-0.021982844125833165,-0.05072518922448828,-0.06643216228318344,-0.1375272714081311
NO3,0.05145596930501313,-0.04266380935878529,-0.029603995531804702,-0.031200303704118578,-0.09039506139893919,-0.04279402649681387,-0.012252823190847369,0.06804128849671351,-0.024187631617754078,0.12190889961310578,0.35687661621772343,-0.023988315900695875,-0.06358461093814041,-0.08390318502009957,-0.040283800627650315,0.12202063244060044,0.2143127694223685,-0.05047178403508713,-0.07631936848371274,-0.043072546810283184,-0.04688935677547017,-0.10514279530548525,-0.06893622261726279,0.006502803053031903,-0.03467467925871984,-0.03874003905958924,-0.0011115294819652633,-0.04045626826219886,-0.021698165501093866,-0.07285776868524989,-0.03438564991390226,-0.031637556465999715,-0.0471398736899184,-0.020128239816125548,-0.08138803387869081,-0.017893008868886926,-0.03147667309714083,-0.042106926291665195,-0.02125336938224911,-0.014235846078833037,-0.017427658680496436,-0.03867055254284651,-0.03607505217533789,-0.08943959363020129
temperature,-0.22215177827613514,0.18524114555990856,-0.003336325460197246,0.04139389573623101,0.19496713798807525,0.2145358536790461,-0.10680098122461212,-0.18545549995240015,0.07171332418552442,-0.27658327762153356,-0.26379011959307164,-0.194380533780298,0.28443606715851993,-0.20461050259361035,-0.05429006718798344,-0.0640998862592709,-0.11131683847223611,0.2270245784588446,0.018696612106359617,-0.13974284676504256,0.25083895945765255,0.24151446848908165,-0.09148798806479029,-0.04437408813983166,0.09806685651479624,0.2485231223752265,-0.07053477139292635,0.03425653600785091,0.17363694128804102,-0.04069289268321097,0.1169086266594386,0.1047715807706958,-0.12968373661570157,0.0705673360724062,0.30614047072161055,-0.062242074360589955,0.0799669377543948,0.2505334829692111,0.12631703079214118,-0.2156014451757212,-0.14049353120176822,0.12753788741942035,-0.03725902749934398,0.051544504901934324
salinity,-0.04852651056529385,0.09113502527856467,0.0009877458326149019,0.058534451414269245,0.21778975343782525,0.08848219137234949,0.021498069212649837,-0.05689351941885805,0.05627463452739375,-0.3715101866509569,-0.4725722758855637,0.012558690312655834,0.19003382026101265,0.02527714445968177,0.06682344229231965,-0.18610238503065854,-0.544665563351622,0.1553342838406886,0.11198976574463029,0.018528525759909466,0.08262696839150396,0.225793703403807,0.16765414405456108,-0.04351954263944735,0.1044108214115935,0.13274898504051208,0.01949267643183179,0.0454695322440592,0.09617250310890837,0.09990012809715977,0.04546515008985753,0.07178690191089236,0.0625318800985934,0.04148853938653512,0.2536736891900011,0.0801032679549134,0.09833406621515567,0.1414341091121457,-0.05190042181748232,-0.03565394113061354,0.0025540837157013137,0.19160762310534976,-0.0038907954740800207,0.21881452130395596
Chl_a,-0.06437856274468082,0.0872307440562298,-0.042140981731399046,-0.04375367869679839,-0.11277625101330707,0.5688032141805026,-0.03496769082224708,-0.07153967580124396,-0.03492619701303971,0.11077551227923813,0.14728266550450228,-0.0782001952266538,-0.07984375850132808,-0.1548915762206867,-0.08841551467011576,0.09619387906130752,0.13224779169900672,0.040324255493502895,-0.11195520049705843,-0.08615075397364803,0.1647991026275436,-0.14435986215821608,-0.10216586846743447,-0.01554208720055353,0.02111745917083651,0.08927545156925487,-0.003335811708866234,0.21626461099911207,0.02135176817882335,-0.11371742425684267,-0.012685004505785033,0.08925000126865043,-0.11786563509701792,0.003356034174508411,-0.08065820981104829,-0.03193014020435135,-0.038901908100711105,0.07777669109105315,0.12116780295880702,-0.06379626996792281,-0.04767099288264483,-0.06149710738459056,-0.06376176496980684,-0.10034295980902647
Phaeo,-0.040159963888696686,0.030056081803005626,-0.02451283311992527,-0.02016687591777204,-0.06316457612805404,-0.0022600861366879645,0.0011352100773402915,-0.04893701803242945,-0.027033245430355235,-0.00047297129129835955,0.017791927464646837,-0.05097316325466239,-0.062222755854137335,-0.08207459063421009,-0.043170550790084694,0.08197752444443213,0.06198979043279431,0.07286899149043952,-0.051983639723018206,-0.057585565500470406,0.02773789586986446,-0.08797855543652676,-0.041111283736517366,-0.008434864800160024,-0.0049251338583583566,-0.019093432972035758,0.00814903705838696,0.48985467715330944,0.04177076507059175,-0.06866888591761178,0.013391066876034433,0.036273242593728536,-0.077344742033224,0.018495466264995368,-0.052878275330072784,-0.02251170131006122,-0.03187562002973436,0.009018115352213056,0.3046125719889464,0.019349244325173334,-0.014524377713184503,-0.04780926042759741,-0.04113293857745385,-0.06585443759573024
Chl_a_conc,-0.06493686847103577,0.08137348894747844,-0.042024480333316114,-0.0421980600017902,-0.11180312747950646,0.4767846127241284,-0.029040269295139257,-0.07333025171856772,-0.036653401740600305,0.09284580431957226,0.1284454319214059,-0.07947327517500655,-0.08390707607345899,-0.15228486467490404,-0.08592855246932352,0.10299335712813923,0.12782668638613656,0.05362877577414567,-0.10807830470607287,-0.08794152245824201,0.14584743918366166,-0.14504853857982108,-0.09691015837790486,-0.015334652876514365,0.016386734058291386,0.06974513633996479,-0.0005872287998309172,0.3145109536043992,0.029261695972072,-0.1140875206220868,-0.007010781829884549,0.08475626588066172,-0.11992468993666866,0.007838394836001105,-0.08205354717648439,-0.03291116730482589,-0.04130497096255353,0.0677266997501632,0.18440122156914507,-0.048290927984345006,-0.043953890686355815,-0.06459529881655403,-0.06468335856703694,-0.10209814752410314
f0,-0.0892181198468401,0.1741880948856045,-0.062160941531900785,-0.06524093978948323,-0.1762754479595839,0.15242903005192593,-0.03810386595561542,-0.10660280414981244,-0.05935175767485176,0.09632064809906563,0.2672898576166464,-0.11385588095288626,-0.13089371841815978,-0.2278981669616594,-0.12311757921541665,0.1333846558766945,0.21046891351076324,0.13250118688733592,-0.16058862771676347,-0.12736359861505583,0.23805529173058754,-0.22510569910761052,-0.13379281976257118,0.00037192899414002843,0.040527586560835716,0.19824250101770002,-0.006237943454564861,0.14470606124584384,0.09308617210065354,-0.17408388566022143,0.0288623695813398,0.14069975864064085,-0.1880789800098507,0.04055926345672775,-0.10071688737505041,-0.0519016676940262,-0.060816907035768406,0.15908073771701325,0.12575078819713356,-0.06243057875401234,-0.04999402309979452,-0.0969876290099991,-0.10052176782084735,-0.14801445135766111
