,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
PO4,-0.026987678662119104,0.09899734432701843,-0.08212328623622048,-0.03431705279131965,-0.10395317321344752,0.1749926712997723,-0.034455051376629846,-0.019788694223075394,-0.01538543523121642,0.09405912934443886,-0.010770722304866654,0.20021427941152448,-0.035072311818423386,-0.12168868427235874,-0.07269833670603183,-0.060630720319937076,0.07184945358951828,0.2003461668847613,-0.10147993157821858,-0.07007542800280717,0.09879665592449921,-0.18574666731779815
NOx,-0.04737311281686635,-0.06111020376806031,-0.04612695699296614,0.006418654712059137,-0.1146341639622917,-0.07346473341542564,-0.08981602301494235,-0.07577731030454112,-0.05590689497830523,0.17150026190674,0.41660315202251513,-0.05076172950653871,-0.0864268744711717,-0.04749296745470977,-0.05061247660309673,0.1243249653206423,0.17759050155139056,-0.06547999632312909,-0.0909005351210935,-0.045776200784674155,0.08915737098668733,-0.158733193056054
NH4,-0.08314237136768615,-0.04621072862716944,-0.07197892743106757,0.07331513565482746,-0.1424216840530943,0.033909741275692275,-0.12431728066833564,0.0002491003428610715,-0.09574615558466215,0.30079965568728334,0.10242540095934552,-0.039637864511962,-0.08799104873354832,-0.09929932969463015,-0.07576444166609417,0.008431413689992989,0.21829084043612468,0.08703255536092061,-0.13020660625980682,-0.03972936975622239,0.30010894184889064,-0.20989586358835338
NO2,0.012584588956359034,-0.06518881336646148,-0.060836528610406206,0.04127404133824011,-0.14719561540576037,-0.1256374828545302,-0.05953064014461686,-0.05434251467832091,-0.07851735199116361,0.1830475178695246,0.32608107982495604,-0.06369400525832503,-0.11260352233750161,-0.08034160457373374,-0.06964335915060031,0.1259884321371869,0.20582756966141186,0.010700144117439678,-0.0883563787714772,-0.05621389941975198,0.15166696706206229,-0.20943550043240852
NO3,-0.048263405792982605,-0.06088043634238956,-0.04575664976993306,0.005811782563437996,-0.11378149665893639,-0.07238839184899987,-0.09009242701368925,-0.07594082627260382,-0.05537712826699016,0.17085373067702425,0.41703966772615997,-0.05040931601565263,-0.08575647113406262,-0.046812031123462265,-0.05015722579127961,0.123969813574214,0.17664544695119444,-0.0665972592223234,-0.09070451656586517,-0.045479125233997005,0.08786478556286376,-0.15745747165151333
temperature,-0.33659903525986506,0.3080933707677015,-0.03595118379245089,-0.10300550301036857,0.21730413588985042,0.2589435793922509,-0.1242265118900375,0.15272795307826992,0.2916691815155427,-0.28852525513519167,-0.2791930636952018,0.2884773045949357,0.3148115396875857,-0.10466082174753999,-0.08713736514664565,-0.11401802126183604,0.012172145958234258,0.15238423229202364,-0.035478126542319396,-0.16462477072041784,-0.2812598316759867,0.2889482735146066
salinity,0.07480144162430621,0.1842573342409916,0.011453471898142761,-0.051345399180811824,0.2694822900763817,0.15981990221627962,0.2331501432103991,0.10649764267744263,0.10625709666184023,-0.3936326612059747,-0.5538128038333268,0.1773047590911412,0.25134439748949167,0.0023117591234696525,0.07511444639968956,-0.21955470927900786,-0.6366406442261301,0.13743868878167478,0.13850037366797077,0.02392535640800449,-0.030536275169149515,0.32710973801516285
Chl_a,-0.16419449932349203,0.06398790640402305,-0.06919139345057172,-0.043460500200624676,-0.14200186997882358,0.4480765187278719,-0.14528703677934315,0.05911343469733479,0.13215603139843582,0.11938682923757145,0.17542627536866517,0.06940196031333358,-0.09387722241278254,-0.09883067594311232,-0.10956913485962075,0.09890596752803342,0.17420657294239833,0.051028696445140145,-0.14217582574901308,-0.09526403301059733,-0.12235332271730726,-0.21767190222424027
Phaeo,-0.09392459321269844,0.018395075667318878,-0.04089795191959508,-0.014306395867907861,-0.0747666560117276,0.04756266693642276,-0.06906944930862627,0.22905174175359663,0.031335099812264566,0.012437007092183499,0.03103398969151832,-0.020699446974060016,-0.07015990547076703,-0.06125443206225843,-0.0560067162019523,0.1383353898335783,0.11467865649601548,0.09366931292982929,-0.06968640744109049,-0.062229822389941625,-0.0705938769630768,-0.12976890141320555
Chl_a_conc,-0.16331020530904605,0.05869965024276377,-0.06917666130387837,-0.04036082775357307,-0.13948233354461442,0.38898560634755974,-0.14069274724255817,0.1118034414656829,0.11942668088136242,0.10357846965144583,0.1556617726710962,0.05262921001570474,-0.09784040329136937,-0.09957994527640089,-0.10716796972266227,0.1205712270401792,0.17734826096096099,0.06826049686042114,-0.1382490075013215,-0.0968512773476218,-0.12185830639085357,-0.21792596298959283
f0,-0.24507918391253852,0.17634265034731136,-0.10420631749671855,-0.02225881145603092,-0.21935045258251307,0.2021133558082882,-0.20287252750479268,0.1296752214516732,0.25391457875507717,0.13405053327084743,0.32526670465658825,0.16953345066894637,-0.1328003648378152,-0.15075517018925158,-0.15878896598259343,0.170888560595093,0.30320462706900553,0.10520227737229385,-0.2080348296555436,-0.13855098931988397,-0.18115573982977726,-0.3345652486204276
fa,-0.24160854339418686,0.17435349712875542,-0.1031421031534806,-0.016635528810821802,-0.21459383017692418,0.17735339404662925,-0.19282228703916188,0.1639403817616285,0.2353335104045794,0.11761257608440133,0.3011639543818266,0.14403317373801666,-0.1376936154935414,-0.15025888687223465,-0.1541887793041525,0.1851496610837276,0.3074659940250215,0.11416408533328912,-0.19971339394846332,-0.13938051342847943,-0.17916135101128128,-0.3319936293141075
