,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
PO4,-0.03026466209535642,0.09874194902427814,-0.12474348742942469,-0.02098446220597953,-0.012597357820427629,0.027263435121366666,-0.023420224424686727,0.06409374995377884,-0.023713668578539227,0.036008632431890425,-0.011819338585289408,-0.01582902545162216,-0.0802584093489165,-0.09917976445775471,-0.06993097887932234,-0.0646953608206029,-0.038072930484405215,0.0176111323390961,0.03112083725215268,-0.08491344822090091,0.06416396076994522,-0.0027052513115066916,-0.02381080962497363,-0.024540164668715607,-0.033930413456818374,0.16441174010103693,-0.03260682169798233,-0.002670977315773551,0.02896665220228224,-0.1093311836836403,-0.02568616779856367,0.1663999769921188,0.02483639869176761,0.021571815282990264,-0.028922833390014127,-0.08651027039774174,-0.09444808799242894,0.04821692375087758,-0.022831415924691255,0.06841615594251961,-0.06290280110191612,-0.027301120777889085,-0.09061692026423557,-0.024662482612482026,0.15055169947469493,0.022773723047619068,-0.02434922378182603,-0.05222462934673355,-0.04054119163153233,-0.017547867868682343,-0.0279739437141575,-0.03612415854664255,-0.1412098399753515,-0.025928266746954073,0.03881515296519027,0.18622047899323016,-0.006217041354345135,0.1398460504556583,-0.03519334827559833,0.013795693330869151,-0.06794868857770353,0.0022943604653799243,0.06802663014067654,0.03613399485532376,0.04198236210606718,0.0060276845936103884,-0.11028798158060722,-0.055884050959762635,0.09364640661087045,0.08137594825085635,0.035780221195301,0.05272663383309401,0.054795515618197385,0.11815644287830336,-0.003596427366559525,-0.09674492261331044,-0.10091169420538118,-0.03256650238291783,0.008108270786083257,0.08667834611664474,-0.011545876678231544,0.017990085003590738,-0.019590726108311207,-0.04216153887837042,-0.008758729895418912,0.03744190397107286,-0.018932150013893905,0.02808464989829812,-0.0745209957518284,0.0631673128645967,-0.011326176891447624,0.008273398751985565,-0.05469881248853303,-0.00574710568299016,-0.15008833270536795,-0.04329514608689744,0.06914435494002602
NOx,-0.0314773206500406,-0.04451860453939821,-0.08143706656240932,-0.028080168735772737,-0.020273875916226123,-0.02997004099670069,-0.033464644419533486,0.06870494379553718,-0.04602778502549737,0.07310069690305174,-0.010414071388799895,-0.022748783829484885,-0.06315222013260517,-0.07137529975068396,-0.04073833343290047,0.1215283735397886,0.13050337954400426,-0.026102219953791406,-0.010467601549089732,-0.04342705924032177,-0.04915161729726257,-0.013153833630744467,-0.06847653039387191,0.007464914086027706,-0.02799963333432314,-0.03876611093382823,0.036736012436955595,-0.02928163725090075,-0.028361142461279673,-0.0710786693900329,-0.03713546646533118,-0.02624808899389816,-0.012518062173996331,-0.01746198689070405,-0.08192574049326815,-0.028813722896746642,-0.05202241120170399,-0.0411225976818283,-0.007686083338244698,-0.0013994070475927384,-0.01697471251627388,-0.03652611868440589,-0.03634157944316968,-0.021278055509590235,-0.04309874266184917,-0.020707205324404572,-0.013548776348509317,-0.029707664223844514,-0.012829483641856486,-0.060920369961491666,-0.02366839930777776,-0.03031835525419088,-0.10572074539825285,0.15211602319685685,0.039575839678394224,-0.05930417189068561,-0.007939719758251652,0.11599378985636646,-0.006880141073347284,-0.017710480675182504,-0.0385756457644323,-0.04342197706806861,0.12819040479781116,-0.019948372434823995,-0.03040914325406091,-0.03893580186035568,-0.09063584973588079,0.0348493617890205,-0.04774044676597421,-0.019787721672594502,0.21410783244772827,-0.05108557445969657,-0.02411242215043948,-0.030040621408749107,-0.030016283369849232,-0.04946923764668308,-0.07617933312305622,-0.08486170822220712,-0.00989689238132864,-0.028707949597499033,-0.021070150980199362,0.35424498967091345,-0.01755713231378822,-0.04557727718096014,-0.007745347354598493,0.04411120278472845,-0.024765604340242522,-0.0225902796462981,-0.03220968703939932,-0.05091966256339578,-0.013766859453970742,-0.0034718500973857135,-0.0028335511793061634,-0.023885419391959657,-0.07601529234525177,-0.03387335075031032,-0.03583930921320942
NH4,-0.04047322674452632,-0.050313443550288196,-0.1453000978963616,-0.053874912266702164,-0.020251456119603075,-0.041696804891622356,-0.0679929714729495,0.22986398789860754,-0.07969132092056178,0.23209575391492823,-0.03403249292395368,-0.07670716450684996,-0.09429948553689019,-0.11603327931437289,-0.0731836642196648,-0.00451563743696007,-0.011324284369766624,-0.02662491374995836,0.07555185188895307,-0.05666010669897524,0.021700916736234255,0.008239797890137561,-0.09981350347903563,0.05243314605391371,-0.04542496226825404,-0.04596470434464259,-0.039066263013448656,-0.03703927895696266,0.05444302478668431,-0.12254260013543058,0.006683776440328625,0.01294956602540673,-0.02651608383975477,-0.0039533075286305374,-0.09505130114031365,-0.07253038905538413,-0.07666601135476622,-0.04909904876451116,-0.013196054607601372,0.09136609781823521,-0.054182489766727245,-0.060365496982856155,-0.07219907307568729,-0.040091853144343756,-0.016737936157272107,0.0049475223083810084,-0.024701381866183855,-0.04788175839859076,0.017573051158308924,-0.03459780174969395,-0.03634365194026994,-0.05106912483427454,-0.15745767130471938,-0.023539393560187815,0.23171982642368377,0.12981802798773934,0.05177826524441831,0.31027925072056706,-0.017837422086201336,0.016792651108380453,-0.050108928335858935,-0.04541179895557676,0.2681462577842862,-0.033481670324547325,0.02771741436077718,0.049287979081568706,-0.1315364351278607,0.008437347013754638,-0.0036575131852296617,0.08513764894890329,0.31086975937334715,0.04652168841201859,-0.048065471599548396,0.012381157493476973,-0.02689172192987017,-0.08004017990142054,-0.12094227391537532,-0.039747270932371306,-0.007091764482587878,-0.02300038406376405,-0.05583989830533479,0.11632787762092772,0.012081763387822688,-0.048233905801930176,-0.025280549276310477,0.13560832392013994,-0.06298864189231758,-0.0036459916992830233,-0.02937005594328551,0.02195879433976091,-0.04002569830983608,0.021365992787552537,0.017765320148469686,-0.02769631712034245,-0.12892784720408695,-0.018182478665656896,-0.04833372972174199
NO2,-0.03738796194442946,-0.0348444263343186,-0.10056306059153429,-0.003073762641123548,-0.024916899442487705,-0.026967184179591982,-0.024067468624377822,0.10385760304148069,-0.06620517891394953,0.08717670337718245,0.013878882448553235,0.020592309640592818,-0.0864694490985625,-0.10745374106549212,-0.07007126108291604,0.12337418925394847,0.18042244865258505,-0.026007326093411567,0.0034402208991105602,-0.06383114964103656,-0.054381053905942486,-0.01917681657552355,-0.03643280531044511,0.0230108450877168,-0.02064911297628994,-0.05444634826277028,0.023593596074071986,0.009597437899476528,-0.04089060899442988,-0.08245384099423617,-0.04258266060460174,-0.00709958721049765,0.03178627502467932,0.01889442569891245,-0.1031046307738982,-0.05686391671539634,-0.07893390492075181,-0.046649709356089586,0.029597673017460427,0.049475359908783045,-0.021248044128673427,-0.05728615187289683,-0.06600930639200003,-0.03730528265350712,-0.06492347732137865,-0.03429556745919881,-0.021509801347516157,-0.043142329296284296,0.0023758618533605198,-0.016592255243822747,-0.031683649989943594,-0.03468626289080669,-0.1459377789214033,0.06775026732901449,0.056089901020518224,-0.09600048120486429,0.02513340150200492,0.1352969438577405,0.0029430828656181263,0.006831610964138633,-0.05739377127590638,-0.046228088592751335,0.15749465602402796,-0.021041099960212188,-0.037051134434605136,-0.034704824936071146,-0.12107465598577763,0.06318405139349215,-0.032747495745823946,0.05946324848634012,0.21070773238895169,-0.0889044547934322,-0.037337740054665614,0.029550311105099987,-0.05713556465654469,-0.07845574354773313,-0.0837836485916107,-0.13020668611428,-0.0009876162953642944,-0.013137983227193763,0.024383190142385852,0.26505775132322473,0.005024559135170701,-0.03381049738321804,0.0032890894535131344,0.09784749255101813,-0.026657892480233626,0.001400857150906281,0.008601146798854679,-0.05178348554866522,-0.0031729361545405686,0.04002709863886435,0.027006289000491054,-0.020647825942425774,-0.07579067254952236,-0.037230856915706725,-0.03578561879466222
NO3,-0.031294482026609234,-0.04456526632746986,-0.08089913220679591,-0.028429591755145707,-0.020141960856522,-0.029942043734508483,-0.033535691130452655,0.0679292168523088,-0.045565185922326557,0.07267016865032758,-0.010797882613459486,-0.023422576779060112,-0.06259143366965123,-0.07057687881812272,-0.04013467257245537,0.12117749069508436,0.12931516478791305,-0.02603517318171716,-0.010675484968696124,-0.042967463216843846,-0.04893382305496899,-0.013017287130074098,-0.06883882377965335,0.007182137345570777,-0.028050410578759094,-0.03839873365388463,0.036861849853051507,-0.02986272007025715,-0.02807446437380228,-0.07069917587760016,-0.036945590687696234,-0.026503175118710122,-0.013235068192112344,-0.018031456687149464,-0.08135177188853913,-0.028263138248187096,-0.051430058529427565,-0.0409208823622793,-0.008296962287355911,-0.002256873241927713,-0.016857732485007274,-0.03607864826906572,-0.035743815670461115,-0.020950801191561886,-0.04261596320642576,-0.020422734607066232,-0.013378386240530015,-0.029402122456326292,-0.01305311784246544,-0.061510472631196925,-0.023470475102670856,-0.03016467843511261,-0.10476193732929483,0.15314397571417798,0.03919221871218825,-0.0585270414324435,-0.008478659036901209,0.11536196703008007,-0.007028320918565124,-0.01807931827924496,-0.03815565504173446,-0.043260271829784945,0.12735721637603192,-0.019877408641580843,-0.03021673469719851,-0.038905011350285304,-0.08988223142908469,0.03427808684055063,-0.04786866438111108,-0.02107714188767559,0.2136022473428416,-0.05031105869776936,-0.023825140343222473,-0.030970293385847426,-0.029478293162113242,-0.04884847691974732,-0.07585025256445632,-0.083870963089546,-0.01002166747729907,-0.028895992751799514,-0.021784112590653146,0.354822922872278,-0.017893189952305696,-0.04565657553296383,-0.007911753523165456,0.04308559997766575,-0.02466843645484301,-0.022936956696270737,-0.03281576710601672,-0.05077111393486908,-0.013909971598013549,-0.004199016455751306,-0.0033311914066490897,-0.02387739899896597,-0.07581916203911718,-0.03372742658413066,-0.0357459548937739
temperature,-0.03513014321241928,0.23659931671924522,0.058179776777372724,-0.09738079777727274,0.0004699091316736001,0.11891170146890892,-0.035107832709613,-0.17832905926765547,0.2422934106552214,-0.20235675193556257,-0.10256059661894305,-0.17227524639301758,0.28281733547989796,0.2697160056142006,-0.05404194134762151,-0.06112706648328848,0.031395477190547735,0.11022064768328024,-0.07168418985978027,-0.1394944661090888,0.1897884114562735,0.015566505835990823,-0.09274047471588778,-0.0453774940214114,-0.006027300565969628,0.24603435289329717,-0.07143225496750805,0.15723624155167953,-0.047344171692254675,-0.038277378521674794,-0.10617142054388118,0.14148628787302103,-0.12488707148670017,0.06351519560684368,0.30984923548769416,-0.08722058386195426,0.0864048054172064,0.24501367996464343,0.13440556343821508,-0.06915055606643794,-0.1377821097079415,0.1308041592273813,-0.036273052502830895,0.13083864401753104,0.2134213820584956,0.029867910315507177,0.029228132911775322,-0.0023723581033252054,-0.2159370928008664,-0.24896407408288057,0.07307096312273655,0.0408977124341163,0.2392755742475599,-0.1606650679330015,-0.1490007062102619,0.06631779926973756,-0.21771119220323953,-0.23248084399631586,0.16917532811284136,-0.05543889446827905,0.05924411690390614,0.08318572946809413,-0.2753836176306683,0.11970478204481867,0.06991905785044313,0.028236022081758703,0.19381970174346164,0.06773114742614962,0.21597984274119636,-0.13384843560936294,-0.11321794842885172,-0.015127955691785582,0.18208880933469293,0.10044647791602608,0.07688018476846814,-0.008481981554379799,0.019700320032044402,0.04611500853288759,-0.02947724274444344,0.1736693842748782,-0.1860929761836888,-0.2525833228414802,0.10813885002917942,-0.10893347260856354,-0.07277540907542943,-0.18555245610872628,-0.03414275239470154,-0.046792807821953414,0.0814445524649674,0.1702528785931976,-0.11010663278951291,0.05209267211904383,0.0455760618433968,0.053143735100232535,-0.22041552318416296,0.11505591848909337,0.15401388977599437
salinity,0.03099839552298892,0.11458252858885726,0.12855523501789626,0.03340142311846647,0.03580419712893492,0.06742469066046994,0.07947032821016334,-0.057067037861512834,0.07794191845140624,-0.3051955558423838,0.01928329220669825,0.022208393454988904,0.18817833775291634,0.19162741976641423,0.06594610906237754,-0.17988354227322434,-0.36760695876647653,0.059472280855070475,0.02812104841887065,0.018472572473711802,0.11278737069286515,0.03967118231152273,0.16724385190594188,-0.04225905639920505,0.04091100185028805,0.13076612212427008,-0.060856334017261995,0.046001270498293015,0.07974564922019711,0.09530235971079529,0.062357196997753606,0.12117447279401015,0.06918822723079573,0.03863659890733968,0.2538307981256278,-0.004993902078980652,0.05978900343877612,0.13818388802375392,-0.23213070723794643,0.02118342512961238,0.002746274552444563,0.17668460257810498,-0.004090747689494098,0.05290576136605762,0.08785784121072221,0.057361790967390414,0.008582817099529613,0.0009243549357110382,-0.034909012720231294,0.10747713990495836,0.054018578991975,0.056854484040498754,0.22519198389159303,-0.26395381348195723,-0.057465882175513724,0.1782856088347431,0.01636172754234206,-0.2026220303022836,0.007386985532588466,0.07704692590212447,0.0927685065883028,0.1260319042776208,-0.36143508888486986,0.06686764293353395,0.096135493586273,0.04193649190557056,0.21656789327103868,-0.0825033193884189,0.1491596436704889,0.13316453144182616,-0.5383394724256296,0.05997625567792089,0.11185457331685372,0.06761470097897981,0.09321939616963003,0.08962778910970905,0.1100554754615021,0.15644030891157337,0.03599508925387883,0.04598917962310842,0.003796028039243517,-0.45331356881621426,-0.00761410459577728,0.05119809284281786,0.0009717938503106898,-0.03937698122363653,0.12421427595288276,0.09283177861294029,-0.022847216637399734,0.11469863381872067,0.04332022308549867,-0.03081535319014563,-0.09707877964411563,0.10302955679908551,0.014852498294149622,0.04566257348878342,0.08868340331096153
Chl_a,-0.05736826348366302,0.0924866928268344,-0.11919133160912036,-0.07012055986722886,-0.0211620321886715,0.166117107262306,-0.05840589347493252,-0.06770516666574473,0.16716450745343997,0.07608092732974395,-0.03152571613027266,-0.07384899720350525,-0.07799565808723305,-0.0946207599764794,-0.08772959437786955,0.09954126316417451,0.20925527637811114,0.03353716009787079,-0.018549445378865652,-0.08597294516964774,0.07537392931124744,-0.026221951107760905,-0.09997280576177214,-0.015868833293359055,-0.04114812652539544,0.08899090936892529,-0.025268347149764593,0.19483417439837314,-0.05374001406059113,-0.10881544405837096,-0.0801326447309457,0.040121413622817625,-0.05183276243809115,0.0029968316100320953,-0.07992777668941085,-0.061357821921998755,-0.07393696030128746,0.07726213640775326,0.07433800460490579,-0.004846565078335988,-0.046182396629517106,-0.045115201336846225,-0.0629017942734285,0.019713587375022382,0.5683615891874106,-0.01791027176290625,-0.01340998395206747,-0.04158834048490341,-0.061918465922882145,-0.17456875222651785,-0.032282385418670526,-0.042465665848691006,-0.1436614433376529,0.06326472726280594,-0.05945194450537622,-0.026194874166970736,-0.0877783671089423,-0.01329215645305975,0.055639599340088754,-0.027917780923253532,-0.06045228448742354,-0.039222887720158965,0.1147787444928425,0.018068993205974628,0.023081126984642517,0.20855698085784963,-0.11186796157719038,0.08717784998809285,0.04260373404951022,-0.12627732459677984,0.12540598457695756,-0.07831913594598795,0.03277988408547517,0.08833571772106776,-0.03657434277016353,-0.08202312996491357,-0.11038246452259393,-0.09677154953637515,-0.01864077296563941,0.16301058294008566,-0.07147303199899807,0.14335099807869472,0.11244233087543584,-0.10526522418124072,-0.02579053500770638,-0.050320998409395676,-0.08196939922892327,-0.022371411570303885,0.01233034170973147,-0.0426861930204251,-0.04319655871615234,0.02400320888621328,0.04557255379864582,-0.051685122050004965,-0.14558533603639306,-0.012533267988246236,0.06736064966018857
Phaeo,-0.03304576442755491,0.03485787941098336,-0.07140784077733303,-0.03357480344337177,-0.009420053663163074,0.181531305190885,-0.03380085657102956,-0.046637544752274065,0.02801724510255696,0.00521636472658865,0.002820699110086859,-0.046953071320089496,-0.06168882936583136,-0.06195602967740914,-0.04274316149216725,0.08583378510919834,0.07493567204720009,0.023458698482481884,-0.00463039980034366,-0.05750472318167167,0.04137119655107406,-0.012435923640150304,-0.03829595519574117,-0.009741310517343501,-0.01896342997494949,-0.01871745435138817,-0.009244240473691552,0.3865478847615222,-0.04227905884476843,-0.06566094025842256,-0.03765130989169055,-0.008974093142336968,-0.022144019990143378,0.016211041287312863,-0.05260928134179718,-0.03605029023336004,-0.04923999684288726,0.008950373425428848,0.12155833419886351,0.007861986007807003,-0.013795281300051927,-0.03755122114188028,-0.04064772042006129,-0.004220107650833196,-0.002668351514703503,-0.011774536010630221,-0.007897147835272867,-0.024166120645541318,0.019204647043514288,-0.10716355375623075,-0.02500310848444348,-0.019361899679666464,-0.08765008005289979,0.0022652774840433237,-0.036814149671003146,-0.03404135840601305,-0.0539585545044117,-0.025830075146615148,0.11445264117825961,-0.019884044454238158,-0.036003836907413767,-0.016878766769656443,-0.0007985236859243197,0.03711209532047133,-0.008007949153463747,0.47534253062996046,-0.06251502608072494,0.04803747345706989,0.07266059393802857,-0.08654363802375588,0.056474810549774684,-0.052957502429488795,-0.02314913568648877,0.033182531417454864,-0.030086966949454896,-0.041576410446872845,-0.051137383614826615,-0.06385502414545652,-0.00751617002481859,0.023010584761556697,-0.04737327760501554,0.017695962049157347,0.2895855940505564,-0.06998652736985714,-0.01645480001327979,-0.030215842683774273,-0.03395417871232607,-0.01090366379926802,0.06188863752612896,0.010278546409249469,-0.023628245564470133,0.06054794115677471,0.06460689162680543,-0.03511680417722547,-0.07149194937511806,0.012947932494301104,0.028339047566777395
Chl_a_conc,-0.057121541884649324,0.08708854852331259,-0.1194254353777508,-0.0679682207686105,-0.020318976127517242,0.18870977069681588,-0.05819744133451051,-0.0694876115268358,0.14790857607460287,0.06527123479302338,-0.025693786015719512,-0.07472981488482484,-0.08221099458999834,-0.09623703947476744,-0.08523681793777263,0.10684983189902306,0.19597420847393338,0.034517061139964084,-0.016825795297817747,-0.08777033766708753,0.07449417185644491,-0.02538461379248625,-0.09430513031803053,-0.01596360219122379,-0.03968446716216905,0.06960840038502679,-0.023717683921977897,0.26847571316909297,-0.05658325367730597,-0.10915659291404044,-0.07747819735218339,0.031237485588437114,-0.04951566946544783,0.006916675607727066,-0.08136745847227603,-0.061285742755077664,-0.07542456093279416,0.06727643999231425,0.09539615884233715,-0.0019331452640183322,-0.04250655194636233,-0.04806077717841895,-0.06382984201672856,0.015399880436812875,0.476303108265418,-0.018229024415460877,-0.0133991778178359,-0.04146651169996634,-0.04675414072116867,-0.17561182932465624,-0.033883244510708295,-0.04089846954308469,-0.14437316990554147,0.053713316117605464,-0.05989352799713914,-0.03122793435095999,-0.08832282089062043,-0.01816921635783141,0.0777732793904722,-0.02883015251749732,-0.060513110024601795,-0.03750260591937519,0.09611733907704258,0.025241587428623487,0.01719783762478029,0.3041017540149098,-0.11086443945893121,0.08621118476292182,0.05548536738152208,-0.1294822191402909,0.12058697651370459,-0.0801118662484458,0.021227081729001188,0.0831497524420225,-0.03886580494886712,-0.08013058310633436,-0.10652853746227536,-0.0985577956128057,-0.017685956241481095,0.1430628269124396,-0.07284974948900963,0.12511951628774,0.17299796338569318,-0.10735131381286814,-0.026113681667493015,-0.050438405045056076,-0.07801599057362771,-0.021736823749397928,0.027152147064436305,-0.033035943257914466,-0.042670256749765205,0.03658520984064862,0.05579046286605274,-0.052913967893203656,-0.14160083862021683,-0.007003743402865514,0.06423027074677529
