,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
PO4,0.028859748352942576,0.03894188998849746,-0.03467382485457199,-0.019711742475224982,-0.012651138177270187,0.06835771011552337,-0.02345000394181344,0.064068537573793,-0.02389826613545524,0.03596019665574965,-0.011837019083475536,0.053328747802781934,-0.08025151135250372,-0.12152223566555909,-0.06987706267443976,-0.0646339584401458,-0.04120391428843998,0.09987445810316409,-0.016605048071504782,-0.08489727313360224,0.002808098845618855,-0.13909000255321974,-0.02379258871328131,-0.024510022030864116,-0.03389908159290534,0.16441106974391664,-0.03265575656000534,-0.03554731321195848,0.029686845776602647,-0.10865483010874677,-0.043402973662865454,0.166702435483324,0.024790572961599793,0.02145378544705612,-0.02879529025310918,-0.08656984338285041,-0.0944306753584817,0.04822732095703007,-0.02281581858973596,0.06858724480175833,-0.06290497876808092,-0.027286640932020545,-0.09059036083624748,-0.024678486058599007,0.1505654899799886,0.011141335337738725,-0.024411470655023203,-0.05194201248117378,-0.04013669597640124,-0.09683999493958736,-0.027939990504909057,-0.03611995936254046,-0.09965449383468827,-0.025901971343934925,-0.005744393328674057,0.18645065361170804,-0.0041387492074909625,0.13879375920441597,-0.05670217230263933,0.013850849093953422,-0.06772097771968566,0.0022030322033456742,0.06797439462117416,0.03630990391342322,0.04288238649511036,0.007444379813146773,-0.11030421423867934,0.020595757569129874,0.09354812801831278,0.07645152553111143,0.035829790747196257,-0.004604613890287294,0.05486375007798078,0.1178018586824438,-0.0035900935112622434,-0.01894751392345137,-0.10090641833737896,-0.031239859230298983,0.008080550020892384,0.03181231363362652,-0.014060858401396242,0.01798897177428721,-0.019603784564947754,-0.042024451961884354,-0.009026132181410053,0.03795245767028681,-0.15001393620006517,0.027947124091395256,-0.07667556195034567,0.0635509481290937,-0.011418062884175722
NOx,-0.012641615716573573,0.039475749845907994,-0.0327848272576268,-0.029216718175520573,-0.020287448392073568,-0.03382989012729681,-0.0334854722379304,0.06866015818981938,-0.046025704316083035,0.0731911124239975,-0.01043482133102944,-0.052199564776263446,-0.06316368912921277,-0.08130847465729045,-0.04075479857250857,0.12157811808362835,0.13631264887525468,-0.04530201318014164,-0.06075253216681256,-0.04344487668152111,-0.01752253080267544,-0.1042872908497271,-0.06846458225619563,0.007432904368592955,-0.027995798459195028,-0.038761086798130374,0.0365747310993365,-0.007139077697635528,-0.028680002417363383,-0.0706976338331984,-0.03390740143934212,-0.026475721139297317,-0.012573302253618614,-0.017427151737879617,-0.081926422655206,-0.028847426223341664,-0.05215921781591467,-0.041155009098089015,-0.007709282379128364,-0.001538145407701065,-0.016984672469331254,-0.03653634437301775,-0.03633383901473823,-0.021300565349858636,-0.04301287009107001,-0.004458282899064325,-0.013607532682658487,-0.02959094996684196,-0.01320296877448265,-0.049596412718064115,-0.023698566003417562,-0.03031674791836222,-0.07168843004852868,0.15211604396017092,-0.023994911722789905,-0.05930978472321391,-0.009927414480896915,0.11656259676804118,0.0006944385140183948,-0.01776286310403312,-0.03988520541322574,-0.04351643380464258,0.1285285817801139,-0.020078800082125287,-0.030669138309594515,-0.03892692466484918,-0.09063828407778753,-0.026310588593220954,-0.04781586002892316,-0.018288380322753633,0.2141219877843144,-0.030087362850829524,-0.024145309871146593,-0.030035574444112357,-0.03008433636972119,-0.024869349019607464,-0.07618709911631913,-0.08519537484935856,-0.009912747517072926,-0.0283771958566171,-0.02305364214347188,0.35412467691329147,-0.017642272541424673,-0.04563458688236058,-0.008391049087822115,0.04373976418155609,-0.07620795954999202,-0.022679185893521563,-0.028898333622911176,-0.05103148914677417,-0.013992271338751222
NH4,0.07426278141863848,0.23190579491507907,-0.04391127493860907,-0.052501546740797427,-0.020314921584694424,-0.04336923784347883,-0.06802338987001379,0.22960985833546121,-0.07950463689695716,0.2320430673794657,-0.0340855253347673,0.0469247875821364,-0.09429851402611497,-0.1403352968297243,-0.07306017980149429,-0.004464992103806566,-0.012719918656134348,-0.05058567320964499,-0.03223087888381436,-0.05668716284201612,0.009126736309847994,-0.15489631521778863,-0.09979221764303445,0.05245394445243381,-0.04537593130300113,-0.045952188495780366,-0.03906419543673713,-0.01769994559598263,0.05542526499672561,-0.12186229022916115,-0.01812448038572082,0.013044425419556372,-0.026225388438159462,-0.003815048635986829,-0.09501218836279371,-0.07263637984596091,-0.07656525381142196,-0.048765546574566374,-0.013185261148188826,0.09132467484438214,-0.05418211845339589,-0.06036157579625813,-0.07217863220128265,-0.040091870055475806,-0.016515368377048235,0.020781368573352273,-0.024800706249268382,-0.0476368129021376,0.014334870375421813,-0.08039343803306842,-0.03632530720438234,-0.051069504366260364,-0.11650388606109839,-0.023526773469503885,-0.027357342315921365,0.13058341548531865,0.05473291235226468,0.30992041824473743,0.019383220072232123,0.01680464179620529,-0.047856064889231505,-0.04554103953410017,0.26821741535661714,-0.03368574648405985,0.028558456209134987,0.05105054502679372,-0.13152617279225262,-0.02624320832041148,-0.0034763216687957493,0.0700447871509039,0.3109100111554824,-0.040465854751999014,-0.0482151786296857,0.012333671035494407,-0.026901189194106043,-0.06329297140314182,-0.1209542860362493,-0.038327858823391,-0.007116100075927719,-0.03930040509096402,-0.06720285556903906,0.11635902712196325,0.012046448546559783,-0.04793936506129916,-0.027023308356929433,0.13633154786029322,-0.12900611105918366,-0.0036903047152770222,-0.027683594128113703,0.022170212694517966,-0.03961769797996223
NO2,0.001667903763352286,0.056066290495465666,-0.03954179309193299,-0.005195384486601486,-0.024921666759838288,-0.03161206599333296,-0.02408602770585802,0.10380919301210009,-0.06612207075158785,0.08726096774576601,0.013869927121353827,-0.0901259432143418,-0.0864721615825068,-0.09915479122956652,-0.07009206986732114,0.12355435957105515,0.18195755273269754,-0.03571488499735203,-0.016758910119510743,-0.06384726987935886,-0.027271008033565698,-0.1435590950258948,-0.036418211156691666,0.02297021576943275,-0.020609740399900843,-0.05443432560967072,0.02342616012318625,0.0022770823074084448,-0.041154708702606645,-0.08201360625119239,-0.03728758946980401,-0.007411285280955993,0.0315073758240388,0.018945873396231543,-0.1031234105455453,-0.056880941611716564,-0.07901534543118224,-0.046671827443228835,0.02964398380880361,0.04925806551174498,-0.02125524833375094,-0.05729544048291948,-0.06599770851448174,-0.037334162348041294,-0.06481450559078217,0.039664395058734786,-0.021595421913891428,-0.04293215836179879,0.0014987525848483944,-0.07868437480937115,-0.031685325318611256,-0.03468080705813174,-0.10787749255267777,0.06773906943285257,-0.020731474111498387,-0.0960318356817538,0.02237346310912443,0.1367793677115485,0.031948712365260874,0.006724844732566269,-0.059038736060313124,-0.04637355205419966,0.1578483756466451,-0.02118286779806222,-0.03726872213301658,-0.03494725387275888,-0.12108144887367903,-0.02561898921187302,-0.03289724254667942,0.061210179575053036,0.2108137428878887,0.008448011583366822,-0.037339092260942244,0.02954513675268986,-0.057217430870239054,-0.02663719025128256,-0.08378645729980896,-0.13109534967565956,-0.00101483785932395,-0.02746906999903389,0.02415329123361011,0.26501655866022183,0.004937404217508552,-0.033897196285828365,0.003486998205001885,0.09737158846676,-0.07590300880853212,0.0012207533995795383,0.01309065415988124,-0.05177356310345785,-0.003497014088011584
NO3,-0.012850580574709426,0.039091097582278946,-0.032584224118507504,-0.029546477766975537,-0.020155646677714606,-0.03377845275440916,-0.03355650257079923,0.06788461038979471,-0.04556448222076907,0.07276045048327287,-0.010818777625071718,-0.05142029944268997,-0.06260302072067331,-0.0807925393596927,-0.04015102088211361,0.12122489671219838,0.135181502738013,-0.04534514099988459,-0.06133741438724126,-0.042985262523526475,-0.017311433242410187,-0.10334825270132805,-0.0688269518560711,0.007150357721057124,-0.02804718732942664,-0.03839384119495298,0.036701096889084836,-0.007279686209411599,-0.028393412592713066,-0.07032014455795371,-0.03376100378306549,-0.02672878558823155,-0.013286377148906429,-0.01799699435352948,-0.08135214592171378,-0.028297035242038054,-0.051567442491126804,-0.040953382764415305,-0.008321276889872931,-0.0023939169958168294,-0.01686771288777908,-0.036088862924217084,-0.03573616089485488,-0.02097314400611245,-0.04253070748906032,-0.0051934125190866666,-0.013436533310696195,-0.029287297098742227,-0.013417095905768086,-0.04897360017196191,-0.0235010447226557,-0.030163140469560104,-0.07088731307067714,0.15314418631885424,-0.023987040806303636,-0.058532203778731,-0.010448054191972048,0.11591381327979872,0.00016357727663843496,-0.0181306423903181,-0.039456093004117114,-0.04335361674952158,0.12769424081156103,-0.020007301290164724,-0.030476763744804132,-0.03889190369530926,-0.08988458559205828,-0.026253094091532772,-0.04794262106637815,-0.019585934947125384,0.21361481063492618,-0.03066050873045062,-0.023858475359209107,-0.030965086681376403,-0.02954593335822243,-0.02477401475664686,-0.07585808204287109,-0.08419435779948864,-0.010037288514271202,-0.028317930946400883,-0.02379206955465815,0.35470158730669776,-0.017978072145250948,-0.045713237035619456,-0.008570036580889322,0.04271690658354549,-0.07601268224385656,-0.023024085424166948,-0.0295330654524405,-0.05088470721752085,-0.014133120513226733
temperature,-0.07531101679596217,-0.14925263412544748,-0.034006307300805116,-0.09214554548950228,0.0005256825726143331,0.15531036782096075,-0.035083308556718,-0.17817301869763638,0.2421106670872562,-0.2023782523193821,-0.10255776303645633,-0.015866123022386495,0.2828466102997417,0.04252236456157357,-0.05421837710349131,-0.06087524694487465,0.030156044284475308,0.24287335976086472,-0.246918034972611,-0.13954561777322078,0.02038319464304436,0.23190824837467813,-0.09275834350517449,-0.04537496664101347,-0.006126248451999022,0.24600263848568912,-0.07172139821361977,0.1598111281546507,-0.047866800359734785,-0.03795196016288332,0.11536409275828247,0.14163611785028263,-0.12444903849990072,0.0630731340566031,0.30978736217404507,-0.08726440000488109,0.08686146700354169,0.244815389354537,0.13553583221287635,-0.06850737823544262,-0.13777359720661192,0.13082233393012255,-0.03624236133818125,0.13085836351541683,0.21304309510032687,0.0560700381284074,0.029360467791545965,-0.002181047540986942,-0.21038641376642883,-0.005343563655937989,0.07304653108903514,0.040884303032407296,0.27064072503976677,-0.16063403448604052,0.05205406748353778,0.06618382524372894,-0.21655302311234476,-0.23155172554846093,0.050433336490973986,-0.05539132742381304,0.030440789600179173,0.08345477548669132,-0.2753241881315319,0.13181745192612296,0.07226061754621729,0.028744628839729936,0.1938672290170146,0.11235240696166135,0.2161998182744322,-0.1432838807407088,-0.11318253923362193,0.1540787133478981,0.18225573046700652,0.1004899431949697,0.07693215971380213,-0.03500263478814093,0.019675586079575827,0.04764570488237287,-0.029435099177675388,0.11686568609214248,-0.19100893483680353,-0.25249046117447427,0.11002843589281266,-0.10900007927806793,-0.07490140763269948,-0.18547929564342108,-0.221227780679557,-0.04684658026666749,0.08546018536214736,0.17095200335041283,-0.11211856718896179
salinity,0.03228114439729686,-0.05752185308612719,0.03283022990412022,0.03508926605775025,0.03583781557114559,0.07783089396061357,0.07946142772644357,-0.056985164011333966,0.07772752262238772,-0.30530831622556565,0.019284833702179177,0.061815176397603706,0.18820657564334958,0.12967040812617622,0.06599907019905593,-0.1798920851293322,-0.3735281140750564,0.11730843107661137,0.10766596307231607,0.018503797415451155,0.05113315988324152,0.22104670774173807,0.16723248403592245,-0.04221725199625979,0.040874674440374174,0.1307331464532533,-0.06065167572266067,0.006481291488092651,0.0800946635725481,0.09506215029130288,0.04577860249507867,0.12134567190667554,0.06915463810460147,0.03845638108367825,0.25383347367296716,-0.004976758979858535,0.06065831031832206,0.1380757507204336,-0.2330054558454177,0.02151989888532267,0.002757723677556178,0.1767119880489435,-0.004090519938363487,0.052911258703677466,0.08753314670767273,-0.030390879281359612,0.008668845700607738,0.00091929298136654,-0.032409427698493906,0.0903082952635473,0.0541069100350363,0.0568544322224874,0.19213701087107166,-0.2639775491044982,0.10297166573274076,0.17825882065182858,0.021608009909189,-0.20299524265536145,-0.09972454740251788,0.0771871751668732,0.09365927675122325,0.12616685231987534,-0.3617728301961385,0.07247473551830573,0.09650177794850742,0.042695548255466904,0.21655143880084818,0.05832380252438047,0.1494011537168437,0.12717470590721192,-0.5384559140408388,0.04764065185644147,0.11184885557178563,0.06741959608440035,0.09337122435999551,0.12429688485874407,0.11007302764363067,0.15751526217019135,0.036002780296711036,0.06708060736385948,0.010728908521379223,-0.45309819546900754,-0.006188220011828258,0.05130200959554736,0.0015435275008325003,-0.038709864537595146,0.01513247662519868,0.0927904099130861,-0.027725588875770278,0.11494209724064852,0.043992028477796916
Chl_a,-0.02320181381504599,-0.05954133351438452,-0.05843395095971715,-0.06674806508838042,-0.021202115177768117,0.07170206764549858,-0.05842153776181861,-0.06764972334361982,0.16696906583442844,0.07619672556857565,-0.031537605219242426,-0.08027893596198044,-0.07800996726402042,-0.12216891706272771,-0.08782547152462855,0.1000331027752182,0.21486277343159846,0.09537731256120201,-0.1744534655684353,-0.08601308111947603,-0.028170146253925412,-0.14160661564309296,-0.09995941715753037,-0.015877103898791635,-0.04114409794075423,0.08899995217508416,-0.02551840184309103,0.05531634418935382,-0.05351633273759613,-0.10819251190225382,-0.012481174155381244,0.0410960638448054,-0.05174101683668102,0.002525267590913257,-0.0797788745184305,-0.06141298220246387,-0.07421251466135473,0.07728968198070787,0.074496139317056,-0.0045791958424611385,-0.046186018571170905,-0.04513931763076678,-0.06287834057405728,0.01970058884512204,0.5681799823378533,0.03094520026678204,-0.013492223207438672,-0.04137127251796592,-0.06094022399316122,-0.08186671965827258,-0.03234027122912255,-0.04246607947867491,-0.09516599556148775,0.06326825862367624,-0.05211473563603945,-0.02618633046734746,-0.08908112744832616,-0.011970057838404925,0.05236481699095227,-0.027960301430539715,-0.06330257834176514,-0.039350430220989815,0.11504259778218594,0.018663473468024126,0.024903123086333016,0.2070359632959073,-0.11188928069790496,0.0405304956869106,0.04262172189240552,-0.12379691847788397,0.12552407770476717,0.20340521830084668,0.03294399249541872,0.08865321759801294,-0.0366591502523964,-0.08235155272205517,-0.11038949620314195,-0.09622369327522567,-0.018647760989214137,0.14962233690072765,-0.07615622939823347,0.14329467945342023,0.11292034734737677,-0.10541547203079685,-0.026886163769262852,-0.0504797778131076,-0.14599811053101647,-0.02252696807158363,0.018996733633645423,-0.04176498908954635,-0.04446482734583359
Phaeo,-0.007012904501657027,-0.03691697919440877,-0.0335489072646979,-0.031278226740966544,-0.009461503359364404,0.02820277991381622,-0.0338084892416793,-0.04659974910802069,0.02824516778812817,0.00524767803147011,0.0028103600638066505,-0.05436829789328916,-0.06170042315441662,-0.07374111505040579,-0.042824590203959186,0.08614423607604668,0.07581068318573503,0.03504337756677414,-0.10722178852240893,-0.05753415037963319,-0.014310605487873038,-0.08626687318546272,-0.03828819079377643,-0.009745749493451965,-0.018952345875528832,-0.01870835491075265,-0.009381332256794843,0.11453987081047559,-0.04243280279924537,-0.06530939109184464,0.012827630245740088,-0.008832879051173814,-0.02206315966136201,0.01616895864827849,-0.05257322062518187,-0.036099307983609066,-0.049346069445196865,0.009042389286368403,0.12187833603072455,0.008021828973647373,-0.013790099015430792,-0.03756248240091157,-0.04063450978258787,-0.004225872446228542,-0.003126369414114434,0.061348258450933085,-0.007969572261530666,-0.02402464315602746,0.018732340923161547,-0.04141170365019005,-0.02505711260637515,-0.01936168983647512,-0.062216110892905754,0.0022925437364598776,-0.03530216035377549,-0.03399349246031585,-0.05537247359763681,-0.02551742790625143,0.06457399802372155,-0.0199127547530655,-0.03737565965604117,-0.01705672206000895,-0.0007699904585166777,0.037223541073857,-0.007825826484111289,0.47225319943637184,-0.06252935954089353,0.022578297975177162,0.07272611605009394,-0.08413531889980982,0.05650126061898421,0.4009897216006457,-0.023109430098385023,0.033595241166968826,-0.030142276547559355,-0.034218482639089706,-0.05115301001257733,-0.06365510302066749,-0.007520894824518892,0.14372359812067187,-0.04970549344594567,0.01768900330514285,0.29059840740145126,-0.07007613971933518,-0.017159345545841222,-0.03027673294831989,-0.07173779463602634,-0.011009664615364565,0.06316567498475778,0.01047359004170674,-0.02436803559196734
Chl_a_conc,-0.021377410941205165,-0.05999647148895802,-0.05815258383749041,-0.06451413705613501,-0.020363871820660257,0.06783703814047512,-0.05821264396183698,-0.06943081596409054,0.14780642414819073,0.0653769264120369,-0.025706571696545697,-0.08213977440079523,-0.08222615213024345,-0.12255803418939762,-0.08533939645355612,0.10734692425142345,0.2009181700129815,0.08956501855327756,-0.1755308800860132,-0.08781201360702921,-0.02752873076273714,-0.14227299525948633,-0.09429178512582082,-0.01597174895227449,-0.03967807653838915,0.06961846060942062,-0.023964777078944004,0.07752565390739101,-0.0564372599707986,-0.1085383157092229,-0.00699268390406609,0.032093853185494695,-0.049416712888549624,0.006509464742734393,-0.081232693663893,-0.061345347650590146,-0.0756846340837782,0.06732454210789891,0.09561576480738268,-0.0016653428336039777,-0.04250818482162029,-0.04808407557709134,-0.06380657046399349,0.015387405544157278,0.4760263296117655,0.042628936502517055,-0.013487865275770622,-0.04124591364745636,-0.04606133417994843,-0.07995458826956466,-0.03394649079104087,-0.04089875972988588,-0.09676527144266253,0.05372368300243084,-0.053324869531785835,-0.031207767615629958,-0.08980012176146385,-0.016974688827444545,0.06148229886575183,-0.028873635179885122,-0.06327783092658408,-0.0376579689908821,0.09634653893108176,0.02577079489885327,0.01877649216290079,0.30198638157412605,-0.11088622430863324,0.04014755298192738,0.05551825440336079,-0.12674652916552728,0.12069327383299586,0.2795904888834413,0.02137559879078166,0.08352828500038853,-0.03895200111618565,-0.07840849375207914,-0.10653868186335927,-0.09804369804371808,-0.01769310413109541,0.16460056913547352,-0.07741358615047542,0.1250703585425965,0.17367415087497268,-0.10750174774493035,-0.027224535854840852,-0.050588201263025566,-0.14201403042339417,-0.021896162847004137,0.03309399556840519,-0.032209818147364955,-0.043935577255280765
