,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
PO4,-0.08591560921012992,0.051456575704845596,-0.05275940996006957,-0.023772112092724736,-0.11064086764056477,0.15217321427241473,-0.017721261051794848,0.0678997501313649,-0.0231428301807653,0.06812053156172143,0.012217584738000525,-0.013555772626154882,-0.08156081468714427,-0.09130667310732894,-0.0710361307177218,-0.06642151489115365,0.0336729074592368,0.10465831803158385,-0.10008043307425946,-0.14109951371641338,0.0703376885749682,-0.14086415919107412,-0.02537268817292676,-0.025258042920091737,-0.0012704332179594505,0.16670167869210045,0.002677803636076178,-0.0005975703855760836,0.03635813295463321,-0.07414623576698628,-0.044814193760051316,0.1274374644865352
NOx,-0.044055944753667,-0.04255612931785294,-0.02992459235953427,-0.08521910461771613,-0.09178481802548667,-0.043742047572364995,-0.062056805642058045,0.06733925585000022,-0.0474456325657457,0.11105749806073968,0.35517637387273193,-0.023334468665686676,-0.06626039465281611,-0.03673768925186061,-0.04210506166839809,0.1205371527129694,0.2149061364953888,-0.054859064433767056,-0.07649872715302841,-0.08873301043020582,-0.03649497288547391,-0.10676069227726184,-0.06928178084527445,0.00734828388184849,-0.040214531529499095,-0.039476951761465165,-0.014286294333069709,-0.04886478845208121,-0.030807874547794812,-0.02236401921290499,-0.036127351964671366,-0.03217258240392529
NH4,-0.05737433844649794,-0.04970154431378154,-0.04839320768360571,-0.09195048500345193,-0.13233533123709584,-0.01658080952567928,-0.022864875948827485,0.24240143909619322,-0.08240201627069688,0.2686202040412558,0.10542666574187567,-0.06756166786551344,-0.09798067090049858,-0.07283284323328125,-0.07440638390890836,-0.000897160576464832,0.3081989065604924,0.002582731822343234,-0.12098185383797667,-0.1480135185969451,-0.05303938394618382,-0.15764521295332512,-0.1031637824320226,0.056434472250885215,-0.027554763211311544,-0.04554958320497339,0.047265581448675334,0.046743506945588445,0.006699211582436909,-0.06103848749920091,-0.019753236441840037,0.01762561981998008
NO2,-0.06434791389383512,-0.04813586875169773,-0.04354911093566631,-0.10731646829645161,-0.12248617376410405,-0.06569484709989734,-0.042533284549504835,0.10576984624983345,-0.06831773526367554,0.13993989355131925,0.25991521743103957,0.025888168311971944,-0.09033304397879363,-0.0663972685850628,-0.06989920321665623,0.12393918082048716,0.21427258821697426,-0.04149460738628882,-0.08340098302197885,-0.09967242139325647,-0.033820107568913335,-0.14757569941536197,-0.03817926625942947,0.02605220683071445,-0.07344473394670503,-0.055547437132481156,0.022061601315867173,-0.03726938690081674,0.0014881502868972895,-0.02485363931858614,-0.03879512464138352,0.028157187910499336
NO3,-0.04359659251434478,-0.042349752760976925,-0.029615266424517065,-0.08462092712472305,-0.09102373362604263,-0.04325540839390163,-0.06222405697972492,0.06651163600927587,-0.046967545101262886,0.11027651259557471,0.35585466936373583,-0.024106276864032442,-0.06567864634562917,-0.03613902155991783,-0.04152385281384907,0.12016253524640887,0.2143516228622081,-0.05494099375662652,-0.07618069015736184,-0.08831445920380707,-0.036444262161245404,-0.10578902720329988,-0.06962602461418663,0.007012359208501585,-0.03954627997266641,-0.039101099206799925,-0.014863972545299736,-0.04893253923782857,-0.031273513161324734,-0.02226305696422926,-0.03598717439294237,-0.033109153139532305
temperature,-0.14083538284896907,0.2508645099581401,-0.003306317344649195,0.30702628749463357,0.19566372811162797,0.21460469592135825,-0.14210254683350304,-0.19220089753790454,0.2508958291102156,-0.26969404611157605,-0.26796284521777736,-0.1976225587119459,0.289534850158951,-0.03768108665361201,-0.06070198855962655,-0.0675775552424211,-0.11138946460148556,0.2308892352109296,0.015192415423314865,-0.11468979230711777,0.17526998477387723,0.24245951987196185,-0.0919147707201157,-0.04894221721995111,0.09087650668122253,0.24889057907366857,-0.16807743740925787,0.03901815715576427,0.07925069962772156,-0.15665847730195695,0.11825806926986099,0.10627747684953476
salinity,0.01851358315584293,0.1418494568558654,0.0010201219758572203,0.260322341610652,0.21915288373376574,0.08928675297387709,0.09676650736056687,-0.05113435608600947,0.08268323942901057,-0.3498182993322866,-0.4689668365411132,0.01257824695540845,0.1992182763309323,-0.0040048658891984265,0.06735308228293861,-0.18580737617076126,-0.5447440728126829,0.16599741053791972,0.11295633263599443,0.0967432708194293,0.0873615012635613,0.227800153474865,0.1695041525036307,-0.04372705499772975,0.1266808959363646,0.13398271695524272,0.006644131389156941,0.06107053134482883,0.06437766771551119,0.001112308197465643,0.04798356129898168,0.07595316341747395
Chl_a,-0.08722284484352152,0.07774679947935989,-0.042117275168287525,-0.08261913360941335,-0.11351293585994827,0.5682948739893425,-0.14462259306149544,-0.07570393474162802,0.16459268817055817,0.10568069916457355,0.14332255978970798,-0.07974492224919374,-0.08344273485311891,-0.06397719903721598,-0.09137281767031782,0.09433597359866737,0.13226915690253646,0.03691682549511987,-0.112183423415036,-0.14662137164625105,0.05334616635265993,-0.1452483471137479,-0.10307617567943361,-0.017274916150502334,-0.04688107193697949,0.0888481127389042,-0.04745022500506291,0.21998994013039158,-0.00026404646816876416,-0.059830497110567295,-0.013915252199019007,0.08800851005926211
Phaeo,-0.05813272784818517,0.009078121890742731,-0.024501881644027994,-0.05394668258002015,-0.06343512933046952,-0.0028076751692910074,-0.0932602510987088,-0.05136430737377748,0.027878075685691787,-0.001834523707688638,0.016523742255490227,-0.05174243880793901,-0.06515982733614772,-0.04123547449647773,-0.04403770883404097,0.08407984776679724,0.06196014268402041,0.06911166303378175,-0.05194641718794689,-0.08600029294909708,0.04908363214177454,-0.08847831247450624,-0.041517076437501396,-0.009142744280886142,-0.037750857549436204,-0.01928064057660724,0.013693264657190944,0.5205453189808161,0.013584686609120456,-0.02108948350493515,0.01221152501074429,0.034396185777539987
Chl_a_conc,-0.08898989044379114,0.06771790388032345,-0.04200160993151041,-0.08398943741632882,-0.11249488661422812,0.47620928652606,-0.14670307153580742,-0.0774843549816511,0.14571225483873457,0.08820004014560694,0.12477738100685343,-0.08097863359229007,-0.08772514584487659,-0.06489201233857503,-0.08864606601206514,0.10200480889949065,0.12783656866741233,0.04974876517952512,-0.10825974667326921,-0.14640951637503366,0.05810019155050941,-0.14592993465437476,-0.09778435787755232,-0.01698121628675175,-0.04959708053307266,0.06933564123330978,-0.03610728659842359,0.32597038536574213,0.003466734799825579,-0.055941877176731394,-0.008363587349301996,0.08320464282182784
f0,-0.12888966828558504,0.1597315073282722,-0.06211579569552764,-0.10164057947532174,-0.17733173998004675,0.15278456543155977,-0.22764876331665498,-0.11289467173423515,0.23820652660977532,0.08713166138558412,0.2624917025299729,-0.11617038481810603,-0.13700900458964665,-0.10081524326325783,-0.1267414796565169,0.1306788209829805,0.21043807657947983,0.13213440843097934,-0.16071858383606724,-0.22279867732587322,0.16263054511758926,-0.22634152396141044,-0.1351124867807485,-0.002022641247047839,-0.07345755563508977,0.1976247773689354,-0.044876555045973626,0.15652942147927312,0.036457764735211305,-0.06806514169254592,0.028856991139162878,0.13974125289139921
fa,-0.1300920836448357,0.15166749962863624,-0.06114862436889548,-0.1014985408772198,-0.17426662632553236,0.12753989670030946,-0.22870934379675442,-0.11438818441947801,0.21690860747106733,0.07104094502820377,0.23927759233332924,-0.11662015400139784,-0.14290578996272246,-0.10117593653606444,-0.12050092287958691,0.13645091534235465,0.20555437714728847,0.14404101158501692,-0.15228407583714926,-0.21993357865544344,0.17262480370734243,-0.22504066589741434,-0.12443500830235162,-0.0008529531863010024,-0.07709738110723625,0.16810231454811558,-0.027655890763954395,0.19621973122841785,0.04503002454689356,-0.06043163596271789,0.03520365695410438,0.13181743460950768
