,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93
PO4,0.028442608180923604,0.03880853637863831,-0.03674451247878977,-0.01991658977757233,-0.0126484022281886,0.06833066208081953,-0.02343974592475809,0.06407423493881047,-0.02386471635573611,0.035988497410971224,-0.011826862114469209,0.02908713426721658,-0.08026311378545287,-0.1217690000635861,-0.06987961179237863,-0.06462316922788476,-0.03816629195186025,0.09988256576828136,-0.017491507324215096,-0.08489563146632276,0.0028124963328489327,-0.13915882368362426,-0.02379489456447803,-0.024512177665773835,-0.033916405579973975,0.16441208128895027,-0.03265517032209342,-0.004668029028239301,0.0536160785361811,-0.10869136286096565,-0.04340007613735587,0.16646027426402624,0.024825066088935234,0.021442697114983745,-0.02881206569264759,-0.08655345495006853,-0.09454258608944421,0.04822892793380563,-0.022813519676220747,0.06858610460635713,-0.06291342266317138,-0.027299431799894774,-0.09060405156740292,-0.02467735878666289,0.1505772388067026,0.02060149154588659,-0.024410845864383853,-0.05193428756541704,-0.040032223541226104,-0.14996154949977417,-0.027977703143418832,-0.03612161047094779,-0.09961539758014448,-0.025926099877653302,0.029543590634878138,0.18598591649412335,-0.005235448988246165,0.1397963771880055,-0.03539316136020757,0.013843193914820962,-0.06780611201774844,0.0020929421299900747,0.06797290953435581,0.036393371277357825,0.0430073150001455,0.007371909975630652,-0.11030561385610771,-0.04658773273118571,0.09365796444330303,0.08211173217855158,0.03579832645800547,0.03185832246989711,0.05484537162463405,0.1181283214874691,-0.01053337823511418,-0.09683269913313824,-0.10093998703237395,-0.0313264693299432,0.008087986989002118,-0.011272127605807137,-0.015848663111605803,0.017970739070529762,-0.019617030129731077,-0.04223162862582561,-0.008766824420049984,0.037949691741029024,-0.018935085099491655,0.027974916403335624,-0.07471210267747723,0.06357670445159042,-0.011391888919141781,0.011079763374703318,-0.05424836181088439,-0.005758360500493125
NOx,-0.02357492506708771,0.039495385413609925,-0.03270644040208586,-0.02929008046708858,-0.02028934298466485,-0.03377765581703829,-0.03345854096398117,0.06868071767013356,-0.04601555882097296,0.07311521967548645,-0.010416391415386798,-0.012640105762791471,-0.06316317918442298,-0.08140997783552317,-0.04075464124253484,0.12149492929022888,0.1309639419244608,-0.04531628353047884,-0.06084627881561294,-0.04344454524651674,-0.01754257182755662,-0.10432804851521296,-0.06847055829740692,0.007445391960681965,-0.027992753918265396,-0.03876192964177451,0.03658692511830858,-0.03012296248039712,-0.051614209052574814,-0.07073270621767472,-0.03391245526288619,-0.026470383212476207,-0.012549603707336873,-0.017426712398720838,-0.08192902506071172,-0.02883376672761507,-0.05209911978814177,-0.04116056679936174,-0.0077060120927769475,-0.0015281554037831994,-0.016986557092271044,-0.03652016498912299,-0.036340509165922893,-0.021302171131668893,-0.04302022635484886,-0.02632383597624086,-0.013585002431827713,-0.029590335247429905,-0.013464141812928015,-0.07614362600816106,-0.023684579405860422,-0.030316507261893305,-0.07149381460557283,0.15212346307122493,-0.028654140027527263,-0.05923212685324414,-0.009813457963732545,0.11580332600232766,-0.007151977099747166,-0.017759793620846176,-0.0397257648831862,-0.04348529135129461,0.12819666392141624,-0.020088090991187774,-0.03073078034131064,-0.038909574198203116,-0.09064003850498334,0.029102496622888736,-0.047872900434127494,-0.019974769816076415,0.2140998312064026,-0.028361579912639275,-0.024136060729802747,-0.030100255569378634,-0.031128408339809156,-0.04949569977255307,-0.07620695752822924,-0.0851950271905008,-0.009907414453331783,-0.02084784003483668,-0.022773172479422184,0.3542359869957596,-0.01763494104911029,-0.04558759150792449,-0.007751448016194555,0.043654590516014294,-0.024831344512613797,-0.022651246640219374,-0.03247815318590547,-0.05113276592042435,-0.014014928894929274,-0.004466790610112254,-0.003378821829176634,-0.02400475623097123
NH4,-0.009391903175665165,0.23169953648515562,-0.04471401100931055,-0.05282283813989266,-0.020316325008094556,-0.04336063205487582,-0.06799558524187943,0.2297005455569407,-0.0794842849078008,0.2320789645718748,-0.034033045467416874,0.07484298014529671,-0.09431348954906879,-0.14033914186079827,-0.07306503018845015,-0.004501477700217903,-0.011453899584234227,-0.050612581894076566,-0.03464751467055601,-0.05668243248508206,0.009109376141866807,-0.15496837044979578,-0.09979432629499155,0.052462969607127985,-0.04541204355788019,-0.045953297378956905,-0.03906199645098238,-0.04056988662934541,0.04750832535295921,-0.12191368803078911,-0.01813561013252475,0.01275581118569055,-0.02654269888133006,-0.0038223608991919344,-0.09501952052850991,-0.07259542787036903,-0.0766656834871883,-0.048774500141543636,-0.01319129629554522,0.09129380113617525,-0.05420004904281186,-0.060334029423166624,-0.07219123951023694,-0.040090971107190086,-0.016519154957966867,-0.026255393268568107,-0.024780115691146153,-0.04763468948855462,0.01421588159067225,-0.12881593661352012,-0.03635014494500317,-0.051070634022712724,-0.11629800931837353,-0.02353604883102962,0.05531699014518553,0.13047674519337635,0.053111715521032915,0.3101330363143693,-0.01782166040394654,0.016787190923306564,-0.04805112383115788,-0.045578530566518484,0.2681193871765144,-0.03368787744697022,0.028433909635989525,0.05095177972129537,-0.13154029780571957,0.016983629116156577,-0.0035574829559952715,0.08558445361115383,0.3108752824271686,-0.03927474435301762,-0.04822796837412234,0.01236719858798081,-0.03037402591349526,-0.08035806986522923,-0.12098728540759145,-0.03852004236560748,-0.007106318483175869,-0.05411743052438235,-0.07670472554332733,0.11632896153268382,0.012030226225396913,-0.04826077082455049,-0.025290627802258225,0.13619663438860957,-0.06304084818896867,-0.003637193819856291,-0.029265590335477563,0.022010923040119538,-0.0396087766584053,0.02073862145940719,0.017323357200449085,-0.02737204126132615
NO2,-0.04038411563496293,0.05600513668138062,-0.039629866411483236,-0.005235526179117446,-0.024923369389976534,-0.03154299119588415,-0.024048807263617293,0.10382497488135235,-0.0660949036909008,0.08718412408077081,0.013877285987349351,0.0014539134640405658,-0.08648589075768703,-0.09951790519688788,-0.07009285105146082,0.12341654905912852,0.18053470099610108,-0.0357211305103185,-0.01646244174133524,-0.06384649639276348,-0.027283004626524,-0.14361821067767128,-0.03642460188885444,0.02298418698751134,-0.020633866266611567,-0.05443571898488092,0.023436724280030286,0.008391229151072016,-0.09005309420307847,-0.08205414561955457,-0.03729923041132213,-0.007522842688205311,0.03173488299923973,0.01893478532923031,-0.10313329848073825,-0.05687500658770707,-0.07905672048984073,-0.046676476740204795,0.029617406086201316,0.04927844911349017,-0.02125863797228736,-0.057270583842407984,-0.066007455549011,-0.03733745120760115,-0.06482229567693022,-0.02563532271308605,-0.021586186739757558,-0.042931201501790334,0.001228440391198696,-0.07586819430977676,-0.031709291028711846,-0.034682641265755466,-0.10765201372386948,0.06774417268705614,-0.04113995788089117,-0.09595397067865913,0.022538992618323983,0.13506092776112744,0.002151868783752859,0.006729598457709498,-0.05898998541853981,-0.04634963415856609,0.15752875984811746,-0.021200535790806448,-0.037441353506920266,-0.03491574135922652,-0.12108452874080775,0.05496672508809599,-0.032946915254441586,0.05920109367129859,0.21070640948063135,-0.027445627962744544,-0.03732928364655236,0.029509234187101427,-0.05941441229212108,-0.07854506486591073,-0.08381816205760678,-0.13113942658373962,-0.0010067433783488141,0.024040517347013055,0.020880034642411237,0.26509292231390896,0.004950607684107513,-0.033846188381594644,0.003285785964052764,0.09728310405883214,-0.026656638267621033,0.001281306102519181,0.008390327001529767,-0.0519613587554276,-0.003509863713294928,0.03963001269027367,0.02623513692350452,-0.020743667990455038
NO3,-0.02322839347782655,0.03911204901076682,-0.03250322579534427,-0.02962020942230144,-0.020157539536533278,-0.033726640884267,-0.033529816293080314,0.06790519666503432,-0.0455546515305242,0.07268477344082214,-0.010800208785649149,-0.012845426863282947,-0.06260227109442501,-0.08088934733554848,-0.04015084807990491,0.12114285128940426,0.1297804115888391,-0.045359509651707826,-0.06143751955793021,-0.04298493944276685,-0.01733155772265164,-0.10338859242571302,-0.0688329051599468,0.007162787355741745,-0.02804369088814957,-0.03839467250304715,0.03671328642417862,-0.03069565617028352,-0.0508278082012072,-0.07035503215791158,-0.03376593281543421,-0.026721483037408532,-0.01326619076091325,-0.01799636104783763,-0.08135461816179301,-0.028283280922408397,-0.05150578491644951,-0.04095894122441833,-0.008317509973706482,-0.0023841291975319505,-0.016869567078764858,-0.03607287297285699,-0.03574276142069295,-0.02097471707534361,-0.042538037061463405,-0.026266254393715955,-0.01341383727496941,-0.0292866897874852,-0.013677427320644926,-0.07594801824669616,-0.023486452501079204,-0.030162865325252697,-0.07069373191579308,0.15315162511649638,-0.02836743014184718,-0.05845475366750383,-0.010335270364282022,0.11517277518006679,-0.0072906505656788485,-0.018127609489185705,-0.0392951982029383,-0.04332243391719355,0.12736298771554283,-0.020016425965451584,-0.030536364954020723,-0.0388748385812653,-0.08988631296937662,0.028588153845217984,-0.04799963615769632,-0.021262426749174522,0.21359415410327479,-0.02830248854553492,-0.023849260014675862,-0.031030084813759733,-0.030567744187327536,-0.048873805441190174,-0.07587768770328213,-0.08419325908939741,-0.010032016219291607,-0.021552822993541637,-0.023452184367403543,0.3548131961569223,-0.01797085932965362,-0.04566643318582673,-0.007917885486209201,0.04263201297865733,-0.024735137720389738,-0.02299677169682363,-0.03308450291159519,-0.05098425312952646,-0.01415588449325782,-0.005201459878414479,-0.0038712044582427784,-0.02399681965452844
temperature,0.05702767190774696,-0.14907739056702113,-0.035430800752213484,-0.09225919288131679,0.0005337836141111546,0.1552646326711298,-0.03514549932936252,-0.17824410872613103,0.24200950005221217,-0.20232964535834747,-0.10254269916799849,-0.07590801032569455,0.28284705355284956,0.04388859283193883,-0.054215007747306955,-0.061037500801131295,0.031229353825377344,0.2429935016506122,-0.2494357911941112,-0.13955171004688716,0.02038769694844981,0.23202243860104685,-0.09274915003369166,-0.045374593325489675,-0.0060493153070000985,0.24600680695668553,-0.07172561468010276,0.15432175572396678,-0.015191030497147097,-0.03793813000760528,0.11535145922573747,0.141971913673006,-0.12485487157840469,0.06307656775180537,0.30981567586276065,-0.08724351639499633,0.08670123219995714,0.2448208266195629,0.1351513294584853,-0.06850871578915604,-0.13777266206692784,0.13077720347757116,-0.036251048320149734,0.13086258461659464,0.21303231742868273,0.11236153081489954,0.0293136773317266,-0.002182913219205433,-0.2105995362762397,-0.220964011984868,0.07305137730925881,0.04089037519788839,0.27003355803962986,-0.16066071718562508,-0.047794953615363484,0.06594706879623122,-0.21843758669524943,-0.23248516280205658,0.1617776590911703,-0.055368209633431933,0.030536754189646444,0.08343562633765311,-0.2752678084033175,0.13032965480219133,0.0717914936675203,0.028633245203942996,0.19383970310932527,0.07708528769779792,0.21622918170883018,-0.13359799975264922,-0.11319543535620197,0.11677742236189266,0.18221184269928375,0.10062112922449454,0.07995542634728772,-0.006094842354418965,0.01970843931980336,0.047651693664887,-0.02944074024859727,-0.18461189839464243,-0.1735194349243912,-0.2525266462216599,0.11037102209476443,-0.10899511605401574,-0.07277091508061845,-0.18546065325734645,-0.03463821510023434,-0.04684071556188917,0.08061987802868359,0.17095425408645654,-0.11198950130560456,0.055984080939287084,0.044547097477401,0.0520617887802865
salinity,0.0766032990277547,-0.05752785848060661,0.030913565668796744,0.035116384746293,0.03584852583586183,0.07778749007948495,0.0793936101859378,-0.057021779153042865,0.07769381987759486,-0.30521068922588684,0.01927345495043105,0.031988328816062096,0.1881925523847891,0.1299459737548392,0.06600452833366796,-0.17992894384790314,-0.36802101566313367,0.1173900270097186,0.10723274710176225,0.0185022149722636,0.05116802630552294,0.22112534811540116,0.16724542733050715,-0.04222657521985167,0.0408881864723694,0.1307384847865159,-0.06064998450313048,0.04740263944451539,0.061240050844432785,0.09516586706491847,0.04578559087288026,0.12129134527259307,0.06927139016935477,0.03846061601730693,0.25383207850160483,-0.0049698978086777,0.06007826455750504,0.13808203832641686,-0.23184351226545546,0.021506124926882208,0.00275406615042073,0.1766570188010097,-0.004088654745098737,0.05291456918948563,0.08753907001982847,0.05834926613322852,0.008631125990447923,0.0009243760067310686,-0.031807151983876326,0.01518045322362303,0.05404303065757349,0.056854922564527004,0.1916512811830078,-0.26398186829829295,0.0798929592381976,0.17786647696893398,0.02020304198664607,-0.2024043830786628,0.008340964281711397,0.07719440775018628,0.09327958526612835,0.1261167904686773,-0.3614349840672436,0.07399134897151206,0.09684972043021121,0.042641695067109166,0.21655888130946485,-0.06816506547873047,0.1494467440898999,0.13390594745064754,-0.5383316817648998,0.06704587366386575,0.11181164714184923,0.06765697319194677,0.09603730916087602,0.09005108604298842,0.11011098251934448,0.1574836431976982,0.036000120482052256,0.003005371579292931,0.021840964302251867,-0.4533088000203555,-0.006418477982988141,0.05112674055529766,0.0009684306552933328,-0.038677935726470436,0.12437873074218352,0.09280497966486542,-0.022565194510465642,0.1150805897323132,0.044033190770563724,-0.030429531205716027,-0.09610589440591893,0.10298225531540979
Chl_a,-0.029765237429857653,-0.05943188483735727,-0.05816495914966558,-0.06778713531926302,-0.021200632959358038,0.07167536393216362,-0.05838460514401564,-0.06767475080084359,0.1669815572890015,0.07610557210274306,-0.0315234984853078,-0.023322518512063836,-0.07799745921968995,-0.12222228896925072,-0.08782561661037896,0.09991098067836168,0.20950719693347902,0.09536646941875153,-0.1745355758252725,-0.08601354089176208,-0.02818295363694269,-0.1416601741800424,-0.09996630716545017,-0.015868688563261596,-0.041133268051662425,0.0889989783870496,-0.025518453405889718,0.20345200538775976,-0.07889035003574696,-0.10824179510870724,-0.012484971218337245,0.04135380149034486,-0.05185049379618552,0.002528582311098305,-0.07977585776390382,-0.06141026878134945,-0.07402179152798904,0.07727717141472212,0.07447930453985546,-0.0046026827033780575,-0.046188102193137626,-0.045107138906727635,-0.06289151603848248,0.01969974128983281,0.5681636971200945,0.040517428099963164,-0.013462298541879116,-0.04137308089950347,-0.06132610175305922,-0.1459070625046449,-0.03229722624091208,-0.04246335933587423,-0.09496123502173516,0.06328232476450601,-0.053453757692460684,-0.026033279103476338,-0.090031417508908,-0.01336785424066398,0.055380911136422684,-0.02795009084322919,-0.06304889771073535,-0.03921794649358104,0.11484250727071206,0.018544560871875393,0.02413545676188059,0.20698489864161781,-0.11188744307147777,0.08854080897975261,0.042554969094684036,-0.1264268743799102,0.12544973930806724,0.14948156954325187,0.03296162916437541,0.08854207936319362,-0.03745724568081356,-0.08182120239873211,-0.11041994160771498,-0.096116030748127,-0.018643325171839715,-0.07062475262127513,-0.07416885220564501,0.1434333586171624,0.11295047878400552,-0.10523848982394404,-0.025791940697223896,-0.05053253296836026,-0.08227205078799775,-0.022498062884436197,0.01238198470427993,-0.04197300188273938,-0.044417621925671544,0.030793762995556487,0.04564469007359792,-0.052109266038046685
Phaeo,-0.023926044525130658,-0.03680861683601304,-0.03331747960450079,-0.031474714671453144,-0.009465011073761893,0.02819729683714481,-0.03378519262979926,-0.04661724986864877,0.0282522200433546,0.00522884294693559,0.0028220850308776878,-0.007180854608110132,-0.06168863122444057,-0.0739346465310457,-0.04282522887393609,0.08619035112061985,0.07497818450911878,0.035045126832123276,-0.10707669517930243,-0.05753463663168742,-0.01432102969227497,-0.08630008130996808,-0.0382935820550272,-0.009742891607277787,-0.018943458773396156,-0.01870923737996572,-0.009385136970845021,0.40110210528342494,-0.05324334189500088,-0.06533626178894292,0.012819462134954678,-0.00877252531729603,-0.022116549015634805,0.016169160172149866,-0.05257285781139945,-0.03609692285716464,-0.04923927004729097,0.009042544900330091,0.12186474047437865,0.008027349281361462,-0.013792066139583968,-0.037537624444552456,-0.04064237406416035,-0.004227654468517282,-0.0031327428443269686,0.022581502124710502,-0.00794309607164701,-0.024026316217807507,0.01848599407764356,-0.07171795901579908,-0.025010814864325964,-0.0193611746341596,-0.062013098121721795,0.0022781380251500572,-0.042365955083332,-0.033850719368551156,-0.055364956197796945,-0.025852119856423036,0.11458744985009464,-0.019904406969653773,-0.0373149640986102,-0.016996212127470156,-0.0008116402344790739,0.03718047414926039,-0.007919449013379216,0.47230383525355085,-0.06252091148019419,0.04620092834243612,0.07269392169983142,-0.08656822366331872,0.05647534545266506,0.14362303782138655,-0.023095911464733724,0.03364699609416391,-0.030914706925285505,-0.04138636633528304,-0.051169979176177466,-0.06363531361917052,-0.007517615099826126,-0.046886205809678554,-0.04720564697181036,0.017738936889797517,0.2906173489947137,-0.06995335308138129,-0.016451891629977528,-0.03028081224149323,-0.03412781344423358,-0.010987571782789562,0.06282262001623895,0.010337599595839533,-0.024335484675215943,0.061360354751511845,0.06400924303851657,-0.03530104693019737
Chl_a_conc,-0.03147816327422436,-0.0598751896491619,-0.05786398376535287,-0.06543957984418788,-0.020363580162487432,0.06781313693510996,-0.058175321090653084,-0.06945657317885948,0.14781882300652366,0.06529530716038826,-0.0256915484511984,-0.021524318536946266,-0.08221245248891873,-0.12265537471738563,-0.08533969162840865,0.10725694740829786,0.19619718862121746,0.0895563928106604,-0.17556040148136978,-0.08781253151656439,-0.02754231029161533,-0.14232696336850673,-0.09429903170018077,-0.015963909997233502,-0.039666574061510695,0.06961740370883529,-0.023965853365694074,0.27966027048403647,-0.08066889562179093,-0.1085869748588984,-0.006998088497037546,0.032326559680370716,-0.049523092860767864,0.0065123015126533025,-0.08123006318595927,-0.06134242268742644,-0.07549556270509486,0.06731408420275811,0.09559794402736453,-0.0016835566192492466,-0.04251046770154392,-0.04805031874583676,-0.06381976388541875,0.01538621035532336,0.4760109309429668,0.04013745526892692,-0.013455560919366769,-0.041247885677003444,-0.046452087657171307,-0.1419322280140522,-0.03389779280038768,-0.040896336824372305,-0.09653829573533848,0.053731577492136695,-0.0563665908644429,-0.031040547123860528,-0.09059566202654226,-0.018238735051010355,0.07759276322509427,-0.0288627989141452,-0.06304843668835979,-0.037530346076062523,0.09616729412117547,0.025659298189743503,0.01810676825719664,0.30195727088120367,-0.11088238826800395,0.08685648381792731,0.055453487559414046,-0.12961441191737125,0.12062384522114444,0.16445511975394494,0.021394071715836523,0.08344905821833201,-0.0398315659565288,-0.07990950621581577,-0.10656884204479625,-0.09794796358282584,-0.017688490665088145,-0.072005542220167,-0.075066846433523,0.12520030974366606,0.17370458307241626,-0.10731986850504772,-0.02611407181786642,-0.05063358638342641,-0.07831715013724685,-0.021865904258046777,0.02744907481328144,-0.03242132638966556,-0.04388711977333832,0.04250511898771204,0.05568874074226552,-0.053319976578480276
