,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
PO4,0.027760615913105677,0.03897905911360369,-0.025525078834647268,0.027890177665074907,-0.012606765991603939,0.06950787232420322,-0.025139785908247482,0.06409898950250568,-0.023807861190212297,0.03598194432297181,-0.012011468337614654,0.05321307350573697,-0.08043929490972287,-0.09067569282587654,-0.06990545428017493,-0.06463746033466407,-0.04126081757899872,0.020661967562991053,-0.02031279258292509,-0.08490537232376241,0.025687329526094975,-0.0034415788274985482,-0.02435715113348796,-0.024508930118291472,-0.03516328487981249,0.16440967291766648,-0.03265178698516719,-0.03582881491120484,0.029632984832664147,-0.10967751394742306,-0.043444257458938235,0.16688035853073002,0.0247564903929569,0.021656856260607746,-0.02891008378624193,-0.08767680335318012,-0.09469472346514288,0.04825145016562406,-0.022815644544690296,0.06858005145685842,-0.06291871496997162,-0.028055275236483275,-0.017429656686135983,-0.024699332632164762,0.1506045102510642,0.01115713611763375,-0.02541553591203021,-0.05991619877235595,-0.04026091606292466,-0.1500525572091411,-0.028174924864372237,-0.036371056396762844,-0.14115302420378523,-0.025931059364459927,-0.005826504371466999,0.18641908703889182,-0.004876282792799256,0.1387762177203354,-0.0567382575400039,0.013809464467269484,-0.06796409552857374,-0.0013814263182182311,0.06796374263465721,0.036226205880828616,0.04283950381972727,0.009647839396188636,-0.11065651128451987,-0.0767097735746416,0.09351894372266031,0.0751479491792034,0.03582995132025486,0.02842019628491291,0.05486165160832107,0.11762498259643846,-0.003741566643505688,-0.10145059056024108,-0.10191274030856881,-0.03234148469315377,0.007142044194261113,0.09975919060073718,-0.014064466811510613,0.017989061256024987,-0.01949923163613567,-0.04198639137679024,-0.00932252062196676,0.037959437241697626,-0.020770500070268025,0.06258040480091731
NOx,-0.012772095802527153,0.03945321025768271,-0.01809462331367021,-0.022710686933941453,-0.020251178234882553,-0.034381255374941966,-0.03437993614474888,0.0686418718845187,-0.04598253433960241,0.07327792643988176,-0.010565276855112469,-0.0517422728358988,-0.06328636937803542,-0.03642491442546743,-0.040768738887255164,0.12152291594320114,0.13638667301821045,-0.026373416420280113,-0.029634217752968307,-0.04344777002523094,-0.022306311997043964,-0.014376111780470838,-0.06876384361131313,0.007432413762132264,-0.028758474058005606,-0.03876086601580825,0.03656523231894039,-0.007779356199638451,-0.028721905120427143,-0.07087649024407117,-0.03394577541458729,-0.026385719449334433,-0.012548025086522157,-0.017488804120744456,-0.08196698653400475,-0.029728809049878735,-0.05237281376514209,-0.04116767305707155,-0.007742368206892124,-0.001540514896233506,-0.01699249260514482,-0.037011495284698326,-0.06044038210839715,-0.021330640705663394,-0.0430452381042528,-0.004517798656892639,-0.014416217361305496,-0.031896532417327414,-0.013243694941385097,-0.07658055485480439,-0.02381951436215111,-0.030460464658736967,-0.10554551614953843,0.15209614863356052,-0.02404798882853699,-0.05927319772380166,-0.009815717225412248,0.1159233768960111,0.0006691022116428682,-0.017729225678355852,-0.04086502006886058,-0.04470376134530431,0.12850834420411494,-0.020121914763487556,-0.030654572591449616,-0.03863878063982757,-0.09074779586395137,-0.02908542333398906,-0.04782794966449917,-0.019121627882632455,0.214120644971538,-0.03151813714975683,-0.02414992884020037,-0.030197161084231004,-0.03013293588259219,-0.054296306480226805,-0.0767759996854451,-0.08532233728492716,-0.01050090411293448,-0.04515218745174817,-0.023053318980245607,0.3541242914634989,-0.01804836082412548,-0.04562781047818358,-0.008682264838723537,0.04377791317115262,-0.02584824252271593,-0.05164848417324946
NH4,0.07123395881373666,0.23197551673303723,-0.02963093610298976,-0.00372905066635745,-0.020235836229001533,-0.04416202119368732,-0.07115457670537345,0.22959821735853142,-0.07942198102069797,0.23213299479469524,-0.0343267471816884,0.04716318341325873,-0.09450755315944295,-0.07232679254212943,-0.07310021937661275,-0.004579155279457448,-0.012826674435829775,-0.026340693384675165,-0.053148059473774364,-0.05670998506366558,0.0057687277961546365,0.009461630471668338,-0.10054696633690169,0.05245553863564645,-0.046703329269204216,-0.04595288142985535,-0.03907878176661592,-0.017988613110424767,0.05551194878556927,-0.12254364223556434,-0.01818860408662767,0.013007140855847072,-0.026139129394807652,-0.0039720149949365275,-0.09512582246087181,-0.0739745504116396,-0.07685435345791808,-0.04879033289977783,-0.0132576747353643,0.09131536692096563,-0.05419287199539759,-0.06118374271800387,-0.039658826977906916,-0.040113231401631255,-0.016573883373911816,0.020663873991508125,-0.026185995033021693,-0.05117252502408642,0.014128122904522228,-0.12964943090038872,-0.036582038268597114,-0.05134524666235201,-0.15746675084140993,-0.023556508835714467,-0.027444734425361376,0.1305441415068519,0.05485648702518971,0.3098123363480736,0.019296810240732237,0.01681819308645132,-0.04935149401883658,-0.049723642275058995,0.2682077066904963,-0.033855639063277376,0.02853090030990856,0.049903263555452756,-0.13188279261389724,-0.028257039681558314,-0.0035227623030481513,0.06872955527644065,0.3109102230543127,-0.045731586288435135,-0.04822868669515121,0.012027468167131522,-0.027018811187195946,-0.08815667402954896,-0.12203027121206116,-0.03902797870906208,-0.008341640715372647,-0.05048538510628735,-0.06722511354909091,0.1163607309523056,0.01127172603419285,-0.04787143006997141,-0.027704383064205036,0.13638282698391907,-0.06528764630658201,0.021052412392488
NO2,0.0024042231622389996,0.05605584793589505,-0.024325729706637902,0.001168527621264211,-0.02484482625575881,-0.032304796976432015,-0.025711401840559766,0.10380079415621325,-0.06599419931368798,0.08736930672386863,0.013706344401358383,-0.08896093917377942,-0.08665147934995379,-0.06609649337200872,-0.07011005631166742,0.12362252557078614,0.18195433766818359,-0.025658892791476186,-0.005945384564254292,-0.06385421281722004,-0.03692566046667159,-0.020251212746006417,-0.03673917095294607,0.022971473072220222,-0.02187791517756571,-0.05443611130144632,0.023412928728413565,0.0005777783637131171,-0.041277817879480996,-0.08244751083120325,-0.037281272029041496,-0.007067350391993392,0.03154456813205267,0.018869423154227655,-0.10316515536983381,-0.05793498946750304,-0.07935621415957808,-0.04668141005032564,0.02969585152080719,0.04926431644671146,-0.021267936255512716,-0.058055630937887084,-0.013640856505124052,-0.03737742547551821,-0.06486411085206187,0.039755213257695675,-0.022276897150300647,-0.047427433239985314,0.001448074308842606,-0.07642886007517627,-0.03189802679659656,-0.03493976693602646,-0.14586839017145536,0.06771011216912513,-0.02078684015484122,-0.09597021499099112,0.022796593255659237,0.136056427640608,0.031934504450475326,0.006804546606596946,-0.06002276469095053,-0.048151587540442964,0.1578332632292812,-0.020978163101705128,-0.0372539237511738,-0.03212719935167571,-0.12129590535218701,0.013414561028593366,-0.032878378761466376,0.06065147115487418,0.21081409381452823,-0.022666682118014647,-0.03738029970884645,0.029631111195751535,-0.0573055181014856,-0.08295294546885545,-0.08477272776851306,-0.13129660517262873,-0.0016686387175203965,-0.03516716878330731,0.024155149523549403,0.2650185358799917,0.0054278886889157696,-0.033776011645759045,0.0032591393030113446,0.09737299881018868,-0.02780189156573764,-0.05269519151058455
NO3,-0.012995389616157356,0.03906841251283268,-0.01794155888101808,-0.023055152808368822,-0.020120158642880186,-0.03432597495397551,-0.03443624192506557,0.06786620481755692,-0.04552285951269805,0.0728466718157153,-0.01094832929289715,-0.05097618955255052,-0.06272441960899529,-0.03582686626641769,-0.04016485604358368,0.12116775153476603,0.13525663959800593,-0.026316144705424947,-0.029957251085121518,-0.04298807971062006,-0.02200018407637999,-0.01423885366066548,-0.06912505882075878,0.007149838818464807,-0.028799300487150348,-0.038393587030143755,0.03669168627320958,-0.00790035476755052,-0.028433830519445598,-0.0704942133991888,-0.03380003331113862,-0.026643318892878565,-0.01326136814998299,-0.018058234100388423,-0.08139258312138643,-0.029173177224584304,-0.05177832232826766,-0.04096606557257463,-0.008355713687940686,-0.0023964261683744447,-0.01687543005935714,-0.036557939306337786,-0.061073580293747376,-0.021002917032176417,-0.04256269859778011,-0.005255316413322608,-0.014245244267472968,-0.03154975101843499,-0.01345754649899369,-0.0763817034307369,-0.02362012188138927,-0.03030452851466895,-0.10458537742093356,0.153124496709712,-0.024039939566375016,-0.058496136749204876,-0.010341922279533353,0.11527769177328537,0.0001381192448390564,-0.018097873160032564,-0.04043325926109846,-0.04452782263493376,0.12767396971110948,-0.02005449736133675,-0.03046224027508323,-0.03864737467055544,-0.08999203296715919,-0.029728312623036615,-0.04795520284654936,-0.020421638000719868,0.21361344268437904,-0.03158506618206137,-0.02386246285387545,-0.031130438738969635,-0.029593736645988886,-0.053668433379056205,-0.0764387075094583,-0.08431972875992855,-0.01062278701692615,-0.045202444348694554,-0.02379177322618138,0.3547011628782714,-0.018398268455812834,-0.04570841501946986,-0.00886155881622842,0.042755577102796656,-0.02574718848185338,-0.05149492298077472
temperature,-0.07610667187456219,-0.14923426266017442,-0.02237589185343887,-0.046793196756015905,0.0004513574136242246,0.1583625229891336,-0.03550540519439534,-0.17814882021550651,0.2416039357637656,-0.2024398855645455,-0.10263683106110183,-0.016675482943616655,0.28320405998702647,-0.03625579267634075,-0.05422297817052304,-0.06084668479681865,0.03009022227765142,0.11261266134299723,-0.09157429622017993,-0.13952959108309712,0.036829331531898,0.01008860476966942,-0.09275012995050458,-0.04537177372149045,-0.0033345533385544038,0.2460003536174568,-0.07170006481703163,0.15215694320636466,-0.04800572992013346,-0.03492771099611054,0.11540759756554092,0.1417963370691257,-0.12412235765035104,0.06359515846127396,0.310008692431769,-0.08610926792450041,0.08781607236797798,0.24488287806406864,0.13619343414898688,-0.06851176017688386,-0.13777278109668278,0.13255774403877074,-0.2587384610838316,0.1309072888213143,0.21323649791988375,0.05613145904675021,0.02970154219674597,0.0014288278449984333,-0.21004843935946527,-0.22019840353306264,0.07373794569594319,0.041621596906935954,0.24145823699847324,-0.16060410085456672,0.05203533943065383,0.06606485454667799,-0.21741299096561914,-0.2316638317255985,0.0504770812324648,-0.055485966157531215,0.0411848364682747,0.0807238671176895,-0.27532565058914615,0.1284965321800484,0.07214420625604386,0.03002937962333857,0.19455203858191067,0.08599548172971136,0.21621220457704518,-0.14071601234528974,-0.11318082640078819,0.12030051480423135,0.18233271121118505,0.10058334302300243,0.07711288893631765,0.01205752862160469,0.022201264668618027,0.0487203192181173,-0.029516920497807308,0.24015111023535915,-0.19102863210845508,-0.25249488887583305,0.11121481410771389,-0.10929095275460407,-0.07670630299543804,-0.18536843943073905,-0.03488211369481383,0.1730362679181608
salinity,0.033902403203415886,-0.057517037068033086,0.0005329924513909636,0.09280000708628713,0.035720454187348684,0.08072753617866528,0.0848959587907473,-0.05697110423472262,0.0774334892700286,-0.30543939799498254,0.01951350224473712,0.06044133183252912,0.1884114222248215,-0.003955597276429607,0.06602614276708549,-0.179860667242622,-0.37358098605555035,0.05832685927384537,0.035792024326535436,0.01849790790292791,0.06101391342620478,0.041082758453569734,0.16717223756224203,-0.04221594824124368,0.04241527305563923,0.13073449420169717,-0.06063806006715018,0.008744418490668662,0.08000303062449021,0.09563276879302493,0.04579740383890664,0.1210179842497736,0.06903412438177962,0.03872350955335377,0.25393075509197777,-0.003825284779548737,0.061807645587460755,0.13811057703375473,-0.23326934062486043,0.021511225936311256,0.0027595347713328024,0.17780107490609476,0.11267855748399702,0.05295161923107916,0.08767440945475444,-0.030391186686673084,0.009756902301799802,0.0010314568997537984,-0.032357156049828736,0.016251714390908827,0.05441499327548307,0.05723686373405256,0.22557167880225173,-0.26394250243737005,0.10302760510328188,0.17813041105142516,0.02035165757617689,-0.20245188706756023,-0.09972188144437975,0.0770644626223353,0.09952386790041665,0.13011353333538642,-0.3617467547403628,0.0692671481000317,0.09641741215844567,0.042450782245024146,0.21672337227337019,-0.027608025978146364,0.14935792478825372,0.12771751448937863,-0.5384550994610044,0.06647601800677558,0.1118716582839582,0.06735419906140933,0.09347201892127346,0.10649890079858033,0.11157335504317117,0.15781690949278593,0.03673166514996141,0.11544594731654115,0.010756414671986037,-0.45309511056662355,-0.006435095127822111,0.05133583718502732,0.002411902582028683,-0.03877420884524434,0.12545800780348282,0.11626758302629608
Chl_a,-0.023268066167966013,-0.05952008789840735,-0.020443708650135853,-0.022594208136920625,-0.02111959209704701,0.07481801990184436,-0.061123384368541187,-0.06766416686393119,0.16750516522238945,0.07625230760383303,-0.031713614263868276,-0.08037488631995807,-0.07816969114873934,-0.0630651637822163,-0.08785761142341712,0.10059360758975892,0.21486003906066023,0.04100661063641141,-0.06744647291895561,-0.08602062078415812,-0.014873762222051739,-0.029210227530617257,-0.10060085812290218,-0.01587729259217455,-0.042127915478332514,0.08899744527268039,-0.025528065979344046,0.05551845087505075,-0.053529471451256576,-0.10892746210343175,-0.01241387918659928,0.041328426656365894,-0.05164007567172585,0.003075515121327523,-0.07984610093527708,-0.06279196631963463,-0.07453911450000075,0.07738739386191348,0.07479068116032744,-0.004568388016410952,-0.04620675559621306,-0.04573801903463923,-0.17653179411974274,0.01968735222579473,0.5681879191559016,0.031219882085087136,-0.014420490725474295,-0.043426584433149444,-0.060872715303247345,-0.14686052018871443,-0.03252982730269066,-0.042674157834209414,-0.14346733957144508,0.06324033294448128,-0.052178362666307536,-0.026281975569334485,-0.08922883366745711,-0.012305272031942434,0.052394198820584804,-0.02793997629838711,-0.06480911782200587,-0.04383556957918135,0.1150599282290953,0.019209919812345263,0.024911421026845012,0.21282145106117192,-0.11205570068463419,0.02002088879798181,0.042632690132263895,-0.12453855155648177,0.12552525504243892,0.18562189260766082,0.032954440693881336,0.08996010970384906,-0.03671940540167583,-0.08704796056484651,-0.11120489558518759,-0.09679873284867498,-0.01952370356751711,0.09669135417656244,-0.07617336435041556,0.14329440180181363,0.11627152981601814,-0.10554157207980396,-0.02752675226557479,-0.05041961566698164,-0.08363702876497656,-0.042664707429197105
Phaeo,-0.0067692758237779,-0.036861686947361916,-0.00954133372346765,-0.011048396265942659,-0.009411337986283387,0.02810832578550637,-0.03528723847372356,-0.04660376668666179,0.028705406161376613,0.0052564785762849835,0.0026903973917919537,-0.05426278982896601,-0.061801637826192996,-0.04075854217278788,-0.04284113871038765,0.08731974686845764,0.07582392422530376,0.022790587889431106,-0.031674592959968856,-0.057542770532987786,-0.011689470032027098,-0.014074235296295888,-0.03879216973138154,-0.009745637475041978,-0.019483343972026865,-0.01871044194446548,-0.009386136269443457,0.11615921607296908,-0.04238187831927614,-0.06609588897778318,0.013051517986968304,-0.008820164695364615,-0.021945630682147044,0.016179964228174058,-0.052621093880053774,-0.0369431663232042,-0.04951824652759851,0.009110032240482532,0.12245756725731274,0.00806345703063941,-0.013796597269243201,-0.03795204143466291,-0.10761102575862583,-0.004154450227659357,-0.0031819665129657337,0.061902470456650725,-0.008383711686452626,-0.026312159058653237,0.01889155069398459,-0.07203598513915924,-0.025185593692734293,-0.019507969040518238,-0.08758841062961896,0.002276878361102521,-0.03533876754119904,-0.03404417174394177,-0.0551741533874828,-0.02556272642494356,0.06459119480489296,-0.019890771570091344,-0.03852651882874913,-0.020117745959504683,-0.0007051676106650667,0.0387152217595491,-0.007833782781793598,0.4834424958594016,-0.06266900683645166,0.06496657961441256,0.0727985136005858,-0.08409399153541203,0.056501720519362114,0.21932176125791913,-0.023209422267313824,0.036430200917752086,-0.030176536897869102,-0.045705074658611095,-0.05173128480491434,-0.06397003281914371,-0.008161929360492697,0.037544215538082286,-0.04971084217222821,0.01769178036869088,0.29697181777989234,-0.07016526474374073,-0.017555850122885533,-0.030240212079204735,-0.034959641623448154,0.00990360337912223
Chl_a_conc,-0.021366869627983353,-0.05996362769761199,-0.01974901352178976,-0.02196311358483117,-0.02028098965613903,0.07042662117411819,-0.06088180402900939,-0.06944402925837344,0.14838133232894107,0.0654259659984451,-0.02588686742937781,-0.082191659550643,-0.08238768944925727,-0.06399704751737546,-0.08537086461732431,0.10813651809548896,0.20091947009415526,0.04060479607704365,-0.06520792940492282,-0.08782068210998718,-0.01565737676322552,-0.02833749772296318,-0.09496698271746296,-0.015971876909313072,-0.040647967729364506,0.06961578991256318,-0.023974192544898687,0.07813494769364003,-0.05643446093375055,-0.10936870201059354,-0.006875415743460725,0.03229232803838749,-0.04930008261914797,0.006974277247593997,-0.08130211496432538,-0.06273184736621153,-0.07600549774691992,0.06742491757963023,0.09602024051648785,-0.0016449694462618326,-0.04252735379622033,-0.048692335818243074,-0.17738090846006316,0.015395687706736832,0.47601789595516464,0.04300995071686391,-0.014379405115677065,-0.04359202175237297,-0.04596144722275901,-0.14281881451478878,-0.03414046940273013,-0.04111311647802719,-0.14419351429640673,0.053695991622875916,-0.05338821102990206,-0.031301802662738576,-0.08987024652962253,-0.017268334011547048,0.061511628185520556,-0.028850607627557,-0.0648547413939103,-0.04225345209302242,0.09637868434273612,0.026634432051837506,0.018781296451554692,0.3098801412340938,-0.11106381644729366,0.034442531912077405,0.05554711658719178,-0.12735776332706733,0.12069438684262337,0.21534060307985436,0.021357219330855715,0.08539487744615648,-0.0390118753996464,-0.08546890347043945,-0.10738005518778251,-0.09861183641234053,-0.01860233130822992,0.09134689489968964,-0.07742941978870782,0.12507087950347437,0.1782172396693702,-0.10763178204294328,-0.027869837828235364,-0.05052779128866691,-0.07968862817375502,-0.03311971033310859
