,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
PO4,0.02786680767751535,0.03900419832354077,-0.025760904519840783,0.027876954270952187,-0.020772221732054598,0.05937867043043669,-0.02509428005669511,0.06414244989731845,-0.023700158014078473,0.03610237905004627,-0.012011729081957922,0.05383258674624297,-0.08044638155559203,-0.09068646795147013,-0.06990119214337606,-0.06475790435227471,-0.020255477298747295,0.02427084691843997,-0.02541935034876592,-0.08490493906115051,0.0024118523359783696,-0.01263488516294021,-0.024382333072812318,-0.024509558730877318,-0.035163265639464175,0.16441099504033974,-0.03265355442527857,-0.035770900143415114,0.029629421571323634,-0.10962364767119934,-0.04331498866412745,0.16689887310883564,0.024805261921955514,0.02202714707005079,-0.028910954347807293,-0.08769271538695064,-0.09477548499659386,0.04805935215547408,-0.02297472782607283,0.06856828427544322,-0.06291883983427765,-0.028048741675871534,-0.01691307571439106,-0.02466216794008807,0.1505649073799819,0.01163452281488145,-0.07686138897909993,-0.060307919701898395,-0.04021636675975581,-0.1502014611465563,-0.028178748557606725,-0.03636977770018565,-0.14120282972610318,-0.02573384922911507,-0.005824535726264079,0.18647737371631692,-0.004195536148652203,0.13777912389248248,-0.05690101976746115,0.013859454591306646,-0.0688287052031667,-0.001334887646057062,0.06795857410467512,0.03619735318631594,0.042904439470338396,0.009529208165960978,-0.11065436745154462,0.0625807077637638,0.0934493459691085,0.07573063181073802,0.034551250930855266,0.03794104116528228,0.054889137288346185,0.11762078509619478,-0.003759272549804989,-0.10155506450865366,-0.10177424541217162,-0.0319235880311395,0.00714039212848606,0.09724674261621173,-0.01406521528124752,0.01741828227706728,-0.019151361582929086,-0.04196133325749028,-0.00932170212706035
NOx,-0.012927278730351578,0.03937571083270006,-0.018268675502334034,-0.022710295002671858,-0.025891070600239242,-0.03235052625327594,-0.0344018471822151,0.0686795534159415,-0.045705970187181796,0.07355225867812902,-0.010565930423976536,-0.0521811518991575,-0.06330120160738342,-0.03642042446326505,-0.040769512715721025,0.12219019892440866,-0.02959376880039239,-0.02532952166573885,-0.014414071887091394,-0.04344663965152604,-0.01771988440273152,-0.02026389298923815,-0.06876881905343304,0.007425302411404797,-0.028756696144807678,-0.03876262272407806,0.036527914263979874,-0.007355176875803332,-0.028708247249628803,-0.0708279949880333,-0.03397274733623519,-0.02648361303946755,-0.012567438825739422,-0.017684962078824393,-0.08192214219596629,-0.02974139060015634,-0.05233765849903506,-0.041103891670937316,-0.007692005268457152,-0.0015694546660223229,-0.016996681070308776,-0.037015581633458354,-0.060343897401933494,-0.021327392611277685,-0.043031001825027435,-0.00464383516409025,-0.02871769201338034,-0.03190976224245682,-0.013318074909536052,-0.0764364293906439,-0.023821320489035798,-0.030456286723174665,-0.1055738675626351,0.15151749406976583,-0.02404706184442158,-0.05927853117814082,-0.010189377997337414,0.11976370420171509,0.0011468560288183805,-0.01777284239203662,-0.03737047279054445,-0.04473897666810671,0.13189424833023553,-0.020046693339051333,-0.030677836198427247,-0.03884685907834515,-0.0907538478350908,-0.051652419916736844,-0.04784792196845215,-0.01932966943894137,0.21571318177371732,0.04382231335774228,-0.02415999448345845,-0.030251675337024414,-0.03017982786704662,-0.05432425313515686,-0.07669967650617365,-0.08532921644578209,-0.010493389287001798,-0.04303193844951245,-0.023055869438925028,0.35550867615019316,-0.018186588199518683,-0.0456416810332601,-0.00868162809246862
NH4,0.0716653777745107,0.23203679669586363,-0.029931295401793262,-0.003752377874372977,-0.06538284969567655,-0.046879632826388976,-0.07120569619848395,0.22992238614007648,-0.07896750563086272,0.23231813095427223,-0.034327209397705574,0.047090390785808234,-0.09452744155974055,-0.07233659055529301,-0.07310167104248104,-0.004774884222406062,-0.0531934008318928,-0.02509715340658719,-0.02618832476197807,-0.056708640603831725,0.00892629514822003,-0.020253916216179862,-0.10057799361297577,0.05245589019442337,-0.04669702355067687,-0.04595303386222639,-0.039067249052295014,-0.018076419897167826,0.05539242371196662,-0.12246814668302705,-0.018299538040870516,0.013086669179878952,-0.026162407446604963,-0.004270649351285044,-0.09500823778152272,-0.07398057432059378,-0.07699743172726077,-0.048735907406185254,-0.013108949349396668,0.09123845971159232,-0.054192564113557135,-0.06119165283342559,-0.0396257510622242,-0.040108723741143895,-0.01670931955246147,0.020802454403022114,-0.028467329885480334,-0.05116379834642064,0.013852938662026453,-0.12994712881151932,-0.03659202874229693,-0.05134855406942142,-0.15752486258009774,-0.023140761100325834,-0.027434642831015495,0.1305862617243111,0.054732763258202866,0.30818887342004964,0.01891981987922046,0.0168049633770727,-0.05108816018534131,-0.049791687437265864,0.26889241783725637,-0.03391656386116321,0.028541000731403025,0.04877823281621116,-0.1318935692121609,0.021049582209094995,-0.003613014985415478,0.0686888155647668,0.30919422458536905,0.13643734621573458,-0.04823344179566531,0.011918341195414218,-0.02706905670959579,-0.08831478454809015,-0.12188109382131851,-0.03916322618890629,-0.008344322779983458,-0.048078045320127195,-0.06722963892833256,0.11594659838438792,0.01069700204807645,-0.04788985425623665,-0.027701865980946344
NO2,0.0021156165736799237,0.05592205451034921,-0.024677231341172105,0.0011574074726547045,-0.027867869906405125,-0.033865938737313306,-0.025742913618949946,0.10384582204317895,-0.06557902918252642,0.08756210020198028,0.013706019986691043,-0.08939391954796921,-0.08667333154492542,-0.06609702528670641,-0.07011364416942661,0.1240169350882217,-0.005963862246539343,-0.02422450578831366,-0.02228023564742466,-0.06385291999778772,-0.027335702084228097,-0.024869743271533077,-0.0367499526464346,0.02296564361175557,-0.021878305189627238,-0.05443434338538744,0.023390406014859567,0.0008472044693615391,-0.04127683893839256,-0.0823766290002409,-0.037319893014741506,-0.007350535057875253,0.03158043894514483,0.018618004324179434,-0.1031124819917001,-0.05793354422094163,-0.07933060118375503,-0.04664614321049377,0.0306452306224948,0.04925801711621379,-0.02126804435584377,-0.05806058871442156,-0.013485059526116394,-0.03736299113507974,-0.06481544149870538,0.04065340655054303,0.013859588844539087,-0.04748622777025138,0.0014165876255002995,-0.07637003561908261,-0.03190249848404379,-0.03493736040309789,-0.14592442722726484,0.06773646976910569,-0.02075831675428934,-0.09598414028021161,0.02198824215485012,0.13858189054760445,0.032238092103519266,0.0067110807100324195,-0.05823486203451039,-0.04818098972361347,0.1603917541168251,-0.020728531755462916,-0.03728128842252493,-0.031967327420080766,-0.121303491680926,-0.05266940648995597,-0.032891521675286584,0.06022952953104392,0.21385142338707844,0.09741228882749442,-0.037331405758444174,0.02959248618628146,-0.0573736155611837,-0.08297409094808218,-0.08464906654599497,-0.13172277544644473,-0.0016638297763977804,-0.03253128060791461,0.02414917147178371,0.2667376607522708,0.00552383183849786,-0.033817971120198985,0.003260039136463826
NO3,-0.013147905952777397,0.038992069800883516,-0.01811214963376455,-0.02305456704530067,-0.02578951205486224,-0.03223978810557859,-0.0344579328231983,0.06790366289024394,-0.045249368923598654,0.07312166270626669,-0.010948986714296683,-0.05141401413945838,-0.06273909400166938,-0.035822303109243905,-0.040165580204253724,0.12183789832856744,-0.029915911080578936,-0.025281605344437588,-0.014243011610129547,-0.042986955059665,-0.017510513272152875,-0.02013263341019086,-0.0691299228954297,0.00714272447343288,-0.028797490554117997,-0.03839539877859026,0.036654215932971204,-0.007474671626980312,-0.028419993957365074,-0.07044622462645751,-0.033826737110966586,-0.026737818622734284,-0.013281666618356332,-0.018252940742036695,-0.08134798925171642,-0.029185963112112984,-0.05174309800573214,-0.04090196928176611,-0.008320700676312751,-0.0024256730520540327,-0.016879676575694273,-0.036562000156864616,-0.06097835332432726,-0.020999866828116963,-0.04254908260391066,-0.005398358354345756,-0.029362856876822885,-0.031562174782484353,-0.013532456881839527,-0.07623651316678413,-0.02362187813846798,-0.030300331583573634,-0.10461318563601313,0.15253712318199086,-0.024039482139318797,-0.058501310743458476,-0.010707242348741755,0.11913017484571226,0.0006175645682448257,-0.018140531367761455,-0.036919015174822704,-0.04456304373362937,0.13106497382283716,-0.019982425982663775,-0.030485373277162005,-0.03886113405070385,-0.0899980430488849,-0.05149935144997068,-0.047975238219843785,-0.020625511731350098,0.21517733514546078,0.042799947008579475,-0.023873500019959353,-0.03118507856454083,-0.029640146356232633,-0.05369642165192685,-0.07636338635383308,-0.08431949257188218,-0.010615246154226645,-0.04309650006076584,-0.023794258958572963,0.35607624033218943,-0.018540096028027888,-0.0457217736373243,-0.00886092819794182
temperature,-0.07689126765554866,-0.14941038046966765,-0.02105870928218583,-0.04675647186561026,-0.0346881914779115,0.1397127437518575,-0.03541632497363282,-0.17833661865976452,0.23987207306914343,-0.2026870863150651,-0.10263647263209694,-0.015341880193214594,0.2832463359575195,-0.036252409739184976,-0.05420658571013119,-0.06084416158581114,-0.09126279634340272,0.1100168063895447,0.02973906560388824,-0.13953356143681872,0.01971056680802928,0.0004953293467631825,-0.09274163888779899,-0.04536874118233085,-0.003340441630865089,0.24600470356788295,-0.07169458830732181,0.15717020339797272,-0.047927722049605256,-0.03480243455342792,0.11556544019065196,0.141647262251882,-0.1239491688910434,0.06449643034352441,0.30973672447761125,-0.08610190898712447,0.08819731861624963,0.24473740720074633,0.14178973973220332,-0.06840032092766452,-0.13777423537317,0.13257263825482693,-0.25900412657591565,0.13096104435380568,0.2132071655842705,0.056918570291011134,0.08659325472873601,0.0014822470109788358,-0.20949055411731066,-0.22003245639342414,0.07374023354432305,0.041623593300477706,0.2416341574764862,-0.1603734933260818,0.05201998045850366,0.06616006216335503,-0.21599850482140737,-0.231598284080066,0.05067224418081928,-0.0553928916034497,0.038502322277963096,0.08065060344743652,-0.27728542571877457,0.11970177865481335,0.07227289100249418,0.03141016262501271,0.19457470652254483,0.17295498926056357,0.21634886382977642,-0.13978438948903402,-0.11147270967477602,-0.18549485558306056,0.18235644850152227,0.10088412407477805,0.07725902902278611,0.012825893218097014,0.021957032123793234,0.04965106604555952,-0.02951490909906448,0.225152248560181,-0.19103550469995478,-0.2521495695693189,0.11771303631990124,-0.10923395808599322,-0.07670680395720615
salinity,0.033923062895808404,-0.057522301651092116,0.0007907944312276235,0.0927977273161519,0.1255618217589919,0.07889280549936047,0.08497962175444192,-0.05704989022191416,0.07656714163843656,-0.30570678614912483,0.019514922529743444,0.061290884395851425,0.18844331195430186,-0.003970790800703349,0.06603009177912875,-0.18083931490939956,0.03577998443755004,0.05604628343323213,0.009770333862378551,0.01849719686202847,0.05119641466223196,0.03572218687143271,0.16718153522835028,-0.04220802605591021,0.042408216881360004,0.13073833951686326,-0.06060983351308699,-0.004118384149151093,0.0800796889562633,0.09564367466136148,0.04582469124916071,0.1212260095560201,0.06906755607598414,0.03925441811537134,0.25380240450238484,-0.0038216353814216307,0.06130175750083043,0.13806353773634827,-0.2675093777314585,0.02156743798064875,0.002761364732779345,0.1778106824072541,0.11296189146406917,0.0529649481784549,0.08767107642709826,-0.03152692883341139,-0.030184878880374105,0.0009631328097789665,-0.032025992657552356,0.01579534257398447,0.05440747707571183,0.057227718459208654,0.22561724144980186,-0.26399215667671444,0.10299953528891649,0.1782079477883485,0.02154837247798156,-0.20716329428421326,-0.10148302136580867,0.07720469722240611,0.07336872085614524,0.13000973557752202,-0.36600254195359705,0.062468500091072215,0.09640802346910034,0.0433273574732236,0.21674287308306311,0.1161995754939539,0.1494335736626577,0.12843173680218894,-0.5445380065105724,-0.038840559311208285,0.11174717708362951,0.06747539511175596,0.09357435310280844,0.10636426851470951,0.11150356034539927,0.15799019631293365,0.036719221027936816,0.1070596077849377,0.01075964764837792,-0.4566369577070546,-0.004866215289496349,0.05134487038684478,0.0024106421917958845
Chl_a,-0.02371152308643922,-0.059581713205374094,-0.020884726613057045,-0.022572800950706833,-0.08352083174303185,0.08801074702520287,-0.061041854171949024,-0.06774140999116957,0.16821154940433716,0.07624417148023138,-0.03171354554049058,-0.0800348262281288,-0.07817066849958096,-0.06305869744936946,-0.0878496221619692,0.10133776480119708,-0.06721687961948214,0.04237799384067886,-0.014429269518317063,-0.08601829310860924,-0.028589089683745586,-0.02112297262593114,-0.10062541467336934,-0.01587846488689783,-0.042112398886412786,0.08899601587399891,-0.025542312623291097,0.057008545516190105,-0.053466030928826035,-0.10888130075031491,-0.012267541848567348,0.04127152195546424,-0.05152290385798618,0.004061454835262741,-0.07998319477113544,-0.06280614231159594,-0.07435535856499356,0.07730834939682311,0.07576470569490051,-0.004221211581917041,-0.04620786275572053,-0.0457073764785632,-0.17622099026801596,0.019736883761083644,0.5687788026908556,0.03262827565597744,0.021217911039081102,-0.043250489316174257,-0.06036226413528027,-0.14647319704731188,-0.0325197583163451,-0.04266452105907375,-0.14347716201458063,0.06345682328818954,-0.05219201291458822,-0.026242430696313702,-0.0885580278913813,-0.00899644628842408,0.05366778391062297,-0.027956630606776153,-0.06069094320755458,-0.04379607449763576,0.11663708715232811,0.019570114516411736,0.024980615151466157,0.21485771339749632,-0.11204880947982113,-0.0426573293029908,0.042962496474704945,-0.12410018232256996,0.13016777482550035,-0.05045058656499692,0.033019191151814065,0.09027272397914637,-0.03677556542700843,-0.08660714847348418,-0.11113848160633027,-0.09601900222246176,-0.019511368917434133,0.08339369994000932,-0.07617724152666866,0.14570658349911608,0.11835581799968059,-0.10551417874075547,-0.027526274065756685
Phaeo,-0.007068101833194961,-0.03694845380832038,-0.009832825409082356,-0.011045554428119097,-0.03497709098019228,0.04632327409186052,-0.03520876511230035,-0.04665519055741928,0.029034839743098985,0.005234845716794088,0.0026901575866180687,-0.05408777023362521,-0.06179880961270309,-0.04075907861128723,-0.04283951018814518,0.08750874135400058,-0.031471161541987376,0.015575018458540521,-0.008393958225705402,-0.057541506315969305,-0.014465877701397362,-0.009425154577263943,-0.03881931592958624,-0.009745403075017,-0.019464331496197848,-0.0187087249477036,-0.00938801460922353,0.11681118231008043,-0.0424537696714758,-0.06608492064614857,0.013148261491114638,-0.008824297691337683,-0.021910735905827813,0.016628037224541137,-0.05262692357497488,-0.036949495973499245,-0.049460673801972055,0.009119907192582611,0.12290674029891199,0.008576472637692015,-0.013794977778183202,-0.037922570159879584,-0.10752132182688345,-0.004174855650896107,-0.002171167725788764,0.06225041644876887,0.06533935770712038,-0.026265599512200748,0.01961869296493133,-0.0718522404499509,-0.02518345412886923,-0.019504985995196455,-0.0875877418231498,0.002456501064040511,-0.03533640469297644,-0.03408000566693525,-0.05503559564277567,-0.024662037931325084,0.06505251975304019,-0.01991183713448262,-0.03750863020682896,-0.02010895354836427,-0.00037558798520118467,0.03973076193900586,-0.007817091706603309,0.48727185799831657,-0.06266915108859514,0.009930403245215018,0.07333121134298827,-0.08400693633702103,0.05820200019347956,-0.030263195724118133,-0.02314355352186774,0.036764582891761356,-0.030212653561526637,-0.04502906188410033,-0.051694893647248774,-0.06370728477565468,-0.008158585510007851,0.0364311722587464,-0.049713231164712664,0.018466788360987117,0.3001456378340205,-0.07013682408028217,-0.0175559510591347
Chl_a_conc,-0.02182019797353902,-0.06003890789120155,-0.02019830351774868,-0.02194437488779201,-0.07959584130294756,0.08644481906741167,-0.060792069352524604,-0.06952282163416443,0.14906364651328224,0.06541326383315342,-0.02588687485864095,-0.08185872689189491,-0.08238774186043277,-0.063991765952112,-0.08536371704956337,0.10881240497210001,-0.0649599978219563,0.03979671797934391,-0.014389555199244362,-0.08781838524000307,-0.027922508873444003,-0.020287578257835052,-0.0949949635113215,-0.01597279717833144,-0.04062978256975007,0.06961505639215443,-0.023986659779998327,0.07956260258273203,-0.056400734183341295,-0.1093269806597099,-0.006726327750591986,0.03224344561114089,-0.0491922657567891,0.007923434767396337,-0.08141876104027064,-0.0627454638688772,-0.07583563938934851,0.06736125645051022,0.0969596962614837,-0.0012142954309449783,-0.04252784333389241,-0.048658615744950694,-0.17709569452842971,0.015431719439190392,0.4767882661390398,0.044286489753004865,0.035548408468638645,-0.04343158330755487,-0.04533559915205976,-0.1424438449048014,-0.034131437563783805,-0.04110421838336321,-0.1442015767161532,0.053926461601435036,-0.05339902619226323,-0.03127834172552134,-0.08926961770656014,-0.014246682593711436,0.06270580534202987,-0.02887030510579008,-0.06112198027956535,-0.04221791654347966,0.09779188203164453,0.027212471733402976,0.01884390304676633,0.3126288844107915,-0.11105807180401872,-0.033106241474170496,0.05596855568746355,-0.12696620253953284,0.12505250699446666,-0.0505600254975436,0.02142944846947806,0.08574804289422287,-0.0390688166370408,-0.08491538574806837,-0.1073144332491418,-0.09788606798803741,-0.018591070917575787,0.07988393376000882,-0.07743332254471089,0.12730585163400787,0.1808283062261466,-0.10760106886637023,-0.02786946387868299
f0,-0.0488774099244088,-0.09055471775402504,-0.026282458590985866,-0.024951357871881394,-0.12473227894804628,0.11782681803298273,-0.08848442801226453,-0.10036019358896138,0.2343167178475638,0.1096684448201897,-0.032753187600105954,-0.11929741105537763,-0.12887983209634057,-0.09947768453506098,-0.12228564111217256,0.1349501716702877,-0.09506052382738753,0.06871791241480386,-0.018092020658275153,-0.12718666935203865,-0.03836688338163488,-0.0232894577055439,-0.1305880818488854,-0.0024946766069880817,-0.06897363659211798,0.19799427800066038,-0.022046593710453852,0.050005578490934864,-0.08785918366669393,-0.16656508378831114,0.028443169782702407,0.05634701716984361,-0.07446161734375577,0.039165969392985375,-0.09972766107891701,-0.09251999310084269,-0.12076682214122092,0.1565198857502942,0.06508043453834061,-0.005876352239374636,-0.04767566363082096,-0.0764924842464512,-0.28255848411964124,0.0638307267769955,0.15178494090738537,0.10281367429430377,0.11689097739654944,-0.0660246421828172,-0.05714937214564331,-0.21184118863334397,-0.054936876879356895,-0.06370881155279541,-0.22413089478739515,0.1556009783662055,-0.07446836015403302,-0.04277984520476496,-0.1274660808216026,0.015685048942594634,0.1216781568873707,-0.04504072365561293,-0.09003233215745096,-0.0451206353175825,0.08978985691759853,0.08864503348109247,0.03919412763710407,0.14359690028220945,-0.17510134814760853,-0.020209042233087886,0.1329840258995178,-0.21793574699313573,0.20887494795308253,-0.06934967407634732,0.06478129062624627,0.14240713401408123,-0.057673192230051684,-0.12934331653821024,-0.15938181497920687,-0.13874372599959078,-0.027668300146495253,0.20612978439859145,-0.11030880753467087,0.25657774465238575,0.10937584517878246,-0.16780006456185742,-0.04504706459378317
fa,-0.04953006391458748,-0.09109732175951557,-0.02474996605202113,-0.02355393775986519,-0.11769581654251224,0.1229859742378177,-0.08690711826709477,-0.10191841533000079,0.21347500699612998,0.09498819404460475,-0.02269079476290735,-0.12108382066464372,-0.13476378639605058,-0.0998834564847711,-0.1165249441452019,0.13963915261579174,-0.0901428897119394,0.06113929553093802,-0.0177675144803775,-0.1284708366924006,-0.03655290536721777,-0.02142627082569946,-0.11938566797424358,-0.001972303356373997,-0.06632832503301775,0.16865033714194147,-0.018815157082447558,0.057293548584931464,-0.09124033824649455,-0.16536833151322308,0.03464680639787886,0.046892092755853744,-0.0699456308903689,0.046999096449311266,-0.09974253957628286,-0.0912581147497185,-0.12212435456991766,0.14855679152309675,0.0674387399265969,0.0016045319417589844,-0.04059626768393695,-0.08053912356555135,-0.28209052129919393,0.05720299957566171,0.1266629142407866,0.11984533359062435,0.13630003957330372,-0.06554219973857327,-0.03798615696550328,-0.20364447677154124,-0.05704607149232864,-0.06043201399206434,-0.22293985354204307,0.1428440916177199,-0.07536921368450297,-0.04937043872393069,-0.12754533054976777,0.010333099964539811,0.1351531323116459,-0.04608300525230754,-0.08913317079412464,-0.041237899288901016,0.07330686576088828,0.10092970509121305,0.0340524590201429,0.17742142431289118,-0.17209999770414208,-0.0045070610424842675,0.14449995852351438,-0.2201923047622516,0.20390575166813926,-0.06831314652460259,0.04901152713117085,0.134282551816574,-0.0607766324367416,-0.1265342253113414,-0.15111141908316078,-0.14026098840364476,-0.025799411997856722,0.20659150582467767,-0.1108444560820382,0.23367829130949894,0.1412102695616683,-0.1695882528325332,-0.045153128574345384
