,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
PO4,0.054563404351936295,0.038892196562761897,-0.02773237581642591,-0.02008966886180081,-0.012598278634186307,0.06832591674516146,-0.023306642194362966,0.06408208272793961,-0.024038931496007613,0.03611097638741373,-0.012002675746408694,-0.015858192650904577,-0.08024705337907283,-0.09062823726587729,-0.06989434709002242,-0.06460597973698307,-0.038194314710780754,0.09980762788753479,-0.0023545370009345323,-0.08489070212300029,0.02537467671994601,-0.13914632252276485,-0.023855942570704197,-0.024510970887687424,-0.03391746615477968,0.16440974858778662,-0.03264994104085023,-0.03545272422837971,0.029732492801188587,-0.1096580600084222,-0.043401632719382396,0.16689376166941491,0.024804841181708955,0.021414209431067175,-0.028829850785782034,-0.08743912263772582,-0.09463871200365011,0.04822106464051715,-0.02281291495375583,0.06860161178928173,-0.06291901683137383,-0.027308130751277134,-0.017870765509311794,-0.024685769978926332,0.15065041338111335,0.020558299796095872,-0.025483648607698296,-0.05793264547005095,-0.040091401049250075,-0.15054242655497233,-0.027983674787707184,-0.036084267540178176,-0.10899794086154399,-0.025908158897727303,-0.005826486661564392,0.18617337273545698,-0.005681102585515772,0.13984354229906423,-0.054243464798748114,0.013986444754478161,-0.06775454314045164,0.0022659716744146893,0.06809964674294383,0.036392310033307715,0.04300371702751832,0.007416701010905637,-0.11050496374549477,-0.04681107981189391,0.09365444224008185,0.08162377531522613,0.03579950670847095,0.031851677415772245,0.05483551785522925,0.11813332562175527,-0.0035844814920041185,-0.10080888819154149,-0.10116945079503377,-0.03197229265926854,0.0071184390075448144,-0.004641059746990996,-0.011466741857731616,0.017983680269038807,-0.01963930816457045,-0.04209013376680387,-0.009002872141856558,0.038092517435571904,-0.020438566479571436,0.02796314432123577,-0.07450208377440962,0.06363685958468461,-0.010393191773287565,0.011074259683743386
NOx,-0.051418982181356834,0.03940513812249733,-0.01894074029708137,-0.02944366762715702,-0.02025651164007374,-0.03377809682147789,-0.03349888871262176,0.06854181691104326,-0.04613142666341811,0.07394468659111017,-0.010544611299126733,-0.022725263590395985,-0.06315503783569493,-0.036398892058379095,-0.04077080830559035,0.12152002319254468,0.13104864448208273,-0.045234519735952015,-0.014948889379357507,-0.043453124828912205,-0.02211953312938902,-0.10437418084744415,-0.0684877589057698,0.007444297969140713,-0.028008491841488174,-0.03876077629696337,0.03657637102845977,-0.00715911374543903,-0.028833786781625962,-0.0709321416591549,-0.03391496252056509,-0.02637958408631711,-0.012501795751287289,-0.017397236536621234,-0.08193846348469982,-0.02957555237878682,-0.0521747859994302,-0.04115758790300697,-0.0077061799519841725,-0.0015303694127260011,-0.01699096238252644,-0.036535648536088414,-0.06109530256440969,-0.02130559134508248,-0.04305263108956641,-0.026316499185491546,-0.014419911571667861,-0.03139969658529024,-0.013460186843582744,-0.07678606631427383,-0.023696820777188828,-0.030301986192551617,-0.07653502332188569,0.15208918393629234,-0.024054020199309974,-0.059221125386787116,-0.009543663364299905,0.11364874131662842,-0.003428799164328003,-0.017813941670239995,-0.04052543817926573,-0.04355692032301722,0.13694920171395247,-0.020086612407436047,-0.030734795176137045,-0.03890879506671488,-0.09066103915565252,0.02928352376153839,-0.0478688355628798,-0.020319408498344956,0.21409058222422503,-0.0283716564125839,-0.024148153623696288,-0.03010339638612799,-0.030045087198886232,-0.05385686301216381,-0.07631282689528529,-0.08511554465002963,-0.010501791524067501,-0.030114739667084264,-0.021038736586876973,0.3542289947175983,-0.017642409668631703,-0.045638254246739646,-0.007923984827478678,0.04370187964743399,-0.025637624476277654,-0.022691021847326496,-0.03252695953853389,-0.05118303651592575,-0.014428362950729743,-0.004470289077616823
NH4,0.0514499194004128,0.23218194043286663,-0.03061200308542049,-0.05294958359352159,-0.02024896697180391,-0.04335881472569285,-0.0677599606285548,0.22950751319752785,-0.07971814798146644,0.23262124943214524,-0.03424950837743562,-0.07670561228787005,-0.094301249997628,-0.07229447798636632,-0.07307393383063854,-0.004486717828924238,-0.011542797509468405,-0.05052803708321176,0.013290319368099199,-0.05667685599692385,0.005360907245887771,-0.1549761827408751,-0.09986301358057592,0.05246545638764022,-0.045426432239640865,-0.04595401753414689,-0.03906995243916592,-0.01778991963140379,0.05618217353973295,-0.12253545774229294,-0.018139427145458617,0.012910999562601205,-0.026488218722493566,-0.00382341718202427,-0.09506052415501637,-0.07365588129027235,-0.07681168586943535,-0.0487741915256058,-0.013191032720200871,0.09134500817486355,-0.05420495757168328,-0.06038891952493368,-0.03662765595617802,-0.04008737229639118,-0.01658822976696101,-0.026262236156158858,-0.026244372692146856,-0.05062724430744929,0.014183248070951233,-0.12975442249734537,-0.03634832788024566,-0.05104333462934231,-0.12626803034839587,-0.023541658700500106,-0.02742779698744613,0.13107525902957526,0.053689219115210296,0.31017942574796753,0.01730442791293035,0.01735746930834367,-0.048959664243526956,-0.04558630959166193,0.2701635563372735,-0.03368569701092339,0.0284390222035477,0.05098039126829661,-0.1317061646987276,0.016947539737084252,-0.003563290724057246,0.08539654397054353,0.3108766713845594,-0.03929394297909871,-0.04825171932131414,0.012367739610524484,-0.026868333543344038,-0.08742607924222545,-0.12115779452356407,-0.038708940445619115,-0.008307054761989454,-0.040531605543757246,-0.05520997434153824,0.11635020604486958,0.012019336867379276,-0.04817169443805519,-0.025583664184528305,0.1365955523188227,-0.06461062774834238,-0.003618617733307479,-0.029218310031310958,0.021942633854888725,-0.036461373431560945,0.020730706230758206
NO2,-0.08808828080244405,0.056001942771953306,-0.02546316741957042,-0.005463152910163023,-0.024869123816298654,-0.03154954359919734,-0.023984457430262732,0.103708849217192,-0.06632374091080115,0.08814352478691695,0.013726775830999656,0.020575225011723527,-0.08646616469056476,-0.06605855900581846,-0.07010763433350564,0.12344063647043019,0.18048305138298068,-0.03562245598808651,-0.01946396522859915,-0.06385236831836699,-0.036622634625903136,-0.14375171306062168,-0.036467783662702466,0.022985428581041994,-0.020650331882543463,-0.05443816305207047,0.023423337119252343,0.0021614573136630602,-0.04148552694650014,-0.0825478370764961,-0.037301830840144046,-0.007103337002716869,0.03180840627874503,0.019000393157336145,-0.10312459152897446,-0.05771929955779654,-0.07922693396082368,-0.046670980244422,0.02961834156140188,0.049294286526587794,-0.021260805173335076,-0.05730815875618556,-0.015919500976066266,-0.037351443043067895,-0.06487416367209864,-0.025622667363401748,-0.022349819668649656,-0.04650040842002512,0.0011962070858203531,-0.076821602068698,-0.031732765694416784,-0.034657972279450056,-0.11373111339898177,0.0677234625570577,-0.02079487519680264,-0.09558636417255714,0.02331342027324784,0.13225314088600365,0.026182906675555173,0.006803503539344153,-0.059725998455992885,-0.04642102001157231,0.16394516148855912,-0.021197226524111525,-0.037450350318250614,-0.03488389211528069,-0.12115085723986666,0.05523229332924984,-0.03292221693483177,0.05903139399823919,0.2107010332178268,-0.027452759814462727,-0.03734755919097936,0.029506518126566905,-0.05715486779184835,-0.08229846594464456,-0.08399849073995372,-0.130895565338365,-0.0016868561410781878,0.008401772947733758,0.02417421134763587,0.2650905224524839,0.0049347292722126835,-0.033861870048690665,0.0031082560853760697,0.09734736036995556,-0.027710090837689695,0.0012145531796213477,0.008387690897494466,-0.052005261661810395,-0.0031032331619219554,0.0396233896157897
NO3,-0.0506630482401252,0.03902056554956046,-0.018780519314290603,-0.02977213937073027,-0.020125157017950823,-0.033726977282385384,-0.03357183011540653,0.06776627572778697,-0.045668302412242956,0.07350985936262883,-0.010927714127626047,-0.02339843109160672,-0.06259434725092675,-0.035801113974316914,-0.040166996043974355,0.12116789622740502,0.12986719937069324,-0.04527824715351986,-0.014833145631913134,-0.04299354229144303,-0.021815864156007562,-0.1034331245273945,-0.06884962075003609,0.007161656707598868,-0.0280593751006055,-0.038393461299054556,0.03670280804809416,-0.007298051544503255,-0.028543795862889673,-0.07054896224034549,-0.033768431901534605,-0.026636486676745078,-0.01321894382551218,-0.017967574310437037,-0.08136433890430772,-0.02902138043785974,-0.05157965173119351,-0.04095601277793308,-0.008317696067334769,-0.0023866429360351665,-0.01687399866608294,-0.0360879418595285,-0.06169929375702392,-0.020977949349346076,-0.0425700271158749,-0.02625902692607009,-0.01424775694794541,-0.031061503665975477,-0.013672870201918198,-0.07658350514887025,-0.02349847153194444,-0.030148554220381985,-0.07570411327566083,0.1531172064613879,-0.024045921157940655,-0.05844981731782678,-0.010074727189232316,0.11303491401829258,-0.003921012210396266,-0.018183782649903044,-0.040093845794389266,-0.04339387860846361,0.13613204823385053,-0.020014982258210825,-0.030540284900282596,-0.03887458741650799,-0.08990649112967541,0.028767273843393563,-0.047995931235905814,-0.021609120133600813,0.21358486389466735,-0.028312588386133153,-0.023861216449849357,-0.031033224559420022,-0.029507182048779612,-0.05323378558942951,-0.07598201825921384,-0.08411676800573405,-0.010623378752421165,-0.03068749427110161,-0.021748711735494114,0.35480614453466675,-0.01797816595465951,-0.04571755479102466,-0.008089883981392893,0.042678890532074965,-0.025535113197984013,-0.023035985642440207,-0.03313396241012648,-0.051034499289888,-0.014582112218477338,-0.005204896254800461
temperature,-0.019605330536779143,-0.1492638778792843,-0.019931633706966854,-0.09256414908100795,0.000467669152723775,0.15527300800616073,-0.035238698170245414,-0.17811267627557598,0.24284141014796837,-0.20320457830756608,-0.10244767202219517,-0.17200093752664425,0.2828018194289002,-0.03629760758145722,-0.05422039908449521,-0.06106257039948143,0.031157436507533665,0.24225715917723775,0.006601256697718429,-0.1395683932464396,0.03613570005399212,0.2326196193446236,-0.09274586508398658,-0.04537746293947509,-0.0060882028175425415,0.24600237618764334,-0.0717115455930644,0.16160516837809402,-0.04875101875059641,-0.03520975104993725,0.11531090529076307,0.14195405445270476,-0.12478795135730388,0.06304137100395732,0.30986006469871663,-0.08642890450604654,0.08692244499766633,0.2448115838225336,0.13515507648045624,-0.0685563476015574,-0.13780278034637544,0.1308514116211537,-0.2488229339571603,0.13082883860519243,0.2132906110294192,0.11238209337176813,0.029764908621207994,0.0005393447584114228,-0.21050167758635996,-0.21992464409951912,0.07308578785505294,0.04087331708356079,0.2728545563057003,-0.16065715717499773,0.052027333201310526,0.06492509070729209,-0.21981234789098605,-0.23307418917456552,0.0445215670422109,-0.05591202177447722,0.03498618238931363,0.08368436465877321,-0.2808085900782874,0.13026242854009046,0.07173091521351085,0.02862704303406114,0.1940200352248698,0.07671403291048434,0.21622575615334588,-0.13374035581600618,-0.11318903602793426,0.11679925081411358,0.1822646114471011,0.10063073693099477,0.07679096125882123,0.007356095885982857,0.019877376388719205,0.04720776229104889,-0.02927091975397727,0.15415545779817058,-0.18563342765117188,-0.25253938568808215,0.11064419140124486,-0.10910091249823592,-0.07265052415233397,-0.18537515588216275,-0.03476917100440999,-0.04679335101542708,0.08061422009994437,0.17101962802607124,-0.11339438422460132,0.05598830270219062
salinity,0.061482861093228196,-0.057613044353624236,0.0011665502989021892,0.03530746858467281,0.035753157000419734,0.0777940332273406,0.07964124283993665,-0.05683874523837168,0.07806724113558189,-0.30661330742813697,0.019441013268609357,0.022254634997680805,0.18816362527785208,-0.003965106329775046,0.06602381083306916,-0.1799464647482202,-0.3680388277864557,0.11694690935053645,0.042881308263989955,0.01851662393469366,0.06054820947777972,0.22151152756996073,0.16722954361516382,-0.042223375364032346,0.04088736199354008,0.1307370652530634,-0.06063437813003108,0.00815964259543299,0.07988173605775944,0.09512229061550201,0.045773080100391134,0.12106444240946979,0.06913989907346021,0.03838399077975675,0.2538514494504139,-0.004172023419181778,0.06053974757539485,0.13806927749172934,-0.23188864581988672,0.021513165389057422,0.0027444891715997454,0.17669878356723356,0.1106918638839059,0.05290840872003724,0.08769880002809376,0.058317490340962494,0.009796688327549855,0.0009632452642752475,-0.03184542654815588,0.016021184623714813,0.054054197922531404,0.05684489768167551,0.19613597484547762,-0.2639493943157743,0.10303181599861395,0.1780785270967038,0.018963689619729926,-0.20067266751027463,-0.09604257618242215,0.07722677668089874,0.09652439950034539,0.12635700250815188,-0.37196573547638156,0.07390665973282298,0.09686279338452064,0.04262498262432662,0.21646252031620067,-0.06872379958134095,0.14941340646401235,0.1339330827956598,-0.5383249989830414,0.06708974614089334,0.11184467481157633,0.06766725576264303,0.09326852146006687,0.10422614328814478,0.11021962420410383,0.15730817468633873,0.03664767323603841,0.04733438199585875,0.0036080327087650126,-0.4533006748014329,-0.006267930168305957,0.05129569656759809,0.0011441093630539605,-0.03870363079978001,0.12504437691062753,0.0928819716181197,-0.0224076227071779,0.11510708209292345,0.04503092632448622,-0.030427774693863034
Chl_a,-0.07913811984215502,-0.059605380797249606,-0.021826864255685054,-0.06811619093427418,-0.021153020275685785,0.07167072805514396,-0.05846043089795079,-0.06763393424325276,0.1668942477538305,0.07682113852803199,-0.03167139643538709,-0.07377875469721423,-0.07799014521266977,-0.06301169959661812,-0.08784948545527424,0.09989710293788889,0.20947941014662708,0.09516685547543621,-0.029893945863342708,-0.0860274022915725,-0.015500238111851838,-0.14180822304389057,-0.09999977127023083,-0.0158706326456338,-0.04116470689989664,0.08899780187804043,-0.02553323201589664,0.05538953242779186,-0.05368098647640783,-0.10878380056487497,-0.012513242971123297,0.04135375141695117,-0.05180715518172491,0.0025518810254212777,-0.07977410963076367,-0.0624679952018193,-0.07415333610732436,0.07727418477199403,0.07448176429945345,-0.004600744146598267,-0.046207390298432044,-0.04511412762517965,-0.17506239757824282,0.019698909140030033,0.5681911807104392,0.04051062551805599,-0.014616500955655485,-0.04326582085166127,-0.061288949879392644,-0.14712677510377095,-0.03231299293681055,-0.04245103369298317,-0.10264372553870085,0.06325035384491554,-0.052171663789380054,-0.02645413854585273,-0.09023021413129886,-0.014527064226691887,0.04561822648828928,-0.028008269223050462,-0.06435383853858426,-0.03933309254472159,0.11834604897980004,0.01854477871843091,0.024120362862958787,0.20703034112970942,-0.11195422635025043,0.08850248209846309,0.04253218954107343,-0.12681747090190437,0.12544547407143405,0.149458689418387,0.03294400655290236,0.08853682852211313,-0.03662236908427059,-0.0864975616941555,-0.1105885657577614,-0.09646282653200033,-0.019471090985490595,0.2034676891828092,-0.07127214529558713,0.14342578781592163,0.11294359229766511,-0.10538802554621221,-0.026012182499193893,-0.050499255852754395,-0.08320137408620301,-0.02251151277016789,0.012258166101825549,-0.042068815290392726,-0.044617584156231405,0.03079515477068292
Phaeo,-0.05279675638937171,-0.03689202136481548,-0.010466456134221307,-0.03166851267943376,-0.009425868852659081,0.028193545508212046,-0.033798611298764186,-0.04656591488434064,0.028168610047705465,0.005280639359290119,0.0027163122140460606,-0.046892758539868774,-0.061683550001664936,-0.040724239887461405,-0.04283870808712266,0.08616241061402982,0.07492708901154234,0.03504666109379949,-0.01409236821080493,-0.05754216344498912,-0.011779245662417205,-0.08641870654028022,-0.038311605167052974,-0.009744751669624043,-0.018939304842652216,-0.018711754189724962,-0.009393228432627427,0.11460703199936946,-0.04231284104994919,-0.06594940504004197,0.012798587469149107,-0.008807466400560359,-0.02208460439457864,0.016181372068779672,-0.05257745526175564,-0.0367469366014968,-0.04930472844239722,0.00904155620975173,0.12186459230715502,0.008041403755116125,-0.013802179685025347,-0.03755015237811728,-0.10725199012213074,-0.004221361918154908,-0.003168369873043784,0.022583985413802375,-0.008700652354952603,-0.025994584653656103,0.018555287078909764,-0.07253368221619104,-0.0250216218719837,-0.019353158001816056,-0.06662903533887851,0.002282869816519057,-0.03534221820679899,-0.03380668282939876,-0.055394905707678785,-0.026527584188222368,0.0639809074304166,-0.019846491677711183,-0.0382566896749855,-0.017081363654953483,-0.00028956685984537697,0.03718062073057397,-0.007940016227015588,0.4724074121839339,-0.06257334636085125,0.04624396443105157,0.07268108749657125,-0.08684317182667567,0.05647536158643425,0.14357667215888628,-0.023108078536416506,0.033644380239430956,-0.03011909908215167,-0.04554808108038048,-0.05129632040634473,-0.06378128137160963,-0.008130771842933152,0.40111201108705097,-0.04727028449373455,0.017734530047514567,0.29060795984541554,-0.07005828949094434,-0.016613412427676277,-0.03026193882097962,-0.03467556131309445,-0.010983593307341095,0.06270333245729544,0.010254800112937012,-0.024019927615469443,0.06135926034783183
Chl_a_conc,-0.08075559806882482,-0.060043450317587385,-0.021161078217781085,-0.06576837489999404,-0.02031299127182765,0.06780822751416338,-0.05824260514808524,-0.06940837786562079,0.14772284307703848,0.06590994734308292,-0.025844397800205126,-0.07465448474201528,-0.08220493422873848,-0.06394286152441561,-0.08536338453445652,0.10723771371069712,0.1961599942561876,0.08938927279340034,-0.028916267800276903,-0.08782620902031317,-0.016207554650126042,-0.1424834289117425,-0.09433201164108604,-0.01596604669303002,-0.03969183295611371,0.06961573292755113,-0.02398045399323799,0.07760531580911538,-0.05654288378456154,-0.10920835490336384,-0.007027484700728469,0.032317030873327976,-0.049478045414524045,0.006535171819939004,-0.08122984421668228,-0.06240665951465649,-0.07562374093682056,0.06731130906725,0.09559996828240168,-0.0016781136820125907,-0.042529402173707015,-0.048059585831186684,-0.1760501585215861,0.015387220406659553,0.47602432498288383,0.0401324200741429,-0.014629968986577008,-0.043370868434986776,-0.0464020923805929,-0.1431774117541072,-0.03391396002355429,-0.04088381529627134,-0.10423949651289106,0.053706028922175596,-0.05338352552538702,-0.03138181944789331,-0.09077064415673572,-0.01939505737491471,0.05565883643415567,-0.02889590374330862,-0.06439936337749991,-0.037650107814983604,0.09924957423551328,0.02565952082699631,0.018088515741479447,0.30202353285308714,-0.11095267615877905,0.08683600058971881,0.05543088402410252,-0.13001689134964545,0.12062026977568915,0.16442332775264965,0.02137597754902755,0.08344394094642488,-0.03891483770637916,-0.08496432704974162,-0.10674467144241127,-0.09827866172312838,-0.018549713898008552,0.2796761234442537,-0.07265318123240325,0.1251927590549605,0.1736962539955228,-0.10747386534998092,-0.02634277559624187,-0.050600532517620915,-0.07924585184523572,-0.021876112599957195,0.027312765973661484,-0.03252422358421807,-0.04396927243730159,0.04250598996950105
