,0,1,2
PO4,-0.09775036530567796,0.3231580828179622,-0.13315108025933903
NOx,0.15215746312868395,-0.10127699432009818,-0.07881979889226672
NH4,0.08351521305205556,0.020611193293484313,-0.09752311990407345
NO2,0.16043253730044904,-0.08379575100908042,-0.09947682066933852
NO3,0.15161719411665486,-0.10130652105506616,-0.07826283297394253
temperature,-0.5014524724459242,0.514833720267917,0.11316523469147606
salinity,-0.3413833316731657,0.2777558311962923,0.13132177520624178
Chl_a,-0.04994638230819448,0.20984183395741823,-0.10178152924457531
Phaeo,-0.0016696987316606464,0.07983885557792349,-0.05598301644503743
Chl_a_conc,-0.04237348490548436,0.197797761094947,-0.10062537429712604
f0,-0.04105308125961588,0.34006531759651326,-0.2046604035863903
fa,-0.03659300628158324,0.3227462315124049,-0.19659629671815648
