,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
PO4,0.00413514111625886,0.018669560025511824,-0.08586732704330433,-0.03716158829491495,-0.11059522194702415,0.08240673583858495,-0.013241985559700947,0.06657466490831077,-0.022026589130915205,0.06204758612039,0.05711744367294502,-0.012919065979653102,-0.07983860829517261,-0.15229290645360366,-0.06951689793149858,-0.06345484999218222,0.033750482073025695,0.09621946375660673,-0.1008132092079464,-0.08489691599317423,-0.019278566617801703,-0.14114990409336736,-0.025437825425399588,-0.02615746496144132,-0.026831191202840974,0.1659142759412512,0.07058025294585046,0.004215405973167045,0.03906681275341798,-0.11018404232368825,-0.04438916676713307,0.12422666989375554,-0.03282817269053186,0.022455330111850188,-0.02864434338214212,0.046342765293043715,-0.004875031641617232,0.05062787885627723,-0.03009951138065362,-0.11292464047521003,-0.06306710964096039,-0.02586219855319486,-0.09065395802071577,0.11943445965548086,0.15097077218518723,-0.02912080736139879,0.010920051192585142,-0.05229838692272419,-0.041183446307101426
NOx,-0.025148517440286556,-0.01758548085769293,-0.03030242849975933,-0.03135517462603888,-0.09113900307304929,-0.04202312408474283,-0.011709380380000948,0.06852739768188268,-0.022699884563393717,0.11951568301043945,0.052622560774438706,-0.023136223683121633,-0.0638538255499244,-0.07835969474991256,-0.040883926372702495,0.1226038672474297,0.21487564194735576,-0.050241694679469144,-0.0765287067296103,-0.043487517725927946,-0.04547526618547521,-0.10603992913094193,-0.06853660181294004,0.00678233343539536,-0.024038921588618697,-0.039095456738983396,-0.00022604780277662084,-0.04039063731051223,-0.021764419282718737,-0.07222902919980376,-0.03434605577965935,-0.030679106255677505,-0.046928958083323945,-0.019528353210758888,-0.08212824046075856,-0.03481252723275389,-0.03171665396537335,-0.04230826649516796,-0.020722808785954543,-0.06642608068176871,-0.01733351880735389,-0.0377685985365569,-0.03652694699582382,-0.08993809905422259,-0.04327584405388127,0.0391584894928534,0.35626396709538233,-0.02982056916081713,-0.014268999369793638
NH4,-0.015882695037661855,0.025020958746891368,-0.0688424618023375,-0.05218204442337268,-0.13200189711889151,-0.04898912124195724,-0.03683872924006078,0.23844608147795937,-0.04175942761402667,0.26840135574548796,0.17259947124501984,-0.0677118328637379,-0.09444276851774264,-0.131933999264268,-0.07285522215163252,0.0024110552957801925,0.30826043005117765,-0.004255844009814239,-0.1216062016876282,-0.05663996650060517,-0.07841726905126144,-0.157593993538449,-0.10287252332270305,0.05274790803725071,-0.035438931959824484,-0.04622994759453372,0.09366999076591637,0.04373482143883608,-0.035049475672508455,-0.1245736396396037,-0.01832890028661921,0.01448987879762822,-0.04438564161220703,-0.0038464863672310343,-0.09526855335501687,0.03057719165264914,-0.028480215382525507,-0.05002946261902916,0.006820644413932188,-0.0921527422559832,-0.05417231859847327,-0.06084120599337326,-0.07235040311759686,0.09127194679290089,-0.01710425200076978,-0.018789905637810394,0.10204194825708858,-0.04798863109421689,0.023712388424856748
NO2,-0.016650976463236492,0.008883471815901522,-0.05586993499468679,-0.03621198014192675,-0.12154703535154486,-0.03560535881494277,0.013051413361049057,0.1051969886001751,-0.03813225413370783,0.14425650134287937,0.11471495057283562,0.025410256852520734,-0.0870126083536508,-0.07544258509061474,-0.06993480138125549,0.12685300060860255,0.21428575146321266,-0.03484330962677077,-0.08389983882482026,-0.0638878431325184,-0.0646373174936923,-0.14643697506784964,-0.03729982939008235,0.02392959618511247,-0.03073885721798916,-0.054879724066210805,0.051005200148897645,-0.03318864117489272,-0.022141707898170163,-0.08335010036989354,-0.0371413673754529,0.030503349563122582,-0.025073772837687882,0.017757033608247087,-0.10279788184318718,-0.039113563283566403,-0.05959836042207174,-0.04791903575238503,0.0095133283592794,-0.08994534403546675,-0.021584017097022054,-0.05846226189831361,-0.06608563625664875,-0.1368088710721997,-0.06507972523712106,0.027842811773052045,0.25866507377690806,-0.04323049902916337,0.0016629284435780791
NO3,-0.025226208961715204,-0.017987262817123446,-0.029789952261564577,-0.031190495330650842,-0.09038458229711992,-0.042021228745180675,-0.012097703765585895,0.06772646091871165,-0.02237895964058198,0.11878255479982369,0.05143312972196048,-0.023897108134619434,-0.0632938757383385,-0.07820297351946293,-0.04028465682733631,0.12220947521169222,0.21432046953309636,-0.05037019631140109,-0.076202654310094,-0.04302782641623652,-0.04503130679326067,-0.10507723452401185,-0.06888507807728733,0.006474246573798199,-0.023862286921595043,-0.03872545233212059,-0.001092634201435789,-0.04040631018952806,-0.021700789084540095,-0.0718508111632312,-0.03420840447692963,-0.031634038307419794,-0.0471754656902999,-0.020108112690976558,-0.08156235920145234,-0.03464816194297519,-0.031161286094320683,-0.042102016621709024,-0.021180105437485042,-0.06585326364586075,-0.01721598155306685,-0.037318983628698316,-0.03593054133557173,-0.0889081753925875,-0.04279295177597996,0.03924703457169121,0.3569789724397785,-0.029515149123003917,-0.01450114612485957
temperature,0.05268229275323509,-0.0623962362793532,-0.09531348493637702,0.04128393658783928,0.19479938764558102,0.18077615466599903,-0.10561080782510462,-0.18481028959040488,0.13438749947395817,-0.2743602161237978,-0.2218942691784895,-0.19408861974573194,0.2841173483457781,-0.2222367873275723,-0.054700824017420005,-0.059102585286809395,-0.1113030233203352,0.22712449807350968,0.01889311880262229,-0.13962539680194264,0.23825575339985058,0.24158855003836105,-0.09169736084278152,-0.04428898549617453,0.07168424962090669,0.24847625040464993,-0.07058598538466027,0.03408414697749244,0.17367059819171984,-0.04091745080720958,0.11616736194828736,0.10474317887960996,-0.12932564637724736,0.07047786851983123,0.30661540866687553,0.09776920564435196,0.0784093180130806,0.25047212971792104,0.12603983757541776,0.006819619501161516,-0.1386934243709017,0.13249756385185618,-0.03671829783301883,0.05027902403090373,0.2145057796509485,-0.08103204462006502,-0.2637219251213992,-0.0025848529954663616,-0.21703921763152606
salinity,0.11001297742589893,0.07962762715573729,-0.0016866044206964243,0.05844405287637243,0.21783629803378837,0.08899834696289596,0.021727963797718144,-0.0565765300239454,0.05444952890038249,-0.3675362503035412,-0.04857919562031657,0.012660019820634888,0.18973625899749325,0.016414253324498796,0.06660537593389024,-0.18606975844251902,-0.544667128393205,0.15502066087432498,0.11214083188141659,0.018528227629546104,0.07716835140352479,0.2259548840467812,0.16743470773941255,-0.04347186562519813,0.05615489874086539,0.1326643741144708,0.01949296650729853,0.04527383538025541,0.09561881163935262,0.09893537013181855,0.04503930848414785,0.0717618193553185,0.06304173429540899,0.04142732748904461,0.25406940876872663,0.10431629336966758,0.09621792023459368,0.14138252755586767,-0.05166381604390864,0.11108963512602628,0.0030671187389419473,0.1809393301135569,-0.0037414902977810026,0.2174315672028055,0.08847103291214248,-0.0635886076433677,-0.47267267561117143,0.00107838930507851,-0.034711857842372774
Chl_a,-0.05849086354746462,-0.031447137518205624,-0.06871311168975863,-0.04374741909080998,-0.11274019586410106,0.08693253438331085,-0.0345137768551774,-0.07112628911043586,0.022647399403605866,0.10977130526954408,-0.06350078054761005,-0.07804562912254896,-0.07941206216681435,-0.14803561937656345,-0.08843691478565235,0.102099943320282,0.1322734091925353,0.040885931170795455,-0.11167033720655227,-0.08607206568837883,0.16949009813847343,-0.14415114641529397,-0.1021057038148412,-0.01550117014716818,-0.034309941651499046,0.08929678092804275,-0.0033641506804756322,0.21630986824944654,0.021411676887265134,-0.11170950230388765,-0.012428571050208798,0.08925817841832609,-0.1174929972343576,0.0033878820047845565,-0.08073620726018985,0.02120425143403611,-0.03849533249219893,0.07776992809823333,0.12080574267606076,-0.10269568883780059,-0.04698761959521712,-0.04701793503988115,-0.06345418053607381,-0.0985478061675526,0.5688005147335822,-0.02985373888868963,0.14743811861258613,-0.04182183309786337,-0.06328347352095949
Phaeo,-0.038191389998076794,-0.0221214219803747,-0.04065569686874191,-0.020151020816025447,-0.0631081363915524,0.030232803095429195,0.0012238341191582146,-0.04871006021214859,-0.001669434449522447,-0.0005412693195994897,-0.03958817768382073,-0.05090498407844713,-0.06195841339732183,-0.0724429263335965,-0.04316536687953519,0.08689776770916846,0.062002748911544725,0.07326458461541292,-0.05178906198756522,-0.05756285368228251,0.02893723723648722,-0.08779075642964526,-0.0410701079627003,-0.008417973876899841,-0.026572324166547444,-0.019078442599439673,0.00811999884462319,0.4898555147592291,0.041792196844699335,-0.06730587910544725,0.01361595002137446,0.036286167707608674,-0.07706978956441457,0.018497931190874516,-0.0529364909537057,-0.004918863786786921,-0.031519037115402763,0.0090279022981162,0.3040227480761244,-0.06064337339314279,-0.014310720789266318,-0.039088823737788145,-0.04098761332736535,-0.06466423962342657,-0.0022592212718861217,-0.012258077314785324,0.01785449716223559,-0.024316904970094783,0.019679427390538372
Chl_a_conc,-0.05946082150109056,-0.0323998177784988,-0.0687094638260857,-0.042188501510257714,-0.11175754245003827,0.08117118190218124,-0.02863523581304276,-0.07292167418671962,0.01855476560894073,0.09198442690934945,-0.06404489876560784,-0.07932503619490393,-0.08347298097840208,-0.14391556653914875,-0.0859451061778004,0.10928621951564549,0.12785170555471242,0.05420759851537046,-0.1077863886986212,-0.0878693127062036,0.15011023644924137,-0.144822373915875,-0.09684848245644007,-0.015295725051686715,-0.03601103300058554,0.06976710813942909,-0.0006188978882802031,0.314549165566997,0.029317796426857837,-0.11203219858034505,-0.00673449890984502,0.08476663825749782,-0.11953728209208199,0.007865794062349815,-0.08213481667150163,0.016461281439149423,-0.04086691575487007,0.06772368078317394,0.18393720143320388,-0.10265795493460156,-0.04332232389254849,-0.05007521854181048,-0.06438574507500136,-0.10026832153042212,0.47678258188786016,-0.028384497488668246,0.12859289234882254,-0.04170342188643196,-0.04777088907597336
