,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
PO4,0.10288517702042507,0.09532649231040531,-0.08507407008031782,-0.029102558035659934,-0.10404615273107914,0.17331364246552022,0.045252239053551975,-0.03522095859934917,-0.015626402045742675,0.0834197726082089,-0.016554037097422272,0.1994617418854676,-0.040110009321092426,-0.12350308030420681,-0.07646109334248674,-0.058315019636813376,0.0686275972077525,0.1843056928000143,-0.09946658198944079,-0.08318730925254961,0.02759430114297564,-0.18816130751207094,-0.02173957729083505,-0.047268693305998075
NOx,0.12029063634525054,-0.059673135758915793,-0.046539889631795825,-0.029917369257997727,-0.11538411044794947,-0.06824910242881166,-0.0941925848667907,-0.053059853435087026,-0.05506579398851786,0.167555921923907,0.40717368267381676,-0.04760648242219383,-0.07938382995627777,-0.047780188900131304,-0.04629081388221325,0.1274518011181043,0.17660657550323175,-0.05139589536958157,-0.08542896019509946,-0.04827736356973695,-0.07791950531985314,-0.1542715922452204,-0.07039966247156665,0.008301425565970789
NH4,0.30159828525424776,-0.050644166169842415,-0.07551853335952535,-0.08517368116372612,-0.14793912009016663,0.02087606796982945,0.000998245592733143,-0.024965402238385108,-0.09639013002358762,0.2637331128349823,0.08400994168816714,-0.04057789781107944,-0.08868497563702464,-0.10315090390947476,-0.08439901303036976,-0.0033273985062223653,0.20972926281792328,0.07051081530227574,-0.13354779694367386,-0.052022679945866894,0.04928834167782687,-0.21638495725241105,-0.10604666698336247,0.06433865414157675
NO2,0.19291259476045292,-0.0640334264416122,-0.06150568325613276,0.030115282269773405,-0.14299476258166294,-0.1179558402411846,-0.12492692522297175,-0.04276212603724578,-0.07821320285210406,0.17375353396716492,0.3088040190678156,-0.05932723426520535,-0.09972064071033418,-0.08099320952318789,-0.06716141460478424,0.1242421542865196,0.20283399756074294,0.029719012508521832,-0.07685652534364595,-0.06104286183977416,-0.05286672882222662,-0.2010753883542306,-0.03482326699635277,0.04917929064415629
NO3,0.11874499553882764,-0.059442380093822175,-0.04616415931182269,-0.03085484229613839,-0.11461327184069167,-0.0672282204861699,-0.09342460933079458,-0.05309460506056489,-0.05452915063254331,0.1670103172777257,0.40776783398056327,-0.0472828749561658,-0.07883080069289697,-0.047092329284807985,-0.045815789199552856,0.12717091149856777,0.17569812565723686,-0.052633731518454005,-0.08534937220593368,-0.04793430736796771,-0.07813862779996911,-0.15307359487507288,-0.07081669450684949,0.007587660157347116
temperature,-0.3550216479067795,0.30798769980541796,-0.037594953320680025,-0.2953856842605753,0.19480917390171792,0.2662839759743244,0.07013330826042014,0.15906655961895724,0.2909087307262316,-0.2724482716878912,-0.2658642497068101,0.2826214788394784,0.3043639690188255,-0.10801544414453318,-0.10123990968045171,-0.10107708307482,0.015433354672422878,0.14343948763410713,-0.05995244731396986,-0.16669571221235438,0.023977027518917695,0.2807505287583939,-0.14074393432525373,-0.11834772749424477
salinity,-0.04524849067552375,0.18118576058056965,0.010274479685724574,0.03794402528148834,0.27137716774236914,0.1503070696595103,0.26648192058524683,0.06469288262287803,0.10540268209251408,-0.4082559135395436,-0.5646654702811035,0.16205780638813427,0.23278762573631712,0.0018857461917010663,0.06523141187868854,-0.22365120577765427,-0.6351531202223503,0.1016936433312271,0.12268295427781946,0.024796421053070658,0.17364141400549268,0.31379151267841204,0.18165792476360187,-0.06681576245582346
Chl_a,-0.1458993807409114,0.06506295447962376,-0.06977888695770254,-0.12634588376505687,-0.1450459852675485,0.4477459970690912,-0.12029536145563631,-0.005264757925219703,0.1309074642250061,0.13745601530314494,0.1921091199631986,0.07532188314106975,-0.08596820619701383,-0.09886565133835273,-0.10972170831563384,0.08802882003399617,0.17534816810699738,0.051262059307745064,-0.13879410114667998,-0.09556742907196772,0.15342071250568262,-0.21256363061407196,-0.11798110978700985,-0.04684416687656409
Phaeo,-0.08655525739497219,0.017250033986429148,-0.041647444843096154,-0.07388919795814324,-0.07575082521089227,0.010357003840098767,-0.0791606592880886,0.04283770485130853,0.0247780951074415,0.01567314721440998,0.036821917961309514,-0.019550759026650884,-0.06335549231595405,-0.061419285262764994,-0.058956549723591406,0.08014174055639244,0.11515621276549894,0.062411275008210094,-0.06539130595380527,-0.06304265501001953,0.46176424290414897,-0.12675601016966045,-0.051972883253468924,-0.014161571859442213
Chl_a_conc,-0.14595422447602688,0.05929105345039189,-0.06987323961978788,-0.1261039805528051,-0.14230447835507304,0.3786065669101619,-0.12245700244658642,0.007212048351831471,0.11659847610091628,0.11962262934357935,0.17123520246011734,0.05790969686115392,-0.08935489029969351,-0.09965405917754327,-0.10809692819966493,0.095641968756423,0.178436065509143,0.0599695546404937,-0.13424456189414954,-0.0973266090533409,0.2541391061422341,-0.2128205515156259,-0.1131329479833284,-0.043161428482074854
