,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
PO4,0.055630333072036804,0.039311448367219406,-0.009108086076252877,0.027887718106072976,-0.02033041525018982,0.059369147399457756,-0.022546518928829043,0.06415896844718999,-0.023934132093608528,0.03626115556478862,-0.012001010845227549,0.03006759411839293,-0.0802312308534129,-0.10978257491170813,-0.0698723643970995,-0.06478896589420867,-0.03577035295435178,0.024291432769107082,-0.025536095807046744,-0.08490163521300136,-0.019568359164829206,-0.1400814315984166,-0.02434751039380689,-0.02455175827585973,-0.03394610682782488,0.1644134476476969,-0.032679456531864555,-0.019148959363034887,0.024987787141070385,-0.10991717065007518,-0.04328341090123937,0.166887188896853,-0.041935380189771373,0.02201921078277122,-0.028831309190346082,-0.08763907941659838,-0.09480761679917754,0.04806006839870119,-0.0229749946117477,0.06859820931639118,-0.06288873213239676,-0.027281776442189893,-0.09061989780494213,-0.00931299861893236,0.15056958520578154,0.011634169818582694,-0.024631908104797103,-0.052206644545371966,-0.040391585453040654,-0.1505887867738854,-0.0279425386469103,-0.036066738271761774,0.002379881988792111,-0.02567442750685711,-0.005948201218336538,0.18620563137758733,0.07482338576936062,0.13734669234429486,-0.05687558018231996,0.014060262482261847,-0.06849119705763486,-0.012631326781182303,0.06810609752650845,0.03619792995185629,0.042867567612476024,0.009546802356917423,-0.11048544792130587,0.0636044020780783,0.09347255267809161,0.03658299167603274,0.03454790521175672,-0.07693938460925037,0.05490600619543013,0.1175724229982516,-0.0035967760405444006,-0.10085443241416482,-0.10112402906062423,-0.03138935914072613,0.007129430632389094,0.09724681142752897,-0.01407789532731216,0.01741626569570851
NOx,-0.05274744369264689,0.038953735900847726,-0.05268240200802178,-0.022722363124192575,-0.025840953323359367,-0.03235372698401871,-0.033348757119427364,0.06860871461511017,-0.045876977498060446,0.07295709361162836,-0.010575526803075497,-0.028782179363959128,-0.06316624434821179,-0.0774089772679195,-0.04076267643967803,0.12215832249647562,-0.0073126767200220235,-0.02532385659483542,-0.014627785782253494,-0.04345905249089961,-0.029481747250630706,-0.10497674626814887,-0.06869913307720235,0.007391840334630208,-0.028023678185749808,-0.03876172919722516,0.03650577307425276,-0.018187325782082146,-0.012505917444762394,-0.07125838020094186,-0.03395978970570625,-0.02649929346014719,-0.04545931921138616,-0.017800500907512604,-0.08187879950683032,-0.02987146449022171,-0.05262566285482563,-0.04110339257894062,-0.007692242180039844,-0.0015743649319600091,-0.016935726938263722,-0.036544962017336195,-0.036429023674090344,-0.008689356778372868,-0.04302701193751763,-0.0046445764198767,-0.02130307693384631,-0.02973452403184345,-0.013277375455221552,-0.07664956046139985,-0.02372592009473269,-0.030300502828667347,-0.04261152137235587,0.151560920553112,-0.02408343121292833,-0.05922368835519497,-0.019526172556985043,0.12052741830422756,0.0011112310644937852,-0.017872420476617402,-0.03721524620536938,-0.02027931914943437,0.13789704202514885,-0.020046609384005615,-0.030784181398321668,-0.03886800598097205,-0.09067681514019549,-0.05116979295536605,-0.04783280620491512,0.04261315172890963,0.21570343127585415,-0.028770449609578204,-0.024154623752361326,-0.03024822101046478,-0.030101860108441257,-0.05444644748991104,-0.07628999086098354,-0.08514851031159493,-0.010508194890933872,-0.04303297070330561,-0.023059014516331345,0.35550845711786044
NH4,0.05238943860734844,0.2329356176106319,-0.005330335708339202,-0.0036892776273850774,-0.06551211268412502,-0.046886144366142864,-0.06863986902838956,0.23001050976615806,-0.07930276974087525,0.23241423959840624,-0.03432305633657465,0.05679813923599123,-0.09429543633363992,-0.12709713082652915,-0.07306290050815098,-0.0047988270089847265,-0.01798980211777149,-0.025062596001850485,-0.026336961258611284,-0.05668901656442754,-0.05366204577243555,-0.15619683475242102,-0.10040676407972424,0.052458208163857635,-0.04544204441220506,-0.04595044899259908,-0.03904015781687503,0.01069605561971405,-0.02626846270905122,-0.12304074966392636,-0.01826697411589533,0.013165124428755157,-0.04765153489287087,-0.004204979965700838,-0.09491225041096679,-0.07403064211475091,-0.07734204213942648,-0.04872827099908704,-0.013110095419085303,0.09131656147082401,-0.05400023751951588,-0.060396539496880945,-0.07230145860354928,-0.027733895149034137,-0.016701079574586074,0.020810177836281543,-0.040058882879111524,-0.04791214996209229,0.01378245923835524,-0.13029379011869324,-0.03635157977858357,-0.05104665162575381,-0.04613634014252889,-0.023079819633427454,-0.027284657050121883,0.1312310810168378,0.06784804269770467,0.3101748090304982,0.0190029913999609,0.017373368642227948,-0.05012353497822224,-0.020253646763503483,0.2703177440433271,-0.033914720677916,0.028520366641818284,0.048769507787828986,-0.13172301138744757,0.022258625681201828,-0.0035405087129331035,0.13579784611390175,0.3091913831079271,-0.02841719277920929,-0.048213123584690966,0.01192829702012574,-0.026915757808780374,-0.08780706454373893,-0.12109964613613308,-0.03863109758709447,-0.008368618933168972,-0.0480820822101993,-0.06722297595042463,0.11594110966584247
NO2,-0.08870824874142569,0.05528390287853746,0.0014130701093908204,0.0011336902204150563,-0.02726362288392023,-0.033872526653296875,-0.023273282546643577,0.10380083197866094,-0.06590921550504404,0.08711500564725327,0.013705880078687865,-0.04154498137351982,-0.08646373355648077,-0.11465067355095387,-0.07010974103129103,0.12396504757007858,0.0009099675091054065,-0.02421995311017244,-0.022494099031553413,-0.06386377092974732,-0.005047865475244178,-0.14485550871925276,-0.03673917849576476,0.022919040642878287,-0.020683557922215344,-0.05443140987451381,0.023352421215638634,0.005537956354822673,0.03176724934973871,-0.08288557150663856,-0.03729262216751465,-0.007415902597868061,-0.033751932647822856,0.018358544324717736,-0.10304782003654524,-0.05798443706353317,-0.07947879004702046,-0.04664396817651495,0.03064556467887801,0.04924823979101267,-0.021286861867881438,-0.05731191058590928,-0.06608218190631007,0.003252286974797226,-0.06480968531226984,0.04065433922802439,-0.03733470871965447,-0.043161386586284656,0.00142799895495204,-0.0767063185322612,-0.03170208569009862,-0.034635200825847284,-0.04462181427041624,0.06779659715336007,-0.020743299631988798,-0.09561357837460686,0.059178608856682274,0.1404977631129497,0.03216513777349673,0.006691213053062901,-0.05785878851226282,-0.024912315825305297,0.16474621898681097,-0.020729027234561315,-0.03740250117223154,-0.03199273902364337,-0.12115937962824577,-0.05194671081942179,-0.03285631436479376,0.09576777854522353,0.21384466687293266,0.01370315835618943,-0.037320186278465166,0.02958993671006861,-0.05723364628859948,-0.08262118192922684,-0.08396195769113829,-0.13126533388414247,-0.0016639705410665768,-0.03253409229433102,0.02413973284682719,0.26674426189277045
NO3,-0.05200000821172655,0.03857486390986444,-0.05345950193069314,-0.023066406243255573,-0.025748906236236976,-0.032242923083689236,-0.033431590058315974,0.06783257287049474,-0.04541723206701004,0.07252555665974927,-0.010958717921148635,-0.028490444259687574,-0.06260575513019719,-0.07657499661577528,-0.040158712260081886,0.12180644446441201,-0.007432626239145115,-0.02527593634433182,-0.014456160873131618,-0.04299936168937187,-0.029817792890913332,-0.10402562088193447,-0.0690594230159636,0.007109572840496983,-0.028074216148083746,-0.038394542132251824,0.03663240115968472,-0.018541083238363766,-0.013222427790354598,-0.07087414813391989,-0.03381405583799757,-0.026752616757606436,-0.045537922474526246,-0.018365739560631214,-0.08130512142768906,-0.02931703516853077,-0.05203271149239319,-0.04090149987079125,-0.008320946629438934,-0.00243048801948071,-0.01681753248434818,-0.03609732498577519,-0.03583127651075253,-0.00886863615879419,-0.042545133108227946,-0.005399125994839541,-0.020975682248982948,-0.029429043690365288,-0.01349136871946393,-0.07644699910241864,-0.02352850618607366,-0.030147435097158302,-0.04246541842286455,0.15258015275396547,-0.024076625659263332,-0.05845195627878626,-0.020807035462068003,0.11987237790519696,0.0005826651698851115,-0.018241196788260045,-0.036767935091740526,-0.020147559495617064,0.13707988013603928,-0.019982332440469083,-0.030591187112140126,-0.038882153145860646,-0.08992234840100173,-0.05102205746918263,-0.047960502298726365,0.04160133472692723,0.21516755961441453,-0.02941372086207574,-0.023868242415331396,-0.031181531698262085,-0.029563433152374897,-0.05382633659436621,-0.07595947413392753,-0.0841439459682343,-0.01063026104580697,-0.04309749947947109,-0.023797289234319136,0.35607590643226483
temperature,-0.02072313556345602,-0.15123779110275776,-0.30008667231709635,-0.04681381925916764,-0.03714383629829537,0.13974481700618455,-0.04287949089163964,-0.1783921379029897,0.2410955608611657,-0.20268876544034214,-0.10265767076873158,-0.04968224538198853,0.2828095051048978,0.27374087560133004,-0.05422816231264799,-0.060858121574987205,0.1566466936382709,0.10995321494244226,0.02977865917009384,-0.1395765203081144,-0.09417471908306063,0.23733900134541822,-0.09232904900806285,-0.04550639042702,-0.006011991854601096,0.24600076556614836,-0.07177667127005208,0.11739698945808516,-0.12418041898367907,-0.03672719358647804,0.11548614158026838,0.1415814607837212,-0.10926655492988264,0.06464001266121958,0.3094574698043094,-0.08637972280285619,0.08439831780560458,0.24473673412757602,0.1417584098730077,-0.06845630656707914,-0.13761099078901207,0.13086444831327604,-0.0362783758144998,-0.07673488939658082,0.21318653455546926,0.05692126061894357,0.13085162832160346,-0.0023918151050843542,-0.20978033342117808,-0.2210853397595555,0.07302872870394736,0.04082641448934335,0.07149130787259395,-0.16048041471100155,0.05149376902375316,0.06502624809220661,-0.13859419113552374,-0.2333854015326925,0.05055898908454809,-0.05583800771643758,0.027635299195438005,0.0005812671969227419,-0.28111475939886676,0.11976625041949963,0.07170668153587373,0.03135262328740518,0.19405191671418986,0.17085715382679775,0.21624819011168894,-0.18559884489959894,-0.11147357467883165,0.08665672454893453,0.18234480079092455,0.10075483276334009,0.07695743602359426,0.007838616169270613,0.01980919176043955,0.0479455756714568,-0.029667526458101254,0.22516740671641727,-0.1910297946776373,-0.25213168159094207
salinity,0.06387598131817872,-0.057499543470946116,0.09619449646520208,0.0928217266466087,0.12554189205929822,0.07891000434238998,0.0829001978305437,-0.056923291371187915,0.07711209719760234,-0.30508442669632097,0.0195603440371569,0.07962539869922455,0.18819422252660675,0.19756795915946473,0.0660298349685986,-0.1808211086772491,-0.00493541567592318,0.056020259259093146,0.010068492187252878,0.018523414029128313,0.0356790264860472,0.22369566885139103,0.16700037900403678,-0.042182415991724426,0.040854233023169706,0.13073224246046392,-0.0605863462431512,-0.004623195488534524,0.06897013901585089,0.0952506911647313,0.04579573354447425,0.12129456390575338,0.05078587065313271,0.039668473467103726,0.2536779743908322,-0.0038501513394045084,0.06144717613606057,0.1380647606696881,-0.2674902322782984,0.02158166026883801,0.002621787853643247,0.1767341123341342,-0.003909175065677589,0.00246923603457705,0.08766391977328039,-0.03152131964324414,0.05290533799762462,0.0009772419081647194,-0.03217190662202793,0.015491156223948824,0.054121965589448165,0.05684210583069378,0.1251431949841842,-0.2640251234920754,0.10282868611211209,0.17818640269809388,0.12745543988978233,-0.2069868841617613,-0.10136580898762454,0.07740830172581153,0.07181244688126569,0.035727285991394506,-0.37334188237101806,0.06253936041401732,0.09659148140310744,0.04340610520492219,0.21649872481321744,0.115199110149139,0.14942225388337937,-0.037697470463785535,-0.5445294436048875,-0.02980017386268724,0.11173462382085193,0.06742388819768527,0.09339067811223015,0.10550299681209449,0.11026489622004065,0.15760423008384586,0.03672952635917783,0.10706298191877596,0.010741812900844678,-0.45665370102324715
Chl_a,-0.08078171293324762,-0.06040147205029704,-0.1727556685003173,-0.02261815018281422,-0.08395978635748991,0.08801100335826442,-0.059595203814908904,-0.06776464158643662,0.16811271842614767,0.07595312699723747,-0.031741345699442466,-0.053791051992132626,-0.07800146297447845,-0.10405705598016979,-0.08783765955902272,0.10128205013147457,0.057042347625215324,0.04238888459936285,-0.014846607024982063,-0.08603101222264987,-0.06823867956410684,-0.1426846849860284,-0.10048529207567093,-0.0159505416284364,-0.0411010947470497,0.08899800984391518,-0.025585851967461472,0.11834320936561978,-0.05182041751548458,-0.10908382691913718,-0.01224827291996158,0.04116005239082935,-0.1050464786603948,0.0038083865271435055,-0.07995976424320321,-0.06274381075033594,-0.07515188563546671,0.07730609472397308,0.07576563937419477,-0.004220399907871255,-0.04605427769359452,-0.045088486319738774,-0.06307998944395193,-0.0275701704128161,0.5687814928321455,0.03262022642258951,0.019778441809332786,-0.04164420559674552,-0.06039819531895838,-0.14673128548516606,-0.03238579406695367,-0.042458644325968534,-0.040337128045871154,0.06343386881662061,-0.05232933422009557,-0.026492125296096604,-0.12381022610315792,-0.00925591685265766,0.05361146852781736,-0.028047109204963436,-0.060691435851902245,-0.021143161512187675,0.11903052051774193,0.019569249125440315,0.02485955399241495,0.21482326210760222,-0.1119340508645891,-0.04197364706736649,0.04294810087736932,-0.05128322003311997,0.13015906159611917,0.021060791112486377,0.03301997821123511,0.0902492016398388,-0.03668566124034163,-0.08712701060217931,-0.11063131977375602,-0.09607686426779019,-0.01953671525045074,0.08339063601732662,-0.07617302975087706,0.14572595225474544
Phaeo,-0.053746731560458935,-0.03766948235758191,-0.10542931508047339,-0.011059881670309746,-0.035188363884155256,0.04632447434369798,-0.034227476921786834,-0.046644459889538276,0.02891929703582116,0.005115868835434951,0.0026773549550668622,-0.042506377611551814,-0.06168631205482524,-0.06757378261152105,-0.04282807700672286,0.08742674251829487,0.11686394207361266,0.015580304398156875,-0.008676258386501004,-0.05754434137966148,-0.032191705693837586,-0.08704440100234767,-0.03871766634494418,-0.00977598835869248,-0.01883305692315289,-0.018706898470530593,-0.009407421683650411,0.30014584923071413,-0.02217601791167884,-0.06605785132142183,0.013161226918121442,-0.008843050100669592,-0.0698499031207572,0.01647865048495422,-0.05258860711806064,-0.03686755588706324,-0.050074030692277186,0.00911872132652256,0.12290734134823883,0.008582759950579815,-0.013756708250271992,-0.037521461870381835,-0.040768208403082984,-0.017583102455224674,-0.002169826307911361,0.06224420161480168,-0.0041308535474060505,-0.02421228058224101,0.019566966302621364,-0.07199249060494806,-0.025080253643025567,-0.019358807515745355,-0.017587829354336865,0.0024472308834498544,-0.03541695558762659,-0.03390937591167503,-0.0842174981581685,-0.024783313583926915,0.06500649006776718,-0.019871446891514655,-0.03731514362376504,-0.009445286646716703,-6.618452346410578e-05,0.03973110656709793,-0.007981411057270007,0.48719921878573236,-0.06257994116226537,0.010395705287088781,0.07332641996509313,-0.03073459088939385,0.05819856279038883,0.06492260119651394,-0.02314120092222289,0.036735184788842176,-0.030159519410424655,-0.045625611972129054,-0.05134144651659847,-0.06364299793671876,-0.008176459254841773,0.03643131970490106,-0.0497122099310748,0.018477079273389586
Chl_a_conc,-0.08239299644857674,-0.06092269889927779,-0.17361924320579464,-0.02198632659384219,-0.08002161949105493,0.08644536008638018,-0.059311463867974035,-0.06953940652061413,0.14894932661849444,0.0651366861617673,-0.025913683631107836,-0.056687808808345334,-0.08221518317944118,-0.10568221534431399,-0.08535057260189646,0.10874338015062482,0.07960529748706877,0.03980729380016562,-0.014816474545588584,-0.08782983017277435,-0.06601323101337521,-0.14338892704118256,-0.09484975952902383,-0.016041595549997796,-0.03960959593543755,0.06961722584007637,-0.024028471656278593,0.18081778115762887,-0.04951399602349149,-0.1094896119451175,-0.0067066350650938685,0.03214479744379363,-0.1071306254774646,0.007670474096625206,-0.08138869250697023,-0.06267090142137613,-0.07667069819295527,0.06735904212481475,0.09696064309095935,-0.0012119071353372535,-0.04238854845119687,-0.048030275306980286,-0.06401211519767516,-0.02791367803310444,0.476790888188251,0.044278046630729616,0.015478546152659084,-0.041525932243600065,-0.04537980049999164,-0.14269853833058357,-0.033990981219759034,-0.04089173681105418,-0.03863030726370521,0.05390467891728244,-0.05353615058051708,-0.03144158382488806,-0.12678001061355929,-0.01449738431492834,0.06264604224891765,-0.028935277794444218,-0.06106986062075437,-0.020309988866620988,0.09988470332062861,0.027211838977415706,0.01869768205026614,0.3125802472194521,-0.11093753335385204,-0.032406091740595964,0.0559551725224641,-0.05138684477854863,0.12504426067279922,0.03530338455609068,0.021430747800210537,0.08572031870696321,-0.038978933441458294,-0.08551367565642788,-0.1067928071119173,-0.09791717739134037,-0.018617197033914283,0.07988140223330645,-0.0774295103156495,0.127324901952771
