,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
PO4,0.03222621546315433,0.09731510022830034,-0.026234922553258697,0.02732326186893424,-0.0353560300493103,0.059416960662719794,-0.025321896135990528,0.06416507768203085,-0.02439967069805838,0.036331396216740745,0.017405640219907197,-0.013778031307717424,-0.08037673016579377,-0.004036520573403627,-0.06976635902805671,-0.06482404625891358,-0.036085238944126234,0.024361463030188137,-0.025412143804737355,-0.0849001313229043,-0.022114887226889094,-0.14044608823546417,-0.025372358339635602,-0.0246132988155952,-0.012004305794901263,0.16441579798961986,-0.03272513102686608,-0.019171637277084062,0.02271991444720204,-0.10958764097590432,-0.04330521022459097,0.16665306855393786,-0.04144077414808854,0.022008363248549705,-0.028829621217934875,0.06303929331910157,-0.09523490584629356,0.04805739704101224,-0.02297519484712409,0.06858084248635818,-0.06302866896245239,-0.027959334560713874,-0.09077177731686792,-0.009360982349331082,0.1505636316266108,-0.08775656722724666,0.040029674625301395,-0.05779537501290388,-0.04055090115239886,-0.15097880642009714,-0.02798541850221027,-0.03634700925963614,-0.011897573352733969,-0.025691934886062466,-0.005691189250913213,0.18611439878576802,0.06581500030099917,0.135840676313931,-0.056959054494941194,0.013997849095667902,-0.06687252979750517,-0.020884348896857856,0.06796553930426819,0.03618277666165237,0.04281876251451239,0.009564693389427358,-0.11065939210171093,-0.07635022163559316,0.09343469482734709,0.03552742252177152,0.03455117535368794,0.011948106070726999,0.055004111116286634,0.11754671748644717,-0.003751949917420736,-0.10157991633001165,-0.10170026216966918,-0.03067960975041105,0.00716958467776407
NOx,-0.03239500434503943,-0.043100978888505205,-0.017813418015930418,-0.022828881947241825,-0.028858977102114325,-0.03235607043453567,-0.032919778268070174,0.06864705477179506,-0.02123588753700162,0.07308758671356733,0.3554991444710016,-0.023021434902400176,-0.06330252040166026,-0.04475051099712617,-0.040839195607950206,0.12213191220231923,-0.00736917358755701,-0.02539724621207628,-0.014648958737976876,-0.04346640334457288,-0.04452946691752907,-0.10514718511941976,-0.06816589875531057,0.007350834694311232,-0.010570567303073614,-0.03876332532084922,0.036481105082064945,-0.018186944926261633,-0.013397181103192456,-0.07091315885334154,-0.03396106527882066,-0.026566097367308833,-0.04565522305649897,-0.017800026862498194,-0.08193110734932119,-0.051971628463963984,-0.05292520227048764,-0.04110793206613225,-0.007691290200464635,-0.0015721442842491448,-0.017127174935131637,-0.03701431536975387,-0.03653160874843128,-0.008720543185887494,-0.04303289946116408,-0.03003354634861941,0.03895341013212476,-0.03149638435338355,-0.013439321210073386,-0.07680532911984017,-0.02384233042576979,-0.030461844390507274,-0.02087594624607631,0.15157831759385296,-0.024008358115962768,-0.05977200118158013,-0.03538996278471112,0.12056274920435375,0.0010845500292469585,-0.01788178935166607,-0.03769412521922844,-0.026362846198822787,0.12861569228553651,-0.020045670936059266,-0.0308591096972124,-0.038894574653506056,-0.09075879787302914,-0.029561818612573353,-0.04788380180704329,0.041758018556971796,0.2157156301165682,-0.004815380686320574,-0.024194050289304048,-0.030260725118172658,-0.030281366450978495,-0.055328884684331496,-0.07667485308707085,-0.08577320945783928,-0.010486526699489409
NH4,0.05754436133064593,-0.047978348614307414,-0.03030050005553695,-0.0043751215066051025,-0.046986364880592046,-0.04687370947934197,-0.06134791028480642,0.2301832737448995,-0.039970043537996165,0.23268871950032846,0.11591025733622305,-0.0672275661996868,-0.0944531388120726,-0.053612387581141174,-0.07298674486145312,-0.004840894996446637,-0.01838509494040052,-0.024987594302858615,-0.026047802887205464,-0.056684848906080006,-0.07667462729276181,-0.15680526667116773,-0.10232746471796086,0.05239845020586958,-0.03432109049936359,-0.045948813346829376,-0.039063963770513174,0.010665621560099727,-0.028710823864196287,-0.12251588411596166,-0.01827583196545736,0.012848433070257369,-0.04718088337602826,-0.004212160826948878,-0.09481194324750303,0.021779110691467755,-0.07775370443094987,-0.048736731333701495,-0.013109435261765936,0.09131223536663716,-0.0541149217854581,-0.06110966345671935,-0.07239867557860541,-0.027785494215776148,-0.016708567995511944,-0.0741629488305578,0.2336797921585605,-0.04990241426623336,0.014432925594743047,-0.13051605216849194,-0.036355624987352925,-0.05135617973501599,-0.019304816417959374,-0.023066584821195224,-0.027039699216221395,0.13297482772107055,0.06410623031009363,0.3087261504993908,0.018874412515151765,0.017326834127279037,-0.048383026033829504,-0.06634862092352892,0.26811826174051645,-0.033924852364812894,0.0284719430166265,0.04878272869445145,-0.13182588721884742,-0.027538361568103104,-0.0035807388393476326,0.13430395874739676,0.30918926528242274,0.02113908364817669,-0.048092900215403966,0.011956812670374304,-0.027127150191079787,-0.0883806535254763,-0.12176990021753759,-0.03823547867960472,-0.008352049481004847
NO2,-0.04906350090171237,-0.032709383461030944,-0.024720196409493116,0.000796543491584368,-0.021978648965777673,-0.03386619365383534,-0.00954845668398684,0.10380835097142169,-0.03719530505733074,0.08732166163013999,0.26672428047717367,0.024371267204926383,-0.08663602210719212,-0.04767497885388965,-0.07024558086294166,0.12392807139989648,0.000642762607555184,-0.02433909549159284,-0.02246658051299969,-0.0638737179697399,-0.0633638822586243,-0.1452796053202192,-0.03714839765525691,0.022870306533232316,0.013709393848501953,-0.05443446438141,0.02331110927178779,0.005536126755849173,0.030478025263862122,-0.08233484018672535,-0.03730810503499699,-0.007636801127922667,-0.0337716294051864,0.01836024206298413,-0.1032122386891576,-0.053636219995280204,-0.07983474357836774,-0.04665601218355542,0.030647731783234274,0.049233425902417555,-0.02148705202270708,-0.0580400268711138,-0.06620899106149611,0.003244439164221019,-0.06481895196626167,-0.05810331739287054,0.05543642890891631,-0.046147772033649254,0.0012577679447811768,-0.07667052656021209,-0.03179235072413547,-0.034904897937058914,-0.02619667811735065,0.06782491092581219,-0.020529544165266173,-0.09730819895911964,0.05126919672904323,0.14020224220545785,0.03215746678635641,0.0066285113507755945,-0.05796986713996266,-0.027674507008618628,0.15789489870573753,-0.020735248282355512,-0.0375161135260884,-0.03205197485836095,-0.12131614450990102,0.011972469571858237,-0.03295402592840593,0.09514028554053083,0.21385193835736338,0.04027956529151504,-0.03743507029703018,0.029567212940138494,-0.05749210986825133,-0.08334984726801414,-0.08456436427748665,-0.13228664393229927,-0.001632804434995847
NO3,-0.03202765603289873,-0.04316351283498278,-0.01764965623539482,-0.023168741112958403,-0.02889953528638947,-0.03224540723506437,-0.033228795595061145,0.06787133389001271,-0.020909891927240035,0.07265441735028505,0.35606679886724346,-0.023763091493400713,-0.06274106317955253,-0.04458330810809799,-0.04023402606184538,0.12178028248000139,-0.007485407898720565,-0.02534835848736186,-0.014478102331295494,-0.043006649264002925,-0.044093540956494426,-0.10419131783844607,-0.06851163846690557,0.007068805869815336,-0.010953746993844889,-0.038396109372057216,0.03660807977706243,-0.01854066596833523,-0.014104611087123846,-0.07053331339939203,-0.033815087572160826,-0.026816636631367366,-0.04573629368276058,-0.018365287475638578,-0.08135539401523359,-0.05180675854982375,-0.052330508161101394,-0.04090590039091913,-0.008320017721893216,-0.0024279848722889748,-0.017008328965571782,-0.036561063835997956,-0.03593318173380727,-0.008900135588755211,-0.04255094794888992,-0.029479421989186228,0.038571951706571635,-0.03116554274855171,-0.013652748288193788,-0.07660560057225599,-0.02364505289542426,-0.03030651819243489,-0.02073097621325986,0.1525973192523985,-0.02400409746491066,-0.05897942363570821,-0.03676374352378686,0.11991321614082072,0.000555732530808791,-0.01824963826771919,-0.037251780259575235,-0.02627130547241128,0.12778180921786536,-0.01998127527345929,-0.030665263540447536,-0.03890809898810145,-0.09000284968384906,-0.030187108762405677,-0.048010573022646594,0.04074459747333266,0.21517980977458298,-0.005566028465467222,-0.02390628800068102,-0.03119382993201384,-0.02974113087133219,-0.05470905570256432,-0.07633964178143636,-0.08476028870334511,-0.0106088106144522
temperature,-0.04956698173525956,0.2251459038655223,-0.025031067435785665,-0.04660223144697083,-0.0035383900864386503,0.13970446531346947,-0.10147331655797827,-0.17848867205379113,0.1309629256759055,-0.20299095522379973,-0.25209551528068297,-0.19097701442659884,0.28325376821195525,0.06912907840022625,-0.054288617331870105,-0.060896668257389965,0.16189715737219001,0.10998959577095076,0.02922265121185514,-0.1395962133851539,0.23183630504878805,0.24078100560617438,-0.09082031804000631,-0.04562680283652437,-0.1026644462601841,0.246004269828251,-0.07185933975077455,0.11735235661135801,-0.12592007070275088,-0.035711441926640566,0.11547949064368826,0.1419585666342174,-0.11050803280198843,0.06465256442577133,0.30950216265016606,0.17215313098844087,0.08077266076750426,0.2447473466208755,0.14164405748582135,-0.06844947827424856,-0.13804038373989597,0.1325914821049666,-0.036381471917447034,-0.07687103687038163,0.21318995245707234,-0.0872489229841773,-0.15092436802693313,0.0008106113489059433,-0.21126541290420434,-0.22246282206083073,0.0740689255045759,0.041490358887488726,0.0004206835213997817,-0.16036834425505414,0.051607422845808174,0.06286984957731676,-0.24164608747969107,-0.23397220735992855,0.050509961305266075,-0.05573464435070302,0.040600497234325086,-0.037858191170950815,-0.27539280433786095,0.12005709285386637,0.0713713026381959,0.031226720183256534,0.19475905645747066,0.08428909773590651,0.21634618171521547,-0.18768417724079525,-0.11147231792933238,0.05697065540968434,0.18240434002294673,0.10078612756942057,0.07737327919665107,0.002730259421091207,0.02160754776154044,0.0486566701374347,-0.02963730032953566
salinity,0.08193466110887382,0.1071280421403675,5.998537266944037e-05,0.09277019357230529,0.0423708718956149,0.07892116148977786,0.04030672285956348,-0.05701053243202612,0.05295976418296129,-0.3054252660639327,-0.4566070919435685,0.011039963631182016,0.18848926202899613,0.13145134070395506,0.06605494588022698,-0.18080154534638362,-0.006764410168956311,0.056058561894152086,0.0100410507667956,0.01853395372660995,0.07311174364146167,0.22502365702487703,0.16625476059965094,-0.04214823038738647,0.019572317189274796,0.13073700155343237,-0.06057259177510844,-0.004893484697561063,0.06863628036404251,0.09573324027110491,0.045806322519678894,0.12119068827845851,0.0513803407467852,0.03966241793878032,0.2536396141998788,0.1164266631373837,0.06259253708093065,0.13806502878045018,-0.2674684017328434,0.02154976608466665,0.0026739591452666373,0.17787030809442544,-0.003838152873422335,0.002482472079369135,0.08767447855722227,-0.0034794480723314043,-0.05712138819388654,0.0012694644081393794,-0.03241281233237577,0.015655181755196954,0.054703482603775055,0.05725956165059899,0.036003635365075046,-0.26403444741104687,0.10283914896276508,0.17713781563552586,0.1313429714589044,-0.20751019080810343,-0.10133364795562277,0.07735168899456428,0.07540852214517126,0.1262838417691132,-0.36211618727409045,0.06237513878416255,0.09671930952700518,0.043465185892376954,0.216788442347915,-0.028974913307736955,0.1494931806879768,-0.036727077558584904,-0.544539855558408,-0.031357942066659275,0.1117648076895987,0.06743879495965967,0.09366334172283833,0.10747807769697099,0.11141912786379762,0.1587090780405624,0.036750654827771546
Chl_a,-0.05874391712361669,0.08331621807850521,-0.02086347129703462,-0.02298036520091458,-0.04225016004620572,0.08797625250689005,-0.07671987895343069,-0.06780029351902578,0.019959792971282083,0.07605966738691419,0.14570559891929472,-0.07626442080682336,-0.07821678616789213,-0.049132419159075784,-0.08795021483617793,0.10124879849588399,0.05713514277123963,0.04227315021784863,-0.014961937486996531,-0.0860457365173706,0.16829634309606722,-0.1429249271247654,-0.10125212540503355,-0.016024475825426664,-0.03176853786690476,0.08899558532464669,-0.02563670393416234,0.11833388769757013,-0.052541756342795606,-0.10916753211687119,-0.012317122471833978,0.04135412352367966,-0.1058713380778947,0.0038198839549171493,-0.08005383695969731,-0.043322288635586195,-0.07568826652490412,0.07730931975770375,0.0757634341643679,-0.004213251666351513,-0.046383729243447025,-0.045767670436609315,-0.06332331164563151,-0.0276975033731824,0.5687707028779877,-0.06341992971435724,-0.060449317091710274,-0.042699150422164434,-0.06092803488927787,-0.1475522665331861,-0.03262639898006994,-0.04270225667581757,-0.021813884325607807,0.0634866330875337,-0.05232459484015789,-0.028690171902981995,-0.17197644987373395,-0.009035759264362286,0.053593889144553666,-0.0280061817133979,-0.061532573655545056,-0.08499960604979288,0.11522447886625081,0.019575281322906198,0.024714737439347323,0.21476855150860422,-0.1120679517583262,0.019470470359188904,0.042894618158178764,-0.052508576159636805,0.13017037513921959,0.032406086803153836,0.032985708056645004,0.09020330583377233,-0.036925993692459,-0.0893707034191377,-0.11116859739197824,-0.09709722420087602,-0.019528290288408908
Phaeo,-0.04609351424069301,0.03639130510382818,-0.010001705599776969,-0.011558756930441835,-0.019593371809444322,0.04629940271929475,-0.038933293621443835,-0.046668113049318685,-0.004089842750157615,0.005079532896100945,0.01847469949633479,-0.04980411466595977,-0.061850409791851316,-0.024059525035076558,-0.04293739798296495,0.08740677026243958,0.11690288827732909,0.015514191149903121,-0.008711128239139325,-0.0575547440883077,0.029642908265090983,-0.08724062492812998,-0.040596069280064775,-0.009818471454841233,0.0026581689024680784,-0.018708304463482442,-0.00943836448587355,0.3001494815084411,-0.02275065366324828,-0.0662987596777308,0.013134248167282234,-0.008772853456405681,-0.07041927071961397,0.01648146547017884,-0.05266079817575571,0.009376913284010005,-0.0502666655086018,0.009119875140655265,0.12290780104376754,0.008589514978252184,-0.013988985412331482,-0.03797948288452058,-0.04092276877572518,-0.0176867181813529,-0.002183182773564149,-0.03734994971244625,-0.0377762227564822,-0.025651120770282497,0.019136757083430704,-0.0726197386499686,-0.025338816206494738,-0.019524956654614442,-0.010000450473583696,0.0024545444192154943,-0.03551230820214166,-0.034906351301617275,-0.11108653667810547,-0.02475861821253243,0.0650027514200857,-0.019856009483376222,-0.038629625874539185,-0.03584249082744928,-0.0006565916581193279,0.03973384298893598,-0.008071927704569224,0.4871569667296239,-0.06270509583978666,0.06365501937833493,0.07329254830724376,-0.03146033431261929,0.05820157920717498,0.06207906468824644,-0.02316234317388019,0.03670198666682865,-0.030347952847762084,-0.046951611877291896,-0.05170989439499571,-0.06429323863659525,-0.008160683191769946
Chl_a_conc,-0.061818699319792135,0.0798080787535313,-0.020226316173912438,-0.022425783321533808,-0.04078044138945211,0.0864093864483744,-0.07496192151328829,-0.06957575131442947,0.015641889482522958,0.06521624033568443,0.1273071732089896,-0.07753116796503241,-0.08244045841429674,-0.047769338011343115,-0.08547472209282184,0.10871004932779174,0.07969375493365045,0.03969220731709332,-0.014922739188944364,-0.08784501273512804,0.14929990952323235,-0.1436438393357849,-0.09600336628718933,-0.01611518323972791,-0.025941715263764875,0.06961480919558126,-0.024079553079864577,0.1808109436457851,-0.05027543601382762,-0.10962527449164175,-0.006771745644619993,0.03232674087155267,-0.10797752026458755,0.007680888212985107,-0.0814872484629143,-0.03381462073623499,-0.0771731861577991,0.06736206217495663,0.09695891706270603,-0.0012040735513789754,-0.04272812321078867,-0.04872467289940924,-0.06425830061434357,-0.028048681457377156,0.4767782057613593,-0.06336934383272809,-0.06099183624807905,-0.042802007084396264,-0.04594130164432914,-0.14355789298920918,-0.03426312342486533,-0.04114131219158401,-0.02102365990318921,0.05395094981091287,-0.053558061793260475,-0.03355709763463718,-0.17450122305546306,-0.014305900402101909,0.06263027274741212,-0.028896735849665296,-0.06213272242385089,-0.08107194391364775,0.0965299809412028,0.027217644779003104,0.01855156109763332,0.31252285668238167,-0.11108389725986044,0.033624465094094926,0.055901087892968465,-0.05261233492733888,0.1250545751444624,0.04405348262489301,0.021396244468217474,0.08567278466671538,-0.03923180635716014,-0.08775683322383335,-0.10734378233996308,-0.09895011403384008,-0.018605842612175395
