,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
PO4,0.10744895443177069,0.09738214122497234,-0.08364231465031194,-0.03820960449146227,-0.10258714156380397,0.1736869642891716,-0.03360312518449668,-0.021984878962282316,-0.01585796157612539,0.08473470120538518,-0.01834698986342847,0.2000610224192052,-0.03983608466730287,-0.1219752300792471,-0.07413818809249556,-0.05917645129005318,0.06951677034236306,0.19228939343137924,-0.0997996211856044,-0.08081279606213515,0.025996800298311994,-0.1875275832418527,-0.022502141251788052
NOx,0.10927305713467172,-0.06100823280030858,-0.04656698360490186,0.0056944930665011485,-0.11758811447926219,-0.07249009216179741,-0.03995606962064442,-0.07542426387538485,-0.05567269173293752,0.16406735515451093,0.4081085546096138,-0.04961268780505877,-0.08171729084077367,-0.047935259561291035,-0.04826222243406603,0.11993196233192792,0.1745199647885359,-0.059709874232758364,-0.08900516136948905,-0.04674918384287505,-0.07743770083267745,-0.15786368638419418,-0.07332986426639573
NH4,0.3099031688163646,-0.048320637663897284,-0.07369671461393507,0.06451602155233295,-0.146680319500079,0.029394188871215476,-0.09037820403930413,-0.006590124018068201,-0.09594615458343927,0.2673682591295249,0.08504733594238659,-0.039973537036622986,-0.08989528759710427,-0.1007686963509283,-0.07972302356482408,0.0025069419801146734,0.21092849098203853,0.08080866645504334,-0.1328011429485667,-0.04728171812182069,-0.006332228941666334,-0.21522726224767136,-0.10670931252191823
NO2,0.1810640077386366,-0.0654151520629784,-0.061401390899014335,0.039336600811728885,-0.14678822572807007,-0.12311596017448437,0.022345302168526752,-0.055165381227628985,-0.07831097043105492,0.1704715038083068,0.31075981990796747,-0.06193066505140472,-0.10436273366817103,-0.08106200155657728,-0.0691416371736767,0.12094225351597691,0.20159691633412133,0.019859477246300432,-0.0827945354586935,-0.05930266014184224,-0.10912161353061006,-0.20695870133396643,-0.03892495054286037
NO3,0.10777046062770258,-0.06077317634354157,-0.046193405973194684,0.005110062504525715,-0.1167845745362423,-0.07144249780613227,-0.04090554143579277,-0.07556880397170512,-0.05514307008166529,0.16352742999464864,0.40868296599691734,-0.049273694584150936,-0.08111904645459936,-0.047248452506108374,-0.047781863437929964,0.11959942105873048,0.17360262324978964,-0.06089968196534325,-0.08887618953738102,-0.04641373585155939,-0.0766977201081718,-0.15661745823436088,-0.07371935996746373
temperature,-0.35162896933812715,0.3082273199932017,-0.03548732680003934,-0.09350313403889783,0.1991850307798418,0.26185370611621483,-0.3334850822783335,0.16162769330237095,0.290790407774533,-0.2712356954031988,-0.2650120946952364,0.28661752262729456,0.3102556277852039,-0.10441077050604625,-0.08995224767177071,-0.10336959636613241,0.01682210846984921,0.14952531805231134,-0.04765003996896046,-0.16203281058581745,0.0859145643894285,0.28619515235789894,-0.13176543694721124
salinity,-0.029718582978756063,0.1835385632897935,0.01101059282718276,-0.05538657261882489,0.27681933483467225,0.15636429115207529,0.05297834933030034,0.10318693769997689,0.10540048651491431,-0.4037629748271822,-0.5688384211732671,0.1707986995899961,0.23833587693519553,0.0025844138352346573,0.07129913546469396,-0.2197117299902631,-0.6338802474729075,0.11838645078411669,0.13377278607793,0.02400710748444895,0.2186387502587225,0.32306640243087686,0.18992723967073116
Chl_a,-0.149737714076477,0.06452580908155175,-0.06913323204612677,-0.038145252658479,-0.1461945304574154,0.45219942833561233,-0.15075641641801443,0.062008860262737435,0.13217339039593917,0.13756128604813694,0.19310432675159633,0.0722189542039952,-0.08759381513405802,-0.09810103168279274,-0.10767485686191344,0.10795495650924158,0.1745318360174034,0.0600865446081184,-0.14010510351645472,-0.09412231133144766,-0.08103291987277189,-0.21534133013975826,-0.1195293196249147
Phaeo,-0.0818334240397002,0.01866555404785917,-0.04084341654070857,-0.010791664724948156,-0.07603653508127686,0.04824553347820564,-0.0848341970415836,0.2288675996765058,0.03133229120541429,0.020130714794300102,0.03776133033964983,-0.019404259324433456,-0.06523531686479071,-0.0604988761203256,-0.05404303831830003,0.14283088246605863,0.11547813341256932,0.096202001500519,-0.06712332469551219,-0.06146446187591933,-0.03952487649833224,-0.12767680747751964,-0.05350874422819938
Chl_a_conc,-0.14789373407987985,0.05922455059190599,-0.06911303947621839,-0.03494544725958974,-0.1433460282665325,0.39263138041308343,-0.14956346760027323,0.11418358479905476,0.1194404877810809,0.1209212482278126,0.1723255403892457,0.05534517512314587,-0.09122965598092808,-0.09876241324948343,-0.10504494244964206,0.12938663242125664,0.17783831953774598,0.0765504209618447,-0.13581514689476226,-0.0956852254880968,-0.07874248912244228,-0.21540188680756028,-0.11484936353928872
f0,-0.21385064709439802,0.1772959574793384,-0.10383934130866038,-0.011766334680614115,-0.22378399778224867,0.20628764371849373,-0.22209633880358812,0.13419189268341214,0.25414200579496116,0.15776220183140766,0.35029849592377743,0.1744499703673253,-0.12254968196066297,-0.14924953684828973,-0.15485007567685027,0.181525181574015,0.30466868713893347,0.1204646645275011,-0.20302079791511213,-0.136808026013645,-0.13402343553930673,-0.3298488625622308,-0.16287308445123858
fa,-0.20990068397949035,0.17522313803391137,-0.10273829816574584,-0.00598764700492987,-0.2182721243592381,0.18136397068633436,-0.21797359873273175,0.16788216554172802,0.23552429549128068,0.14052063754483002,0.32490072664573105,0.14882925857742552,-0.1268961772064881,-0.14859463396971,-0.1497276251584384,0.1951046803650014,0.30910631448944936,0.12898208040398226,-0.19398683508410347,-0.13761535893050708,-0.13547642936596055,-0.3268233838664641,-0.15300359932575597
