,0,1,2,3,4,5,6,7,8,9
0,1.0,-0.05454250434351435,-0.039016282873308716,-0.18884227143299626,-0.17680584292642754,-0.048807918422914154,-0.0689646626912996,-0.03433284647615679,-0.08538269153359242,-0.2943974355814182
1,-0.05454250434351435,1.0,-0.07566441671596788,-0.11520559305088605,-0.1067112670318793,-0.13554018702308884,0.0367294515155744,-0.13157253608291497,0.1559549177179308,-0.17536143931932613
2,-0.039016282873308716,-0.07566441671596788,1.0,-0.052235183940387994,-0.0337478021847611,-0.024328377947990677,-0.06247066125186673,0.20860111849450608,-0.05284847844236096,-0.12050439125496246
3,-0.18884227143299626,-0.11520559305088605,-0.052235183940387994,1.0,0.08631997572416389,-0.12818639160862166,-0.09244361259054742,-0.0556005954120381,-0.10672820366169107,-0.2474573636344728
4,-0.17680584292642754,-0.1067112670318793,-0.0337478021847611,0.08631997572416389,1.0,-0.22570173118387274,-0.0986528854455542,-0.02301709176919474,-0.1177452982636333,-0.39785724127090666
5,-0.048807918422914154,-0.13554018702308884,-0.024328377947990677,-0.12818639160862166,-0.22570173118387274,1.0,-0.1110226026197243,-0.00503499749106913,-0.09283145511370347,-0.16150978793713683
6,-0.0689646626912996,0.0367294515155744,-0.06247066125186673,-0.09244361259054742,-0.0986528854455542,-0.1110226026197243,1.0,-0.10692598376333835,0.0031141682702796173,-0.15256443515918094
7,-0.03433284647615679,-0.13157253608291497,0.20860111849450608,-0.0556005954120381,-0.02301709176919474,-0.00503499749106913,-0.10692598376333835,1.0,-0.09353411840131629,-0.18851973647104991
8,-0.08538269153359242,0.1559549177179308,-0.05284847844236096,-0.10672820366169107,-0.1177452982636333,-0.09283145511370347,0.0031141682702796173,-0.09353411840131629,1.0,-0.14146534583619846
9,-0.2943974355814182,-0.17536143931932613,-0.12050439125496246,-0.2474573636344728,-0.39785724127090666,-0.16150978793713683,-0.15256443515918094,-0.18851973647104991,-0.14146534583619846,1.0
