,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,1.0,-0.09726946887820492,-0.021444503868093174,-0.0004949056743074817,-0.19295438127573683,-0.11698261161693746,-0.1355164603605321,-0.13310750577732158,-0.07692588373222715,-0.13452558134701842,-0.12951651822309312,-0.07433203979024453,-0.026046169504894866,0.0010049433087764154
1,-0.09726946887820492,1.0,-0.05499900403322236,-0.11633817715351903,-0.056027154373135137,0.12387390364315301,-0.10988896253383482,0.06359470472700397,0.08011280452205911,-0.10698577865521976,-0.11321379204393867,0.011927985789632209,-0.011132253342572023,-0.0880444055876203
2,-0.021444503868093174,-0.05499900403322236,1.0,-0.012649083899733068,-0.015394005205674608,-0.06270223844708137,-0.05297262866533602,-0.07509599277803472,-0.042521797600826604,-0.09257677595876146,-0.08772587549210908,-0.042235883651787584,-0.0158557419836266,0.20151577908630994
3,-0.0004949056743074817,-0.11633817715351903,-0.012649083899733068,1.0,-0.21077953908857677,-0.11086852004708217,-0.13869232133411932,-0.04157663748949858,-0.09580984183130484,-0.06178722483314564,-0.1330807828364007,-0.10130360240496677,0.00998994581728075,-0.0008040317220843751
4,-0.19295438127573683,-0.056027154373135137,-0.015394005205674608,-0.21077953908857677,1.0,-0.09530339012324154,0.09631421667495188,-0.14669549751320649,-0.09649534012939011,-0.28952091965582466,-0.2706021136146883,-0.07905920049782665,-0.009751158439745583,0.0065099363339710965
5,-0.11698261161693746,0.12387390364315301,-0.06270223844708137,-0.11086852004708217,-0.09530339012324154,1.0,-0.10478272499718183,0.07913723709097738,0.11602027710911025,-0.11309661703875477,-0.14010288200653404,-0.018757983428382898,-0.04777997321110869,-0.09949482996442752
6,-0.1355164603605321,-0.10988896253383482,-0.05297262866533602,-0.13869232133411932,0.09631421667495188,-0.10478272499718183,1.0,-0.15422247238469278,-0.09825346357546894,-0.2098596602959915,-0.20295156438601564,-0.07710377573052346,-0.09395083040498542,-0.055007002712972194
7,-0.13310750577732158,0.06359470472700397,-0.07509599277803472,-0.04157663748949858,-0.14669549751320649,0.07913723709097738,-0.15422247238469278,1.0,-0.012686633521286423,-0.09906009794362067,-0.15944163318197674,0.014302341277733919,-0.08119977425524097,-0.12738128916997316
8,-0.07692588373222715,0.08011280452205911,-0.042521797600826604,-0.09580984183130484,-0.09649534012939011,0.11602027710911025,-0.09825346357546894,-0.012686633521286423,1.0,-0.10326297368602615,-0.0917331995123718,-0.009653718258977128,-0.05284815500614841,-0.06804688976467915
9,-0.13452558134701842,-0.10698577865521976,-0.09257677595876146,-0.06178722483314564,-0.28952091965582466,-0.11309661703875477,-0.2098596602959915,-0.09906009794362067,-0.10326297368602615,1.0,0.2635241111207742,-0.09273450895916668,-0.15174515538234407,-0.1387983177583268
10,-0.12951651822309312,-0.11321379204393867,-0.08772587549210908,-0.1330807828364007,-0.2706021136146883,-0.14010288200653404,-0.20295156438601564,-0.15944163318197674,-0.0917331995123718,0.2635241111207742,1.0,-0.08893625740850368,-0.15451415084615194,-0.12931136882390376
11,-0.07433203979024453,0.011927985789632209,-0.042235883651787584,-0.10130360240496677,-0.07905920049782665,-0.018757983428382898,-0.07710377573052346,0.014302341277733919,-0.009653718258977128,-0.09273450895916668,-0.08893625740850368,1.0,-0.04361690298344892,-0.06616570294979805
12,-0.026046169504894866,-0.011132253342572023,-0.0158557419836266,0.00998994581728075,-0.009751158439745583,-0.04777997321110869,-0.09395083040498542,-0.08119977425524097,-0.05284815500614841,-0.15174515538234407,-0.15451415084615194,-0.04361690298344892,1.0,-0.023435379206850838
13,0.0010049433087764154,-0.0880444055876203,0.20151577908630994,-0.0008040317220843751,0.0065099363339710965,-0.09949482996442752,-0.055007002712972194,-0.12738128916997316,-0.06804688976467915,-0.1387983177583268,-0.12931136882390376,-0.06616570294979805,-0.023435379206850838,1.0
