,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
s02T1622,25.53036435246441,0.0,4.63804321407618,0.18876173582320455,0.719515687101996,1.9597898425553952,0.6701984485205951,0.39666469234601864,0.0,0.2330869577409505,0.08681741432930427,0.0,0.03848521475108983,9.93970124800092,0.03151842584497255,0.08714303604725937
s03T1622,0.16092839879094342,0.0,3.0470487456216784,0.36523193502378876,2.2708034160772455,1.886850348862844,4.691739623913657,0.0,0.0,0.045598404128474684,0.00836002024354589,0.0,0.0,31.571908174681777,0.27753964421629673,0.02925747494314003
s04T1622,0.23105402566832486,0.03640812336461413,3.3360603497594443,1.4144468173979954,3.939635871262684,0.902189784773534,0.13357717963691465,0.5532123031255975,0.0,0.2502923464078915,0.0,0.005702496617309833,0.0,10.119066970014073,0.7539410590990613,1.4095511289402036
s05T1622,0.271730159087955,0.0,5.1456266615057356,0.9861200642210807,7.267930009352659,1.3598169899566048,0.0,0.12851710592436918,0.0,0.07161781291269423,0.0,0.0,0.0,12.752427632751807,0.5672717793771515,2.0626931090550222
s06T1622,0.25718881239544217,0.0,1.6855829846759878,4.062232013823051,18.40502582542038,0.0,5.548912131249714,0.07466018383112501,0.0,0.7329125063991125,0.0,0.0,0.0,2.5060624716964264,0.33091071329884264,2.991091569913787
s07T1622,103.34820497929032,0.0,0.0,0.0,0.0,0.4398644434964306,0.0,0.0042203673346246084,0.0,0.005163738121544342,0.00013118220168814509,0.0,0.0901202310323646,0.0,0.0,0.0
s08T1622,1.169516376285739,0.0,0.005256035175135443,0.0,0.0,0.0,0.0,0.0,0.0,6.0150457370613974,14.800437172050724,0.0,0.0,0.0,0.0,0.0
s09T1622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5495098137645655,7.44017446082703,0.0,0.0,0.0,0.0,4.852437472987119
s10T1622,0.0,0.0,0.031182314799231926,0.0,0.0,0.0,0.005168271621469597,0.0,0.0,9.454394844199559,6.3965899320118575,0.0,0.0,0.08717639957713814,0.0,2.945122562782512
s11T1622,0.007985495791578973,0.0,0.0017987090665288574,0.02940908128228768,0.0022237025464003765,0.0,0.057744063387000326,0.10556236167210799,0.0,7.182319703458989,4.13203283315296,0.0,0.0,0.06886750279361717,0.007545523065549036,5.925231450089617
