,0,1
s02T1622,13.82559493518435,0.021020835951428132
s03T1622,1.851796297856388,0.12456558439170308
s04T1622,1.0448087906368313,0.10883210037699531
s05T1622,1.337508910453675,0.13151763073218944
s06T1622,1.3179360927502557,0.2645088232676238
s07T1622,53.01483145241698,0.0
s08T1622,0.751950653717565,0.02488499866882423
s09T1622,0.29119909425561086,0.03463459168781336
s10T1622,0.24863442072935157,0.03637910357361017
s11T1622,0.3511853181350289,0.056084536030434215
s12T1622,0.5918905306702803,0.1178494427073694
s13T1622,0.6999407336111839,0.24387692919497472
s14T1622,5.418723299547663,0.07192105916964862
s15T1622,19.052577671383442,0.0
s02M1722,1.9976953603261338,0.10164542906955593
s03M1722,2.507755509232358,0.13429141290623542
s04M1722,1.5471056613539285,0.1763303015337404
s05M1722,1.0396437372976486,0.15402054116885255
s06M1722,6.647551642484758,0.08696268355529219
s07M1722,32.325269866983426,0.0
s08M1722,0.14470258261485505,0.023825418909917656
s09M1722,2.1054195258183808,0.02796637342958572
s10M1722,0.3794649728315931,0.03334844655595965
s11M1722,1.1840665174920395,0.0324767606652234
s12M1722,0.820687187693067,0.04059291104626671
s13M1722,0.37391898098849013,0.044899487842140484
s14M1722,8.853423709796697,0.17463929400186168
s15M1722,35.4310205426305,0.0
s01X1722,45.966529554272796,0.0
s02T1722,3.9088343957143166,0.07601099152601469
s03T1722,4.57662904539161,0.1057520662897068
s04T1722,17.671810894383146,0.11229252050311524
s05T1722,4.076610043574356,0.18439083293879202
s06T1722,2.5488565163680086,0.33793933446427166
s07T1722,22.587936114906597,0.1405227803862374
s08T1722,0.183088981446952,0.0292178242020128
s09T1722,0.3657485964256427,0.03408312528044693
s10T1722,1.2912047165309233,0.02905718609093564
s11T1722,1.1402873731300835,0.02945392685155733
s12T1722,8.426197295529732,0.015835259710208927
s13T1722,0.7683055426392518,0.028957205981106994
s14T1722,41.659728334461505,0.0
s15T1722,15.644744028385213,0.07927565264213711
s02M1822,4.086429091157026,0.1515013733086482
s03M1822,5.285483556220037,0.11982427956909547
s04M1822,3.4009386072698113,0.14505803663872976
s05M1822,3.685317992058713,0.14598076963927714
s06M1822,2.4225066503303867,0.4044547017275929
s07M1822,0.840244590016127,0.07966688178388744
s08M1822,0.1629761735598393,0.0237462406767019
s09M1822,0.3621329375152603,0.034526527703522894
s10M1822,0.2931864413949377,0.031210783143862237
s11M1822,0.2755980121705153,0.04046335244707685
s12M1822,0.37435397024620515,0.04966734835088964
s13M1822,0.30049603669912167,0.06599026202533047
s14M1822,1.7429231161961811,0.5099140611575069
s15M1822,31.65171222803122,0.0
s01X1822,3.528066324289811,0.1828439728690241
s02T1822,4.291209900458929,0.12688085322510534
s03T1822,2.4526033976911097,0.08851140166956449
s04T1822,2.0090063796437057,0.17088653452961858
s05T1822,2.5431996000858943,0.19446082332089046
s06T1822,3.0385063908655785,0.26511118832601566
s07T1822,1.3745636708604152,0.1484857658318217
s08T1822,0.19111449644623435,0.027570871423297644
s09T1822,0.37065182306058064,0.023506127573572688
s10T1822,0.2838059946693254,0.020761862610886878
s11T1822,0.387991469985174,0.021784809140618644
s12T1822,0.4763218315288923,0.10596675018891863
s13T1822,0.8486568224963912,0.09341342867328635
s14T1822,0.7898726431508676,0.06955966540799718
s15T1822,2.40094814432467,0.11203623491561941
s02M1922,3.359235496009639,0.11538418328315012
s03M1922,1.6302880319930504,0.0974807966657075
s04M1922,3.9364810013151965,0.18487954751539962
s05M1922,2.57300707490236,0.17322184019766004
s06M1922,3.3952844480835487,0.17819892692541597
s07M1922,2.907691191457427,0.27692696587217697
s08M1922,0.18049549235952886,0.03250955910217205
s09M1922,0.18497444808346897,0.03325303205761238
s10M1922,0.18694331249996068,0.15163844560162165
s11M1922,0.18754208376594703,0.02482955587781352
s12M1922,0.817638706913442,0.04574061362155085
s13M1922,0.18252300820040637,0.03645595386360217
s14M1922,0.3557415549703602,0.27745643101646705
s15M1922,0.36906750356130985,0.09038728095032872
s01X1922,16.423703629766898,0.015745669276933976
s02T1922,2.7479079169024536,0.15736409584703603
s03T1922,2.84468822352058,0.15561063523703386
s04T1922,1.2581206736490083,0.22598390933589402
s05T1922,1.7797428864859197,0.174933128765085
s06T1922,1.6991908585802045,0.1661696141448063
s07T1922,1.5044874493848164,0.23839374479032988
s08T1922,0.10806539783147616,0.018603844558794425
s09T1922,0.4575496996449277,0.12645555745109863
s10T1922,0.49316287701549233,0.04395525170682093
s11T1922,35.459514050120134,0.0
s12T1922,42.243837076860785,0.0
s13T1922,1.5489902409565204,0.2078480105693446
s14T1922,27.906566129339392,0.07949273669304724
s15T1922,4.3477941568725695,0.15109710910714752
s02M2022,1.968283959448942,0.11033400984303804
s03M2022,1.5987689362218276,0.2162328318525114
s04M2022,1.0685259063375145,0.12067004348208495
s05M2022,2.0139484336482987,0.3958167758940436
s06M2022,2.1377212241967247,0.47086590331692996
s07M2022,1.4230735490946462,0.158024120771657
s08M2022,0.11881511334006223,0.024068788024457582
s09M2022,0.19453837540539853,0.03848849709556201
s10M2022,0.17713092991066223,0.047146792065984496
