,0,1,2,3,4,5
s02T1622,17.98228986587346,0.10116948595287428,6.6728107958084815,0.17303947939599565,0.0,0.5443462914485823
s03T1622,0.8442533760723856,0.03211074103717252,11.88630462871391,2.9948837371133363,0.0,0.5513113583848317
s04T1622,0.5675234837018545,0.3822774052196394,6.371221996775886,1.2792013448059003,0.03942718579803935,0.35423763401450004
s05T1622,0.6197047526020831,0.335039411333561,9.031289696816733,2.0050932088204605,0.01144002950692084,0.5068448981762828
s06T1622,0.6091572621570394,0.9412361240969247,3.8719811573095875,8.314075909133441,0.019575433998694613,0.06972313253504434
s07T1622,72.00019000415017,0.0,0.0,0.0,0.0,0.0
s08T1622,0.615869911177621,13.996895346922539,0.0,0.0,0.0,0.0
s09T1622,0.04736234880754121,10.404338023778662,0.0,0.0,0.0,0.0
s10T1622,0.0,11.447105056361888,0.028687314651107944,0.0,0.0,0.0
s11T1622,0.1518719676430822,8.744047798968857,0.05619233241855134,0.056773905366445825,0.016768585481623174,0.022139269140484422
s12T1622,0.6148824741796823,2.8798720589850118,0.3655764113416059,0.25206664384724475,0.13398438243745733,0.19572789326013723
s13T1622,0.5687154380915318,3.6543674160180837,0.9712603590465179,0.8227151355529744,0.09842663637358331,2.8691131075700205
s14T1622,7.146877446434169,1.9235865253179916,0.6458161869421131,0.27130955177672544,0.08101428786161813,0.18179016379398513
s15T1622,25.772649771739122,0.8949133772206553,0.0,0.0,0.03940855783718822,0.08255398507901301
s02M1722,0.0,0.3116493169966015,30.693253322541214,0.6245720081993165,0.0,0.0
s03M1722,1.5369876858851566,0.1305148053869281,12.895787413397787,3.159831319543637,0.0,0.030506679046473927
s04M1722,0.9205566444777634,0.24611712645004694,4.844567926002533,8.491211325230093,0.0,0.02609955757976946
s05M1722,0.09741200077429231,0.17939899802635442,8.152176878686895,6.5892181834956,0.0,0.0
s06M1722,7.911184908990588,0.0972585602025099,8.796965961213893,1.9284601082041166,0.001766473660736534,0.010856377761811906
s07M1722,43.82701511355631,0.04574102568970244,0.0,0.0,0.0,0.0
s08M1722,0.0,13.183552860579,0.0,0.0,0.0,0.0
s09M1722,2.617745957901166,5.560507046641024,0.0,0.02167418954727469,0.0,0.2589033576937551
s10M1722,0.2986500026462251,5.072810936821568,0.09388577632474283,0.045111254444884806,0.004249512150746826,0.04037368817212175
s11M1722,1.3986188616101995,4.356201307045871,0.0518222747710423,0.032572420650061586,0.0,0.30490400893315495
s12M1722,0.9613336387805074,2.889605603354597,0.11741827674913237,0.05331424235829394,0.022979433488679122,0.22926013493865705
s13M1722,0.3415021920676575,3.0312349601482245,0.28909234290291125,0.056137582843785665,0.03432964907196039,0.0901277834111757
s14M1722,11.873757205706365,1.2608428428932275,0.05306876201343234,0.4429911598331607,0.2457628793447415,0.328607734539539
s15M1722,48.04147383804907,0.32437512998776297,0.0,0.0,0.007612060425652682,0.00526557920643725
s01X1722,62.231588281713364,0.0,0.0,0.2565727973669941,0.0,0.11369686359722198
s02T1722,1.0287602157428295,0.1045973484172389,48.33844867773068,0.0,0.0,0.0
s03T1722,3.0986509808207052,0.15297521588606575,24.69221423118957,0.0,0.0,0.0
s04T1722,22.20483344209227,0.0,11.963246324971365,3.758008806407216,0.0,0.0
s05T1722,2.9081237236672117,0.0,18.23172436679785,4.063693164065216,0.0,0.0
s06T1722,0.33894489253852206,0.0,23.481965621991172,7.04105153985654,0.031453966024024234,0.0019189221540116992
s07T1722,29.976194668401785,0.4866514751181158,1.6918920695760957,3.2710259578056076,0.0499937117373891,1.0115001108908421
