,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
s02T1622,0.22949620268607812,0.0,0.12286446829459746,0.0033778618390554824,0.004018507688930382,0.05275927212079542,0.07084181075458747,0.0,0.0,0.005145752655696205,0.001537514501654118,0.0,0.0003882681449621847,0.22419245421966658,0.0,0.0003810012408287747,0.001657934231086994,0.0055996002981212505,0.008829878605655426,0.2031374001978121,0.006169664858868629,0.037471092516340086,0.007077966459706863,0.008394033936719352,0.0064771598663061975,0.0,0.00018215488253088978
s03T1622,0.3522281905411335,0.0,0.045607496562700384,0.0,0.00655482585992905,0.03154696027070805,0.0011938353785109958,0.0,0.0,0.0005489200526300535,0.0,0.0,0.0,0.43096469758354994,0.0,0.0,0.00015836430357290502,0.0,0.02181814503708711,0.0,0.0,0.07635694897179905,0.03301394658388566,0.0,0.0,0.0,7.668854493203051e-06
s04T1622,0.27729849472054247,0.0008786073289090699,0.08034013132059796,0.009141141004653004,0.0,0.021140226756520903,0.1396167831219557,0.0016223488411133502,0.0,0.00508343839634469,0.0006911408201949037,0.0043573344851286335,0.0,0.1950401547254786,0.0038842489710508147,0.007275052467718011,0.0006500585905731215,0.005752080857623579,0.1168661623499028,0.0004848902689150966,0.019240095434985907,0.08424158301913176,0.0003865269639026895,0.01139265494505918,0.006056601257562468,0.0,0.008560243352135394
s05T1622,0.14320993236652896,0.00015628673040706434,0.10839059477962892,0.002362873642211241,0.0,0.029635732052744054,0.08600727652653455,0.0048158725719234415,0.0,0.0,0.0012510620144795227,0.003198059874109077,0.0,0.21396122993750225,0.003744724303017646,0.015116170750218086,0.00020510991941651138,0.0005166115810122917,0.14219994347451428,0.00141165112007798,0.01435877064408127,0.19853507264442125,0.0,0.011688275791408999,0.0,0.0,0.019234749275762658
s06T1622,0.06683748037302174,0.0,0.024664218496465072,0.0004960034789237548,0.0,4.6287314412589015e-05,0.06452408602563674,0.001881741236471692,0.0,0.0,0.0,0.042608350792318485,0.0,0.03159771473926579,0.002185894742500668,0.0028194716119566724,9.393679234367731e-05,0.0013470346012048307,0.06473254511545376,0.001248045736184597,0.0,0.5655753207981409,0.040081104765609894,0.004307147983204124,0.0,2.693892601597895e-05,0.08492667647086911
s07T1622,0.0,0.0,0.0008499735875286861,0.0,0.0,0.014074700576392847,0.018949347169633972,0.0,0.0,1.6205960971504548e-05,0.00016286905262986583,0.0,0.002444948306474712,0.0,0.0,0.0022499178094659736,0.0,0.0002608468659147577,0.0,0.9594519945425195,0.0,0.0005612386037357058,0.0,0.0,0.0,0.0,0.0009779575247324107
s08T1622,0.0,0.0,0.00036254637982815774,0.0,0.0,0.0,0.0,0.0,0.0,0.21009649203970054,0.30106928414755185,0.0,0.0,0.0002431970803614527,0.0,0.0,0.47277417629534957,0.0,0.0,0.015454304057208344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s09T1622,0.0,0.0,0.0005717991159744738,0.0,0.0,0.0,0.0,0.0,0.0,0.2212558674950433,0.4188076064303995,0.0,0.00010713968082480031,0.00047368303144127235,0.0,0.22322193019890393,0.1315534444734372,0.00015114710494595237,0.00021228494476692686,0.0,0.0,0.0031793241343330927,0.0003203414642315365,0.0,0.0,0.00014543192569785185,0.0
s10T1622,0.004261583023886106,0.0,0.0021878411692311385,0.0,0.0,0.0,0.0,0.0004171190717045622,6.542282272678652e-05,0.31816191901430757,0.4964131946991558,0.0,0.0,0.004260854691676821,0.0002433059390592145,0.03173738215373006,0.03139514732796514,0.00037238934859154613,0.00023878883027116294,6.304615533050865e-05,0.0,0.00300432836834504,0.000297209645656215,0.0,0.0006774071103945322,5.5749183770244306e-05,0.10614731144419756
s11T1622,0.017007093570948796,0.0002602537470937348,0.0006615986653640575,0.0075967551461537585,0.0,0.0009309615705650044,0.0660788051635362,0.00408779588754534,0.00020660637623170827,0.24944311381912218,0.3453048471022963,0.0005068562466708467,0.00022791082855970978,0.0022721639745700854,0.0012763080399635263,0.2258011362719303,0.013156641589293291,0.009451239660755206,0.002070464450528714,0.0,0.0,0.002068273504933916,0.0010888780337124297,0.004894853339847477,0.001787644358162627,0.00030526093257316313,0.04351453771964139
