,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
s02T1622,0.5685568738704534,0.0,0.10224278821276472,0.004926876487041357,0.01771706794989553,0.04367602105817502,0.014247482094720213,0.0,0.0,0.004771604353937098,0.001154244597194623,0.0,0.0007845545302883251,0.2084509503905709,0.0006316619189554784,0.004989400903134276,0.0015898534201223263,0.008916995262928145,0.01734362494981863
s03T1622,0.003553983087372418,0.0,0.06684401803255478,0.0106199726559861,0.05397603154821585,0.04187105935845469,0.09955526460157157,0.0008332879972484433,0.0,0.0007427894815207291,0.0004888425720048966,0.0,0.0,0.6579995762155877,0.005516230753248981,0.0006867303006326167,0.0002884064067886246,0.0,0.057023806988812833
s04T1622,0.00869719369745492,0.0013754996739609785,0.13105392381715636,0.042253191740033655,0.054039706795759285,0.03604462719937702,0.004513073829669633,0.05882260853447291,0.0,0.010383859545478942,0.005111241076293208,7.129181671592661e-05,0.0,0.35130607473438125,0.023521252826317667,0.017759180754289366,0.0006617530988676752,0.021509385905234924,0.2328761349545363
s05T1622,0.007819005653316375,0.0,0.1517082434882772,0.018331473065425437,0.11110993046875499,0.040886659655644655,0.0,0.059416798689720225,0.0,0.0011601798888203256,0.008451020983050284,0.0,0.0,0.330993460559288,0.012227941111025518,0.014611904903536468,0.0,0.0034705707502416996,0.23981281078289884
s06T1622,0.008667339300798623,1.1398721250902335e-05,0.04288634066384634,0.10246767375117333,0.4292597570450414,0.00017969546453974712,0.13461539648676676,0.017346332929282386,0.0,0.003990829892972121,0.03177420320524253,0.0,0.0,0.061791461741334,0.008287372635470101,0.018716946893239442,0.0,0.004483709548992178,0.1355215417200501
s07T1622,0.9948007113011723,0.0,0.0,0.0,0.0,0.004233595320903,0.0,0.0,0.0,0.0,0.0,0.0,0.0008374287359675893,0.0,0.0,0.0,0.0,0.00012826464195719964,0.0
s08T1622,0.04594139185962638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1840001947973721,0.2607112468651746,0.0,0.0,0.0,0.0,0.0,0.5093471664778267,0.0,0.0
s09T1622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2102131473910753,0.0,0.20974870902612913,0.4238849889212147,0.0,0.0,0.0,0.0,0.0,0.15615315466158095,0.0,0.0
s10T1622,0.0,0.0,0.002290422699934657,0.0,0.0007993332836040009,0.0,0.0007342595471950649,0.0,5.768272299207768e-05,0.3490114056625202,0.5916439162391427,0.0,0.0,0.005289342771996525,0.0,0.0,0.048956644977480285,0.0,0.001216992095134387
s11T1622,0.0018890129313967133,0.0,0.000783383312209945,0.0,0.0,0.0,0.0032414942203726482,0.26966162177759045,0.0,0.27115253269290596,0.41320151366929603,0.0,0.0,0.003552364776865532,0.001057645708832921,2.4587029538892657e-05,0.02306510805698034,0.007999711813630244,0.004371024010380231
s12T1622,0.00908401097426705,0.0,0.004253678972180968,0.029861439756156644,0.0,0.0,0.0038273858873876885,0.5948175429955241,0.0,0.07872439408656773,0.10572137831082139,0.0012994062245807385,0.0,0.019823365320565188,0.03875860805994714,0.0968541572965431,0.0,0.009050384132389448,0.00792424798306884
s13T1622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9590803834071894,0.0,0.02287401686759262,0.01638294793713743,0.0,0.0,0.0,0.0012563448619328224,0.0,0.0004063069261477943,0.0,0.0
s14T1622,0.33715739178623544,0.0,0.0178235291780061,0.06251196358716368,0.009559527294931423,0.0,0.0011445147161084348,0.4077032429868211,0.0,0.012034550809240362,0.05829636952433605,0.0,0.0,0.009575506998155119,0.010948788154645363,0.052558047318252414,0.00283673422077383,0.013941997945587955,0.003907835479742853
s15T1622,0.7705871599869469,0.0,0.0010024441382863033,0.01450003600760635,0.0,0.0,0.0002811545424571306,0.14674282176544745,0.0,0.004808683732785799,0.01579427549837136,0.0,0.0026975492167192906,0.0,0.019504328320465465,0.01833740067520189,0.0,0.005744146115712131,0.0
s02M1722,0.0,0.0003162977183307115,0.5627684426149107,0.006142072843732988,0.0,0.0,0.08382510946287283,0.007209538494437117,3.6627108870015935e-05,0.004230380426329465,0.004624944140406588,0.0,0.0,0.2941730625457913,0.005006108555771517,0.001902133664629887,0.00240309741529731,0.0001732563565291426,0.027188928652090286
s03M1722,0.009217676081728613,0.0,0.07794794656519527,0.05788682352750799,0.1475593523487051,0.0,0.014346935128034925,0.0,0.0,0.0,0.0013686735287886857,0.0,0.0,0.517464958774212,0.06665339885469883,0.0,0.0,0.0,0.10755423519112861
s04M1722,0.008192088669755732,0.0,0.06870823338527675,0.021794790200698615,0.02379136499684807,0.0005911762542916772,0.38250366709715955,0.049675092774358276,0.0,0.0,0.00373798343043876,0.0,0.0,0.19675235650953363,0.11628356418768206,0.005417336622851282,0.0,0.0,0.1225523458711057
s05M1722,0.001470678668598353,0.0,0.21742932466325984,0.010125266090847518,0.054912489456724216,0.0,0.30833958314488363,0.046757431060339985,0.0,0.0004413373906291138,0.004919391623545057,0.0,0.0,0.10985443196278118,0.007669962109081255,0.008559579388486446,0.0,0.0003022587134423797,0.229218265727381
s06M1722,0.2964012696138082,0.0,0.17744826889852677,0.007250660958835031,0.16040350122218103,0.00018636111684009778,0.0,0.017736601237951607,0.0,0.001077002820386642,0.0028437611908363396,0.0,0.0,0.1756713267507529,0.003454415792311608,0.007540017098149862,0.0,0.00305725974361905,0.14692955355580084
s07M1722,0.8696045815856805,0.0,1.9468098080621154e-05,0.11546793512844442,0.0,0.00010248223542340917,0.0,0.01389905519012512,0.0,0.0,0.000711787416355683,0.0,0.00019469034589030074,0.0,0.0,0.0,0.0,0.0,0.0
s08M1722,0.0,0.0,0.00030814234038021795,0.0,0.0,0.0,0.0,0.0,0.0,0.015861348770113023,0.35774221727232525,0.0,0.0,0.00024414422519586766,0.0,0.0,0.6258441473919857,0.0,0.0
s09M1722,0.04787773173322355,0.0,0.0,0.023202796572887773,0.0,0.0,0.0,0.8066190599361349,0.0,0.017781370973976942,0.10237019207257152,0.0,0.0,0.0,0.0,0.0,0.0021488487112052593,0.0,0.0
s10M1722,0.009325955958225393,0.0,0.0032276897355810507,0.03782231647194678,0.0,0.0,0.0012261989921267715,0.3391033159152022,0.0,0.16471930228908516,0.36576033539952285,0.0,0.0,0.0045356156993699185,0.0,0.059419717752333165,0.0,0.014859551786606574,0.0
s11M1722,0.004293378028025909,0.0,0.0,0.0,0.0,0.0,0.0,0.9256326877594351,0.0,0.01068733855768995,0.05938659565484894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s12M1722,0.005489307891581347,0.0,0.0,0.0,0.0,0.0,0.0,0.9193966552644331,0.0,0.01814981425018533,0.05275572374000074,0.0,0.0,0.0,0.0,0.004208498853799378,0.0,0.0,0.0
s13M1722,0.00893684233509363,0.0,0.0004054480120501584,0.02685203054272906,0.0,0.0,0.0009754192384871206,0.5072413846228608,0.0,0.10173276122153624,0.2333614747135171,0.0,0.0,0.05989295999443595,0.0017487794823220367,0.053013099865818494,0.0,0.005839799971149439,0.0
s14M1722,0.4593773073553228,0.0,0.0009111081451382304,0.006125107953215575,0.04483458110998006,0.0,0.0,0.4170770966144481,0.0,0.0,0.021232165545535895,0.0023659365147062654,0.0,0.0004555201254227315,0.0017189850829484909,0.03731495081903164,0.0,0.008587240734250315,0.0
s15M1722,0.8745461984967628,0.0,0.0,0.019777972582935194,0.0,0.0,0.0,0.06966406428282318,0.0,0.0,0.004512181648028428,0.0,0.0,0.0,0.026004898357943094,0.004927046259809656,0.0,0.0005676383716975973,0.0
