,0,1,2,3,4,5,6,7,8,9
s02T1622,0.0,1.114859009681922,4.328278405046505,0.3343684202116738,0.5048466053439843,18.457193724779977,0.0,10.347410609228247,0.0,0.182566090517147
s03T1622,0.0,1.0576915259769324,2.8447812593562083,2.410465325504008,1.769713024478825,0.1017049349054393,0.0,33.058338983742054,0.0,0.03410492201566745
s04T1622,1.8222341575605738,0.48707196901662153,3.1454546096109226,0.10999543789678762,3.521304884830606,0.24557655509000606,0.0,10.790254671009663,0.0,0.3558503604541412
s05T1622,1.1122618335221282,0.734848660238058,4.850566314956349,0.0,6.535564158464338,0.2977781345991525,0.0,13.574045301100274,0.0,0.3177389103704475
s06T1622,1.7893793562714997,0.0,1.6700198974561449,2.9570341112636576,16.96797803430433,0.4175990507854983,0.0,3.0403528583020045,0.0,0.940289424058019
s07T1622,0.0,0.24297747411577447,0.0,0.0,0.0,74.66885917268958,0.0,0.0,0.0,0.0
s08T1622,0.0,0.0,0.0,0.0,0.0,0.7302563388703635,0.0,0.0,0.0,15.533915394759285
s09T1622,0.0,0.0,0.00429625069437546,0.00043646719619310176,0.0,0.09258931883430838,0.0,0.0100605553757982,0.0,11.52558428462567
s10T1622,0.0,0.0,0.03472123701120594,0.00511161955893861,0.0,0.0,0.0,0.09783691665286154,0.0,12.679803811240937
s11T1622,0.41622941903753913,0.013408363300708995,0.027314119248191597,0.03840419458217152,0.08176448660204322,0.15753847451815542,0.020904109090685456,0.12294192249836905,0.01752388326983125,9.665332817774738
s12T1622,3.018663121517171,0.01281919789198268,0.12322174633019946,0.05201974253442126,0.2154134255579297,0.43072649565256244,0.11948072134454475,0.5290014076074275,0.06405467605882949,3.0984880141018825
s13T1622,7.018698081574349,0.6728191555520044,0.32571026481340554,0.0,3.4154141731433,0.10529039993678636,0.0,0.05548853141963428,1.372539535984902,3.7479066580376057
s14T1622,2.932534112440941,0.0,0.5359231618522985,0.04040859134396435,0.5104535714780793,7.201663623598922,0.053640457276151854,0.4133050453326329,0.060207714920282644,2.0402999303693976
s15T1622,2.763887749778915,0.0,0.06815027422038537,0.0,0.04604884908035421,26.47742738669928,0.025762777899706102,0.0,0.029011373996290165,0.9996528992314506
s02M1722,0.5436220403834923,0.0,27.596984326563,2.3098252191494812,0.0,0.0,0.0012251843813248498,17.02852957436153,0.0,0.4017716196786437
s03M1722,6.815325326077211,0.0,3.8457527901050366,0.5135555407832603,7.1928051209139685,0.4171091158294886,0.0,30.05569808113829,0.0,8.100982783553571e-05
s04M1722,9.07199316265085,0.0,2.450008092141553,7.6415131354589745,2.098850828240739,0.247791520273421,0.0,8.896292914214314,0.0,0.11634728497360802
s05M1722,0.6671298591686792,0.0,6.830312417675413,5.490597655991131,4.9220000941549005,0.13274062648407758,0.0,5.355724568864319,0.0,0.20433668660224313
s06M1722,0.0,0.0,6.324204127579,0.0,7.471705975851949,8.091574178411927,0.0,8.016299804731927,0.0,0.12254913804764303
s07M1722,2.7400626318236103,0.0,0.029288995233000686,0.04570160009249895,0.0,45.14215100155179,0.0,0.0,0.0,0.09019428810557507
s08M1722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.631422444727296
s09M1722,2.4956889294589493,0.0,0.0,0.0,0.0,2.551180590196008,0.0,0.0,0.14671394487589243,6.061810517146292
s10M1722,0.9628320051495939,0.0011349204994508424,0.06249462239528996,0.024911619809123018,0.0,0.2623420866477464,0.0,0.11152062839870226,0.023080137299747002,5.575460829066338
s11M1722,2.572104127459794,0.0,0.012131588277731541,0.0,0.0,1.2812186139514208,0.0,0.0576713841907988,0.15895137802852766,4.726577372652434
s12M1722,1.8573767484539025,0.027696824944631007,0.056451240325756845,0.001155503475621337,0.0184604051577809,0.8740118138888772,0.012382671596748485,0.1347574762213723,0.10644737955968869,3.1273203717693137
s13M1722,0.9922389508142582,0.013526292090901743,0.02741367136780901,0.017995993313842783,0.0,0.27484473904057805,0.030510966701049212,0.9029947730779132,0.04181809357948022,3.3161658054047853
s14M1722,1.5198552086658392,0.06376124119496843,0.0754814618988882,0.0,1.6168182779538263,12.168630972035034,0.2494691339856542,0.0,0.15927269313562448,1.3688229056391856
s15M1722,4.458312527540877,0.0,0.0,0.0,0.0,49.401336279642564,0.0,0.0,0.013494446631169886,0.42661339968290474
s01X1722,24.79124042871178,0.0,0.0,0.0,0.0,62.65846638394317,0.0,0.0,0.0,0.0
s02T1722,0.6075665345084809,5.552315220693044e-06,49.24062788986107,0.0,0.0,2.1679365550576004,0.007713268814023948,7.418396443062414,0.0,0.24995852805203028
s03T1722,1.046328300284378,0.0,0.48166992214574306,0.0,0.0,0.8058044445858142,0.0,88.10490107127464,0.0,0.05315444418219357
s04T1722,0.0,0.0,4.371455778684361,0.0,12.826332362049472,22.393688471444662,0.0,25.083008464264903,0.0,0.0
s05T1722,0.0,0.0,2.4924938088773083,0.0,12.133876315257048,1.6736133097478858,0.0,53.04245144051752,0.0,0.0
s06T1722,0.0,0.0,14.85779491479637,0.0,25.370801065122592,0.044102486923721256,0.0,25.272338018192062,0.0,0.0
s07T1722,111.61907948649194,0.0,0.0,0.0,0.0,23.398058467406642,0.0,0.0,0.0,0.0
s08T1722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.13680118170874
s09T1722,0.04650211132635372,0.04313327673279932,0.00466175848632832,0.0,0.0,0.1996733355027721,0.0,0.013000680130692863,0.010308263794484865,11.167467057492688
s10T1722,2.4584342371980097,0.0,0.017905879890014062,0.0,0.0,1.4404321092237238,0.0,0.08407286155798593,0.15632589281601522,4.641420050267529
