,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
s02T1622,29.430116143974423,0.0,5.54566424365961,0.0,0.02626524367266935,2.393077473755182,8.890704237480618,0.04155330656490994,0.0,0.16196541640002857,0.08545124508408462,0.0,0.05158567450992503,9.77240179662851,0.0,0.0865113254838319,0.07866631540980118,0.0,0.275272285854321,0.0,0.0,0.0,0.22103938903141856,0.4003961928290332,0.16656383626778498,0.0,0.019146612856987415,0.14655384305839686,0.0,8.157272408443578,0.009475711042221065,0.0,1.8316678249512097,0.5482527508644505,0.0
s03T1622,0.0,0.0032327301410094125,3.0090365056740005,0.0,0.265794924675546,2.44699932583527,0.4293484511996333,0.1281962854629266,0.0,0.03830788853189887,0.0,0.0,0.03749021980328435,31.733147472243115,0.0068623367595265225,0.0,0.016768693087208603,0.0,1.366863517442081,0.7853484384516184,0.0,2.5594949949308603,2.2970814962782136,0.0637962694792049,0.0,0.0,0.0,0.0030868828917127483,0.0,15.763634599188027,0.005819685621833849,0.0,0.8591453192536239,2.077760742996148,0.0
s04T1622,0.0,0.022939396760236545,4.218800844583803,0.0,0.0,0.9889690741156466,9.76121095439816,0.45862132407371675,0.0,0.12517911974881707,0.017423626195790017,0.12682604589403962,0.03247753009744977,9.568451770286865,0.06280344842702762,0.1306450453171349,0.028877769259928077,0.02143574784366449,5.184898793077771,2.5117783891931404,0.0,4.20709757449534,0.007826070971796028,0.3672529787963484,0.12257167665416427,0.0,1.3667992917388867,0.23951150080562733,0.0,0.9831152193051114,0.0,0.0,2.693952928150356,3.3439990578777796,0.033977702563153724
s05T1622,0.0014223712930587038,0.0,6.711720355582415,0.0,0.0022161551038246225,1.7734407552391411,0.5104555282299813,1.498961766095356,0.0,0.0,0.01572143175666021,0.06611763868527398,0.020179126472903805,12.410124776408267,0.020938439249951635,0.3033580395680778,0.007662268068572566,0.09340100941870202,7.503377845571145,3.075372595383227,0.0,11.532904263956352,0.0,0.36084922847892814,0.0,0.0,3.2358138872398348,0.009327492948875896,0.0,0.21528732933968467,0.0,0.03062901709091366,1.7624408103705034,1.2679989536965857,0.015590768315898295
s06T1622,0.06369668481908884,0.020861798322379763,2.3238839490225645,0.0,0.0,0.0081610985091146,0.0,16.322942425203838,0.016028441376455843,0.0,0.0,3.3653160162070628,0.029995072548637064,2.7421897136848656,0.012183001550021232,0.2601937328810261,0.0009738759773068509,0.02463899668133845,4.9075346421355315,2.8654204357207322,0.0,46.790004478373014,3.284035382911254,0.29681680625481993,0.0,0.007237520665950611,0.0,0.028275705614091082,0.0,0.12009473271640415,0.01324043236793869,0.07798987174237712,2.7355533584436094,0.9773803178169019,0.030128869377048846
s07T1622,119.55241407057561,0.0032270296542407442,0.046752163846548005,0.007534532230020023,0.0,0.5731355796571164,0.33209509601633996,0.29556099305173184,0.0009320578450667739,0.0,0.02248183883661252,0.0,0.1515127111246917,0.003468434502967362,0.0,0.23925843951597045,0.0018911267319429636,0.031567669612634755,0.0042642725759781544,0.0,0.0,0.0,0.0,0.10344376413091848,0.023143561907405054,0.0,0.0,0.04058055958048618,0.021287702232377838,0.0064429887136430485,0.010672333393362219,0.005008162841502395,1.2852454363459929,0.0,0.009947963155568753
s08T1622,1.3570567622317888,0.0,0.013277670399192382,0.0,0.0,0.0,0.0,0.0,0.0,6.158580076091629,8.13582996070667,0.0,0.0,0.010418280857492152,0.0,0.014709000161614985,12.914254342588332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s09T1622,0.0,0.002946142746826696,0.01913551480499839,0.0,0.0,0.0,0.0,0.0,0.0,5.58699800175548,9.961303868122654,0.0,0.0,0.018052930208847694,0.005807648856980678,5.156215605879755,3.157795975852417,0.0,0.005028160295421838,0.0,0.0,0.09366375741647497,0.008169685410060532,0.0,0.005039376815031052,0.003570450289081376,0.0,0.0,0.0,0.006994569994443622,0.0,0.012743893741104432,0.10659818929606478,0.0,0.01416297809888917
s10T1622,0.0,0.006911036626526269,0.058314101956279736,0.027935297753591312,0.0,0.0,0.0,6.073138660877365,0.0004060453334862564,7.965545688431719,11.80388534110437,0.0,0.0,0.09634837308802863,0.0021153638771119,0.8333512506583381,0.7471473894293647,0.0013150589250920308,0.0,0.15069400301975006,0.0009910670850088348,0.06531004785426618,0.005500877570782171,0.0,0.014377999344172002,0.0018909712549468308,0.0,0.02318873030404585,0.013165058447356182,0.0,0.01711394552461578,0.014543748336942731,0.0,0.0,0.003747612811924788
s11T1622,0.0,0.02439853898624026,0.019110795633793604,0.013027061107935783,0.0,0.017778581230129122,1.3642218189743998,2.7729287114796133,0.005068556113049893,6.385971047573674,8.444321683541782,0.015728654374726,0.0,0.04559958528223524,0.015471126522574886,5.343977702845213,0.319230103860071,0.11908152096618639,0.018410633181093417,0.42352245140622097,0.0044895332621733884,0.029337970185683827,0.019355985265680026,0.16570039378804904,0.017633202584512973,0.006068395067375779,0.0,0.05510168163431404,0.0,0.05365123096055937,0.0574804778726129,0.133686796319147,0.7344220525107421,0.0,0.04240667463934948
