,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
s02T1622,0.007925759856003762,0.0,0.16092558108639277,0.0062058763149476556,0.001370345073401853,0.06253736500561062,0.034514846248202766,0.0,0.0,0.006394999577345652,0.0023397694510816397,0.0,0.0009733430547283804,0.30218298960931184,0.00013487652536864225,0.0016221798028267077,0.0023765342549026723,0.007748659578785645,0.02249101133769522,0.2646934582116137,0.01554471441851927,0.0761734294144686,0.010124461864510855,0.013719799314281739
s03T1622,0.0035683031052357542,0.0,0.06766066340102887,0.010837020615298686,0.004128507062431773,0.03972868484071867,0.0,0.0005936336855330282,0.0,0.0006205941374580102,0.0001507367507498854,0.0,0.0,0.6160118877355562,0.004330135304096881,0.0001491605453992135,0.00035856661935009833,0.0,0.04926869234069457,0.0010155749781721342,0.005184447698371343,0.14961428335744015,0.04567272904683211,0.001106378775632578
s04T1622,0.053420071148329654,0.00044365488317545066,0.11554365739225686,0.032939869869044465,0.0,0.026946551365067926,0.042734814975089346,0.002635392108484341,0.0,0.006558144310484019,0.0014290176121731194,0.0,6.458763948062542e-05,0.285391047619876,0.01582912717328489,0.016699660297314137,0.0011944034925439881,0.00815449585952267,0.17839319517288532,0.002013280093261687,0.046704890843773675,0.1382809787199571,0.001981268477856645,0.02264189094613822
s05T1622,0.0753857461669238,0.0,0.1286739765928866,0.011718863731451425,0.0,0.032291560052870406,5.742751537925123e-06,0.003443995437897273,0.0,0.0,0.0016051534719814953,0.0,0.0,0.2583535000306422,0.007559167120657027,0.02223713746059579,0.0003265815005812863,0.0,0.17722874758395202,0.0017484407691777388,0.025927625588059375,0.23696207656068483,0.0,0.0165316851801008
s06T1622,0.2446842020846805,6.545002204623915e-05,0.022837909835557856,0.053045894643526416,0.0,4.79158943703408e-05,0.0,0.001409511334266982,0.0,0.0,0.0,4.353213832179903e-05,0.0,0.029458801953431167,0.0026771593528054417,0.0035023022300155597,9.720063350915752e-05,0.0015529051544302319,0.06353334228830922,0.0009832148723845455,0.0018750268696365135,0.5325842793795369,0.0369212330154052,0.004680118297765937
s07T1622,0.0007735995110613645,0.0,0.0,0.0,0.0,0.01316569077866703,0.003322381782884067,0.0,0.0,1.2628144413939808e-06,0.0,0.0,0.002565562144308794,0.0,0.0,0.0,0.0,0.0005509802772527573,0.0,0.9796205226913848,0.0,0.0,0.0,0.0
s08T1622,0.0,0.0,0.00018090441836926533,0.0,0.0,0.0,0.0,0.0,0.0,0.19959561767866324,0.29187087734768036,0.0,0.0,0.0,0.0,0.0,0.4934474553764067,0.0,0.0,0.01490514517888036,0.0,0.0,0.0,0.0
s09T1622,0.0,0.0,0.0003745726714684181,0.0,0.0,0.0,0.0015981300300769168,0.0,0.0,0.2096800208509252,0.4049197665960238,0.00023529271314983789,0.00022029826382800123,0.0,0.0,0.24420545789665465,0.1369428393004076,0.0005077539789650101,0.0,0.0,0.0,0.0010110141580294285,0.00030485354047123374,0.0
s10T1622,0.2613919040718514,0.0,0.0016256710560913496,0.0,0.0,0.0,0.0,0.0005831566339791254,3.6834817799491626e-05,0.2595723290341867,0.412834379377482,4.90161305091014e-05,0.0,0.0034457309341047447,0.0,0.029635482782671977,0.028134931847486777,0.0002096822372124564,0.0004861817835298434,2.5138034889404227e-05,0.0,0.0017132881934272164,0.0002562730647782389,0.0
s11T1622,0.12853502090476782,0.0007201957736472353,0.0010073000541552441,0.003376233069093815,6.275178480329892e-05,0.001001600099847945,0.013572287357765037,0.004799134925327271,0.00018040584770103314,0.2314493396932972,0.326863870682046,0.000626522645942074,0.0008178646708553528,0.0029947473488411663,0.001795589676913864,0.24244312243187052,0.013437666776343655,0.010626991394185535,0.003212940231849094,0.0,0.0,0.0043172435725961885,0.0013565985099318353,0.006802572548218704
