,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
s02T1622,29.606270006914304,0.0,5.5567617826758005,0.0,0.02731722893958734,2.2844651538781737,8.77234913975714,0.04207018560043981,0.0,0.1643017458125996,0.08524774642236153,0.0,0.053119459747471474,9.734993784406825,0.0,0.08760714848610539,0.07617669112626632,0.0,0.27834331764510667,0.0,0.0,0.0,0.21663421838807184,0.40378593231289067,0.16775117699715397,0.0,0.01916588011074584,0.15616253324482524,0.0,8.187626902769507,0.01047587660353481,0.0,1.8515608824260916,0.5536498643598109,0.0,0.0
s03T1622,0.0,0.0,3.0159980350199502,0.0,0.2695295196294363,2.33585547967977,0.42016170090508564,0.12961765332027828,0.07908121715186907,0.038753536413415446,0.0,0.0,0.040513601194413516,31.613461191757096,0.007513686869354941,0.0,0.01622998678570901,0.0,1.3823957634499517,0.795605179157218,0.0,2.642885304807208,2.250516685724441,0.0638212912108362,0.0,0.0,0.0,0.0032494314755284383,0.0,15.823062089082812,0.006970462681368948,0.0,0.8738254172938525,2.0923406823301947,0.0,0.002432309970184716
s04T1622,0.0,0.0,4.227174990531261,0.0,0.0,0.9441356647234598,9.631417848760352,0.4674383685413234,0.1521155733969123,0.1269758797579488,0.017215208741502782,0.1276926263373136,0.042803874640246306,9.53175666085761,0.06538229529007902,0.13219214325629464,0.02801866823546391,0.02225259819667025,5.245613566287918,2.537514905899216,0.0,4.324685286448627,0.007249052259948681,0.36963960983429317,0.12321698647741322,0.0,1.3710717673492643,0.25511259995034324,0.0,0.9879502399301169,0.0,0.0,2.7314750090773576,3.3656448505860412,0.03472904863939031,0.017676793368859807
s05T1622,0.0010587768631496544,0.0,6.7248374892163145,0.04563396191677597,0.006712914947090678,1.692912643522481,0.5004519737104307,1.5292061104114163,0.11540408808027455,0.0,0.015368961283821496,0.06643188957532625,0.03398832261223579,12.361477431943538,0.021900227647010946,0.3066764006769551,0.007481846490267204,0.09526950303917589,7.590871919921137,3.1108528131225532,0.0,11.816530991866818,0.0,0.3629326190361287,0.0,0.0,3.242871718613458,0.00994254362061638,0.0,0.21685199237024236,0.0004714229662340349,0.03207843911628839,1.7958008805023966,1.274713906760071,0.01565797335263744,0.0
s06T1622,0.06187500714385628,0.018840939683748212,2.3279653995807554,0.0,0.0,0.007898302705305775,0.0,16.65182812361933,0.0,0.0,0.0,3.3847993559792533,0.05095471818015443,2.729696833899873,0.012125246593693833,0.2625465367741711,0.0009978323215192964,0.025126808853285356,4.964581429754047,2.911206088816171,0.0,47.81538484966262,3.2169939975715214,0.29809729973019,0.0,0.007324165428774358,0.0,0.029738298503830984,0.0,0.12090454687158715,0.02108586317862168,0.08149754022129393,2.7859411183894554,0.9797007892026464,0.03069629272474635,0.015999311584631398
s07T1622,120.26855300123434,0.0017593959968790723,0.04737703399017553,0.012009015678829815,0.0,0.5470952227057838,0.3310124657591997,0.302388485432992,0.04142067272510442,0.0,0.02244621724757527,0.0,0.15350205643661916,0.005638328502118739,0.0,0.24288017732283607,0.0018477928237239972,0.03189093634420307,0.0042201629126949955,0.0,0.0,0.0,0.0,0.10550399247497769,0.023520686692958658,0.0,0.0,0.04341786906621466,0.021610788942154954,0.006073384877824717,0.011836491531870129,0.0052280675176337,1.2982193156496402,0.0,0.01067169602522784,0.0024326642069316964
s08T1622,1.3652007551176968,0.0,0.013305069866034311,0.0,0.0,0.0,0.0,0.0,0.0,6.239707647449789,8.119756911614287,0.0,0.0,0.010414206493762217,0.0,0.014911037398383307,12.504762770258042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s09T1622,0.0,0.0,0.01918138510236782,0.0,0.0,0.0,0.0,0.0,0.0,5.660559479291999,9.941573287287,0.0,0.0,0.0180770090002453,0.005950530174411581,5.214572004584161,3.0576797877404855,0.0,0.005069927149711478,0.0,0.0,0.09556912065466634,0.008027843468169978,0.0,0.0050663836665289,0.0036453069136013205,0.0,0.0,0.0,0.006936749366954374,0.0,0.013249215301422363,0.10773640274727196,0.0,0.014807961071444007,0.0022838936732677926
s10T1622,0.0,0.00046195719888097347,0.05842236328344474,0.03465447376147964,0.0,0.0,0.0,6.195647954383806,0.0,8.070272991959042,11.78051402221322,0.0,0.0,0.09600501168634124,0.002096289204573387,0.842762818228297,0.7234710110862306,0.0014059408979874499,0.0,0.1520115267768606,0.0009631476017112876,0.06715830276043395,0.005383630195219174,0.0,0.01443938169765358,0.0019307693771136792,0.0,0.024703394688225716,0.013216759135731235,0.0,0.01785358503931061,0.015134950849791766,0.0,0.0,0.003910542041053893,0.00537689604726799
s11T1622,0.0,0.0061321871507912604,0.01916569776205152,0.02289108177861182,0.0,0.01700741971613914,1.3463077978754319,2.8286997942205936,0.042274227588627145,6.469959849490389,8.427501274813764,0.01600287873288178,0.0,0.045651928582204744,0.01596498777694503,5.404428303651172,0.30912449643436185,0.1210572793455604,0.018632643414294048,0.4278856705616763,0.004258462191380507,0.03031476115070413,0.01889171623610228,0.1670034068597373,0.017653646783442983,0.0061921560706474236,0.0,0.05867408878433108,0.0,0.05399126396166233,0.059561811966975055,0.13901193576223764,0.7421566705315925,0.0,0.04410954376190594,0.018894752250769926
s12T1622,0.0526242677744313,0.0852910262375769,0.07355332798764748,0.0,0.014934310493306971,0.029347194730109553,1.3898565140176755,7.153672383319978,0.19071144400858456,1.6662191321392452,1.3303094790410523,0.1905522314818752,0.0,0.3958108248412091,0.6753236207725013,8.904720039077063,0.0072862164876577665,0.8083783872366056,0.09778527817607219,0.572270986149853,0.0,0.07952941178325217,0.02306950889423133,3.0114004670134884,0.01639823477726128,0.028412892001878694,2.5982702417813517,0.026301589132165817,0.0673583410004383,0.2901571944060769,0.6887585467986549,0.13135565155598547,2.262772395520763,0.0,0.05710545276842505,0.014283100877453391
s13T1622,0.0,0.0,0.029568119371506957,0.0,0.0,0.0,0.0,11.818006318952309,0.015045110942576632,1.8743612288658555,1.470933472535794,0.0,0.0,0.4072319778780059,0.620142283813791,2.7366608349711563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9606058833780304,0.0,0.0,0.0,49.419675060715264,0.0,1.0552785467922823,0.037000817137122145,0.0,0.0
