,0,1,2,3,4,5,6,7,8,9,10,11
s02T1622,22.284303832264836,0.0,4.401809952342164,0.0,0.5148370476945946,1.8798146286588329,0.606918645068941,10.508698558228112,0.0,0.19093184081095452,0.06692704238156395,0.00047545725898645244
s03T1622,0.12202122703051894,0.0,2.8928121335338672,0.04789808309816369,1.7728933022089275,1.7919543037613876,4.375627029884827,33.56413117868448,0.0,0.029913688655713876,0.007559829109094744,0.0
s04T1622,0.29331189797378143,0.0,3.1978327131983595,1.2365758382565357,3.520112380183423,0.8823829153679901,0.1952274901167921,10.949738406143263,0.002654929953743644,0.42872407302777416,0.06529021902345471,0.005314047604252454
s05T1622,0.3569801601116597,0.0,4.931795083768657,0.7842010463577528,6.525844806449129,1.3071086078279,0.0,13.776911099723376,0.0,0.3312214380815503,0.09204269662618235,0.0
s06T1622,0.5004032009659767,0.0,1.6968074468183747,1.183815734506435,16.9279007880043,0.0,5.360075702932889,3.080034062333491,0.0,1.307714464003961,0.0,0.0
s07T1622,90.15460590405591,0.0,0.0,0.0,0.0,0.41050312531448335,0.0,0.0,0.0,0.0,0.0,0.0
s08T1622,0.8941310741386184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7154168662540235,16.010920771488983,0.0
s09T1622,0.11671433951934197,0.0,0.0052690360077761,0.0,0.0,0.0,0.0,0.010121813018996062,0.0005565962049576886,6.673062091633141,9.062840933744676,0.0
s10T1622,0.0,0.0,0.03480675296893841,0.0,0.0,0.0,0.0,0.0968634422926683,0.0,9.437738980371957,7.7442263389744515,0.0
s11T1622,0.19063599333928433,0.0,0.027338731478686703,0.25556804254088855,0.08320581452990994,0.02729393482011255,0.059286254798922244,0.12226946962142617,0.018954267537005135,7.483498882499389,5.596793603440485,0.009576717260970105
s12T1622,0.5212897246587768,0.09063310838328892,0.12500820256380749,1.945035036211959,0.22314837917221167,0.07275717224559826,0.08855120026731433,0.533983952190532,0.06681213969587281,2.87386106528062,1.303584521384815,0.07679150808424356
s13T1622,0.15276443472577353,1.734657657722221,0.34128092790889386,4.373063119630923,3.340615278344914,0.7407150735783085,0.0,0.066062476803175,1.3049921480590454,3.0834551329126465,1.9625781909069557,0.0
s14T1622,8.698096860845112,0.1035062807529469,0.5450699875853585,1.848872653054228,0.5257529554380527,0.07132318077581198,0.06833171015362323,0.417845749803752,0.06173452048468996,2.0176386379078584,0.7448077493215993,0.035909914997773
s15T1622,31.969890837544746,0.09480217326938678,0.06985495964564345,1.7846614299955035,0.058581465144763714,0.052668706652440646,0.0,0.0,0.029336731881148607,0.9471521647749072,0.3915928868669611,0.018323809721043603
s02M1722,0.0,0.009150169479357028,28.065159318664012,0.356997523324272,0.0,0.0003994637413256051,4.195132696592029,17.292237560186116,0.0,0.3175851578256588,0.22575236503437962,0.0010700165144463894
s03M1722,0.49511113826492376,0.0,3.9086887743065346,4.614635240036306,7.184804263407154,0.0,0.9250161143412875,30.502624399245416,0.0,0.022383273112649295,0.0,0.0
s04M1722,0.295553817155282,0.0,2.4899271648323333,6.05347816548382,2.113423264700628,0.006302555781758618,13.870815891397687,9.022186546150254,0.0,0.054100717393808805,0.07522669926282685,0.0
s05M1722,0.15881780710607496,0.0,6.945640534982243,0.4630259189357465,4.910073104518794,0.0,9.96759535255168,5.435278487991841,0.0,0.19113494047798657,0.07522145919894413,0.0
s06M1722,9.769045101143702,0.0,6.43127880254973,0.0,7.454436446239359,0.0,0.0,8.139823021648994,0.0,0.12992421759419964,0.03036358112780343,0.0
s07M1722,54.49817514409207,0.0,0.030569436371552024,1.8205383299630282,0.0,0.025447939187392687,0.08238639874294808,0.0,0.0,0.1606251097731592,0.01658196614729143,0.0
s08M1722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8985343841230893,18.5874140277514,0.0
s09M1722,3.0831403342135153,0.014683845491467324,0.0,1.675461029213426,0.0,0.0,0.0,0.0,0.15616557509193393,3.5723462909828294,4.514618037515327,0.0
s10M1722,0.3198412679694324,0.0013212121826830573,0.0633915699495858,0.5128605761894265,0.0,0.015756019089885057,0.036072440933674656,0.1139137819511697,0.02526604573620299,5.485608403115554,2.0431622270000784,0.0
s11M1722,1.549708597792073,0.0,0.012295562178394398,1.7138092236675264,0.0,0.06171008333565877,0.0,0.05192132813544511,0.1711245204606163,3.119917550145741,3.141140034856634,0.0
s12M1722,1.0569121265837587,0.02823736214493917,0.057262901592128164,1.2199981465350171,0.023388749213536827,0.0848328159919975,0.0,0.13218090954733008,0.11379878676344642,2.3026915334478844,1.848285732229233,0.009045762745845048
s13M1722,0.33380642307702835,0.022362522637208802,0.027783955882431603,0.5882181715754286,0.0,0.039287662198258674,0.027267359132336112,0.9165450151617526,0.0436308919076811,3.176318379334669,1.2914984563249658,0.018058252519214734
s14M1722,14.693751190951582,0.12301440830530018,0.07701045924767554,0.9820653306925391,1.6149285123150932,0.11716967948301985,0.0,0.0,0.15925626508044388,1.0060897871318424,0.8100134636523297,0.1607471873244617
s15M1722,59.64629113234728,0.025620778410737198,0.0,2.9477317118826516,0.0,0.018468130024658403,0.0,0.0,0.0166536278639112,0.34280981550608247,0.21666131216055695,0.0031793957526392363
s01X1722,75.64282099382896,0.0,0.0,16.533303658537267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s02T1722,2.619556554020622,0.0,50.07542534296378,0.39540307998263374,0.0,0.021211525519953464,0.0,7.53641974446444,0.0,0.16413210664283315,0.18181333426767612,0.005987939269594686
s03T1722,0.9784554604155702,0.0,0.492622261616071,0.6704057135663751,0.0,0.0,0.0,89.46400321118428,0.0,0.18680178286093094,0.0,0.0
s04T1722,27.03650439170619,0.0,4.4458309456659295,0.0,12.79563745340935,0.0,0.0,25.47072797997744,0.0,0.0,0.0,0.0
s05T1722,2.021835325122397,0.0,2.535168152121011,0.0,12.105518976831702,0.0,0.0,53.85799201399451,0.0,0.0,0.0,0.0
s06T1722,0.05292122751329306,0.0,15.10896064042518,0.0,25.304065890894933,0.0,0.0,25.6604706828908,0.0,0.0,0.0,0.0
s07T1722,28.22277497956092,0.0,0.0,74.34973530822319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s08T1722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0169852328242808,24.409994158287464,0.0
s09T1722,0.2531022117167868,0.007966727743139836,0.007468063010248018,0.15187653066278295,0.0,0.08338840618154461,0.0,0.01427849410296858,0.012646033712101814,2.5590652347757192,12.666168981994744,0.002975486123099775
s10T1722,1.7429755833826566,0.0,0.018405767497198907,1.6677138185571956,0.0,0.04232213009442797,0.0,0.0784088869223413,0.16989840634467435,2.3891187671737892,3.723994846760265,0.0
s11T1722,1.5623623445006196,0.005996303680617689,0.014407998484174931,1.289480663369047,0.0,0.08172487946677894,0.0,0.04759038725007095,0.1265765454304232,2.252026550065675,3.4842865585079617,0.0
s12T1722,13.958425283922562,0.0324767224136811,0.008532073947329225,1.4331738199031467,0.0,0.1087298892783187,0.0,0.0,0.08712163931766494,1.3893048174871143,2.0340855487287675,0.010686177578687568
s13T1722,0.9235718888695924,0.0218031430913876,0.046543077863853914,1.0735125889327513,0.0,0.038161979050303094,0.010332254148175044,1.6350141373653713,0.08009474433433553,1.3233017938412714,1.4752694064063951,0.0038621338317603284
s14T1722,70.3036580512898,0.0,0.0,1.9454867064966601,0.8958648388955786,0.0,0.0,0.0,0.035694193832067296,0.37412919598902766,0.7160220358090307,0.0
s15T1722,21.122918316327514,0.0,0.0,39.3153195461473,0.0,0.0,0.0,0.0,0.0,0.0,0.0708215795639659,0.0
s02M1822,3.9383629957277684,0.0,30.844577948565362,3.706574961001275,0.5101361483374693,0.1732023611911177,0.21795967841726444,2.9404548696048574,0.0,0.7095916879843772,0.0,0.042140641435161934
s03M1822,0.0,0.0,0.1988217362661881,3.233545411840102,0.0,0.0,0.0,136.17616117438763,0.0,0.0,0.0,0.0
s04M1822,0.0,0.0,3.0817967079272774,16.63803523796428,0.864639099311529,0.0,0.0,48.099758301616426,0.0,0.0,0.0,0.0
s05M1822,0.0,0.0,27.68935161564009,0.0,1.4075195793705968,0.0,0.0,69.79332033392176,0.0,0.0,0.0,0.0
s06M1822,0.006806958734898052,0.0,20.953292036559393,2.6075989806185618,27.247562011634614,0.04723043530443897,0.0,8.629923779099741,0.0,0.7638273645065259,0.0,0.0
s07M1822,0.5900724514352741,0.0,1.35974239798577,2.269337996872914,2.1911817754469785,0.09303665782595259,0.1803666011922622,3.094230298204645,0.027747104145226076,0.3155831468526118,0.0889150086737945,0.005832295500091063
