,0,1,2
s02T1622,14.871439179506126,0.009246329207144533,1.6251457085050678
s03T1622,1.4719674849057276,0.0,6.473454626048496
s04T1622,0.856152913523706,0.024713668771375995,3.0202634952266876
s05T1622,1.0468172260782236,0.007765819022482943,4.432110238613303
s06T1622,0.6422039697204271,0.0,10.050201594614611
s07T1622,57.742738334681185,0.0,0.0
s08T1622,0.7852944359883789,0.012317967502758686,0.3093440418640956
s09T1622,0.2849321706127973,0.02133443809663498,0.3126336827906983
s10T1622,0.23319647402886604,0.020939805736139048,0.36910792108880414
s11T1622,0.3433018661369196,0.03898857738346375,0.39435754368131204
s12T1622,0.596041746585767,0.09413977867538617,0.5026764271311106
s13T1622,0.6106043797916939,0.16901498535468232,1.5598493214223312
s14T1622,5.84027775682219,0.05930820059208272,0.5008645343378001
s15T1622,20.71812413134898,0.028831884248519384,0.0
s02M1722,1.589163109756606,0.0,6.670856820894173
s03M1722,2.0736271558984276,0.0,7.046745669407691
s04M1722,0.9772344547999279,0.0,10.156653739280708
s05M1722,0.49789764563613137,0.0,8.689369395260297
s06M1722,6.858316724993351,0.0,4.014866891392168
s07M1722,35.17267819479265,0.0,0.0
s08M1722,0.125490019451673,0.010565122844928316,0.31136947723430114
s09M1722,2.2619702123371668,0.022278122966636747,0.23816634803842057
s10M1722,0.38553003539220815,0.02276011594929701,0.2711205356784317
s11M1722,1.2606159969970248,0.025470923331068544,0.2420929469146877
s12M1722,0.8690746593090999,0.03265967532094082,0.22042890408526888
s13M1722,0.3799105422335458,0.034142333745375605,0.2693047588498402
s14M1722,9.57692271551604,0.1578862099397152,0.49257195331042314
s15M1722,38.55965728287613,0.004878172848372337,0.0
s01X1722,49.95771537380613,0.0,0.0
s02T1722,3.6958136834898707,0.0,5.306995445858225
s03T1722,4.281226151056531,0.0,7.018201010451227
s04T1722,18.55784954160689,0.0,7.069026423847132
s05T1722,3.5372821505472043,0.0,9.622652445756064
s06T1722,1.5898140234064513,0.0,13.153228439416917
s07T1722,24.152313157564198,0.04067808254798552,3.9944689506141344
s08T1722,0.1597136267888941,0.012836351098883918,0.3849002130862185
s09T1722,0.36945737811407325,0.022379742908173506,0.2697964630287948
s10T1722,1.3805942107482612,0.024086802969370227,0.20010695928310498
s11T1722,1.21932961679772,0.024339503910156463,0.1793176338244872
s12T1722,9.16026912852647,0.030686045626333786,0.0
