,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
s02T1622,4.710216422089011,0.0,6.164097167152091,0.02128423359473625,0.05874803844641917,2.5140695164696947,0.0,0.09650669372320021,0.0009995041805456514,0.09924551904947865,0.07010450662386966,0.0,0.06585667624255706,0.2164499702601448,0.0013134661598217636,0.05811124410739632,0.0774579432852931,0.0,0.29821709524603046,8.991502620333737,0.0,0.030927952916682197,0.23774356219962195,0.2984743889852923,2.881552791755931,0.0,0.0,0.17698285213047732,0.0,8.063047833907373,0.015319057747328006,0.0,1.8077035597900217,0.0,0.0102225826156585,0.008899781126817762,0.21599524738155645,0.0,0.0,0.4907357135137254,0.6671916582068178,0.0,6.178800105866519,0.30767785047334417
s03T1622,0.9652660263574376,0.0,3.345636589008319,0.0,0.2883357189746718,2.569057962636268,0.0033737367765164774,0.11638516394482731,0.0752208937290058,0.037558751349710574,0.0,0.0,0.0535404701077204,2.187667889124158,0.01953249177306587,0.0,0.014796949065724435,0.0,1.409580708027386,0.0,0.0,2.8330285698280826,2.2688208377682804,0.042200668808520025,0.11442963119168983,0.0,0.0,0.007833561949398526,0.0,15.58677294690982,0.013060880180600271,0.0,0.8221733684129866,0.0,0.0,0.0,0.0,0.005385531990060909,0.0,0.18884890840411978,2.541623595166328,0.0,20.045751070851537,0.1603898146621713
s04T1622,6.230605671398213,0.0,4.691381219513023,0.0,0.0,1.0442405288695515,0.0,0.4068919978367218,0.14428006960312814,0.12398584237943734,0.0,0.1116048413678825,0.07318510227429198,6.385624583000289,0.10824505728419616,0.08511958900818437,0.02316857462174177,0.0,5.25739542661637,0.0,0.0,4.477684314485154,0.020428852518747702,0.2586079139911799,2.9516775216447826,0.0,0.0,0.2751478540041456,0.0,0.9756989372448269,0.0016592414095340533,0.0,2.5216383889477343,0.0,0.051741000867099686,0.2331741346314098,0.19897501695038725,0.0334189208042289,0.0,5.521453413952784,4.066409541621893,0.0,6.049950997195436,0.815085235550875
s05T1622,5.562495574886538,0.0,7.458387859750335,0.06967106784996076,0.008882657510715541,1.8621937811580211,0.0,1.2696621067387412,0.06731700469161808,0.01359496414620307,0.0,0.045181509458202165,0.06360125929232584,7.655630691028561,0.061521212136269314,0.21374834891492678,0.004481124151555212,0.01492696719736489,7.587989016320732,0.0,0.0,12.121630597373924,0.0,0.22297741330442672,0.033172668572716564,0.0,0.0,0.009264623224991476,0.009634323597099304,0.19616289565645795,0.0,0.017607955980738197,1.5029302348300375,0.0,0.02160624216923421,0.11602670338104804,0.0,0.0041978818253312206,0.0,11.980110307740668,1.5124821240402606,0.0,7.846639123261349,0.475713927900563
s06T1622,5.413632494838585,0.0,2.5823230528353527,0.0,0.0,0.010965314771773706,0.0,17.811718211963374,0.0,0.0,0.0,3.310986905879316,0.04905727015209727,7.174526708241833,0.05665606853877563,0.2641887181109143,0.0005951357928917603,0.0,5.0035948746581,0.019009375048716328,0.0,49.10987302410834,3.228465464415728,0.26096304829674416,0.21632940691687036,0.004965133103071,0.017653811948935547,0.02588393085928732,0.044427558048123574,0.13166449145807763,0.020793533383433125,0.06815400396744736,2.6240739483701896,0.0,0.03147082534766895,0.2846503481609727,0.0,0.021516243638862537,0.11595343894946171,1.9053854023963372,1.1877518101828313,1.0193857852820793,1.7339231116330356,0.12459228579753699
s07T1622,2.9259669381298834,0.025422910081252983,0.06351161855283909,0.000198567293697527,0.0,0.5997336770189584,0.0,0.32234952695234986,0.043859482117776544,0.0,0.0,0.0,0.15830064102970334,0.0,0.0,0.2118661361328885,0.0014475902016428028,0.02191425167910965,0.0036520804017176507,36.53422107699662,0.0,0.0,0.0,0.05730642894694619,0.02242262356838265,0.0,0.0,0.05044372829698075,0.003126300762597747,0.0,0.012812927768177267,0.0009670571027293544,1.153196410275931,0.009724524918913213,0.004601737892881492,0.014814187219732267,0.010833454624728083,0.0015779489294024992,0.0,0.5454586990170014,0.0,0.05552799291143272,0.01511029078656835,0.17618407879650147
s08T1622,0.0,0.0,0.014648017924271948,0.0,0.0,0.0,0.0,0.0,0.0,7.156658283638124,8.500777033785717,0.0,0.0,0.0,0.0,0.04553530570242584,12.813533720947472,0.0,0.0,0.4154948970285621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069510295383992445,0.0
s09T1622,0.5094940116852468,0.0,0.020215348532260168,0.0,0.0,0.0,0.0,0.0,0.0,6.580434402546451,10.342591873679337,0.0,0.0,0.0,0.008444798084065803,5.3109381763056565,3.131420041005121,0.005806568580777498,0.005563303496874254,0.0005134756170039866,0.0,0.10159330250781003,0.00482720399189666,0.0,0.0,0.002178422535335956,0.0,0.0072599551482625604,0.01955604866512393,0.01936075016297434,0.0,0.01474974245487548,0.21261473993009392,0.0,0.012371980014253603,0.07903340047579421,0.0,0.011856026965295884,0.0,0.0,0.0,0.030385414313870276,0.010295386031598082,0.07508499156027981
s10T1622,1.749140899582576,0.0,0.06244686842383006,0.013571573179987643,0.0,0.0,0.0,6.705766201128082,0.004244263896850952,9.190898266217232,12.224810505359452,0.0,0.0,0.5052209110809136,0.005908801997827577,0.8885767145525462,0.7361967327312136,0.0,0.0,0.0,0.0007897855817881727,0.061745815787432094,0.0028539415807018035,0.0,0.0,0.0004393555594666106,0.007427745282102122,0.02604436501549134,0.03996219142963622,0.0,0.028010950151286282,0.01352555507143613,0.09645944511462495,0.004419745425525522,0.00410556479954149,0.005936530692900874,0.0031615185736559056,0.01762278453357063,0.10448560539737627,0.1154504502072472,0.0,0.0,0.057582355935319025,0.14339751660855177
s11T1622,4.093240127556079,0.0,0.0211532052225034,0.0015485044782770575,0.0,0.023449872093588932,0.0,2.9843954719194428,0.03993320264952993,7.37846253109129,8.724580343283902,0.009605454592986158,0.0,0.9472032075016807,0.021038367621618814,5.456050804160681,0.3132916671402194,0.1167258529521496,0.017433418312047155,0.0,0.00253145450434205,0.013317449754853727,0.01108967785566165,0.1760749527012024,0.13891973865410842,0.0025566001524363995,0.02619328790186894,0.033374315732556045,0.1503251865258763,0.06383330201301841,0.056694058621336856,0.12091628792890959,0.6702935091240636,0.0,0.03524174220690373,0.21530428275915853,0.0,0.03859086836769095,0.4151403772350508,1.0740306551569867,0.0,0.030877618018066644,0.029584633232071316,0.5272056813715517
