,0,1,2,3,4
s02T1622,0.8935831596056169,0.01860680599139847,0.007380376627669621,0.08042965777531484,0.0
s03T1622,0.20263922485211666,0.04266089919017299,0.00872244136489538,0.7459774345928148,0.0
s04T1622,0.21238717673278182,0.04994677116250545,0.1007949259877261,0.6295914953008878,0.007279630816098729
s05T1622,0.19310908602236213,0.05285350718060372,0.06750936349972293,0.6862658697942747,0.00026217350303652773
s06T1622,0.06168264057553271,0.0026940347569099437,0.0933179890567233,0.8414709553526176,0.0008343802582164801
s07T1622,1.0,0.0,0.0,0.0,0.0
s08T1622,0.03400726858789016,0.0,0.9659927314121098,0.0,0.0
s09T1622,0.003466967916282887,0.0,0.9965330320837171,0.0,0.0
s10T1622,0.0,0.0,1.0,0.0,0.0
s11T1622,0.013916072884820158,0.001402656231230776,0.9758595705777631,0.007107474276664161,0.0017142260295218347
s12T1622,0.1312589193662782,0.027854734529467722,0.7301178308664822,0.08009303858548662,0.030675476652285167
s13T1622,0.0736986999410152,0.23442525651721352,0.5318589117183574,0.1474741092599389,0.012543022563474965
s14T1622,0.7040960587991469,0.012403216256581718,0.2331836447525537,0.04150581353880115,0.008811266652916401
s15T1622,0.9554862703513641,0.0020435771918097265,0.04083255674874104,0.0,0.0016375957080850972
s02M1722,0.20685865840639855,0.0,0.05866779317296474,0.7344735484206367,0.0
s03M1722,0.253290506417207,0.0019217580820674028,0.019985948335205155,0.7248017871655205,0.0
s04M1722,0.09921510249779879,0.0014530233741358947,0.02605489793311926,0.873276976194946,0.0
s05M1722,0.06179301498523524,0.0,0.02588357291021329,0.9123234121045515,0.0
s06M1722,0.660750857637854,0.0007981392894024683,0.012306156268874841,0.3261448468038686,0.0
s07M1722,0.9989845162331691,0.0,0.001015483766830824,0.0,0.0
s08M1722,0.0,0.0,1.0,0.0,0.0
s09M1722,0.2705301483131767,0.018631917271111288,0.710837934415712,0.0,0.0
s10M1722,0.0455146610563486,0.004234226303988304,0.9389354385332533,0.010588578028810684,0.0007270960775988606
s11M1722,0.19921167279814114,0.030154130609545,0.7652971023204715,0.005337094271842323,0.0
s12M1722,0.201534911833122,0.033162922289617404,0.7425800270750296,0.01736640229511668,0.005355736507114607
s13M1722,0.08380425669879961,0.014392480236567624,0.8590963450167733,0.033957138119608134,0.00874977992825133
s14M1722,0.8261503612911703,0.015807718613535984,0.108325779479453,0.030501104620788432,0.01921503599505232
s15M1722,0.9917986380834859,0.0,0.00801792125764131,0.0,0.00018344065887281687
s01X1722,0.9987965931885813,0.0012034068114188043,0.0,0.0,0.0
s02T1722,0.43350113219456565,0.0,0.04223449832554093,0.5242643694798934,0.0
s03T1722,0.4113442561167058,0.0,0.020076321230180626,0.5685794226531136,0.0
s04T1722,0.7563772349948674,0.0,0.0,0.24362276500513255,0.0
s05T1722,0.3030506968626353,0.0,0.0028374202670184232,0.6941118828703463,0.0
