,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
s02T1622,24.66643016007032,0.0,4.603479314143079,0.14505597027568115,0.6994806084105448,1.927939470222218,0.6606302012293186,0.3608541537533541,0.0,0.2192069471951755,0.07569201803757916,0.0,0.037558394663805214,9.990650361673987,0.0246284629105727
s03T1622,0.15136958655989788,0.0,3.0249960536523557,0.43321212885695937,2.2035801729483855,1.853514042687278,4.644615764768749,0.0,0.0,0.044664889636213706,0.006950849407123192,0.0,0.0,31.740137613168038,0.28539290268992307
s04T1622,0.25424447369404496,0.05593137595125037,3.3149801665220697,1.785652083507357,3.8532459195816595,0.9022873735893081,0.1257516578593678,0.6569507890871294,0.0,0.35157635245313223,0.042794290480777646,0.008153369483631604,0.0,10.165958761409307,0.8112599761865892
s05T1622,0.3247399759658977,0.03268982905995341,5.116798397939233,1.5543377473024778,7.100512103844253,1.3616248928947674,0.0,0.33132568168788246,0.00027280023544529067,0.2570380527711457,0.07470945494892804,0.0,0.0,12.81701799757812,0.6324475704807246
s06T1622,0.30857697812878077,0.0070295695107201175,1.6757292289487196,4.864803160578928,17.941520275155955,0.005116352775816549,5.475143124477679,0.1376827533754508,0.0,1.0506664353128317,0.0,0.0004548705959093341,0.0,2.505212753318784,0.3599014781712307
s07T1622,99.83074612465373,0.0,0.0,0.0,0.0,0.42906482266071555,0.0,0.0,0.0,0.0,0.0,0.0,0.06993069235107212,0.0,0.0
s08T1622,1.0411605222602076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.833284242279394,15.376669952132643,0.0,0.0,0.0,0.0
s09T1622,0.1269065419243966,0.0,0.006181076952337927,0.4110448865635284,0.014716532349820205,0.0,0.008205647859105197,0.14037415763227645,0.0008716118881769805,6.650207699859155,8.7423157255587,0.0,0.0,0.006133241500645175,0.0
s10T1622,0.01042042517869003,0.0,0.04278000866224573,0.06329650256010623,0.030817810198470273,0.0,0.008627817533197591,0.0,0.0,9.474309769225528,7.486537056211952,0.0,0.0,0.10771357726526014,0.012851943554421453
s11T1622,0.18562385527628866,0.00404604704868953,0.023812393488012683,0.9539022819012828,0.07087243703100772,0.02467382465136774,0.062328596782277486,0.4919914294368907,0.014404209243455198,7.40877749798248,5.4159644065578965,0.009851619718109982,0.01124946904843177,0.08848481578366303,0.08831139235846783
s12T1622,0.45267554475201915,0.0764305202276305,0.10586863013631727,2.9369894802536893,0.10896389014429399,0.05113983579335632,0.06931934075997806,1.0295277036061894,0.045795025371673216,2.6081620051564345,1.2585156857847764,0.06278602186761627,0.15310874903751198,0.4174958581113802,0.9598796854390231
s13T1622,0.10267934993362743,0.4164793868232596,0.4627009120628709,6.305124631731261,0.0,0.39582014723945774,0.0,2.7842692715829758,1.1647584667871524,2.7956887625900455,1.5925119192776733,0.0,6.329414407330823,0.20583989288641863,0.6483833440580308
s14T1622,9.425586105456167,0.09673885034649982,0.5224221075692129,4.451714955473349,0.3334861836520239,0.03071733996868183,0.014962737608438897,1.3103295039112484,0.03258385230470808,1.6116064601259024,0.7147677586887997,0.012388491229815042,0.18788858072846068,0.24425926064766254,0.43967434328236565
s15T1622,35.293966074806896,0.0785509529586282,0.062418780978808035,2.1432883070768023,0.0,0.030948373383070542,0.002135506946078931,0.8691638782849403,0.012812729662422442,0.8001339290316599,0.38947245552363813,0.0027305324800285403,0.28875505164616583,0.0,1.1422564628209435
s02M1722,0.0,0.01906399307099796,29.294806652620444,0.39992935413066266,0.0,0.0014980362446857913,4.505477224170115,0.03365072668416008,0.0,0.32720437348819553,0.21597044609756819,0.0016265725703461498,0.0,16.44746589463424,0.29476690536302697
s03M1722,0.4415514619071994,0.0,4.033274138627945,3.038230400939125,8.390918365786805,0.0,0.7741993158753854,0.0,0.0,0.004705169818803541,0.0,0.0,0.0,28.48474589103983,4.06096519094379
s04M1722,0.34765303655356194,0.01638350986019521,2.5895264993098808,1.4909035628650495,2.747169652229367,0.039974663125024824,14.737578302683671,0.11534043020434512,0.0030241771570715626,0.09515481708593368,0.07077981243039273,0.0,0.0,8.427634788356139,5.1895967498771265
s05M1722,0.1182309778952731,0.013453670126556577,7.223190379629382,1.1326714969100125,5.423467697566047,0.0,10.518031835948545,0.15940142729725065,0.0010186063631613606,0.14223970782467926,0.06283989900891379,0.0,0.0,4.948979725037658,0.4519241342242371
s06M1722,10.769461963090805,0.010598751457470934,6.687993561357783,0.668838653285144,8.062447333566752,0.01762362293464863,0.0,0.17499854735709672,0.0,0.11035126784435745,0.0313108103056902,0.0,0.0,7.572187026712451,0.22681466509255446
s07M1722,59.9000593366116,0.0,0.0,8.401594666667682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s08M1722,0.0,0.0,0.00221889633149412,0.0,0.0,0.0,0.0,0.0,0.0,1.9785443629845552,17.838737489433935,0.0,0.0,0.0017624344071038777,0.0
s09M1722,3.0580710894517287,0.0,0.0,6.804284492459989,0.0,0.0,0.0,1.4984357547757643,0.09904615405819364,2.8924648813104152,4.369769473820092,0.0,0.11211551479312609,0.0,0.0
s10M1722,0.2459909182525477,0.0,0.047882322388050395,2.3010567338550643,0.0,0.0061942463839854195,0.0,0.4871451361276281,0.014880015236719684,5.241332581986411,1.9964685905335482,0.0,0.0,0.04930869297169224,0.0
s11M1722,1.3797197837015798,0.0,0.0,6.18499286897681,0.0,0.02329177474945644,0.0,2.1417108338197113,0.1100404258000592,2.368766125881931,3.085021576526266,0.0,0.0,0.0,0.0
s12M1722,0.9390180507769075,0.01982677289390478,0.01873205676831293,4.341480281225115,0.0,0.05681141915054084,0.0,1.5978466293402844,0.07190041798474144,1.7858357513707839,1.8179476563057013,0.0,0.0,0.0,0.0
s13M1722,0.27765229590369633,0.01899707583517162,0.011963231236757355,1.9683906026859812,0.0,0.028419506443613813,0.0,0.546428593605419,0.03137247672462469,2.967895147770675,1.2612997235783125,0.012157630016177454,0.015916960748629205,0.8140794568310603,0.05657822676924325
s14M1722,16.111621481634188,0.11284188349022753,0.050863150899529946,2.9310732646963373,1.5678307651876415,0.09037704535255081,0.0,1.5219366752865802,0.13327285968699418,0.703014219328094,0.7922510480937911,0.13880727264138382,0.07728298328405353,0.0,0.20441256546268205
s15M1722,65.91799765171356,0.054644231611954544,0.0,2.4559907168172335,0.0,0.016810082205597654,0.0,0.4751162295959993,0.009333791486662807,0.28706846888093385,0.2311533832678364,0.003459786013071996,0.03720191313104189,0.0,2.4137433228621377
