,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
s02T1622,31.0383156005929,0.12566553848463047,0.21812745688820961,0.015526122419820232,0.04898451174515142,0.0,0.9505852456643135,0.1016647449726906,0.0,0.10677906262129168,1.2589641212174707,0.0,0.05543381067804993,0.0,0.006383598391886287,0.07785756358340826,0.07732741851748169,0.0,0.30036706110783606,0.10861626575488102,0.0,0.0,0.234259182223964,0.3020195531870359,0.0,0.0,0.0,0.18117799721470162,0.0,7.999446547395456,0.015491040615678221,0.0,1.8257191598515203,0.0,0.01337761752946594,0.009157024484841693,0.21337922563002007,0.0,0.0,5.507909502113109,0.6994476144070252,0.11530980179139476,6.428713459754735,3.1595835936124566,1.9617638037544665,0.0,0.07916605002484074,3.939604883115764,0.23821372861195791,0.0
s03T1622,0.030504960909746498,0.033796682495446706,0.3662923241185481,0.0,0.2993052656053593,0.0,0.23025897086811478,0.11512223999160022,0.0,0.039292012847649285,0.24505976788576916,0.0023378692635756776,0.03297631915249655,0.0,0.022838108963294513,0.0,0.01282721809024381,0.0,1.3978634507835195,0.5060092433152339,0.0,2.753917485750127,2.2253586384365165,0.04261398731376736,0.021992283054538056,0.0,0.0,0.004315765702227165,0.0,15.445135244113127,0.007178995354226957,0.0,0.8231332684036834,0.0,0.003082774025839211,0.0,0.0,0.008113458103609411,0.0,11.254175108499119,2.5266285384527944,0.0,20.839979573009057,0.1324902896171455,2.004009346668398,0.0,0.0,2.1443199606304044,0.09399459271836844,0.3504669589952537
s04T1622,0.04840793941332375,0.2688309639927755,1.6820530623666317,0.0,0.0,0.0,2.690669233765095,0.4070253378986963,0.0,0.1337227508331431,1.5639342514798151,0.13378134959567978,0.03999869754119758,0.0,0.1165953949922534,0.06889447592557378,0.021127626693432412,0.0,5.158000303486449,1.3884151818665997,0.0,4.412589918952746,0.018625993044461966,0.26684896607281944,0.03211824625359182,0.0,0.0,0.28240862561948443,0.0034257534687127124,0.7535246704259803,0.0,0.0,2.45740545953952,0.0,0.05585227180203859,0.16821430659976824,0.20055523530257863,0.03952862957209361,0.0,20.242181125342235,4.101894612620805,0.0,6.321396072681495,3.247360435254726,0.8150314952226767,0.0,0.0,2.986679288813096,2.6060779326456402,0.0
s05T1622,0.03485528968111789,0.4164363203014783,0.8044591745636864,0.08005124863827089,0.0,0.0,1.5830738420683068,1.295567427852448,0.0,0.015191761039729615,1.4274204825361236,0.05921612853330079,0.04084041221812634,0.0,0.06576576053775592,0.2087745724941443,0.0030654864327683703,0.0,7.499395079629255,2.0255576251743737,0.0,12.194548602642527,0.0,0.22644445541710934,0.012520528701262853,0.0,0.0,0.0072615233635038535,0.011413946360050786,0.09667661358418407,0.0,0.01746472917170177,1.4666973938818917,0.0,0.023176252360730412,0.08365484286213634,0.0,0.006568438039175965,0.0,17.816968200733527,1.5736527608559767,0.0,8.168152058490522,0.044876869181799915,1.4529211197696328,0.0,0.0,4.757504497191661,5.791816779243629,0.0
s06T1622,0.0597185511749668,4.282360053415346,0.3985214681185381,0.0,0.0,0.0,0.6332757695646392,18.161501292363123,0.0,0.0,1.4098201854495465,3.489367116971203,0.05454876618608939,0.16096081302821874,0.05175917136942126,0.2799255307147296,0.0010510364978082087,0.0,4.968761537931145,2.3619648816884844,0.0,49.68940182493068,3.1691987958672794,0.25144781982824593,0.0,0.005518998250000579,0.018125820272884875,0.02578835760940015,0.03260013099671518,0.15627097259277115,0.01621695381616704,0.06992048348056887,2.6786924011937794,0.0,0.019656081298169422,0.20201539041772656,0.0,0.011236568569940318,0.0,8.1596927846241,1.1514868447133615,0.07491687554963396,1.8050364884319525,0.21902140614624202,0.008082534351725436,0.01916238281726889,0.0,1.6457607286258134,0.9378879023745028,0.0
s07T1622,126.13159997311166,1.82834581327054,0.1121832689432461,0.0006681177476748792,0.0,0.002906025998068456,0.5168634249345406,0.3166012591664017,0.0,0.0,0.7669095311612546,0.0,0.15612027842223308,0.0,0.0,0.30802493488036514,0.0006356677008689957,0.0,0.01431304361593555,0.0,0.0,0.0,0.0,0.07924112032848496,0.006955516558471268,0.0,0.0,0.051732913907960115,0.0045314119724724254,0.022118752422441722,0.00930983619584413,0.0,1.1560962193938615,0.008349542377144897,0.003142461515096546,0.003874814838217551,0.012145527974214983,0.00010090116944641667,0.0008849590534947631,3.158000908545754,0.06845533578282341,0.0050153819448847045,0.086050728346096,0.026809732750018633,0.4681715480222883,0.04214140005658452,0.0,0.04901377511267435,0.24921755111560975,0.0
s08T1622,1.435225543031753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.608020043802106,0.0,0.0,0.0,0.0,0.0,0.056600879536161636,13.013326443860787,0.0,0.0,0.0,0.0,0.0009453542513070688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004303808054054805,0.0,0.0,0.0,0.008114580727205247,0.0,0.0,0.0,10.065835957178347,0.009725994314070943,0.0,0.0
s09T1622,0.0005378932774668809,0.1245935754763357,0.09324150992199277,0.0,0.0,0.0,0.30916101727661904,0.0,0.004125981666625896,6.969303130051925,0.13494225530428264,0.0,0.0,0.0,0.00767161099851977,5.62477696424777,3.1879174772491834,0.002877885762190897,0.006400113985243746,0.0,0.0,0.10362120525727178,0.005028483476280056,0.0,0.0,0.0023741356361691784,0.0,0.0068162776112127834,0.018027613700474676,0.020044716296532643,0.0,0.015032615352768876,0.22212707784056704,0.0,0.010806544316292244,0.06167490526593177,0.0,0.01203283459574198,0.007427826164818686,0.0,0.0,0.0,0.010800905324809592,0.0,0.0,0.0,12.252129054092542,0.013379992540024106,0.0,0.0
s10T1622,0.0009201948447104668,0.035119402424332924,0.02146338282802937,0.017440376303945026,0.0,0.0,0.6122367362394334,6.869310923659753,0.011809041793322107,9.768472453055281,0.476389070187608,0.0,0.0,0.1421375447402413,0.006623035935075934,0.9567895766208773,0.7595512998346778,0.0,0.0,0.1368511056809735,0.0,0.055631257864482024,0.003209774345825735,0.0008471199561262155,0.0024378446325488985,0.0004970055772723688,0.00783647683904306,0.027985632079248014,0.03847488773439764,0.0007695608474791923,0.025116248158547582,0.014186017198976941,0.10219605462433666,0.003956348943441915,0.004073304521300487,0.0073943865909309415,0.0039120413620318895,0.018516252513977725,0.011038351048012141,0.8729278880602208,0.0,0.0,0.06200731965915418,0.0,0.0,0.0,14.472402951714004,0.03974815011316599,0.05803031885347832,0.0
s11T1622,0.0,0.46165930012216677,0.21346556980108153,0.004333942205352887,0.0,0.0,2.188257335252766,3.050074066615313,0.0,7.855776914063492,1.084849430014306,0.013438087541880613,0.0,0.545314253758803,0.020612173458446514,5.779382062720649,0.3267948323968365,0.11316040932732928,0.013129903601854087,0.2169920356807248,0.0023500867912927166,0.0,0.012369487257580226,0.17358228425668076,0.016925046512466742,0.003019119539615289,0.02824358051914623,0.03505040860414633,0.14463716703907165,0.041218711974700346,0.047470519564760436,0.12590943237668778,0.6824381067753676,0.0,0.031909928435250076,0.16536569433009862,0.0,0.03999743911447193,0.010076551595748152,2.2629334581642584,0.0,0.0,0.03746519857830968,0.14943889316366446,0.017932413333124862,0.029642668839203485,10.335550681428469,0.012841479017085714,0.4868764514665433,0.0
