,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
s02T1622,28.933245825254378,0.0,5.469955110027218,0.0,0.026199420870790534,2.2993450692323902,8.43355150671561,0.04231421131955894,0.0,0.1590947901188845,0.08414590107085987,0.0,0.04722707641902875,9.607755263670347,0.0,0.08808408953957308,0.07581008032621202,0.0,0.2775164732187934,0.0,0.0,0.0,0.2186234916899399,0.4008795925128375,0.17224574555659122,0.0,0.018992880434368812,0.15487358639418008,0.0,8.218485966190345,0.007313275177191238,0.0,1.8814736398067282,0.5517450888972351
s03T1622,0.0,0.0006440768928603471,2.9673339031963413,0.0,0.2677796914309219,2.3534916536903476,0.40816317674483465,0.12869383616478364,0.0,0.03775532609511122,0.0,0.0,0.034640235493015356,31.19403703002556,0.006842279172589771,0.0,0.016155432433905492,0.0,1.378151251785569,0.7754999568819213,0.0,2.595995592036836,2.2712591954600647,0.06391123841309833,0.0,0.0,0.0,0.003224152955362227,0.0,15.882068733770867,0.00351882262451498,0.0,0.8828609284854977,2.091326584304029
s04T1622,0.0,0.02085114447062039,4.161112624310816,0.0,0.0,0.9493860403749427,9.257238387552711,0.4613551270974704,0.07502029544750259,0.12274939488804852,0.017124021654473277,0.12657536297864325,0.03026565361123038,9.406786307642841,0.06316422256381447,0.13304309949196064,0.02782500106140087,0.009794933039888456,5.229114333996087,2.4804898679085414,0.0,4.2754847033114345,0.007661629190660841,0.3674601023065895,0.12669554599809907,0.0,1.340877309206786,0.2534965501136932,0.0,0.9902414413370939,0.0,0.0,2.768038476665534,3.3658538730142205
s05T1622,0.0013336224326616674,0.0,6.620064866867155,0.0,0.0019413306604660703,1.7052211541052602,0.48563842884936387,1.5051336119103258,0.02822252976643387,0.0,0.015415176430774365,0.06600697083139127,0.019007371741970102,12.200905824033406,0.021099991978116815,0.30952695182958995,0.007376134870608045,0.06928664024534782,7.5672521413028795,3.037213976982457,0.0,11.718857907655673,0.0,0.3613361106352343,0.0,0.0,3.174722583728586,0.009938041760744419,0.0,0.21672444793748608,0.0,0.03145146398353893,1.8112132887934063,1.276189427595416
s06T1622,0.06259900513190529,0.019797714030351004,2.292178132531467,0.0,0.0,0.005374766986391433,0.0,16.393534401758238,0.07152857324434744,0.0,0.0,3.361613471810917,0.02713453936556697,2.6961897044231184,0.012346396129981011,0.26548800093693986,0.0009366432733791558,0.0063515860825970934,4.9502608850117795,2.829683464842367,0.0,47.5298721129764,3.247494941071734,0.297109321302071,0.0,0.007353134201802607,0.0,0.03023150854703901,0.0,0.12086281947805709,0.014278125717183248,0.07965998215659359,2.810895518729499,0.983796112334691
s07T1622,117.53414264129843,0.00222578228740949,0.046102186330577846,0.00702294750754745,0.0,0.5510672431928119,0.3152520234190509,0.29708491337351656,0.018169841020609395,0.0,0.02214114265678757,0.0,0.13940717424091245,0.003386749320356179,0.0,0.24426687555533028,0.0018222702715616763,0.028252527987901843,0.0044304047349552535,0.0,0.0,0.0,0.0,0.10377194328070921,0.02399630745921853,0.0,0.0,0.042996696898598134,0.022924870261601445,0.00644960105687564,0.01088655430492735,0.0051326154528097585,1.3209477864342163,0.0
s08T1622,1.334145680068052,0.0,0.013095733924821327,0.0,0.0,0.0,0.0,0.0,0.0,6.077190129977192,8.010260929855361,0.0,0.0,0.010245716767139939,0.0,0.015046585374697594,12.445421887909053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s09T1622,0.0,0.0025762579635924066,0.01887325426621016,0.0,0.0,0.0,0.0,0.0,0.032477274806500596,5.513181179297151,9.807540657515913,0.0,0.0,0.017751460986646102,0.005883359704039756,5.264553192981803,3.043155185161989,0.0,0.005137358748649242,0.0,0.0,0.09514990506879589,0.00810158440663265,0.0,0.00526772804804888,0.0037103458919193802,0.0,0.0,0.0,0.00703511625256702,0.0,0.013210093805977098,0.10975590433053158,0.0
s10T1622,0.0,0.0066247847054559505,0.057517029668003976,0.025991131894187083,0.0,0.0,0.0,6.098343890471295,0.008480368093785736,7.860335382358294,11.621695831388653,0.0,0.0,0.09472683630755309,0.0021496171423641083,0.8508815366228971,0.7200228623627272,0.0,0.0,0.14877544951964258,0.0010088583199559485,0.06638890724689935,0.005411615896105348,0.0,0.014912843305983933,0.00198164819584902,0.0,0.024603651029874093,0.014360058193191938,0.0,0.01799937648814226,0.014989554217233298,0.0,0.0
s11T1622,0.0,0.022794081220510826,0.018838635654566734,0.011914167660167207,0.0,0.015135122994300363,1.2954218614448856,2.7846113654666125,0.09875763481870746,6.301562835856468,8.313959032263034,0.015692298959354836,0.0,0.0447906421257175,0.015673432573062345,5.456206661924916,0.30764019834785333,0.10379150972539031,0.01869440753990536,0.4185771531952304,0.004556024706369976,0.029736323305135995,0.019171462890808875,0.1660032270078518,0.018331932033408008,0.006237937993042877,0.0,0.05853712956037592,0.0,0.05399213392136423,0.05934243626983402,0.13706410181945555,0.755135820714532,0.0
s12T1622,0.05038396229036662,0.013979308112425886,0.07221277960911004,0.0,0.01561788829566301,0.026473969340123516,1.3325490537407942,7.0440220951238155,0.12739973508795271,1.6227407442370652,1.312378795162681,0.18869808274074032,0.0,0.38971242472773904,0.658193318788182,8.989517696982682,0.007243373734356196,0.7577646324633145,0.0974893321730905,0.5628683985545968,0.0,0.0790330910681204,0.023428314756673747,2.9930589347504584,0.01709362174528932,0.027999950134661014,2.5487980504277994,0.02604879254196642,0.07106192148699114,0.29019557215722885,0.7012356818316254,0.12933237652292295,2.3064315655354806,0.0
s13T1622,0.0,0.0,0.029148519649644555,0.0,0.0,0.0,0.0,11.638303323791792,0.0,1.8270402183232235,1.4509884507954054,0.0,0.0,0.4020740076030492,0.605254180954761,2.761569395234632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.888264947219202,0.0,0.0,0.0,50.43575693660957,0.0,1.0439653664155537,0.03678514531059933
s14T1622,10.555270125698975,0.0,0.34180624994287656,0.0,0.0,0.002757079410082304,0.0,11.756595021539672,0.040947746139223945,0.0,0.21925912396649805,0.0,0.014597562432403016,0.11649363355245028,0.0043862180120238185,7.496687742908378,0.16976395006546643,0.26175980565140994,0.03494845794476844,0.2630453380280766,0.0,0.539719794992791,0.0,0.4613538213451508,0.0,0.0,9.069082563468507,0.036722788054590776,0.0,0.17483762879258635,0.06319431313350084,0.0578723043272599,14.047067198304983,0.08271131571188979
s15T1622,41.051522618442206,0.0,0.03082866013485945,0.0,0.0,0.006158119355921299,1.0550372540900717,3.0270757348313646,0.04515237623444158,0.0,0.2269239351801855,0.014779571739185487,0.2418030996521301,0.05997384036529677,0.7045816373347764,4.333591957733154,0.030396057517618844,0.11647538377335816,0.0,0.89026983613345,0.0,0.06227259344329244,0.00879299692065432,0.6050956934429598,0.008224872495030552,0.0008853569506022086,7.290225716017744,0.054628823722640336,0.0,0.009753872360351756,0.14057344702156735,0.0900107847389724,4.349667888986407,0.20155342337399212
s02M1722,0.008763989740938508,0.018964573312659046,38.23621328719605,0.0,0.0,0.0,0.5046011158053854,0.724282825536363,0.02868243566033449,0.23922089297695304,0.1773478809131999,0.0,0.0006036586633512095,17.26208348829453,0.0014119631153931792,0.09098336652662145,0.12942316583467772,0.11364293452751474,1.3771825695172428,1.146853956448987,0.005140649007012616,2.2353873567039004,2.4045291200043892,0.15242802775083933,0.0,0.0,0.5298640524639853,0.012785574284146489,0.04972253199819833,0.28695608812531626,0.012757662548709471,0.0027950367674308353,1.331669377891997,5.016303397919955
s03M1722,0.05208851189468101,0.0,2.2977006888926876,0.0,0.0,0.0,0.0,1.1213240958136146,0.0,0.0,0.0,1.9468131634650638,0.0,24.572417913902523,2.8692869586167298,0.0,0.00508416790540952,0.0,2.582040308862529,0.0,0.0,7.213995435338627,0.0,0.06442395808616541,0.0,0.0,0.0518838761974001,0.005619668204685464,0.0,41.68605488793683,0.0,0.0,0.17612894435680126,3.253647940812962
s04M1722,0.0742149843185638,0.006415969662009294,3.2976520801403013,0.0,0.0,0.06170792696458533,0.0,0.45755110662129317,0.0022313230792892387,0.0,0.008049197230309155,0.0,0.0,7.84892780601288,3.63890508091229,0.798052030903193,0.004476897999434104,0.05740168514403404,4.085031054229971,2.441823163085469,0.0,4.449999472080213,7.721051708909325,0.10609167072461946,0.0,0.0,1.6311918723919903,0.0,0.0,0.84036677661605,0.0,0.0,1.046681536111332,5.692451618766435
s05M1722,0.0,0.00045444057981909667,9.355693810664203,0.0,0.0,0.0,0.0,0.7655487005840671,0.030692254244105422,0.0,0.004286034581447241,0.06565365836307463,0.0,4.074787859892584,0.0768001047159137,0.7722176110420086,0.006615651770650402,0.10474392392053448,7.302105303586145,1.4529027452061825,0.0,7.413132718474337,5.564695735051786,0.2658943696012255,0.0,0.0,1.6611855278294194,0.002393176310348628,0.0,0.3867142436076161,0.0036013881588375027,0.013602403918460935,1.498738065485244,1.5671595126146405
s06M1722,12.552506052271276,0.004014012980492014,8.74778666756392,0.0,0.0,0.004464455851362236,0.4532451526992518,0.597854829039994,0.03395918742488172,0.0,0.021452038148345627,0.11228664036757104,0.0,7.466368903065035,0.0017504839533882387,0.4761300810362316,0.0033541194963601847,0.11070554618066221,5.328707930513345,1.538098330826658,0.0,17.843194651175814,0.0,0.3869664074434682,0.0,0.0,0.6638991993177781,0.022689186263672452,0.0,0.283412541684766,0.0011009790639354355,0.047203235374040795,1.817178238782676,1.1238561680070174
s07M1722,70.42007380905576,0.008029268771822865,0.18764603879552316,0.016705657435429875,0.0,0.02234399358898305,0.5373682773084403,1.189702563795461,0.08562685412493105,0.0,0.042236183405018314,8.821530187131135,0.04781308476414554,0.09607949411626335,0.11910016427669133,2.0619469019037497,0.003940592175457471,0.05240611315661488,0.11235024775287784,0.669796434486416,0.0,0.06702429102087475,0.0,0.13715986832400284,0.06376444303408114,0.0,0.1622775820183801,0.04068902639395287,0.025792669154461142,0.0,0.06000506935829248,0.005726937071299787,1.037767000099033,0.1521399497451134
s08M1722,0.010019687725111127,0.0,0.018701144183153738,0.0,0.0,0.0,0.0,0.0,0.0,0.9584399183537569,9.785402598359685,0.0,0.0,0.021676859266603905,0.0026932224324192197,0.0453909968455334,13.78379596561179,0.0,0.002263401094647474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s09M1722,2.296051604254976,0.0,0.0036113874028494467,0.0,0.0,0.0,0.0,0.9717644963067977,0.07813390812237493,1.2087935754485901,3.947196895522244,1.8502336632453833,0.0,0.0,0.0,34.7603447158026,0.06080416324452977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2950209848484722,0.0,0.0,0.0
