,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
s02T1622,0.0,0.0,2.0054573033085283,0.0,0.0,0.18907681344927108,0.0,0.0,0.0,2.036833703052526,0.0,0.005312302029304255,0.626535194522334,0.0,0.0,2.6821568055977916,0.0,0.0,2.778762723707488,0.0,0.08784422271840929,0.0,0.0,0.42269051486113,0.0,0.0,0.01732737603180566,0.0,0.0,0.1271019785431998,0.0,0.0,0.0,0.0,0.0,1.5639010919192833,0.0,0.0,0.0,0.5428207384722102,0.0,0.0,0.0,0.0,0.0,0.0,0.21763707536753957,0.0,0.0,0.020922402162516642,0.0,0.0,0.0,0.031722961917973226,0.9170203653572887,0.0,0.0,0.0,0.014527549245066822,0.0,0.0,0.0,0.0,0.0,0.0
s03T1622,0.0,0.0,0.9980835431412848,0.0,0.0,0.41267470040076293,0.0,0.0,0.0,3.0914662529811037,0.019239630224035655,0.0,1.4499029083487183,0.05559265996802066,0.0,3.53662503680615,0.0,0.0,4.7193725005402225,0.0,0.3330967087288153,0.0,0.059787322002244264,1.4702612378568678,0.0,0.0,0.2852385181568631,0.0,0.0,0.43232803282351023,0.0,0.0,0.0,0.0,0.20622372050759136,2.93900935934805,0.0,0.0,0.0,2.1026144248488796,0.0,0.0,0.0,0.0,0.0,0.018851862435750114,1.5443190491621674,0.0,0.0,0.10606104222775915,0.0,0.0,0.0,0.14185613593534807,2.7701803236167875,0.0015840787079363305,0.0,0.0,0.049955578857709626,0.0,0.0,0.0,0.3050572578924075,0.0,0.0
s04T1622,0.0,0.0,5.184238843640479,0.0,0.0,0.25181289302001636,0.0,0.013287362687876045,0.0,2.8972264874506872,0.0,0.004358672900535531,1.5846855038324312,0.0,0.0,5.028215413080298,0.0,0.0,8.824758797383431,0.0,0.12550130268012474,0.0,0.26815872695693743,2.5140173021984142,0.0,0.0,0.5009719957725729,0.0,0.0,0.34161928852141976,0.0,0.0,0.0,0.0,0.0,3.1681761833506585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005580957185678355,0.5505020844938195,0.0,0.0,0.13161325060885115,0.0,0.0,0.0,0.06314639634728497,3.958610234027225,0.0,0.0,0.0,0.02612350483302094,0.0,0.0,0.0,0.021631463189940733,0.0,0.0
s05T1622,0.0,0.0,3.9404858663818887,0.0,0.0,0.7264874606542211,0.0,0.08388554010823698,0.0,5.607201247640823,0.3001746616448955,0.0,2.415787628306835,0.0,0.0,9.893767483183256,0.0,0.0,7.335169187552802,0.0,1.057148668163983,0.0,0.0,3.634938578067356,0.0,0.0,0.0,0.0,0.0,0.6384042797827781,0.0,0.0,0.0,0.0,0.7621678169928275,4.292289436976317,0.0,0.0,0.0,3.7181466182282845,0.0,0.0,0.0,0.0,0.0,0.0,1.7733043641347133,0.0,0.0,0.30782599402638045,0.0,0.0,0.0,0.8333530784350345,4.7891952648125775,0.0,0.18170344377274428,0.0,0.04712040784973795,0.0,0.0,0.0,0.2738486352726194,0.0,0.0
s06T1622,0.0,0.0,1.6099574578347835,0.0,0.0,0.20606947310412385,0.0,0.0,0.0,1.6677790466204916,0.2375102673168297,0.0,1.72235692781858,0.8200468824028023,0.0,2.9386100174129837,0.0,0.0,3.300360696278903,0.0,1.0649223126343235,0.0,0.06236731518049674,1.6852189061979574,0.0,0.0002913873006624513,0.14923344010610992,0.0,0.0,0.7943717909454454,0.0,0.0,0.05772103515453171,0.0,0.60863800019196,3.714285023861437,0.0,0.0,0.0,2.668751306695159,0.0,0.0,0.0,0.0,0.0,0.003712334132840396,3.568119959464671,0.0,0.0,0.1622577204409419,0.0,0.0,0.0,0.24405106194041734,4.172786338928986,0.0,0.2046767153906827,0.33787786276623866,0.1321469857679079,0.0,0.0,0.0,0.9838352826275971,0.0,0.0
s07T1622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40018607184002103,0.02812378928373746,0.025614912572594253,0.6821269903720613,0.0,0.0,0.26273839194743176,0.0,0.0,0.5396689572891836,0.0,0.03127465157272921,0.0,0.10987904168703963,0.7927632865127049,0.0,0.020292562450703603,0.026309955687594408,0.0,0.0,0.5190259483978497,0.0,0.005116936548785304,0.01858581235498885,0.0017533764408081717,0.4904436810180051,1.7325249822856008,0.0,0.0,0.0,0.0,0.018173829641644587,0.0,0.0,0.0,0.0,0.004085454890682544,0.0,0.0,0.0,0.06436793758853832,0.0,0.0,0.0,0.0,2.715330450171654,0.0,0.22413237476252618,0.0,0.02129741407958979,0.0,0.0,0.0,0.447360206941243,0.0,0.0
s08T1622,0.0,0.9995981263271114,0.0,0.02874754233699606,0.0,0.0,0.0,0.0017839655462743619,0.0,0.0,0.0,0.0,0.0,0.24086588210246854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.553195416120915,0.0,0.04268343265078095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6695245812362178,0.0,4.764896167267344,0.0,7.058602191453619,0.08213871175854623,0.0,0.0,0.0,0.0,0.0,0.0,3.394565716743144,0.0,0.008541465303549548,0.27247370767171764,0.0,0.0,0.0,0.0,0.0,2.0897221825411227,0.3132788158333381,0.016579245052039063,0.0,2.5973166413447415,0.0
s09T1622,0.0,0.06797083736932695,0.0,0.33380923959540965,0.01304301582487642,0.0,0.0,0.1485772137595766,0.4836579538803329,0.013239507490216434,0.0,0.0,0.002902613710768785,0.2059202194505641,0.0,0.0,0.0,0.0,0.0,0.0,0.1388744968853001,0.0,0.0,0.6643125988400848,0.16108007536286062,0.0,0.0,3.0954447776772627,0.0022128788920392,0.4090791847362265,0.0,0.16357575946721928,0.0,0.0,0.0,0.0,0.0,0.0,0.855243289934158,0.0,4.629861440226809,0.0,0.22932194503587514,0.2887369231955577,0.0,0.0,0.0,0.8844627724428837,0.0,0.0,3.5002311497494687,0.0,0.004088746903867608,0.1619947878288295,0.0,0.0,0.41836123035810385,0.31652227585813214,0.0,0.5990434998375527,0.04443080598331612,0.0,0.0,1.4203741518245023,0.0
s10T1622,0.0,0.0,0.0,0.0,0.0,0.0,0.0020881016638149667,0.7375021687490372,7.015952408699486,0.0,0.0,0.0,0.00709685137541962,0.3321878082502576,0.0,0.0,0.0,0.0,0.0,0.0,0.5168382870806895,0.0,0.0,3.4875655537772454,2.4653425269395686,0.0,0.0,5.178722432896365,0.11761393300933737,0.15517183298664916,0.0,0.22449066423707092,0.0,0.0,0.0,0.0,1.8235966354300757,0.0,0.2885102149719026,0.0,4.1232484208151226,0.0,0.0,0.20968162962882472,0.0,0.0,0.0,0.3281141105025543,0.0,0.0,1.0565435202019415,0.0,0.0,1.1664117937902074,0.0,0.3386635922063503,0.41278242215643246,3.278858839187847,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s11T1622,0.0,0.0,0.0,0.7516997307777022,0.035443406780947095,0.0,0.0,1.7883529921155026,3.290571087370665,0.08082176944986263,0.0,2.886731302173153,0.0,1.0151306309618,0.0,0.0,0.0,0.044114900937818904,0.0,0.0,3.3904477325994633,0.0,0.0,6.768809887387715,0.0,0.0,0.0,12.76639190448109,0.3035835508562648,1.0839934760800956,0.0,0.6473770024052911,0.0,0.0,0.0,0.0,0.07636365321446989,0.00262405752002244,0.03944560978871161,0.0,5.745090358575358,0.0,0.0,0.08495822370822112,0.0,0.0,0.0,1.1693151373235835,0.0,0.8754892836897279,0.3165479967753269,0.0,0.0,0.005316618565429846,0.0,0.0,3.731958060666281,2.07546010521486,0.12518738514634334,0.03888953817293537,0.0,0.045420811511266944,0.0,2.7373316713009577,0.0
