,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
s02T1622,0.0,0.0,0.0,0.0,0.0,0.22191167758779612,0.0,0.0,0.0,1.9096664951081066,0.0,0.0,0.037655080900169974,0.0,0.0,2.281584720039696,0.0,0.82505254151841,2.5336619905627993,0.0,0.0519886262133908,0.0,0.0,0.7877652973529213,0.0,0.0,0.05483363455444944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7972709453504291,1.0288581910012615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006089480018974707,0.0,0.0,0.0,0.05927386097545455,0.0,0.01965495314201985,0.0,0.0,1.4029586984877442
s03T1622,0.0,0.0,0.0,0.0,0.0,0.45323185179512754,0.0,0.0,0.0,2.8787156689168536,0.0,0.0,0.36280990611155073,0.0,0.03297965999659852,2.991388975186299,0.0,2.646254775844184,4.323462800470336,0.0,0.29979895987273986,0.0,0.0,2.423813537564169,0.0,0.0,0.38906611947462455,0.0,0.4285800335197649,0.1340064506569055,0.0,0.0,0.0,0.0,2.2105405066179475,1.9528541151224235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0421866773023261,0.0,0.0,0.18221936818620552,0.24831951613151104,0.0,0.06507423470217827,0.0,0.0,1.7764605822450472
s04T1622,0.0,0.0060388834910805305,0.0,0.0,0.0,0.32768977057602805,0.0,0.0,0.0,2.8104660136259443,0.0,0.0,0.1431483970524359,0.0,0.0,4.250892245413964,0.0,0.6729943063764152,7.979868249358285,0.0,0.10400501557028673,0.0,0.1498511353048267,3.9411395554692064,0.0,0.021190351923873096,0.6066642719502735,0.0,0.549899981526822,0.0,0.0,0.0,0.0,0.0,1.7591528735185689,2.0918528565670127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02206695949443712,0.0,0.0,0.0,0.372314546031686,0.0,0.01154678311694084,0.0,0.0,3.610078122770974
s05T1622,0.0,0.0,0.0,0.0,0.0,0.7787470317051745,0.0,0.0,0.019486077859687815,5.189532670317778,0.23243604525722536,0.0,0.379049456241211,0.0,0.0,8.378834689630507,0.0,4.455958798852225,6.790294612238137,0.0,1.0208945851458202,0.0,0.0,5.270303319496371,0.0,0.0,0.0,0.0,0.027829431542037066,0.0,0.0,0.0,0.0,0.0,4.135540695939408,2.5472794638892924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030547002686286155,0.0,0.0,0.12656413455227797,0.6997348916539032,0.0,0.035444045483184,0.0,0.8872405100906343,3.8785928540953547
s06T1622,0.0,0.0,0.0,0.0,0.0,0.2584803042308225,0.0,0.0,0.0,1.5664485606018441,0.25257811440719874,0.0,0.9076365302174715,0.0,0.0,2.4352216702083527,0.05532799800557131,3.275326561025834,3.013961781460068,0.0,1.146626174873346,0.0,0.0,3.1880901035249356,0.0,0.030790376783215875,0.2430813162365905,0.0,0.7734016842711403,0.9597668704123241,0.0,0.0,0.03967707835154935,0.0,2.8398404917262536,2.6608667439324365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036150866083705706,0.0,0.0,0.6082401525079356,0.3461178305814188,0.0,0.28929368534233374,0.0,0.0,2.928470375408424
s07T1622,0.0,0.028121024790432495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37110262710144665,0.046875686250863344,0.0,0.3843500491272871,0.0019397840295861614,0.0,0.2514594465885056,0.08747807722836431,0.07268935082027707,0.5543010559405016,0.0,0.0,0.0,0.1649786041142057,1.8117038348884167,0.0,0.03810081907086548,0.11983918477063164,0.0,0.4262697007229354,0.21745490621922475,0.0026157935996483635,0.005381257807885024,0.043219242900291915,0.0,1.4157712253688228,1.5094009718909411,0.0,0.0,0.0,0.0,0.018064292822779406,0.0,0.0,0.0,0.0,0.014647063058980813,0.20320650777228522,0.0,0.0,0.13147093419426878,0.0,0.04153387876896353,0.0,0.0,0.3209483339278194
s08T1622,0.0,0.0,0.0,0.1437335278623688,0.0,0.0,0.0,0.002804232400870709,0.0,0.0,0.0,7.384610604511869,0.0,0.06191477494210058,0.2816620868118888,0.0,0.06178769326639634,0.0,0.0,0.002210493094212099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03294491718010023,0.17827488695981872,0.0,0.0,0.0,0.0,0.0,0.0,0.4022173482427572,0.17933560226771866,1.751400128237168,0.0,5.035990745345705,0.0,6.413657785534747,0.0,0.0,0.0,0.0,0.8310481031424904,0.0,0.0,4.076468960782699,0.0,0.02239277351196591,0.28355072943418735,0.0
s09T1622,0.0,0.0,0.0,0.44521756431838005,0.01615938315001114,0.0,0.0,0.12852021943867617,0.4272120306500604,0.01673986364013673,0.0,3.505393184791183,0.0,0.0,1.0184071961154708,0.0,0.28944841748828104,0.0,0.0,0.0,0.1672541250439407,0.0023412347499677604,0.0,0.6133140667723369,0.2230039215638821,0.0,0.0,0.6273666665834791,0.0,0.2312840593452906,0.0,0.13999740452806536,0.0,0.0,0.0,0.0,0.09336068418706348,0.029340457653913504,0.978798351493869,0.0,4.989485689898223,0.0,0.09790251278952192,0.0,0.0,0.0,0.0,3.9232746445652893,0.0,0.0,3.689594818761808,0.0,0.03466576301893808,0.6156833536018558,0.0
s10T1622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6251219292122021,6.803471950440924,0.0,0.0,1.7761277684694485,0.0,0.0,1.2969489117620807,0.0,0.2248155722711185,0.0,0.0,0.0,0.347399477211963,0.009912004034791554,0.0,3.07218833770006,2.855921628494938,0.0,0.0,0.1803463381461649,0.0,0.28140391059335074,0.0,0.21134621072847487,0.0,0.0,0.0,0.0,0.8526747039047471,0.0,0.6314848686337711,0.0,4.6724029867099395,0.4078883167804054,0.0,0.0,0.0,0.0,0.0,8.529925544813068,0.0,0.0,0.7798956505120126,0.0,0.0,3.3163348589760315,0.0
s11T1622,0.0,0.0,0.0,1.148856250401141,0.0,0.0,0.0,1.3299564801013897,3.0281819128666783,0.09756439842707998,0.0,7.818063547547469,0.0,0.0,1.3986570208848201,0.0,1.9129012750714236,0.0,0.0,0.0,4.000821576816102,0.009912934152173154,0.0,6.248228005562624,0.521424931416798,0.0,0.0,0.2826854116958167,0.0,0.8236793695133157,0.0,0.5427598156738591,0.0,0.0,0.0,0.0,0.0438934464942236,0.0,0.4406642063725358,0.0,7.722487891009449,0.03222042131625038,0.0,0.0,0.0,0.0,0.0,25.582738763297453,0.0,1.5129219103467375,0.0,0.38199826090183037,0.0,2.704074372645187,0.0
s12T1622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.017542449636428,2.214818254708124,0.06022665246031532,0.06624800554278855,0.13833663244349517,0.0,0.0,0.8727535011566647,0.0,1.596207855287657,0.0,0.0,0.0,2.507886932147731,0.017697739155561856,0.0,6.530577338738202,0.5112601175468303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1031966596808405,0.0,0.3601136212319977,0.30738686847793245,0.0,0.0,0.0,0.0,0.0,3.0198620232546216,0.0,1.7780614741598353,0.032778502861349555,0.0,0.0,2.391125972653248,0.0
s13T1622,0.0,0.0,0.0,0.0,0.0,0.0,7.299289590378381e-05,1.0723323276359003,3.7189060590595884,0.04930123428922689,0.0629757476175396,0.0,0.0,0.0,0.7184174220635668,0.0,0.6457173584855593,0.0,0.0,0.0,1.071646917191672,0.013476910974618141,0.0,5.914283126218454,2.1976969467353635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12868495947024047,0.0,0.1917671416841337,0.0,0.3042680678320355,1.1992987645597797,0.0,0.0,0.0,0.0,0.0,2.5951122150239643,0.0,1.0091394892755836,0.41282349670950075,0.0,0.0,3.1308531652321148,0.0
s14T1622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9761895980697981,2.7171112933856447,0.7342768899141322,0.525138941258671,0.0,0.0,0.0,0.0,0.0,1.3927248256872633,0.0,0.2345384300099428,0.0,3.068587646428075,0.003454902956953463,0.0,9.59079583000482,3.1890200091567134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3297125506886315,0.0,0.0,0.0,1.440819606933142,0.0,0.0,0.0,0.0657006669239968,2.1493951275633165,0.0,0.0,0.0,0.0,0.0,1.7497973115161163,0.0,2.4548743075780646,0.2949777662889537,0.0,0.0,5.124549783085592,0.0
s15T1622,0.0,0.0,0.0,0.0,0.0,0.029415587247445474,0.0,0.583087048163436,0.7116520315623961,1.904132107929888,0.6821925894278938,0.0,0.13477555076363207,0.0,0.0,0.7833155294132575,0.03291548294346414,0.21310801347296587,1.6855124185361567,0.0,2.077748489015805,0.0,0.0,7.162943006815948,0.9976408586112296,0.005456481033489998,0.2708195409523298,0.0,0.0,0.10859228138644472,0.0,0.0,0.30293734994146937,0.0,1.5240270405391343,1.2448448164247647,0.0,0.0,0.0,0.0,0.0,0.926843529940716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1472579303662942,0.1681038849587965,0.0,0.0,3.4217157856030407,0.5932311069348144
s02M1722,0.0,0.0,0.0,0.0,0.0,0.5711588390854181,0.0,0.0,0.027361025916478026,2.720993225350627,0.0,0.0,0.20536449597581305,0.0,0.0,1.753434982390388,0.0,0.3879107934215116,5.401166708001658,0.0,0.17006889673252312,0.0,0.0,1.5390567101622294,0.0,0.001666825697308959,0.48170875905846405,0.0,0.6937345962954794,0.0,0.0,0.0,0.0,0.0,1.237675593118575,1.6898295268654524,0.2923992591610964,0.0,0.0,0.0,0.0,0.048242777092538935,0.0,0.0,0.0,0.0,0.0,0.11779123639433907,0.0,0.11400787417453416,0.0,0.4426125363058029,0.0,0.049946864925430594,2.4872003565899097
