,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
s02T1622,0.4040068728285716,0.0,0.0,0.0,0.0,0.01717260791340411,0.0,0.0,0.15709452607004123,0.015671044421108817,0.0,0.0,0.004192077566371523,0.4018628712005026,0.0,0.0,0.0
s03T1622,0.47091378569735254,0.0,0.0,0.0,0.0,0.016483257060911038,0.0,0.0008144829865952682,0.12100544019294172,0.020698011012914453,0.002111690933276936,0.0,0.008824213247044495,0.31569965095033,0.0,0.04344946791863356,0.0
s04T1622,0.3107702174268457,0.0,0.0,0.0,0.0,0.016202312654652343,0.0,0.004111758916175357,0.10897861822980869,0.03739731265211785,0.0,0.0,0.008090990774523948,0.5056969372015322,0.0,0.008751852144343812,0.0
s05T1622,0.42596727842780197,0.0,0.0,0.0,0.0,0.018471118881555337,0.0,0.0026754509563819097,0.12091708678389777,0.03143638041426024,0.006126164401444691,0.0,0.006245282705124971,0.3509903980943386,0.0,0.03717083933519469,0.0
s06T1622,0.5194354664136611,0.0,0.03521326960148107,0.0,0.0,0.007575711547625374,0.0,0.003418344266042723,0.05816915269167446,0.02393853301080026,0.009283256995197135,0.0,0.01502609501879333,0.22872226132882006,0.0,0.09921790912590443,0.0
s07T1622,0.4845866691499405,0.0,0.040805700063540055,0.0,0.024166328183229304,0.0,0.0,0.0069788421779173795,0.04823602363906275,0.03812191027530066,0.0032154659828864886,0.0,0.024890645804381682,0.16347688511460043,0.0,0.16552152960914082,0.0
s08T1622,0.0,0.6116000771600237,0.015013019164555342,0.0,0.0,0.0,0.0,0.0,0.0,0.0064072251190064,0.0,0.0,0.0,0.002426837728213507,0.028650576647584868,0.0,0.33590226418061603
s09T1622,0.0,0.5318491836410053,0.015200753262499998,0.0,0.0,0.0,0.00015837864422090916,0.009987906082128028,0.0017482756927174054,0.0432367227790712,0.0,0.007881518805356102,0.0,0.0,0.026151780799225696,0.0,0.36378548029377533
s10T1622,0.0,0.18303221687967017,0.006392981143058893,0.0,0.0,0.005479523307906974,0.0012872493817204912,0.02696937343910235,0.01054332059709975,0.2987270587447428,0.0,0.005137137487892842,0.0,0.0,0.004678363388833846,0.04301407404681388,0.4147387015831579
s11T1622,0.0,0.01618275476888967,0.028107634320413858,0.0,0.0,3.987948349977211e-05,0.0,0.05096591417785139,0.004891621486913157,0.19931539222751987,0.0,0.0143608536151436,0.00495900008370307,0.0,0.07662524092068364,0.06657574225609234,0.5379759666592897
