,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
s02T1622,0.0,0.0,1.0864759821038612,0.0,0.0,0.19937148762992515,0.0,0.011485649147139804,0.0,2.072678155823475,0.0,0.0021520625153023825,0.5363625327624592,0.21518881754548763,0.0,3.228147592140924,0.0,0.4376469143461276,2.910536026543195,0.0,0.09415851713123094,0.0,0.0,0.3585513507385341,0.0,0.0,0.1649691765202825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002366600115526727,1.1052324032589171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07826234463617125,0.07263892717648401,1.1387358414097615,0.0,0.026610488427292682,0.0,0.0,0.0,0.0,0.0,0.009318254776641218
s03T1622,0.0,0.0,0.0,0.0,0.0,0.42891140641674513,0.0,0.1017156858267672,0.0,3.1132750723286517,0.015093227796397048,0.0,1.2678898551601414,0.7512346776712052,0.0,4.325396387297831,0.0,2.0038199444369256,4.858484961381737,0.0,0.3374016830684982,0.0,0.009576185918228243,1.3049008010982641,0.0,0.0,0.4838620411872716,0.0,0.0,0.09495037208298353,0.0,0.0,0.0,0.0,0.32126147654470827,2.238596444760157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009573599590241283,0.0,0.0,0.0,0.0,0.0,0.0,0.5330840335293371,0.21521862740130446,3.613980027800946,0.0,0.10253542583947095,0.0,0.0,0.0,0.0,0.0,0.3270408004116117
s04T1622,0.0,0.0,3.188677767217945,0.0,0.0,0.2838268775142548,0.0,0.08275686679255398,0.0,3.0255717072562005,0.0,0.0,1.3775851309606744,0.6400343551804868,0.0,6.273388018705271,0.0,0.0,9.085368208553497,0.0,0.13039771412953852,0.0,0.20724620548309042,2.2872766994726583,0.0,0.010301700604399609,0.7589134286831858,0.0,0.0,0.0,0.0,0.0,0.0,0.008131585543393027,0.0,2.247956863267224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02774648506269455,0.0,0.0,0.0,0.0,0.19391907906556452,0.14359647048611934,5.179166483777789,0.0,0.08583568909580015,0.0,0.0,0.0,0.0,0.0,0.06268797794201647
s05T1622,0.0,0.0,1.1723354001276052,0.0,0.0,0.7582467685476527,0.0,0.2782637989381912,0.0,5.770975326624793,0.31610303540392437,0.0,2.037847584876504,1.145607908381967,0.0,11.742853406031756,0.07991615978527225,3.185586747240934,7.815910473436885,0.0,1.1026232271945924,0.0,0.0,3.3826084020198173,0.0,0.0,0.2202201544308789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9923009056845464,2.7772488628510286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1448791178597489,0.0,0.0,0.0,0.0,0.6233373146784073,1.0887970521790926,6.067990818190905,0.033104411839160464,0.09896622813053949,0.0,0.0,0.0,0.0,0.0,0.3589464952492477
s06T1622,0.0,0.0,0.40324160557960576,0.0,0.0,0.22359983652011903,0.0,0.1752058342613604,0.0,1.6961368514383548,0.23303278974011793,0.0,1.5299938869288574,1.3834672043263188,0.0,3.671708322660078,0.08427192963929513,2.6293981411367695,3.434873817352533,0.0,1.1048371522971139,0.0,0.0,1.4581731722637368,0.0,0.009877456979612429,0.35647446890555223,0.0,0.0,0.9589404242404019,0.0,0.0,0.021547761848781294,0.0,0.7057129351088917,2.9948954512557915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2265866271857981,0.35023739629952194,5.524781847501051,0.0,0.26110530325310477,0.5853896215092759,0.0,0.0,0.0,0.0,0.9836303577607955
s07T1622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07458770478798071,0.0,0.38007885031981475,0.025182637339205657,0.020462989115923202,0.6181896556016959,0.9573827035535557,0.0,0.42173417273281827,0.0853723212512235,0.0,0.5400778844949494,0.0,0.028563033259410717,0.0,0.06359458148035803,0.6363431882772572,0.0,0.018704631893730415,0.08324564684069963,0.0,0.0,0.0,0.0,0.005952512310816027,0.0,0.0,0.5122183668119848,1.562593284821856,0.0,0.0,0.0,0.0,0.020694114459344902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002561636454769,0.0,0.0,0.0,3.6551427815562283,0.0,0.07405593381254509,0.0,0.0,0.0,0.0,0.0,0.4319808015604579
s08T1622,0.0,0.854207187826646,0.0,0.0,0.000339696801465663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5298200412591484,0.5707541106573755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8886119817184985,0.0,0.2734715663582646,0.0,0.0,0.0,0.0,0.003090408156799951,0.0,0.2969815012865877,0.0,1.6702602151988044,0.0,5.215720102355307,0.0,2.788041935112815,0.0045497053800389745,0.0,0.0,0.0,0.0,0.0,0.0,4.350567355372888,0.0,0.0,0.2108040335784424,0.0,0.0,0.0,0.0,0.0,2.116234960613623,0.918107395494182,0.0,0.0
s09T1622,0.0,0.35810410618511584,0.0,0.009640018036094123,0.025748415245279342,0.0,0.0,0.0,0.45290872355496953,0.012530336032159743,0.0,0.0,2.6742709450106543e-06,0.7505183050561463,0.46867860617773466,0.0,0.21963756958359545,0.0,0.0,0.00021961730648737825,0.1549414933424482,0.0,0.0,0.6949615506732832,0.12312849394626856,0.0,0.0,3.2778600203444466,0.02446671487135615,0.2453691814588193,0.0,0.14428368845595327,0.0,0.0,0.0,0.0,0.15771892479402663,0.0,0.8318149425340672,0.0,4.9912166534981335,0.0,0.6712173122546595,0.24220962432301302,0.0,0.0,0.0,0.22255986213833892,0.0,0.0,3.5211098250920543,0.0,0.0,0.16626820906424472,0.0,0.0,0.0,0.3520899561870631,0.0,0.7573850501876811,0.04421936637733413,0.016737792701982602,0.0
s10T1622,0.0,0.0,0.0,0.0,0.0,0.0,0.0007798542642730042,0.0,6.66853298832933,0.0,0.0,0.0,0.00133235362581917,0.31621624035694906,0.0,0.0,0.15373273170799595,0.0,0.0,0.0,0.4412417879974627,0.0,0.0,3.5998507515576503,1.907032971080203,0.0,0.0,5.070997319562749,0.1721920794479203,0.4175592924388124,0.0,0.21268693527544885,0.0,0.0,0.0,0.0,1.0438051939283737,0.0,0.38787878328954756,0.0,4.425597146874799,0.0,0.0,0.22225968185538686,0.0,0.0,0.0,0.9544421277513763,0.0,0.0,0.9036439827144168,0.0,0.0,1.537191779353996,0.0,0.37901462921741336,0.0,3.054409459351487,0.0,0.0,0.0,0.020978997281316508,0.0
s11T1622,0.0,0.0,0.0,0.0,0.045848285153924764,0.0,0.0,0.9677839588539896,3.116058649385125,0.07917081329169266,0.0,2.762168706341398,0.0,1.6981120984335987,1.2098089675034889,0.0,1.8740896846908968,0.0,0.0,0.0,3.568288584749306,0.0,0.0,6.933644083611277,0.0,0.0,0.0,13.341453799630386,0.33370311910196054,1.1716624296479994,0.0,0.6173737621380769,0.0,0.00131267840827726,0.0,0.0,0.44543118366015855,0.03171404968379489,0.06186578207337918,0.0,6.1867933876511065,0.0,0.0,0.06216126328350248,0.0,0.0,0.0,2.3355447323165293,0.0,0.0,0.315848033249352,0.0,0.0,0.0,0.0,0.0,0.21005827336317526,1.9999331937344922,0.08314869125628856,0.0,0.0,0.13532364577666248,0.0
