,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
s02T1622,0.0,0.0,3.374194491662793,0.0,0.0,0.0,0.0,0.0,0.0,2.026295332118107,0.0,0.0,0.4758840614960324,0.0,0.0,3.5340781852741725,0.0,0.0,2.3136558183093348,0.0468668968513151,0.09257510827784278,0.0,0.0,0.1429767488415696,0.0,0.0006218545831002135,0.0,0.0,0.0,0.0,0.0,0.0,0.03180189027282716,0.0,0.18800572607121105,0.9055957886409759,0.0,0.0,0.0,1.6692916107378832,0.0,0.0,0.0,0.0,0.0,0.0,0.1740438373015337,0.003857070898423452,0.0,0.031589395206753246,0.0,0.0,0.0,0.06203416682200318,0.0,0.38137146263651983,0.0,0.0,0.0,0.0,0.0,0.0,0.02364047244163515,0.0,0.0,0.0,1.26219699408396,0.0,0.0,4.034083805386265,0.0,0.0,0.0,0.0,0.0,0.041564612051464465,0.0,0.0,0.0,0.0,0.0026956360071900254,0.0,0.0,0.01850723153659903,0.0,0.0
s03T1622,0.3550169311434508,0.0,2.9628262951786555,0.0,0.0,0.0,0.0,0.0,0.0,3.2027423315649286,0.0013153821563560962,0.0,1.222796394073733,0.06703090280283328,0.0,4.644703873265198,0.0,0.017509260421673868,4.097492306309824,0.43822905290184805,0.33556068127083305,0.0,0.0,0.730423362691687,0.0,0.0031026353996461663,0.0,0.0,0.0,0.055170769771785706,0.0,0.0,0.162202707646391,0.0,0.5942366929291162,0.1551492162880554,0.0,0.0,0.0,3.893482887081321,0.0,0.0,0.0,0.0,0.0,0.13613204501896736,1.1637488654874961,0.0,0.0,0.13554102107822175,0.0,0.0,0.0,0.15865392385410074,0.0,0.8121757331337723,0.0,0.0,0.0,0.0,0.0,0.0,0.3142792974497005,0.0,0.0,0.0,3.380066307917046,0.00014399611734713206,0.0,7.95153318764013,0.0,0.0,0.0,0.0,0.010750594541447238,0.0030426691413512393,0.0,0.0,0.0,0.0,0.07984242210988672,0.0,0.0,0.10590976952984957,0.0,0.0
s04T1622,0.7450157446962505,0.0,8.841845514946936,0.0,0.0,0.0,0.0,0.0,0.0,2.640990823549968,0.0,0.0,1.2957185104959867,0.0,0.0,6.724601481034722,0.0,0.18597470031500818,8.063735507173504,0.384987267043502,0.158901074179147,0.0,0.055195684361720114,1.5913625819691883,0.0,0.014658521887778473,0.0,0.0,0.12714170758033624,0.0,0.00869405556553074,0.0,0.1831734826762776,0.0,0.26559316671540906,0.5481131236421604,0.0,0.0,0.0,2.6279625030225384,0.0,0.0,0.0,0.0,0.0,0.0,0.41053377355964044,0.10615915697247574,0.0,0.19656717024147893,0.0,0.2530686844627978,0.0,0.18443747906994615,0.0,0.61924685448063,0.0,0.0,0.0,0.0,0.0,0.0,0.021720224202765207,0.0,0.0,0.0,4.774780703662639,0.0,0.0,11.061694335538352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0368077997352612,0.0,0.0,0.0,0.0,0.0
s05T1622,4.3915692462008975,0.0,8.102313480272121,0.0,0.0,0.0,0.0,0.0,0.0,5.388951810845705,0.3166256463986462,0.0,1.8662649229885635,0.0,0.0,12.631806103410504,0.0,0.0,5.373514514608154,0.16620734625495273,1.02908870283271,0.0,0.0,2.5038025479026778,0.0,0.02198555124156856,0.0,0.0,0.0,0.027817246384300005,0.0,0.0,0.21672692518866044,0.0,1.5056259737315916,0.05597469532950333,0.0,0.0,0.0,6.138127814025664,0.0,0.0,0.0,0.0,0.0,0.0,1.4789939133930443,0.21721338214983296,0.0,0.42612865444388853,0.0,0.0,0.0,0.6397459561984827,0.0,1.3380463154516362,0.0,0.0,0.0,0.0,0.0,0.0,0.3433379417814586,0.0,0.0,0.0,5.876484241850862,0.0,0.0,10.956802958704143,0.0,0.0,0.0,0.0,0.0,0.30973108523659987,0.12984587219032112,1.7122477985244053,0.0,0.0,0.020142802565696952,0.0,0.0,0.18995325825427709,0.0,0.0
s06T1622,0.0,0.0,4.862696005291875,0.0,0.0,0.0,0.0,0.0,0.13214665323241662,1.3516452451494845,0.27023799238876933,0.0,1.4746994503747999,0.8615467343110669,0.0,3.911522616438059,0.0,0.0,2.9170154838751237,0.11375631459359181,1.0227828430213364,0.0,0.0,0.6964993790068191,0.0,0.029742064244714622,0.0,0.0,0.0,0.26484747747240034,0.0,0.0,0.2313569650985026,0.0,1.0309541811760852,0.39567061905222706,0.0,0.0,0.0,4.7847597868412075,0.0,0.012982191120836581,0.0,0.0,0.0,0.09465099868317038,2.924369100472839,0.02808034880841186,0.0,0.1991864645069279,0.0,0.29976111447369386,0.0010368509564641368,0.27072020172839806,0.0,0.5309038533106244,0.0,0.3319549812084632,0.0,0.0,0.0,0.0,0.8974981087132449,0.0,0.0,0.0,5.014965129356647,0.005675260219901363,0.0,7.548816040314139,0.0,0.0,0.0,0.0,0.1635815762799261,0.1719234622436413,0.005203735045989082,0.0,0.0,0.0,0.08429841687938787,0.029007429846551108,0.0,0.08764072666040527,0.14133813737110903,0.0
s07T1622,0.0,0.0,1.6618603661346287,0.0,0.0,0.0,0.0,0.0,0.0,0.08046766297169976,0.02974215370597166,0.0,0.5952811660038141,0.0,0.0,0.4109356020911149,0.0,0.0,0.6112919492513066,0.023972177247741158,0.061338301563843275,0.0,0.0,0.15146469170344457,0.0,0.01427677904895608,0.40188405133440014,0.0,0.0,0.19275609092331406,0.0,0.005557779652034816,0.18213172799685828,0.005529503799684512,0.540905324531017,1.058176942520894,0.0,0.0,0.0,1.177565905574047,0.019736841972042125,0.0006445553513299557,0.0,0.0,0.0,0.046468104694033056,0.0,0.0,0.0,0.07848324894137328,0.0,0.6376693547313804,0.0,0.018886105720539732,0.0,0.03940263869077851,0.0224883615209145,0.0,0.0017031221763413016,0.0,0.0,0.0,0.3467055878617207,0.0,0.0,0.0,3.179632418345878,0.006503041527551064,0.0,2.2226192575689505,0.0,0.0,0.0,0.0011667079572204718,0.0,0.021019730387005303,0.00745475184571045,0.0,0.0,0.0,0.022970236362827256,0.21869035936661832,0.0,0.0,0.0,0.0
s08T1622,0.0,5.163102281699233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006625168987061246,0.0,2.6220265119948194,0.0,0.22611510695441564,0.0,0.0,0.033404501477120166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6139964352124805,0.0,0.24777556086226074,0.0,0.026462104975997464,0.03719624250791505,0.0,0.0,0.07531353433750237,0.0,0.0,1.0226999437150828,0.0,4.068378186327787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.273994700820207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7681144532692773,0.22145293413538766,0.0,0.0,1.6517858632499356,0.0,0.0,0.0,0.0,0.020197855443713292,0.0,2.4141362591140525,0.0,1.6365209435511134,1.8807285962799776,0.0,0.0,0.004045819010335397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s09T1622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016658223022478463,0.0,4.4312505470761865,0.003619355136152581,0.20248455105748422,0.021151539854568975,0.0,0.024076713514835462,0.0,0.0,0.0,0.12916560848482156,0.0,0.0,0.7333680499550052,0.12030243061081886,0.0,0.0,1.7287023979307634,0.004531675784548616,0.49021039710577036,0.0,0.15946148885644665,0.14343876690163335,0.0,0.005384341907056134,0.0,0.12353762935589511,0.0,0.5528681712561332,0.0,4.164477789918708,0.0,1.736682560848473,0.010968801134240603,0.0,0.02803311951619155,0.0,0.1521837425955281,0.0,0.09245465576623609,3.4953242099469586,0.0,0.0,0.09537592917790301,0.0,0.0,0.0,0.3004576260362177,0.0,0.28525217756908205,0.10982739819932064,0.0,0.0,0.8104631459967964,0.0,0.0,0.0,0.0,0.25085626836852315,0.0,0.2289900181115589,0.0,3.0508317056166776,0.02042802711506019,0.0,0.0,0.20749160853691215,0.0,0.472676705548609,0.0011743795787048671,0.0,0.0,0.36731906919403773,0.0,0.028891249207678472,0.0
s10T1622,0.0,0.8463685993773652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.791143895997395,0.010529281951931197,0.37043092013872175,0.0,0.0,0.0,0.0,0.0,0.0,0.5577090388110452,0.0,0.0,3.8149640309915513,2.5601210747459007,0.0,0.0,0.12942410052483194,0.12297257607890429,0.48260632468804754,0.0,0.2166905995227597,0.18598611600552523,0.0,0.02422346364215716,0.01742088276012299,1.818329782211093,0.0,0.2200601569427621,0.0,3.827256528473758,0.0,1.4824911866435664,0.0,0.009639558393363975,0.0,0.0,0.8776980296712312,0.0,0.0,0.9312567674876335,0.0,0.0,0.8227975094866813,0.0,0.0023814203301968603,0.0,2.7109177929403137,0.0,0.0,0.002626893172647935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.496017633807214,0.0,0.0,0.0,0.6424841453236554,0.0,7.222203857540287,0.017005231931374026,0.0,0.0,0.2935611486827607,0.3686364271021268,0.0,0.006005724353130847
s11T1622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07623099559006494,0.05791799354104089,21.951405082442548,0.0,1.0333937346316269,0.0,0.0,0.19575061471992147,0.0,0.0,0.0,3.1435756989191397,0.0,0.0,6.817171464690705,0.0,0.0,0.0,1.5592536561805064,0.23665771844897238,1.3828908140240734,0.0,0.6241709870843704,1.3243927394942328,0.0,0.0,0.0,0.114308210835756,0.023830271669502252,0.02224982924753529,0.0,5.417486701521313,0.012116300029615005,3.278737977824335,0.0356279793272043,0.011398112324720539,0.2151279289008569,0.0,1.9187929861549498,0.0,1.3104680370009216,0.29954764620308455,0.0,0.0,0.05640354271952178,0.0721116445973752,0.0,0.0,1.946440680972293,1.2718175273664343,0.14887563230908885,0.0,0.0,0.039076429421248865,1.570948079559081,0.0,0.0,0.054754901916370655,0.0,0.0,0.0,0.0,0.0,2.0434545120453134,0.0,0.23441091835802413,0.2392216872243004,1.8150959822957917,0.5493810668931632,3.0050394295406746,0.0344772338553672,0.0,0.0,1.4678472128201938,0.06498917480291726,0.0,0.0
