,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
s02T1622,5.331524539737272,0.0,0.0,0.0,0.0,0.11186330909352463,0.0,0.00097764068702058,0.14354859413077126,1.8226864356928583,0.0,0.0,0.26196912864237376,0.007987906651230503,0.0,2.947288186410137,0.0,2.448251350397669,0.0,0.0,0.0,0.0,0.0,0.01864876114425886,0.0,0.0,0.0,0.0
s03T1622,14.529896275541674,0.0,0.0,0.0,0.0,0.2164216835461044,0.0,0.01551273195711832,0.43415816935331997,2.6840601930358923,0.0,0.0,1.0472006149744426,0.11643927838303933,0.33351183679584706,4.099335798544231,0.0,5.7383442614015525,0.0,0.0,0.20961540763061748,0.0,0.0,0.13645022919237068,0.02882206135810804,0.0,0.0,0.0
s04T1622,22.773469774663106,0.0,0.0,0.0,0.0,0.12709173955985822,0.0,0.1233617683380747,0.5918713913793063,2.6337173688648416,0.0,0.0,0.8928952862111906,0.03002297667977384,0.11360691853495351,7.055779656998282,0.0,4.049387405606163,0.0,0.0,0.0,0.0,0.0,0.24106639544619318,0.022239577303822297,0.0,0.0,0.0
s05T1622,31.048286518508608,0.0,0.0,0.0,0.0,0.3711534452540857,0.0,0.21243921888103193,1.6047899058596697,5.032318271031767,0.14188130054152281,0.0,1.1674805730974536,0.0,0.0,9.218382587616839,0.0,9.025669773217063,0.0,0.0,0.0,0.0,0.0,0.48310842156065625,0.0,0.0,0.0,0.0
s06T1622,21.34597740190867,0.0,0.0,0.0,0.0,0.017356978569892243,0.0,0.07039504787360694,0.8885760891408689,1.2958337962871167,0.22061633691628743,0.0,1.6753180893728432,0.9114818267084536,0.3363354886930614,3.0978503734314886,0.0,7.268711640079398,0.11528698659984365,0.0,0.9777761287317166,0.0,0.0,0.32654009796824196,0.028657353030542048,0.021826326109430035,0.0,0.0
s07T1622,10.546774064528071,0.0,0.0007391872607722124,0.0,0.0,0.0,0.0,0.027819601904701678,0.09799120658430485,0.2229634911749127,0.04867539655135732,0.0,0.8637155834860313,0.11388853706598583,0.29929607247584333,0.30513062073460234,0.0,2.056028806450986,0.05796226809652849,0.0,0.0,0.0,0.0,0.23614286022510247,0.02983069390463602,0.03749696792978473,0.0,0.0
s08T1622,0.0,0.0,0.0,0.16936798967405908,0.0,0.0,0.0,0.0,0.04524483218531594,0.0,0.0,5.218835605729042,0.0,0.21350955671005975,0.0,0.0,4.0890095672334885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.360415676955094,9.178942817861609
s09T1622,1.4997460228965875,0.3630935774025199,0.14102331184891398,0.11547611724289085,0.07624720168558975,0.0,0.0,0.05841716683154448,0.3299763789981443,0.018179917266966775,0.0,3.53511320727204,0.0,0.22271877717213384,0.9355595037404599,0.0,3.5952301066122967,0.0,0.0,0.0,0.0,0.0,0.0,0.34905436253704525,0.0,0.0,0.0,6.057797397501493
s10T1622,4.64152431024186,2.1251339476978313,0.08782430203736105,0.0,0.5077623657930141,0.015917453414094323,0.005483595106728335,0.4321879913767024,1.6146092959742024,0.12975939187558272,0.0,3.966778961977868,0.0,0.18118603721368845,0.04585080484684016,0.0,3.614637446646745,0.0,0.0,0.0,0.0,0.008073521816495554,0.0,4.607725396712676,0.0,0.0,0.0,1.6576617841442227
s11T1622,15.032519631916596,7.986252564818174,0.0835812801205148,0.7886795048781963,0.0,0.0,0.0,1.3274806236932202,3.9728973330304043,0.11845363273706014,0.0,12.109748668499318,0.0,0.6339049294427552,1.713088736295467,0.0,5.0010874527773685,0.0,0.0,0.0,0.0,0.0,0.0,3.8568753908825104,0.0,0.0,0.0,0.0
s12T1622,14.168803363608534,0.08213843647684996,0.0,0.0,0.0,0.0,0.0,1.3392850716023956,3.031677938930771,0.17806764494586175,0.000969536722301074,1.2529194082101236,0.0,0.0,2.137395036504891,0.0,0.28806458810577745,0.0,0.0,0.0,0.0,0.0,0.0,3.536639740420016,0.0,0.0,0.0,0.052951721551775015
s13T1622,12.368348112488627,0.20591435245701697,0.0,0.0,0.34191713468191437,0.05526055457460341,0.0006536638080158144,1.1972658906185962,2.367115484232066,0.4239723268151309,0.02688085720653229,0.834729510065166,0.0,0.0,1.0497157802613974,0.0,0.45021524205601177,0.0,0.0,0.0,0.0,0.0,0.0,3.79177243996029,0.0,0.0,0.0,0.7394001856078294
s14T1622,24.421798278418493,0.0,0.0,0.0,0.6889045866815369,0.10102295105718448,0.0,1.7341935569908082,4.5750176169393875,1.3648571601115203,0.4346706930870201,0.37091618381099906,0.0,0.0,1.472577657481245,0.0,0.2733398390591865,0.0,0.0,0.0,0.0,0.0,0.0,4.746954891884008,0.0,0.0,0.0,0.36196451734287316
s15T1622,24.29745943036576,0.0,0.032107144777533375,0.0,0.4054008118025708,0.0,0.0,0.8755045642038914,2.937806697235527,2.1221860967591795,0.6106928921081967,0.0,0.5563348643732677,0.04466965441257069,0.15231891148952342,1.1924100906258996,0.0,2.165838657107437,0.0,0.0,0.0,0.0,0.0,1.8625030217139613,0.0,0.0,0.0,0.059227084704777395
s02M1722,9.946551281105414,0.03073603985716032,0.0,0.0,0.0,0.42780682859754754,0.0,0.019363020292090933,0.26858005041758104,2.4537660381974895,0.0027270578220597087,0.013263697045970307,0.8762361877372371,0.0,0.0,3.941331712827685,0.024229405464249905,2.7351192163848745,0.2020927155470468,0.0,0.0,0.0,0.0,0.13081340028552024,0.0,0.0,0.0,0.0
s03M1722,11.977333870979416,0.0,0.0,0.0,0.0,0.44098254094489336,0.0,0.047702975821381374,0.3983867963718576,3.164438604776474,0.017653449192032367,0.0,0.7056961086471005,0.13560849223125016,0.0,4.8232412240816345,0.0,3.984501010435002,0.7037478955922651,0.0,0.3182122194878578,0.0,0.0,0.14246094652782604,0.0,0.0,0.0,0.0
s04M1722,13.366022359550854,0.0,0.0,0.0,0.0,0.24860710253540777,0.0,0.12445936797606154,0.445061704048041,1.5809167637313186,0.05396221868304955,0.0,0.3391995100178673,0.0,0.0,3.2109547396353912,0.0,2.8659481367513577,0.5447977977961664,0.0,0.20023806592398044,0.0,0.0,0.1915573544600853,0.0,0.0,0.0,0.0
s05M1722,19.368648962061364,0.0,0.0,0.0,0.0,0.35443485345666803,0.0,0.1503831403326213,0.5522214583016346,1.6024948847662297,0.005108392049631397,0.07236498620711912,1.010326135155392,0.05200881763134131,0.0,4.537255482116524,0.0,3.916967243871007,5.405106404551799,0.0,0.6752350637343031,0.0,0.0,0.44699617298987876,0.0,0.0,0.0,0.0
s06M1722,11.143691385925496,0.0,0.0,0.0,0.0,0.045355943482370854,0.0,0.0814334577009196,0.204459778820779,0.6545517511804548,0.03549031185671585,0.07675608782513069,0.5935836602827401,0.1216829445793876,0.1238071725771366,1.6670054371962617,0.0,2.861584916119578,3.6251398284839795,0.0,1.2314712180312168,0.0,0.0,0.21414398959681402,0.0054558964173647626,0.0,0.0,0.0
s07M1722,26.87198256243023,0.0,0.0,0.0,0.019330173165544848,0.30656504084001235,0.0,0.2913946401632384,0.5973346523736568,0.981739866609872,0.2629299023855815,0.020971181284535317,2.203261043492222,1.258137518563324,0.6416772014695731,0.9721807445270312,0.0,4.815409596410948,3.735269774408585,0.0,0.7664077055244783,0.0,0.0,0.8768220387872061,0.040568170181348104,0.0,0.0,0.0
s08M1722,0.0,0.0,0.4481370542558483,1.3538385407093336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.002223789011017,0.0,0.44629530194202827,0.0,0.0,4.289981855016821,0.0,0.07241903236505422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.025873686933665
s09M1722,4.3273489391247475,1.7176173302504718,0.0,0.12526893450742843,0.0,0.0,0.0,0.43950789179587046,0.9411655323042092,0.023075968380758795,0.0,2.8208817769977395,0.0,0.059562562518871764,0.38263083377641466,0.0,0.3839891005086387,0.0,0.7777706467901355,0.0,0.018014540020091153,0.0,0.0,1.0976119237352076,0.0,0.0,0.0,0.0
