,0,1,2,3
s02T1622,0.8629814776154764,0.0,0.13701852238452367,0.0
s03T1622,0.7987114391943204,0.0,0.20128856080567953,0.0
s04T1622,0.7613570181275927,0.0,0.23864298187240737,0.0
s05T1622,0.7986157570078547,0.009936682226896273,0.19144756076524908,0.0
s06T1622,0.5982153001384444,0.04654140274000148,0.35524329712155417,0.0
s07T1622,0.5224369443763389,0.07423940626458253,0.40332364935907855,0.0
s08T1622,0.0,0.9077218424424742,0.09227815755752568,0.0
s09T1622,0.0,0.8938683433569682,0.1061316566430318,0.0
s10T1622,0.0743261311714104,0.7558117885330701,0.16986208029551939,0.0
s11T1622,0.03775156334031973,0.7465065394491229,0.2157418972105573,0.0
s12T1622,0.1705151903059087,0.6856557628147472,0.1438290468793441,0.0
s13T1622,0.27588012488751473,0.6040298063929386,0.12009006871954679,0.0
s14T1622,0.43870559706561657,0.4554392626012098,0.10585514033317368,0.0
s15T1622,0.631359918841179,0.19937521529079494,0.16926486586802605,0.0
s02M1722,0.8465040610478145,0.0,0.1534959389521856,0.0
s03M1722,0.8428059976649722,0.0,0.15719400233502773,0.0
s04M1722,0.7733347559707728,0.018274459600965322,0.20839078442826184,0.0
s05M1722,0.695713596468088,0.02308551971867033,0.2812008838132416,0.0
s06M1722,0.6246344142153981,0.04253105305979639,0.33283453272480545,0.0
s07M1722,0.52272531151098,0.08547098389111037,0.39180370459790964,0.0
s08M1722,0.0,0.8909321597543978,0.10906784024560227,0.0
s09M1722,0.05149277392110638,0.7297518637772014,0.2187553623016922,0.0
s10M1722,0.14801027501648295,0.6692670086653036,0.18272271631821338,0.0
s11M1722,0.035070248523089875,0.7232198632159209,0.2417098882609892,0.0
s12M1722,0.06900129773983145,0.6697558043512791,0.26124289790888944,0.0
s13M1722,0.05049734647691223,0.6713068427032804,0.2781958108198073,0.0
s14M1722,0.178407316606575,0.5746305540126433,0.24696212938078163,0.0
s15M1722,0.4242881763468211,0.3272853787979324,0.24842644485524648,0.0
s01X1722,0.31749472058843314,0.07673777661097429,0.6057675028005925,0.0
s02T1722,0.4954363621841207,0.04654314520381912,0.45802049261206035,0.0
s03T1722,0.37368767352761156,0.05166816463244602,0.5746441618399424,0.0
s04T1722,0.7215944821504285,0.02515957924501842,0.2532459386045531,0.0
s05T1722,0.599291137883758,0.03576970038521529,0.36493916173102675,0.0
s06T1722,0.7612555108657434,0.025003183746307108,0.21374130538794944,0.0
s07T1722,0.15259258227036515,0.1374719289458713,0.7099354887837637,0.0
s08T1722,0.0,0.8722462229755613,0.12775377702443866,0.0
s09T1722,0.0,0.8966713691881716,0.10332863081182848,0.0
s10T1722,0.033298753363746374,0.6736572993765805,0.2930439472596732,0.0
s11T1722,0.007590314340462644,0.7118020076078155,0.28060767805172193,0.0
s12T1722,0.08530950625603768,0.6787388362130806,0.23595165753088154,0.0
s13T1722,0.3460373356367047,0.46114549162673046,0.19281717273656476,0.0
s14T1722,0.18319416878816297,0.5298942858416067,0.28691154537023045,0.0
s15T1722,0.3348402538132665,0.24855694860750943,0.4166027975792241,0.0
s02M1822,0.05089724584105868,0.08874373435014707,0.8603590198087943,0.0
s03M1822,0.4529687565158409,0.07218639973340742,0.4748448437507517,0.0
s04M1822,0.3018192055548836,0.02926667014258349,0.6689141243025329,0.0
s05M1822,0.8373983261827078,0.001788901828918154,0.1608127719883741,0.0
s06M1822,0.9789671084602846,0.0,0.02103289153971544,0.0
s07M1822,0.8269152321263882,0.0,0.17308476787361182,0.0
s08M1822,0.0,0.8725654038779331,0.1274345961220669,0.0
s09M1822,0.0,0.8343103579191781,0.1656896420808219,0.0
s10M1822,0.0,0.7039165428972006,0.2960834571027994,0.0
s11M1822,0.04908270901250716,0.755824136768982,0.19509315421851087,0.0
s12M1822,0.0,0.7040146254992836,0.29598537450071644,0.0
s13M1822,0.011766049031054904,0.6811564894407085,0.30707746152823656,0.0
s14M1822,0.06700480901786673,0.5936228817597614,0.3393723092223719,0.0
s15M1822,0.43481502195365973,0.32234548394881024,0.2428394940975301,0.0
s01X1822,0.2689470952276808,0.07134854566124964,0.6597043591110696,0.0
s02T1822,0.40958278547627075,0.006285839831098818,0.5841313746926304,0.0
s03T1822,0.4724436029911854,0.0,0.5275563970088146,0.0
s04T1822,0.5322897703428783,0.011922821271169332,0.4557874083859525,0.0
s05T1822,0.6823974126739428,0.010566046625514558,0.3070365407005427,0.0
s06T1822,0.8389248925607841,0.003142530096302643,0.15793257734291327,0.0
