,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
s02T1622,0.2826437787388262,0.0,8.688905533189232,0.0,0.0,0.16679366745118804,0.0,0.0,0.0,1.877008428894064,0.0,0.0,0.021409483690103894,0.0,0.0,1.484470055726291,0.0,0.0,0.0,0.0,0.1071774411941318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6149701038879891,1.3689775665776136,0.0,0.0
s03T1622,1.014916326547101,0.0,12.00799975622589,0.0,0.0,0.34530519197245335,0.0,0.0,0.0,2.864614682462865,0.0,0.0,0.456731434809946,0.0,0.09297416272244112,2.35571319198549,0.35348393455748983,0.01976558072415036,0.0,0.0,0.348767154139052,0.0,0.0,0.5708857792866939,0.03506929165018664,0.0,0.6535914913535724,0.0,0.0,0.0,0.12581755558492386,0.0,0.0,0.0,2.221223951596682,3.233235415301064,0.0,0.0
s04T1622,1.768262566655657,0.0,18.124494078247672,0.0,0.0,0.24317376046119293,0.0,0.0,0.0,2.655895276097293,0.0,0.0,0.26660803197705435,0.0,0.0,4.382064518808282,0.6588688644277931,0.02372715044296306,0.0,0.0,0.043898735875125876,0.0,0.0,1.082971821845169,0.03163285603423157,0.0,0.9890151612473844,0.0,0.0,0.0,0.0,0.0,0.010535339135652482,0.0,1.6825592966658367,2.1977295378180823,0.0,0.0
s05T1622,3.5179310427334314,0.0,33.00827443467206,0.0,0.0,0.5446256988747409,0.0,0.0,0.0,5.364827188450783,0.12336879400820301,0.0,0.5039748870181132,0.0,0.0,3.775919122397227,0.6204497999954982,0.0,0.0,0.0,1.404719340086715,0.0,0.0,1.5255727389629163,0.0,0.0,0.4353423372497876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9919136023786823,5.038432702357908,0.0,0.0
s06T1622,1.4626537478252075,0.0,11.942220898940372,0.0,0.0,0.15278046256527172,0.0,0.0,0.0,1.650904017398181,0.21118384386161881,0.0,1.1480524090206583,0.0,0.0,1.5444304222366434,0.7736200660884468,0.013057871169177181,0.0,0.0,1.3664090113516245,0.0,0.0,0.7995771538225261,0.031000438797500987,0.04631143455988892,1.1394522790318369,0.0,0.0,0.8565441771616483,0.5794675147968898,0.0,0.0016765250567518874,0.0,3.14915155781979,4.091440552457473,0.0,0.0
s07T1622,0.5152194636539901,0.0,2.532001914116261,0.0,0.0,0.0,0.0,0.0,0.0,0.41179439822713365,0.04483497328680965,0.0,0.6192240614631344,0.0,0.0,0.1952435710202977,0.6768049093995679,0.0,0.0,0.0,0.0,0.0,0.0,0.4333434116047618,0.03086394949742362,0.05102042261418654,0.7566879744379011,0.0,0.0,0.16457990149628438,0.0,0.004883862034781662,0.008501024541900368,0.004608781144165727,1.6127806701286744,1.1694231068767142,0.0,0.0
s08T1622,0.0,8.725996873003318,0.0,0.4332632336188009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9402951551234726,0.0,0.3014756662742096,0.003258198946618221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3507034385635733,0.0,0.0032457134650069382,0.0,6.5851619041689755,0.0,0.2926113217472969,0.0,0.0454055912445784,0.0,0.0006821284234269305,0.0,0.0,1.9423065326042415,0.0
s09T1622,0.0,6.642289386027623,0.024273985316666687,0.29975317007593705,0.036237980582002394,0.0,3.8899517061526057e-05,0.10134270389559118,0.3959062450435009,0.01704944267786328,0.0,2.692916581871851,0.0,0.0,0.938836712938126,0.0,0.2831336049289153,0.0,0.0,0.0,0.14309935721797093,0.0,0.0,0.8152656373555427,0.0,0.0062744973780966525,0.009114000336096603,3.610321911876582,0.0,0.3006096412543142,0.0,0.19191208573254784,0.0,0.0,0.0,0.0,2.1260783972408963,0.0
s10T1622,0.0,0.38016520238297347,0.6555959439967808,0.14184869629448255,0.13860494117714844,0.0,0.0,0.8342332755654984,5.886362327041619,0.0,0.0,3.151545369797933,0.016039373857173096,0.0,0.5721977837374506,0.0,0.4660716059216815,1.0724387779195312,0.0,0.0,0.4723832455082909,0.0,0.0,3.675299334725962,0.0,0.0,0.0,2.9331270880784293,0.0,0.2392293614016409,0.0,0.21481798589360238,0.0,0.0,0.0,0.0,2.167734852144718,0.0
s11T1622,8.019794760401426,0.0,1.6544251214379826,1.252374686478514,0.0,0.0,0.0,1.0651730683217138,2.1110258710500096,0.0,0.0,12.187425179580009,0.1335824682464095,0.0,0.5338823423127623,0.0,3.585400305995854,0.9223333495803354,0.02809121436221186,0.0,5.220919612563589,0.0,0.0,4.819115523409618,0.0,0.0,0.08533031033845798,1.2893822052157111,0.0,0.9286803322835396,0.0,0.28410816106790365,0.0,0.0,0.0,0.0,3.9033364107340045,0.0
s12T1622,8.193861520560906,0.21256737132398776,1.6931354768036033,0.0,0.0,0.0,0.0,0.9885572222885997,1.3015224157743506,0.0,0.013789787042335166,0.8432103092898651,0.0,0.0,0.6686419936609265,0.0,3.6489186614229587,1.4686012849728873,0.0,0.0,2.8373427856808733,0.002079833511611571,0.0,4.746139393060377,0.0,0.0,0.0,0.02414365030809217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1209111258215954,0.0
s13T1622,4.152586961883148,0.8476518646018996,1.5212402492745654,0.0,0.0,0.0,0.0,1.2165450278054502,2.786391308109533,0.02430473144760652,0.045161489619943825,0.3164985712664312,0.0,0.0,0.26971931066642924,0.0,2.42471374184482,2.95748678819062,0.0,0.0,1.1276223146114746,0.0,0.0,4.953423342619738,0.0,0.0,0.0,0.46626430615552694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14662037308376488,0.0
s14T1622,13.063569878570082,0.2564330484369231,3.3328674867819394,0.0,0.0,0.0,0.0,1.0636017972559118,1.5375710108999505,0.7050261279765895,0.4882044633802423,0.0,0.23485965487441868,0.0,0.0,0.0,4.8279928379492,5.057687707133178,0.0,0.0,3.7077515159712684,0.0,0.0,7.629004571551677,0.0,0.0,0.0,0.5238405174922482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s15T1622,7.249908065994828,0.2796686816201755,7.117136234050872,0.0,0.0,0.0,0.0,0.3714161681725285,0.0,1.9018239803634038,0.6476929641739922,0.0,0.6644434112825047,0.0,0.0,0.573254916091374,2.544516949863458,2.5726262705809955,0.0,0.0,2.4805367177931164,0.0,0.0,4.863488053505181,0.0,0.0,0.4883432987813999,0.0,0.0,0.08077710594459535,0.0,0.0,0.0,0.0,1.2465941672683836,1.0987411366385291,0.0,0.0
s02M1722,0.3446601108143288,0.0,7.416160213348209,0.0,0.0,0.5337852160241444,0.0,0.0,0.0,2.476027563948776,0.0,0.005570426881568935,0.23176856957415604,0.0,0.0,3.0547947126143296,0.2953197087008206,0.18616572593359637,0.07269523862383187,0.0,0.20428223970420165,0.0,0.0,0.47886656607916794,0.0,0.0,0.7644151669289332,0.015806742877784552,0.0,0.0,0.0,0.0,0.0,0.0,1.7192670681413946,1.5287586928068528,0.006080892413995721,0.0
s03M1722,0.9037126139501033,0.0,11.734668876312867,0.0,0.0,0.5519522466370881,0.0,0.0,0.0,3.2068036732480083,0.009455192686162645,0.0,0.24215613355114654,0.0,0.0,3.1155501692573075,0.2536882762268952,0.21499271936714615,0.49900345160573606,0.0,0.4338975907510885,0.0,0.0,0.45476864418117957,0.0,0.0,0.5220006321962535,0.0,0.0,0.0,0.15442783969617613,0.0,0.0,0.0,1.28010908120511,2.2424794647003803,0.0,0.0
s04M1722,1.6048702192349662,0.0,11.714299946884953,0.0,0.0,0.2842340402272495,0.0,0.0,0.0,1.6202679529590955,0.04847804133646136,0.0,0.1854470990996451,0.0,0.0,1.3321194919421047,0.31129179427673587,0.4457326113149913,0.39559315653901517,0.0,0.1592139535805587,0.0,0.0,0.5966626689056483,0.0,0.0,0.40137467451697,0.0,0.0,0.0,0.1448342108821498,0.0,0.0,0.0,0.8980676300334728,1.5822810685929085,0.0,0.0
