,0,1,2,3,4,5,6,7,8,9,10
s02T1622,0.4215822750729795,0.0,0.0,0.0,0.0,0.30659629954327444,0.0,0.0,0.26385264164295524,0.0,0.007968783740790736
s03T1622,0.49332276766922173,0.0,0.00509404070344943,0.0,0.0,0.27663025982810097,0.0,0.014421716533839073,0.1921559791141936,0.0,0.01837523615119517
s04T1622,0.38901412440337724,0.0,0.013058874478070083,0.0,0.0,0.3872476915091312,0.0,0.036159205900313615,0.17124687495969562,0.0,0.003273228749412206
s05T1622,0.4594033192594521,0.0,0.0,0.0,0.0,0.291354719872238,0.0,0.02867280519674128,0.195292087524241,0.0,0.02527706814732773
s06T1622,0.5181541661525527,0.0,0.0679762837280891,0.0,0.0,0.26350819672950654,0.0,0.034110031689690644,0.07281148067172492,0.0035281150493809677,0.03991172597905513
s07T1622,0.43988151000106956,0.0,0.0918037240226602,0.0,0.0,0.29637457107249837,0.0,0.08780783933796096,0.04574099431942131,0.0071959914408763915,0.0311953698055133
s08T1622,0.0,0.6889950894237965,0.0170590475997351,0.01955155424725813,0.0,0.0,0.0,0.0,0.0,0.2743943087292102,0.0
s09T1622,0.0,0.6144842794536212,0.02183936699728847,0.02197780054758296,0.0003990219416961282,0.0,0.003286114446301042,0.0022677299110693424,0.0015248139557328176,0.334220872746708,0.0
s10T1622,0.0,0.17959746784928,0.03826627306153922,0.0,0.0,0.0,0.0,0.19138063323459673,0.022008756269363886,0.5650755044456488,0.0036713651395712667
s11T1622,0.0,0.01379749265504732,0.06364650189782953,0.026570155988871767,0.0,0.0,0.0,0.16610795923966973,0.013905991929261006,0.7148910452828287,0.0010808530064919468
s12T1622,0.0,0.0,0.02660872739852066,0.0,0.0,0.004435543022619008,0.0,0.5363460024461134,0.049387026757121005,0.3685261420053787,0.014696558370247295
s13T1622,0.0,0.07379656098571281,0.031140792737384407,0.0,0.0,0.003948947012043276,0.0,0.4628708387927139,0.08599290374315789,0.321897530871718,0.02035242585726971
s14T1622,0.0,0.0037997868934654708,0.03060814566108532,0.0,0.0,0.049861068589595665,0.0,0.44564427051319494,0.14309752238154616,0.255466693104311,0.07152251285680138
