,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
s02T1622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.374117344675223,0.0,0.0,0.29452169960301205,0.0,0.0,3.2139904724963007,0.0,0.0,4.223939339768105,0.0,0.08607221079447375,0.0,0.0,1.3794052602356737,0.0,0.0,0.0,0.0,0.0,0.05167073524993355,0.0,0.0,0.0,0.10230072991572277,0.27659161436033614,0.8911195028729065,0.0065600550834557445,0.0,0.0,1.135767589116582,0.0,0.0,0.0,0.0,0.0,0.0,0.009782410201026005,0.0,0.0,0.01100126675108653,0.0,0.0,0.0,0.05508928828905782,0.11214163944432849,0.37280217880988614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0282907736305751,0.0,0.0,0.001662368258372037,0.0,0.0,0.0,0.0,0.03240412035935212,0.0,0.0,0.38617052213011166,0.0,1.3736044291763914,0.0,0.0,0.0,0.0,0.48531315467220487,3.817833848911707,0.034022329301387606
s03T1622,0.48090330492017574,0.0,0.0,0.0,0.0,0.061146357830514426,0.0,0.0,0.0,3.7491025978436445,0.024620246045664575,0.0,0.6596245489108523,0.0,0.0,4.168643265764308,0.009079623718595345,0.0,6.940800599807584,0.0,0.32961260624420824,0.0,0.06006820775708243,3.3465001405274957,0.0,0.0024882283570456173,0.0,0.0,0.1659044988515878,0.3394560401591788,0.0,0.0,0.0,0.2051675611409173,0.7050600343795438,0.15273795618116048,0.0,0.0,0.0,2.8954348128671987,0.0,0.0,0.0,0.003823319746317174,0.0,0.0,0.3983908935460589,0.0,0.0,0.117587843819731,0.0,0.0,0.0,0.134014549693171,0.43325358567488137,0.7700514588694599,0.1519995217216676,0.0,0.0,0.0,0.0,0.0,0.26695893394513326,0.0,0.0,0.0,0.0,0.0,0.0,0.34948102118485397,0.0,0.0,0.097531728153094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06185134857706944,0.0,0.0,0.10159462940742402,0.0014419118562456843,0.0,0.621525416674207,0.0,9.021868591073543,0.0,0.0,0.0,0.0,0.3568588556668408,9.769256766392209,0.51894040107376
s04T1622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3954852239863698,0.0,0.0,0.7424509357060934,0.0,0.0,5.857598095070513,0.0014317385379145598,0.0,11.183778621468171,0.0,0.15097803534687027,0.0,0.0,4.70646113533977,0.0,0.024174168593171827,0.0,0.0,0.4664550036053663,0.10006517757147303,0.004159166824565397,0.0,0.0,0.27223034643399036,0.6821805198997482,0.6126277391069129,0.0,0.0,0.0,1.3403073932534124,0.0,0.0,0.0,0.0,0.0,0.0,0.29376081312977587,0.0757256148836349,0.0,0.15585164688120987,0.04580419997865447,0.0,0.0,0.1620369954705964,0.496351933869835,0.548844466437359,0.3248700956322068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003567376919065825,0.0,0.013388158912083567,0.0,0.0,0.0,0.0,0.0,1.7179043710320159,0.0,3.4655071314325374,0.0,0.0,0.0,0.0,1.290950751679109,9.48844833199503,1.2348017102647424
s05T1622,1.6755844362406727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.615441337092241,0.3525047049311827,0.0,0.9356673095513233,0.0,0.0,11.869862321276283,0.0,0.07394833529100885,10.860443084167292,0.0,1.002953246730949,0.0,0.0,5.787289734217583,0.0,0.020059064578377365,0.0,0.0,0.38794657212779815,0.5049184711162024,0.0,0.0,0.0,0.28575041740780577,1.7050195387420322,0.012114659095081377,0.0,0.0,0.0,4.595535459939618,0.0,0.0,0.0,0.0,0.0,0.0,0.05174748032319486,0.16588049687480327,0.0,0.387903655487846,0.04428887268427087,0.0,0.0,0.617865230940765,0.5488215987604743,1.3282971359994955,0.0,0.0,0.0,0.0,0.0,0.0,0.24425536208827967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25481482440398184,0.0,2.7157433298835527,0.08246349297488886,0.0,0.0,0.0,0.0,0.19114781739798523,0.0,0.0,1.2603401747637903,0.0,11.864878395235328,0.0,0.0,0.0,0.0,1.1663341608410003,15.954967156529367,2.0365292373177524
s06T1622,0.0,0.0,0.0,0.013007806568466885,0.0,0.532026908326265,0.0,0.013463676598081308,0.17849307250292862,2.0857506657632046,0.294602012526602,0.0,0.9628820544347274,0.5801975222008886,0.0,3.5787270137016476,0.009658135307951173,0.21201686068258108,5.067526301713363,0.0,1.0308217481585193,0.0,0.03904378120133683,4.804622053926737,0.02631506247152162,0.03573860764754024,0.0,0.0017532155490343568,0.0,0.6620023268821966,0.0,0.0,0.0,0.1913246428220594,0.8140358389954575,0.3198034514941645,0.0,0.0,0.0,3.8958189053635968,0.0,0.0,0.0,0.013321975816142131,0.0,0.0,0.08503345920751003,0.040836995191823676,0.0,0.13921160171342636,0.027545207335911443,0.0,0.0,0.24086116907812916,1.0386626509515289,0.5091070089201993,0.0,0.6905346692111602,0.0,0.0,0.0,0.0,0.8537401446186966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08844780590567079,0.12633235306213844,0.0,0.5478011140345811,0.00735629172827491,0.0,0.06310101309252909,0.0,0.0,0.04387424094509859,0.3933057983035794,0.0,0.43250670948752334,0.0,21.141731375324163,0.0,0.0,0.0,0.0,0.7258632910873348,12.435862394743802,0.4779926031826566
s07T1622,0.0,0.007209437776864859,0.0,0.008643472074078909,0.0,0.0,0.0,0.0,0.03397167988156305,0.508919561296543,0.03454223887371429,0.0,0.7073674105760007,0.32056031979136623,0.0,0.39282533356501115,0.006313510708871281,0.0,0.811006560388248,0.0,0.09356504909054622,0.0,0.0,3.029172675207985,0.011836414042814507,0.019146608194725547,0.0,0.03286268692100104,0.01602596169643159,0.4004993425293187,0.0,0.006297352266441121,0.0,0.05953181169192553,0.1020376634957291,0.9947836429434964,0.0,0.0,0.0,0.9730476361561158,0.021979968175475862,0.0,0.014979705850875732,0.00786676990528943,0.0,0.0,0.04226369046514826,0.0,0.0,0.039993272012170136,0.023096398444373115,0.08730195669093485,0.0,0.020550610241670198,0.16209766548123516,0.033614657365344844,0.0,0.09338102441515064,0.0,0.0,0.0,0.0,0.3194911405063519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10527411990435748,0.0,0.0,0.04041318001997322,0.0,0.0,0.0,0.0,0.017090789203922884,0.0,0.02659752926033101,0.0,0.1898413817232888,0.0,0.0,0.0,0.0,0.0,0.0,0.00792377961899291,0.0,0.2549590865570274,5.396550943691956,0.06257881026598865
s08T1622,0.0,18.83113121151856,2.8882047712010412,0.4269309775618753,0.0,0.0,0.0,0.0,0.0,0.00015712639150482023,0.0,2.2873135187093783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04276765500763449,0.0,0.06148380378198795,0.0,0.0,0.0,0.08901031010557107,0.28614912835004425,0.0,1.2539820003202238,0.0,3.8388726540157156,0.0,0.0,0.0,0.0,0.0,0.0,0.004573397723162459,0.0,0.0,2.9095770838495545,0.0,0.0,0.04086322664263848,0.05514871717053464,0.0,0.0,0.0,0.0,1.36262829965231,0.015786834286622923,0.03647386725773984,0.0,0.9443354591425174,0.0,0.008364233235618064,0.05716286705766584,0.0,0.16327078087097413,0.0,3.973512904212742,0.0,0.958329038696721,1.9456428749069246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03067400978743859,0.0,0.0,0.0,0.0,0.0,0.0,0.09523130262318504,1.8662135951722534,0.0,0.0,0.0
s09T1622,0.0,7.4339119149761235,0.0,0.7556663868018386,0.0,0.0,0.0,0.0,0.0,0.02010178189714548,0.0,4.424033256667079,0.0014619611637404586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10079818181057307,0.0,0.0,0.0,0.11510308483915845,0.0,0.0,0.0,0.0373499681433699,0.50559087562795,0.0,0.172136139905304,0.0,0.0,0.0,0.0,0.20554563114413152,6.615745405130206e-05,0.6694851234471958,0.0,3.8980114703213213,0.0,0.0,0.006776311586995247,0.004287954651843926,0.0,0.0,0.13860393434875398,0.0,0.1150101372637972,3.2287903566125706,0.02012539317675962,0.0,0.11546755805849432,0.12476438199566307,0.0,0.0,0.35290278416008264,0.0,0.5657979870699116,0.04615400561114107,0.0,0.0,0.5193834136229284,0.0,0.0,0.0,0.0,0.343682037345579,0.0,0.6626106874568297,0.0,2.474296353843316,0.17251470746750913,0.0,0.0,0.2429660127078277,0.0,0.5140599616481235,0.0024894372706911064,0.0,0.0,0.0,0.0,0.11707322178442214,0.0,0.0,0.0,0.0,0.0,0.0,0.873701575357198,4.437463183501893,0.0,0.06770393525401928,0.7073027066504336
s10T1622,0.0,0.807279869976919,1.9152348438710347,0.5719039504234052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.433037326676162,0.0,0.0,0.0,0.0,0.0,0.2557133604448014,0.0,0.0033090253799386887,0.4524081406401797,0.0,0.0,0.0,2.264559961732528,0.0,0.009479865764584096,0.0,0.17033991207958837,0.5169873711936054,0.0,0.22269019692292902,0.008998515957803745,0.0,0.0,0.028108184239913677,0.7039014092588934,0.0,0.01763459527347048,0.0,3.4891714592407914,0.0,0.0,0.0,0.012406947301468527,0.0,0.0,0.839864141227158,0.0,0.0,1.2390964197243977,0.023519871086191607,0.0,0.7322576439953128,0.22427267369733306,0.0,0.0,3.0130305420504446,0.0,0.3870490970797616,0.009217190263850742,0.0,0.0,0.2622142972605302,0.0,0.0,0.0,0.0,0.11234672575532188,0.0,0.311087216288142,0.0,2.822322311024103,0.08713853122142282,0.0,0.0,0.5143155168923536,0.0,7.220810905539346,0.012471892575532115,0.0,0.0,0.0,0.3891965290124001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.524245492392794,3.3769059911172503,0.0,0.42926188494421674,3.576234672194802
s11T1622,0.0,7.921619471882592,0.0,2.8302766118132365,0.0,0.0,0.0,0.0,0.0,0.079290844657139,0.10500237172053775,22.835244395048473,0.0,0.2186026259223297,0.0,0.0,0.0,0.0,0.0,0.0,2.9722154307573585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09184287739373627,1.2956816267081264,0.0,0.6220755875849322,0.0,0.0,0.0,0.0,0.0,0.02553945767293584,0.0,0.0,5.203435537711371,0.0,0.0,0.06038243881764095,0.0061690823771519045,0.0,0.0,1.5687463787937517,0.0,1.6702827685888806,0.31386667966676396,0.0,0.02267638706095855,0.07582147532878147,0.5310619372331827,0.0,0.0,1.9316199780915457,0.7461537080893169,1.0592447620822953,0.0,0.0,0.035494964533860834,1.3734409256601565,0.0,0.02754295468554156,0.6502293019357924,0.0,0.0,0.0,0.0,0.0,2.3796626841291,0.0,0.3413456375033054,0.21339262578310242,2.0978521707299818,1.0435625819856,3.0575113091163724,0.04125372606351129,0.0,0.0,0.0,0.09109858400360835,0.0,0.0,0.0,0.0,0.0,0.5823145244964274,0.0,2.472057576708907,8.20496806194372,0.0,0.22351553184332257,6.526126199702722
