,0,1,2,3,4,5,6,7
s02T1622,5.474035489056175,0.0,0.0,0.01920087610321944,0.0,2.5850367534088696,1.6474373456600888,0.0
s03T1622,8.08984621558295,0.0,0.13107695267134747,0.2522073709875181,0.0,4.793902509450185,3.8723675916129454,0.0
s04T1622,7.291786951145168,0.0,0.2957410722477602,0.0,0.0,6.780388094514732,3.1934459497725496,0.0
s05T1622,14.742788488921555,0.0,0.08446296973474889,0.7121533942122735,0.0,9.1287936994049,6.539537154303259,0.0
s06T1622,3.454624402031949,0.0,1.2247331314892551,0.7697814319143964,0.0,5.278133154112822,4.62277263822945,0.0
s07T1622,0.6038871704458664,0.0,0.49617403679494665,0.17125822584481606,0.0,1.7435872883521872,1.134133140081988,0.08238414636993027
s08T1622,0.0,11.575290632036882,0.34313948374966524,0.012360770508389149,0.0,0.004633694659172975,0.0,0.27891054681008987
s09T1622,0.0449547113447809,8.195229811858983,0.3312716831198131,0.00686304246580074,0.0,0.06415390078464177,0.0,0.4955498873551749
s10T1622,0.4008394839622225,4.664121153028837,0.7191343889094163,0.10675355880631603,0.0,0.48502579374413535,0.0,1.6104179715679365
s11T1622,0.0005594859136918075,6.239252081718534,1.661991464942279,0.25077397990454836,0.0,1.0978792397232895,0.0,3.426264118434302
s12T1622,0.6505031623192034,0.9403049737274121,0.48557341311819996,0.10016328628386302,0.0,0.6632527504868454,0.0,1.9731840269081664
s13T1622,1.5635652531251754,1.5079478211338304,0.5005346496671945,0.16102947966079692,0.0,0.5759618254956185,0.0,1.7345612321626098
s14T1622,4.311482518823872,1.1731111047683846,0.7445715402454347,1.028614054535773,0.0,1.511300783162735,0.0,2.387668292423694
s15T1622,6.28562402813735,0.27619283667814776,0.8379747063534352,1.3996365231135848,0.0,3.061669519572708,0.7700598270946686,0.9450755884996108
s02M1722,7.684013377526188,0.0,0.0,0.09857994232827486,0.0,4.2180954520031,2.0550795324088833,0.0
s03M1722,9.705585337992245,0.0,0.01951263008976593,0.19783854811267382,0.0,4.7953752556265625,2.932756107689831,0.0
s04M1722,4.611921650497636,0.0,0.08777544087301888,0.23398513006150837,0.0,3.2007339123534795,2.2906490549933394,0.0
s05M1722,4.0190174063787865,0.0,0.34596554618102493,0.15615396021764966,0.0,5.933638099071658,2.853313521746649,0.04263963290785815
s06M1722,1.361720172614801,0.0,0.30180109005716776,0.18790172168756597,0.0,2.8925606194026354,1.8764456447611115,0.02832605904962324
