,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
s02T1622,0.0,0.0,0.0,0.0,0.0,0.22558768925375663,0.0,0.0,0.0,1.915277102101225,0.0,0.0,0.040329698569693526,0.0,0.0,2.4511840646580736,0.0,0.7875758065407468,2.585984152272159,0.0,0.054570201974968376,0.0,0.0,0.4051398800826065,0.0,0.0,0.047993819416880856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7271322338622815,1.0414865674115752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0595263221770232,0.0,0.0,0.012810823415381947,0.0,0.024158115858729193,0.12594042881274206,0.009146253373928142,1.1809174368872661,0.0,0.002305050643004242
s03T1622,0.0,0.0,0.0,0.0,0.0,0.4593533556876089,0.0,0.0,0.0,2.874690111412913,0.0,0.0,0.36231807141223776,0.0,0.0,3.2747459772009586,0.0,2.6426917846568903,4.443061636590969,0.0,0.2488483823259249,0.0,0.0,1.4242211532835736,0.0,0.0,0.35533918133280284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.030211337565257,1.9516473152930838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027993385209289603,0.0,0.04066601867377497,0.9645037829743764,0.0,0.0,0.08592545410876078,0.0,0.07888415024527273,0.7737841580178988,0.08132427389448667,3.7292005833617403,0.0,0.0
s04T1622,0.0,0.0,0.0,0.0,0.0,0.33233801159347354,0.0,0.020517208192598724,0.0,2.7563615135131587,0.0,0.0,0.17181190857566714,0.0,0.0,4.616802204496192,0.0,0.5630473566095037,8.174927236548664,0.0,0.025497893699592575,0.0,0.23276797900666496,2.4576680129424693,0.0,0.024334671668266018,0.5556959832840136,0.0,0.0,0.0,0.0024774390910508705,0.0,0.0,0.0,1.5745930397261585,2.157344836933517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022694538933086258,2.651789050209867,0.0,0.0,0.08541055718301567,0.0,0.02136015844258722,0.31462084606233526,0.0,5.27790180606271,0.0,0.0
s05T1622,0.0,0.0,0.0,0.0,0.0,0.7986386233253021,0.0,0.09740011439965422,0.0,5.256096928036664,0.21413584610497993,0.0,0.39790082215062894,0.0,0.0,9.053214462084155,0.0,4.3554612880809636,6.905024218405333,0.0,0.9239557909852197,0.0,0.0,3.5430980637484892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.691394583159334,2.627165060114361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4420443529700795,0.0,0.0,0.24730460556241196,0.0,0.06374443297243952,0.9043370955747732,0.9543895304646849,6.4227663330281075,0.0,0.13504240381323324
s06T1622,0.0,0.0,0.0,0.0,0.0,0.2583267904985139,0.0,0.0,0.0,1.568577517224548,0.23399499787133932,0.0,0.8754127641801516,0.0,0.0,2.7496886375986556,0.0,3.292510599703656,3.14993526692775,0.0,1.052884895650766,0.0,0.0,1.6251545504215057,0.0,0.025408067184785346,0.2116907291220397,0.0,0.0,0.6606339399755287,0.0,0.0,0.07930357315779558,0.0,2.6181939118729174,2.6127612108286815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02673240200436559,1.3961292537439658,0.0,0.0,0.13485351500674223,0.0,0.29641178900686743,1.72697183746963,0.19803802790856567,5.752801801035765,0.0,0.1506536982280958
s07T1622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37034763935000903,0.04289895928478683,0.0,0.3584146863045485,0.0,0.0,0.304159997401311,0.0,0.03705022664988939,0.5632373274118838,0.0,0.0,0.0,0.12158750385167114,0.775587059284609,0.0,0.04254330043491435,0.06545111762218539,0.0,0.0,0.0,0.0,0.003917569555106181,0.04891462233236086,0.0,1.2194839062348308,1.5179132777457747,0.0,0.0,0.0,0.0,0.0,0.043434205499342654,0.0,0.0,0.0,0.01408811981138166,0.04324859575793394,0.0015278156461035854,0.0,0.04067021130276418,0.0,0.035266619442675146,0.0,0.0,3.823221057576556,0.0,0.17222534161250694
s08T1622,0.0,0.7291242529181625,0.0,0.080001806979644,0.0,0.0,0.0,0.0018494760290049825,0.0,0.0,0.0,6.630811861082366,0.0,0.06015859946953094,0.2299059239072565,0.0,0.0,0.0,0.0,0.00195803134625735,0.0,0.0,0.0,0.029125811075353128,0.0,0.0,0.0,4.4265560802746755,0.018432013092280274,0.1861092863544747,0.0,0.0,0.0,0.0,0.0,0.0,0.3895639509980075,0.1675568952153665,1.1198938485446361,0.0,5.057042681396832,0.0,0.0,0.07401844601713595,0.0,0.0,0.0,0.0,0.0,0.0,4.125855620623882,0.0,0.0,0.2689249473178121,0.0,0.0,0.09630136748511409
s09T1622,0.0,4.219058349184674,0.0,0.12294957955770718,0.022181061836755913,0.0,0.0,0.13650196386739574,0.4020380290745545,0.01653954051635455,0.0,3.1681453363233127,0.0,0.0,0.71887394452004,0.0,0.0,0.0,0.0,0.00015662541243251026,0.1518430617579301,0.001417993488221508,0.0,0.8044022132760832,0.15163960531416898,0.0,0.0,2.4832642526618787,0.020063289856275,0.2863257320243316,0.0,0.1434374690047629,0.0,0.0,0.0,0.0,0.10354739334136032,0.03312238201508057,0.01214598698160588,0.0,5.009868739963106,0.0,1.5951287630871822,0.2596077731002482,0.0,0.0,0.0,0.0,0.0,0.0,3.725799604062376,0.0,0.0,0.41841580615947216,0.0,0.0,0.6069096166892034
s10T1622,0.0,9.174505060759438,0.0,0.0,0.0,0.0,0.0005301571257431508,0.6666153114199368,6.678320822026371,0.020513672598759008,0.0,1.603325631843156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2936446551635577,0.005608173844538556,0.0,3.753290648475894,2.49672539711554,0.0,0.0,1.6163847060653067,0.12281483827894871,0.5256988004956975,0.0,0.21806156537432445,0.0,0.0,0.0,0.0,0.8680839751463238,0.0,0.0,0.0,4.686943027976426,0.0,0.466441550903339,0.276468676014718,0.0,0.0,0.0,0.0,0.0,0.0,0.7971907515246992,0.0,0.0,2.5346341065698534,0.0,0.3855819387447565,0.7938575050800274
s11T1622,0.0,27.763210007098717,0.0,0.0,0.04824264013088765,0.0,0.0,1.7513673391292446,2.8956736566940076,0.10333012444457909,0.0,7.017750338700349,0.0,0.007067361495308358,2.0099545621919934,0.0,0.0,0.0,0.0,0.0,3.802287691051794,0.005825445843345545,0.0,7.332948709532859,0.0,0.0,0.0,1.1594859648212563,0.32707222192914304,1.3340274216863608,0.0,0.5622795414209206,0.0,0.0,0.0,0.0,0.13097521338410248,0.0,0.0,0.0,7.730063268908848,0.0,0.8316189000884726,0.29897996080613637,0.0,0.0,0.0,0.0,0.0,0.6601479640211527,0.0,0.5171987108485807,0.0,1.2488470954285797,0.0,0.0,4.393717505028346
