,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
s02T1622,0.0,0.0,0.9460963246462066,0.0,0.0,0.09198188706374187,0.0,0.0188605004695012,0.0,2.050157021944203,0.0,0.0,0.6060225418393609,0.0,0.0,3.6783896351017695,0.0,0.0,2.524951830125083,0.0,0.056693957457459476,0.0,0.005785754388975276,0.21824766279245597,0.0,0.0037605996610359255,0.2701700455516691,0.050430616464907804,0.002594966048650604,0.09472053958606044,0.0,0.0,0.0,0.0,0.020937224362568257,0.0,0.0,0.0,0.0,2.1645604404118046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08977973560313554,0.061899662837167885,0.0023244691105433054,0.4089655469139993,0.0,0.0,0.0,0.0,0.0,0.0,0.057269028399117,0.0,0.0,0.0,0.6755333558063457,0.0,0.0,0.0,0.0,0.0
s03T1622,0.0,0.0,0.0,0.0,0.0,0.4679180642741584,0.0,0.06342553315074224,0.0,3.09631861499537,0.021736206281060655,0.0,1.388899744960069,0.0,0.0,4.885223259003353,0.0,0.0,4.297615324432603,0.0,0.2657420573012572,0.0,0.1674816932308697,1.0539544986827103,0.0,0.006006565232803689,0.6715380579546109,0.15018161990806173,0.5944849069837509,0.4038079465247967,0.0,0.0,0.0,0.0,0.21319270112576902,0.0,0.0,0.0,0.0,5.340404485971957,0.0,0.0,0.0,0.0,0.0,0.019381697655659343,0.0,0.0,0.0,0.0,0.0,0.0,0.5205169902716772,0.1524154231435325,0.21532164878960783,0.8425403606480673,0.014719465789937027,0.0,0.0,0.0,0.0,0.0,0.4218254513980497,0.0,0.0,0.0,1.975051431274839,0.0,0.0,0.0,0.0,0.0
s04T1622,0.0,0.0,3.380199190592655,0.0,0.0,0.4175606162229204,0.0,0.05456831800818271,0.0,2.9078080691976305,0.0,0.0,1.5027828301213817,0.0,0.0,7.094437718632043,0.0,0.0,8.297800659479073,0.0,0.0655406404143794,0.0,0.2005626525633613,1.958817564948016,0.0,0.025384957116184804,1.2504058770361008,0.039030277488482444,1.06148196821981,0.3054847697009732,0.0,0.0,0.0,0.007930066631560808,0.04383851868142633,0.0,0.0,0.0,0.0,3.555726717200168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22018878963952193,0.11175490368651705,0.10011591160072084,0.6474809150278569,0.0,0.0,0.0,0.0,0.0,0.0,0.17532888062926355,0.0,0.0,0.0,2.862406277063823,0.0,0.0,0.0,0.0,0.0
s05T1622,0.40046153191314504,0.0,0.0,0.0,0.0,0.19116914528085982,0.0,0.29049369767537453,0.0,5.533275957009164,0.3325364369904071,0.0,2.367532172647144,0.0,0.0,13.483681682117425,0.0,0.0,6.251920133029623,0.0,0.9455067607731261,0.0,0.13407455715600178,3.033810537633705,0.0,0.02959209882073094,0.5352590136645152,0.24612574651047386,0.9644808860328874,0.615462653074366,0.0,0.0,0.0,0.0,0.875403442796211,0.0,0.0,0.0,0.0,6.915510146439162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007725350187974207,0.0,0.0,0.01577143277372493,0.0,0.6823587939006515,0.7315865086600774,0.10367738519749573,1.459640797888229,0.0,0.0,0.22516352470764955,0.0,0.0,0.0,0.49585890641478536,0.0,0.0,0.7512953183631261,3.24791280780773,0.0,0.0,0.0,0.0,0.09529518568620284
s06T1622,0.0,0.0,0.34375239046105416,0.0,0.0,0.1742780088141215,0.0,0.1467089876513646,0.0,1.5756228559146563,0.22348055203698183,0.0,1.684978996431931,0.0,0.0,4.277728035073264,0.0,0.10670352674765814,3.0170336063631313,0.0,0.9939817153874974,0.0,0.15933476146893003,1.1065286060825255,0.0,0.0410411496415532,0.4476503201720231,0.1397705288866528,0.7085126476092484,0.8194814606593358,0.0,0.0,0.006149476262184802,0.0,0.46162707349111864,0.0,0.0,0.0,0.0,6.7008622761157985,0.0,0.0,0.0,0.0,0.15009701526003572,0.012945683756289546,0.0,0.0,0.0,0.0,0.0,0.0,1.268478428354708,0.25206148323221234,0.9255704326716649,0.4901790127853548,0.14663500920809341,0.4466798835557977,0.09561780518362485,0.0,0.0,0.0,1.0750508407310873,0.0,0.0,0.3172609107236138,3.202928536689395,0.0,0.0,0.0,0.0,0.0
s07T1622,0.0,0.02542966557224647,0.0,0.0,0.0,0.1010755281504446,0.0,0.044419342601957984,0.0,0.3408798144689935,0.030934227946730192,0.005783880358002629,0.6700399239764742,0.0,0.0,0.5938655564340812,0.0,0.08111676914020068,0.5660882253317926,0.0,0.0060724356070252904,0.0,0.03155985305340747,0.4010743367650049,0.0,0.019304280735839438,0.16782543109947448,0.010798062409805216,0.5157863855828333,0.7075547074683767,0.0,0.00605968431590913,0.0,0.0,0.39476719000369215,0.02853206709513915,0.0,0.04042620161729124,0.0,2.131361447645399,0.012707044083363614,0.0356180018486274,0.0,0.0,0.023502929957280413,0.0,0.0,0.0,0.0,0.0,0.009564313839882349,0.0046201069196610805,0.008280381242722165,0.0,0.12059803287057462,0.0038245141874259977,0.009814588817055252,0.12565632972000862,0.013876788189822038,0.0,0.0,0.0,0.44598460937019496,0.0,0.0,0.0,2.313962408174474,0.0,0.0,0.10317768196887692,0.0,0.0
s08T1622,0.0,0.0,0.0,0.20425461987545696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03661567728524305,0.0,0.0,0.0,0.0,0.0,0.0,0.054463643154619906,0.0,0.0,0.0,0.0,0.003956856563465379,0.0,0.0,0.0006437751725389462,0.0,0.0,0.0,0.0,0.0,0.0,1.6594330832644575,0.0,4.353133210634113,0.0,6.39138111171919,0.09049430299438757,0.0,0.0,0.0,0.0,0.0,0.0,3.2699751195001605,0.0,0.0,0.19932668790475877,0.15359332965004405,0.0,0.0,0.0,0.0,2.6892443947912867,0.3676383853563515,0.0,0.0,2.6698206898396553,0.0,0.0,0.0,0.0,0.1655974660450827,0.0,2.508988795135343,0.0
s09T1622,0.0,0.0,0.0,0.5128739818698154,0.01193988137193273,0.0,0.0,0.0,0.39546405156586484,0.010553662057314157,0.0,1.9259274614589055,0.002370898155484134,0.0,0.03239635237862326,0.0,0.3861788153412891,0.0,0.0,0.0,0.18001420455673603,0.0,0.0,0.9195042368135264,0.12203859427679482,0.0,0.0,0.0,0.030917382099630318,0.3606452682324209,0.0,0.1344327095311144,0.0,0.0,0.0,0.0,0.08747877032303591,0.004264900151655181,0.9147607482606303,0.0,4.398536644729069,0.0024797562294026224,0.0,0.3159493860098554,0.0,0.0,0.0,0.11736399646909929,0.0,0.0,3.721020621609094,0.0,0.0,0.2554108110262782,0.1364925340395679,0.0,0.0005307763183225042,0.38467165790360613,0.0,1.3669580458450379,0.11792481286491664,0.011627673110388608,0.0,1.2236534682577977,0.0,0.0,0.0,2.5044128667684844,0.2586197189843326,0.0,0.1861272353787562,0.0
s10T1622,0.0,0.0,0.0,0.05294978073018442,0.042545697866222615,0.0,0.0,0.0,6.888841086565958,0.0,0.0,5.006078660778423,0.011225855195526222,0.0,0.0,0.0,0.7411582376211159,0.0,0.0,0.0031128491092109146,0.5842689186675798,0.0,0.0,4.2392091738278666,2.0996411723600747,0.0,0.0,0.3082235039364252,0.11349384934677798,0.272987493963993,0.0,0.19710217065961108,0.0,0.0,0.0,0.0,1.925085137982826,0.0,0.47302095262565724,0.0,4.165810317508236,0.01343575922669459,0.6435545332927328,0.33590846154945675,0.0,0.0,0.0,0.7479574061184062,0.0,0.0,0.8666572677829314,0.0,0.0,1.3007974136322447,0.27452044926268543,0.0,0.0,3.3913153480853717,0.0,0.6484388813240021,0.0,0.05259719393832796,0.0,0.0,0.0,0.0,0.0,1.9684337782488128,0.1690976361410018,0.0,0.0,0.0
s11T1622,0.0,0.0,0.0,1.2762620301580407,0.06450028022736938,0.0,0.0,0.9619621751585035,2.6905823571478917,0.0682203671892478,0.021140478654014496,14.34497724405121,0.0,0.15884634492346222,0.22043840238873824,0.0,2.684323322056045,0.0,0.0,0.0,3.6491161202215867,0.0,0.0,8.03371085067573,0.0,0.0,0.0,0.0,0.26606461580986007,0.9180655660582082,0.0,0.5395754317469651,0.0,0.0,0.0,0.0,0.25582242985355075,0.0,0.3529316919474738,0.0,6.789737823981404,0.04936085739870674,0.0,0.3304029864700575,0.0,0.0,0.0,1.7598460503088527,0.0,0.0,0.0,0.0,0.0,0.5992615708180152,0.6824158515829295,0.0,0.3855064516955126,2.6410056385519223,0.024214045701372484,2.8635699805759915,0.0,0.1820841179806827,0.06682063729090391,1.6512091265191442,0.0,0.0,0.14216114276992442,3.8791050386010726,0.0,0.0,0.0,0.0
