,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
s02T1622,0.0,0.0,0.21726605941857663,0.0,0.0,0.0,0.0,0.0,0.0,1.8527617978740505,0.0,0.0,0.5386917954821347,0.0,0.0,3.5888142578612117,0.0,0.0,3.1890707158571714,0.059460034129971175,0.09565484296313265,0.0,0.0,0.15994092943651114,0.0,0.0006524852444637887,0.0,0.0,0.0,0.005663871038285948,0.0,0.0,0.03245399792354117,0.0,0.08536263428547318,0.9680635025073999,0.0,0.0,0.0,1.6529802605435187,0.0,0.0,0.0,0.0,0.0,0.0014382269547356119,0.0,0.007482094429737336,0.0,0.023563422156457306,0.0,0.0,0.0,0.061069414986192054,0.0,0.4288773620435764,0.8338298628994825,0.0,0.0,0.0,0.0,0.0,0.005868870048809233,0.0,0.0,0.0,1.1281398308921848,0.0,0.0,4.2808964615821194,0.0,0.0,0.0,0.0,0.0,0.027262455384660666,0.0,0.0,0.0,0.0,0.009502613528467176,0.0,0.0,0.027735896217975342,0.0,0.0,0.7788481235301646,0.0,1.342354460928062
s03T1622,0.21248101795064614,0.0,0.9278955156124832,0.0,0.0,0.0,0.0,0.0,0.0,2.978411748111929,0.0053847096108101304,0.0,1.3368313314458495,0.0,0.0,4.704148580358737,0.0,0.0,5.164901337265709,0.48688791822089394,0.3406027807940957,0.0,0.0,0.7410920278327796,0.0,0.001309420905271747,0.0,0.0,0.0,0.20039462870147684,0.0,0.0,0.16988559127610778,0.0,0.38793574699697164,0.1086075215391463,0.0,0.0,0.0,3.797730412509998,0.0,0.0,0.0,0.08540398829562859,0.0,0.0,0.19536099509717247,0.0,0.0,0.07083562219968251,0.0,0.0,0.0,0.15707377273210585,0.0,0.8900368845345257,1.683329081571237,0.0,0.0,0.0,0.0,0.0,0.24174918381289018,0.0,0.0,0.0,3.013509764123333,0.055350799369161395,0.0,8.338669587720648,0.0,0.0,0.0,0.0,0.0038905313909032724,0.0,0.0,0.0,0.0,0.0,0.07623475476932703,0.0,0.0,0.10579853462909784,0.0,0.0,0.7119127369609263,0.0,8.423599291048651
s04T1622,0.0,0.0,0.8866550699089056,0.0,0.0,0.0,0.0,0.0,0.0,2.1860028876858473,0.0,0.0,1.4049426271067436,0.0,0.0,6.755044463450362,0.0,0.0,9.625647342658281,0.46663429028699405,0.15940757343195353,0.0,0.1304030634718879,1.5959403381595199,0.0,0.019508262375271788,0.0,0.0,0.056451493750949225,0.0,0.006472026525010551,0.0,0.18699643196653132,0.0,0.11131510175980745,0.5746394155832149,0.0,0.0,0.0,2.5512902992995508,0.0,0.0,0.0,0.0,0.0,0.009529510979784644,0.3605022455031959,0.12551801241766442,0.0,0.09381370521313395,0.019806404872826092,0.2652210753050391,0.0,0.18406651096271492,0.0,0.6905249341222813,2.158075748073367,0.0,0.0,0.0,0.0,0.0,0.012400870966450954,0.0,0.0,0.0,4.313331466984558,0.0,0.0,11.389085869526594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04849895560884571,0.0,0.0,0.0,0.0,0.0,2.0361141464697536,0.0,3.244777435019115
s05T1622,2.194095858186769,0.0,1.0872095700852782,0.0,0.0,0.0,0.0,0.0,0.0,4.982082784974817,0.3446704642830391,0.0,2.1082403741192395,0.0,0.0,13.007387432934442,0.13028666399440103,0.0,8.733246208103,0.23813461350070805,1.0407466317586211,0.0,0.07310408473448547,2.530819270334091,0.0,0.02439815659424467,0.0,0.0,0.0,0.3295787584313556,0.0,0.0,0.23171567560556067,0.0,1.1552512838750155,0.0,0.0,0.0,0.0,6.140049496418489,0.0,0.0,0.0,0.0,0.0,0.007380160874624667,0.0,0.25453167382476766,0.0,0.2535856243804195,0.006252006064041334,0.0,0.0,0.6204403558903114,0.0,1.5009507325412321,2.3383729268626605,0.0,0.20594818250282013,0.0,0.0,0.0,0.22519348928676397,0.0,0.0,0.0,5.296648965598349,0.0,0.0,11.439769534076165,0.0,0.0,0.0,0.0,0.0,0.23005820249824577,0.0,0.0,0.0,0.0,0.03322141975174189,0.0,0.0,0.20004427822905405,0.0,0.0,1.8504736256853445,0.0,10.87421034709509
s06T1622,0.0,0.0,2.6789674193658106,0.0,0.0,0.21158441511774365,0.0,0.0,0.19382467677479479,1.1400098134381216,0.28328018895877743,0.0,1.6476439037422632,0.0,0.0,3.987651093667058,0.0,0.0,3.7566611887535624,0.19199814241935173,1.0500071633612058,0.0,0.001952857309015548,0.7190174060742281,0.0,0.04076818313856518,0.0,0.0,0.0,0.5297937645089923,0.0,0.0,0.24704388246904094,0.0,0.5782024173239114,0.3440932556091481,0.0,0.0,0.0,4.684301687903324,0.0,0.0,0.0,0.051399370230842366,0.0,0.006053829354922078,0.0,0.04094169132907754,0.0,0.1326865599597576,0.0,0.0,0.0015915574152139272,0.2612177050911555,0.0,0.6020927805206129,2.041777704108521,0.0,0.01608827779378767,0.0,0.0,0.0,0.7392930747805957,0.0,0.0,0.0,4.500918640517221,0.14532906001746632,0.0,8.009341877547078,0.0,0.0,0.0,0.0027750777617607503,0.1428789254444235,0.11638043534898881,0.0,0.0,0.0,0.0,0.08070538112218623,0.0,0.0,0.0913329168873543,0.18293252751870562,0.0,1.1401492123038341,0.0,19.966167826250278
s07T1622,0.0,0.0,0.652951812417363,0.0,0.0,0.0,0.0,0.0,0.03297404266660673,0.1339303459681758,0.022796176174045175,0.003365854698134475,0.7265878357692046,0.0,0.0,0.4144610405093648,0.0,0.0,0.47501918869212767,0.06909063449647786,0.07401306440876494,0.0,0.0,0.17716933489534137,0.0,0.019289333414003535,0.0,0.0,0.0,0.40036087505304846,0.0,0.006451032406391845,0.2020655641631462,0.0,0.0912727653609399,1.0952839251590811,0.0,0.0,0.0,1.1063126459448251,0.021915194693926655,0.0,0.0,0.023688068854812644,0.0,0.004257414255169386,0.0,0.0,0.0,0.05383076079848663,0.00375716191209623,0.23263324604897453,0.02121781129781088,0.02552527731951574,0.0,0.06155813491800277,1.3454220257399165,0.0,0.0,0.0,0.0,0.0,0.24998659478574722,0.0,0.0,0.0,2.8462860794766076,0.04746326255404214,0.0,2.680974629777186,0.0,0.0,0.0,0.0086605582251171,0.0,0.01083622481577374,0.0,0.0,0.0,0.0,0.021635077356933673,0.0,0.043016290925920894,0.0,0.03250429280923118,0.0,0.4206595308854459,0.0,0.0
s08T1622,0.0,5.326096466627786,0.4148047096399166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.163527832185534,0.0,0.2846623909010877,0.0,0.022890419650858203,0.034554354144415676,0.0,0.0,0.0790353266217991,0.0,0.0,1.1270513148548165,0.000994780347148213,4.110996220843413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3842957687182973,0.0,0.0,0.0027017713607240435,0.0,0.0,0.0,0.0,0.0,0.7661121153155942,0.26651596599478933,0.0,0.0,1.5376853181337102,0.0,0.13853269376896424,0.0,0.0,0.06574818654468009,0.0,2.24756547869111,0.0,1.4486592052845482,1.6101613426459498,0.0,0.0,1.2345066612291593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s09T1622,0.0,0.0,0.3634455215174791,0.3349442558724393,0.0,0.0,0.0,0.0,0.0,0.014257664246727293,0.0,0.0,0.005460331577034804,0.0,0.027856340295429223,0.0013394496868328115,0.2268961400352247,0.0,0.0,0.0,0.13076514324773506,0.0,0.0,0.7303696689504935,0.14025525865388636,0.0,0.0,1.5536229788463127,0.011579081799728722,0.6012309757232912,0.0,0.16079122360841927,0.13432527436611116,0.0,0.002321714506448916,0.0,0.1182826270432502,0.0022807360202338656,0.6091723802853681,0.0,4.197310066942528,0.0,1.833643031972635,0.047069628390628906,0.007033769181617182,0.0,0.0,0.15721526511397402,0.0,0.0,3.5198174024985245,0.0,0.0,0.09411565811170855,0.0,0.0,0.0,0.35309658344200506,0.0,0.2744582277675665,0.14794316553472375,0.0,0.0,0.7634726093658879,0.0,0.04799544034439933,0.0,0.0,0.16796450101557625,0.0,0.2342972557991874,0.0,2.3301648398554584,0.025077030246775704,0.0,0.0,2.0185797005230333,0.0,0.49857032890213937,1.2129809921301553e-05,0.0,0.0,0.0,0.0,0.028108147701032704,0.0,0.0,0.0,0.0
s10T1622,0.06334354021950896,0.8140477944399651,0.7161482667036942,0.16295328375924742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02058656354949596,0.0,0.0,0.0,0.6993846618707934,0.0,0.0,0.0,0.4912032324992385,0.0,0.0,3.789861938459281,2.2907802588688564,0.0,0.0,0.042550503352049955,0.15325048537564082,0.6035349493351058,0.0,0.21873819106711928,0.2145297070565317,0.0,0.0,0.022804206661544726,1.7666576611733336,0.0,0.24351297848953546,0.0,3.857904453941066,0.0,1.6817076772991237,0.0,0.013968359383459602,0.0,0.0,0.8952588283857547,0.0,0.0,0.9493137736344895,0.0,0.0,0.7602685519800632,0.0,0.00015642818234769666,0.0,3.02283033691222,0.0,0.0,0.0021152115160967717,0.0,0.0,0.0,0.0,0.6541155848460906,0.0,0.0,0.1430239376529194,0.0,0.0,0.0,2.6108992249663343,0.0,0.0,0.0,3.943740012459685,0.0,7.000102989730068,0.013662581122852345,0.0,0.0,0.0,0.31421469070196767,0.0,0.005912740802523061,0.0,0.0,0.0
s11T1622,0.0195874057885908,0.0,1.687407868409702,1.3554328960209725,0.0,0.0,0.0,0.1647440232169564,0.0,0.0719144773328807,0.06050196503696995,2.1927183954859353,0.013670732550957843,0.14246804509281885,0.0,0.0,2.048069478747644,0.0,0.0,0.0,3.171182643501446,0.0,0.0,6.777553954621471,0.0,0.0,0.0,1.3486411762950448,0.28754678754139473,1.6862866001177492,0.001155124965589356,0.6308173285470307,1.3219658705430197,0.0,0.0,0.0,0.10831905377913782,0.0,0.026139815217987587,0.0,5.442944292606902,0.04508796395694435,3.667232734210847,0.1848235623905543,0.014944500985311384,0.0,0.0,2.143557060529556,0.0,0.7377858615326748,0.2930858193937506,0.0,0.0,0.06438491277958763,0.06474642228464786,0.0,0.0,2.192219189752809,0.06996238074997263,0.1277830927673476,0.0,0.0,0.03186101716920135,1.5153138111795152,0.0,0.15694792012623449,0.03935863047292276,0.0,0.0,0.0,0.0,0.0,0.6763229242574034,0.0,0.2563032887238908,0.16476804551031055,9.845804430197171,0.0,3.0393145388839566,0.040184599926647885,0.0,0.0,0.0,0.047740335389734816,0.0,0.0,0.0,0.0,0.0
