,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
s02T1622,0.34026101059156516,0.0,8.653252463812862,0.0,0.0,0.1709245835501238,0.0,0.0,0.0,1.8533659683693982,0.0,0.0,0.032031184339612,0.0,0.0,1.313457260222757,0.0,0.0,0.0,0.0,0.10618109848899801,0.0,0.0,0.006942092464158544,0.0012695205868244778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6282944506706639,1.3548782674963902,0.0,0.0,0.0,0.0
s03T1622,1.0895286701631544,0.0,11.852844364668607,0.0,0.0,0.3526938622160079,0.0,0.0,0.0,2.812513295254289,0.0,0.0,0.46392921595308606,0.0,0.07888865823568933,2.1161792215824557,0.0,0.0998053888521351,0.0,0.0,0.33930877625295436,0.0,0.0,0.6620992865541352,0.03093464013200452,0.0,0.0,0.0,1.1603647651217304,0.0,0.12523441049900744,0.0,0.2531398570103036,0.0,2.2020053895133294,3.2051998156220085,0.0,0.0,0.0,0.0
s04T1622,1.8168336436627788,0.0,17.883091193925903,0.0,0.0,0.24979337272228208,0.0,0.0,0.0,2.6003177891965374,0.0,0.0,0.266689835591833,0.0,0.0,3.956439017050344,0.015201568917720131,0.11733711216879039,0.0,0.0,0.012421675415556636,0.0,0.0,1.249696262003638,0.028610304545600932,0.0019827274374422344,0.0,0.0,1.7206984888608639,0.0,0.0,0.0,0.46236946605322676,0.0,1.6997122598636345,2.1661592203532796,0.0,0.0,0.0,0.0
s05T1622,3.66432273444287,0.0,32.59059323849565,0.0,0.0,0.5587213685213943,0.0,0.0,0.0,5.30445208698183,0.1353743089488484,0.0,0.5239274316588906,0.0,0.0,3.2880175042064277,0.0,0.01107369493919972,0.0,0.0,1.3918921682201284,0.0,0.0,1.7505507559614986,0.0,0.0008059693274182247,0.0,0.0,1.024027215238512,0.0,0.0,0.0,0.46799382758282687,0.0,3.0389717813927564,4.984479109955123,0.0,0.0,0.0,0.0
s06T1622,1.5263608871990297,0.0,11.690103070093464,0.0,0.0,0.15879446761572732,0.0,0.0,0.0,1.620570921162982,0.2232156587961758,0.0,1.1624469264039519,0.0,0.0,1.3781443343830444,0.003842999194272837,0.07084651840183856,0.0,0.0,1.3753357764169014,0.0,0.0,0.9267348051649493,0.023822027846197847,0.058569478657074105,0.039288508700607794,0.0,1.933523372581907,0.8100982142713627,0.5832794062890375,0.0,0.5266029331006805,0.0,3.11254254869649,4.058175219494436,0.0,0.0,0.0,0.0
s07T1622,0.5226448330170148,0.0,2.393504675288904,0.0,0.0,0.0,0.0,0.0,0.0,0.4059492287308569,0.048120843775819766,0.0,0.6225328880351128,0.0,0.0,0.18437340984698738,0.011604143889263665,0.0,0.0,0.0,0.0,0.0,0.0,0.5022962783652585,0.025956978467336106,0.049195161930406045,0.18115936616804054,0.0,1.1682490292804535,0.1277729827280389,0.0,0.005646051181775151,0.4399155265268157,0.0,1.5810202557742963,1.1609869478462602,0.0,0.0,0.0,0.0
s08T1622,0.0,11.727279443309179,0.0,0.36954226707426274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37252097378908955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16000453527997607,0.0,0.0,0.0,4.084338778487709,0.0,0.24126190960439775,0.0,0.00798064930794012,0.0,0.0,0.0,0.0,2.946352063102282,0.0,1.68303870571313,0.0
s09T1622,0.0,8.465281816356473,0.06105172284614049,0.25033070798946616,0.05827718568765039,0.0,0.0013890630090515053,0.09333047653783182,0.317329064542909,0.018001884112704786,0.0,0.35436112212095133,0.0,0.0,0.7901188142381048,0.0,0.0,0.0,0.0,0.0,0.24105553008190572,0.0,0.0,0.7593631369057132,0.0,0.0014934739350738965,0.0,2.7026385891930045,0.04689569760735642,0.2668228027613924,0.0,0.1680776697660527,0.1787157405092984,0.0,0.0,0.0,1.5537086772950865,0.0,1.6664177699967238,0.0
s10T1622,0.0,0.9995853589682049,0.5441154578793711,0.11905928748546708,0.08725935993210658,0.0,0.0,0.8778072178400599,5.652577263619317,0.0,0.0,1.774716153496422,0.0025755226060817198,0.0,0.6479115786166554,0.0,0.0,1.094310118912386,0.0,0.0,0.48200175384873684,0.0,0.0,3.98817797014581,0.0,0.0,0.0,2.4098557079939678,0.05750296639214693,0.22050045075130625,0.0,0.1888745300759893,0.29079361090614464,0.0,0.0,0.0,1.4738261887556952,0.0,1.4797962812570666,0.0
s11T1622,7.6989722019102445,0.0,1.440057181454082,1.2492247163936752,0.0,0.0,0.0,1.1718749717107542,2.0524111831688714,0.0,0.0,5.83204734056165,0.11475270784207453,0.0,0.5465301481945903,0.0,0.0,0.9307159450487922,0.018465314634242887,0.0,5.38371498888965,0.0,0.0,5.173366941522449,0.0,0.0,0.0,8.9585933295506,0.25980441276143174,0.8923196312108467,0.0,0.16624335768923526,2.3319260347401483,0.0,0.0,0.0,0.6331209729059399,0.0,2.4671966055765746,0.0
