,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
s02T1622,0.1988612870895471,0.0,9.350657826350114,0.0,0.0,0.17206451189647343,0.0,0.0,0.0,1.9101566429505614,0.0,0.0,0.02640627748272886,0.0,0.0,1.4104855240428684,0.0,0.0,0.0,0.0,0.10378554464999909,0.0,0.0,0.0,0.0007560760284123337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6618988957701376,1.3781589321528063,0.0
s03T1622,0.7054118506081022,0.0,12.910346013913598,0.0,0.0,0.356511803447392,0.0,0.0,0.0,2.8810122874499138,0.0,0.0,0.4929297669366173,0.0,0.09029322078359384,2.2323831002018864,0.0,0.019707057402231692,0.0,0.0,0.3430531735639558,0.0,0.0,0.6020939630735562,0.041278258795314014,0.0,0.0,0.0,0.9586090277039299,0.0,0.1402302867019762,0.0,0.2494499266826229,0.0,2.3436719721762738,3.2506849515536946,0.0
s04T1622,1.3646849456529873,0.0,19.447672236104644,0.0,0.0,0.2502237162762041,0.0,0.0,0.0,2.772225331904699,0.0,0.0,0.2938432779621546,0.0,0.0,4.1953400756787484,0.0,0.02317250764903257,0.0,0.0,0.01028906644448023,0.0,0.0,1.1366857172843383,0.037616721892653034,0.0,0.0,0.0,1.4759044303537296,0.0,0.0,0.0,0.45746720122556744,0.0,1.8051367272063854,2.219393946168109,0.0
s05T1622,2.8103834832621346,0.0,35.517322935977475,0.0,0.0,0.5632426428003379,0.0,0.0,0.0,5.4054938735878055,0.13396374978904832,0.0,0.5479920895299505,0.0,0.0,3.5561275650186945,0.0,0.0,0.0,0.0,1.4108447657464473,0.0,0.0,1.5802614800936434,0.0,0.0,0.0,0.0,0.5800253984072622,0.0,0.0,0.0,0.43669861228350404,0.0,3.167426592499274,5.0534249997285325,0.0
s06T1622,1.0494680047726912,0.0,12.852959547794606,0.0,0.0,0.15682062929900445,0.0,0.0,0.0,1.6162606135553867,0.2211099960974346,0.0,1.2326994527855415,0.0,0.0,1.4380783645541675,0.0,0.019434137121545358,0.0,0.0,1.3956239357976754,0.0,0.0,0.8411210163758475,0.03919751987857371,0.043720488296804534,0.0,0.0,1.6940445138194362,0.8906633343862367,0.621559527287087,0.0,0.5414845553676351,0.0,3.2962434334580286,4.101096839837088,0.0
s07T1622,0.31716326574069614,0.0,2.7178960845175895,0.0,0.0,0.0,0.0,0.0,0.0,0.37158455902890464,0.04823418511970027,0.0,0.6640873931675011,0.0,0.0,0.1725297918875737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46213362363199423,0.03620988950738205,0.04760116747860761,0.012376171609197215,0.0,1.1490041001642282,0.17029725800192128,0.0,0.006302390261965235,0.4724283352068475,0.0,1.673203884065555,1.1684440726360765,0.0
s08T1622,0.0,10.630554323171891,0.0,0.4066408550378524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3134647967500467,0.0,0.0,3.1379187026862434,0.0,0.0,0.0,0.0,0.0,0.0,0.14114188343273953,0.0,0.0,0.0,5.662995728047118,0.0,0.2342259573700088,0.0,0.0061640223961739946,0.0,0.0,0.0,0.0,2.3137304325286143
s09T1622,0.15270327361721964,7.673353267739805,0.06764295876925257,0.2418903834728372,0.08099281276240379,0.0,0.0005508918591580683,0.040362635602052936,0.2858568668279793,0.018702380238116392,0.0,0.32886118696639477,0.0,0.0,0.8095499533464177,0.0,2.0910070424243474,0.0,0.0,0.0,0.2446921223940304,0.0,0.0,0.6976600300972274,0.0,0.0004176699719828694,0.0,2.985307028715953,0.028340757804916093,0.27111505325497964,0.0,0.17179876404017994,0.20881552907689493,0.0,0.0,0.0,2.2948545072413875
s10T1622,0.0,0.8915507076527597,0.5712231065500091,0.06619032428293997,0.19295632176459981,0.0,0.0,0.7328084366912297,5.555614788381409,0.004269387658262121,0.0,1.7125205415864126,0.0,0.0,0.689184475198515,0.0,1.8988277933143516,1.0747489033042688,0.0,0.0,0.5522825514540725,0.0,0.0,3.672302534263973,0.0,0.0,0.0,2.8514552117948773,0.0,0.23773984300475903,0.0,0.1943613380870731,0.4203335996544538,0.0,0.0,0.0,2.0514974783276028
s11T1622,8.71406308963328,0.0,1.6615244698394693,1.1895693003747223,0.0,0.0,0.0,0.724228224734366,1.8912494230016086,0.0,0.0,5.676028919575611,0.13593605511590925,0.0,0.5968067249391047,0.0,6.956654321317059,0.9241971190623129,0.03284988759284173,0.0,5.424166117197128,0.0,0.0,4.757958441775264,0.0,0.0,0.0,1.2238140709219256,0.09793477410507113,0.9097893842777837,0.0,0.16775299814244168,2.631231314571688,0.0,0.0,0.0,3.409812090503078
