,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
s02T1622,0.0,0.0,4.023023758991345,0.0,0.0,0.0,0.0,0.0,0.0,2.0944792332939017,0.0,0.0,0.45660482835955035,0.0,0.0,3.492722639258346,0.6636185616465671,0.0,2.798178660478603,0.0,0.08587120921788008,0.0,0.0,0.3403499789491668,0.0,0.0,0.6979843453665265,0.014133578104628383,0.026789448956774452,0.12280377538885319,0.0,0.0,0.0,0.0,0.16863528879453035,0.6503108859582443,0.0,0.0,0.0,0.6334633538034599,0.0,0.0,0.0,0.0,0.0,0.0,0.23315729106031485,0.0,0.0,0.011892197036876285,0.0,0.8504545848337081,0.0,0.037064654128698214,0.04574114533167928,0.33048249002148483,0.0,0.0,0.0,0.0,0.0,0.0,0.042277948277770865,0.0,0.0,0.0,0.07537893669113974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041950737938714795,0.0
s03T1622,0.0,0.0,3.660370646936891,0.0,0.0,0.0,0.0,0.0,0.0,3.2113027443940974,0.03179421405171389,0.0,1.2543637262012854,0.0,0.0,4.713947760321769,2.0408331928078347,0.0,4.664132039029867,0.0,0.3245105128229934,0.0,0.0,1.3210535201557616,0.0,0.0,1.4619317371475786,0.052568808532229394,0.6277432908618168,0.430064497569644,0.0,0.0,0.0,0.0,0.5013733783943533,1.2496888901654177,0.0,0.0,0.0,2.413466795765215,0.0,0.0,0.0,0.0,0.0,0.011661373706751278,1.3202393866896631,0.0,0.0,0.07781517601964522,0.0,1.8777207007667565,0.0,0.10123590855867082,0.20190389456070423,0.7405829922333298,0.0,0.0,0.0,0.0,0.0,0.0,0.3493588091223535,0.0,0.0,0.0,0.4061416438348429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01913935521195179,0.0,0.0
s04T1622,0.0,0.0,10.351747876506487,0.0,0.0,0.0,0.0,0.0,0.0,2.777655796687372,0.0,0.0,1.2453961503525135,0.0,0.0,6.730702805078849,2.9970238982895143,0.36543383144765196,8.831215470251932,0.0,0.12924594091514105,0.0,0.0996236483827573,2.4318538626548283,0.0,0.009760918549289501,2.029314747672128,0.0,0.41806231485713546,0.3149800662031381,0.0,0.0,0.0,0.0,0.36205915290925916,1.6068665344121835,0.0,0.01379582962990343,0.0,0.19867536693286034,0.0,0.0,0.0,0.0,0.0,0.0,0.5702945703773994,0.008200414429431707,0.0,0.05835036762271441,0.0,2.109370116085569,0.0,0.09068075346479737,0.18181086606196126,0.48893871103650693,0.0,0.0,0.0,0.0,0.0,0.0,0.13062738152723186,0.0,0.0,0.0,0.7439664887320628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s05T1622,0.0,0.0,9.958578615801958,0.0,0.0,0.0,0.0,0.0,0.0,5.876389477255736,0.34419366451085637,0.0,1.8769924437305778,0.0,0.0,12.531279929407964,3.3465788370130802,0.0,7.381702411796239,0.0,1.064051848027364,0.0,0.0,3.5838361986403093,0.0,0.009561036713858998,1.8195588267894334,0.10156982212567467,0.0,0.6631585607302206,0.0,0.0,0.0,0.0,1.4348049491336665,1.3179185689254505,0.0,0.28346607633152293,0.0,3.4197695015442005,0.0,0.0,0.0,0.0,0.0,0.0,1.724426993177254,0.09339421794107522,0.0,0.2457409759042537,0.0,2.5200474451298653,0.0,0.5814632630094448,0.1800072411754767,1.190024518118137,0.0,0.49046535760783116,0.17335317704334618,0.0,0.0,0.0,0.4508581198507312,0.0,0.0,0.0,0.7940396503902547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2010282406057813,0.0
s06T1622,0.0,0.0,5.90571480707655,0.0,0.0,0.0,0.0,0.0,0.0,1.4190265739953987,0.2589306056916185,0.0,1.6088556101042983,0.0,0.0,4.0951958365353205,3.387020951994639,0.0,3.2291556862375113,0.0,1.0920872402400092,0.0,0.0,1.4524707125820724,0.0,0.0179877537873522,1.3591562684195926,0.022626585511315116,0.0,0.8658271968130684,0.0,0.0,0.0,0.0,0.6655519493909027,1.6784785846830879,0.0,0.0,0.0,3.237978397276885,0.0,0.1114761003253923,0.0,0.0,0.0,0.0,3.2250108377533557,0.0,0.0,0.13072047751737823,0.0,2.3033214456528284,0.0,0.22605595478165474,0.825118023946302,0.43108034997714584,0.0,1.1324108499196277,0.03850709740691309,0.0,0.0,0.0,0.9300769146803937,0.0,0.0,0.035061619231510494,0.5013818803878938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15945120854099415,0.11190371632386202,0.0
s07T1622,0.0,0.0,2.1067974732519494,0.0,0.0,0.0,0.0,0.0,0.0,0.17004775977198813,0.02824732386829891,0.0018879518978350345,0.7360708172058739,0.0,0.0,0.5748023275523151,2.529599832309656,0.0,0.36085828345672594,0.0,0.05773842588525169,0.0,0.0,0.5646705728182689,0.0,0.011128132156055435,0.46090985937011336,0.0,0.0,0.6208384782579205,0.0,0.0064878404486992045,0.0,0.0,0.0998331807864372,0.9539265395570274,0.0,0.0,0.0,0.3009466737065271,0.008877944456568629,0.0,0.0,0.0,0.0,0.0,0.03862161237048624,0.0,0.0,0.03726446112524046,0.012455239365239143,1.6167150608247622,0.0,0.0,0.07334787848252855,0.0,0.0,0.0,0.02254543053870501,0.0,0.0,0.0,0.3310395499058699,0.0,0.0,0.19869277114781292,0.3463018166182595,0.0,0.0,0.0,0.0,0.0,0.0,0.018523901053347367,0.0,0.01762457581238293,0.0
s08T1622,0.0,6.917802037465032,0.0,0.23607224665773915,0.0,0.0,0.0,0.2050521002598358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0719302450223629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026558732977541035,0.0,0.0,0.0,0.0,0.0,0.0,1.4484673106791022,0.0,4.223582364365829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.940669472466277,0.0,0.0,0.20717000143899197,0.16554960064538313,0.0,0.0,0.0,0.0,2.3130006122943496,0.3412930877592663,0.01583724344081274,0.0,2.3802566610048883,0.0,0.0,0.0,0.0,0.1893131988669469,0.0,2.3112633650982772,0.0,0.0,0.0,0.0,0.0017734446398870879,0.05570057768465159
s09T1622,0.0,0.0,0.0,0.6006627259562186,0.0,0.0,0.0,0.7307954955219611,0.3794474915667849,0.011105390008366207,0.0,2.080693707188393,0.0035603902799461766,0.0,0.0291293008147345,0.0,0.0,0.0,0.0,0.0,0.17646761517172946,0.0,0.0,1.0024291955318572,0.12538004129199604,0.0,0.0,0.0,0.0,0.3422877590937352,0.0,0.13505903635187264,0.0,0.0,0.0,0.0,0.1736590046928105,0.0,0.7927434390251183,0.0,4.269878041431467,0.005349926905937782,1.6504743008600802,0.0,0.0060593879006618995,0.0,0.0,0.14416564825775952,0.0,0.0,3.469994999889018,0.0,0.0,0.24734150386917192,0.1461021165110473,0.0,0.0,0.3845632444522688,0.0,1.16867363203332,0.13840634749356923,0.02084565224307842,0.0,1.043699449616983,0.0,0.0,0.022165036223984122,0.0,0.16562768644294784,0.0,0.13728018767500735,0.0,0.0026355150763857256,0.0,0.0,0.0,0.4526248627325229
s10T1622,0.0,0.3906819301287176,0.0,0.12541951010796848,0.0,0.0,0.0,0.7159843757620218,6.857408451946107,0.0,0.0,5.3813873208375975,0.021104739734918145,0.0,0.0,0.0,0.0,0.0,0.0,0.0008932719963984521,0.560547396911079,0.0,0.0,4.633902456875589,2.2459644813499473,0.0,0.0,0.2607023071421996,0.0,0.2710920890794644,0.0,0.20014007375510778,0.0,0.0,0.0,0.0,1.803612566378535,0.0,0.38797960358379896,0.0,4.045364468902437,0.0,1.5484496652469653,0.0,0.013571478683212339,0.0,0.0,0.8062934932826974,0.0,0.0,0.8620907705243345,0.0,0.0,1.2241624165251168,0.25622511166506323,0.0,0.0,3.3657871865735856,0.0,0.5369377478063225,0.0,0.048765466597745534,0.0,0.0,0.0,0.0,0.07130216817986111,0.0,0.11238365761289602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8576224966115505
s11T1622,0.5115479282211434,0.0,0.0,1.4695838921998134,0.0,0.041538592972521986,0.0,0.8198237482027213,2.6512789423728362,0.07099635186235105,0.009932519227835739,15.41884214659421,0.0063988281653039126,0.16019124631163417,0.14733336245477854,0.0,0.2104068890948607,0.0,0.0,0.0,3.752512233867592,0.0,0.0,8.706018516590355,0.0,0.0,0.0,0.00018777487163994694,0.0,0.8991223323014418,0.0,0.5503054914479939,0.0,0.0,0.0,0.0,0.2834434483689149,0.0,0.2945128881255727,0.0,6.58975982176748,0.0,2.9913245098337136,0.0,0.020478340765676284,0.0,0.0,1.9725581507607584,0.0,0.8284478089473142,0.0,0.0,0.0,0.5681592889151496,0.7187826854498511,0.0,0.0,2.609903282154375,0.0083294483248223,2.4342514228001026,0.0,0.1607025619921132,0.06517279259969032,1.400553943422746,0.0,0.0,0.13585821746636298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39927980600719853,0.19491228907308414,3.0620420123102945
