,0,1,2,3,4
s02T1622,0.8804792189997129,0.0,0.11952078100028714,0.0,0.0
s03T1622,0.8225525128558929,0.0,0.17744748714410705,0.0,0.0
s04T1622,0.7883453854773439,0.0,0.21109124918767536,0.0005633653349808242,0.0
s05T1622,0.8218478696460771,0.0,0.1684559181958103,0.009696212158112533,0.0
s06T1622,0.6356556549989187,0.0,0.3238017703618383,0.04054257463924283,0.0
s07T1622,0.5590062841196745,0.009699548106347959,0.37051546882768704,0.06077869894629052,0.0
s08T1622,0.0,0.9569591224743951,0.023426149763871855,0.0196147277617331,0.0
s09T1622,0.0,0.9115675287394689,0.032979411994879144,0.055453059265651986,0.0
s10T1622,0.05738435648142551,0.610144480310538,0.09947223930258818,0.2329989239054483,0.0
s11T1622,0.02935600663940496,0.5122618603515474,0.148183533890684,0.31019859911836367,0.0
s12T1622,0.16800871641480028,0.23716761119437443,0.1264273722817682,0.4683963001090572,0.0
s13T1622,0.25894025979977253,0.29364770012872166,0.09573224549071199,0.35167979458079396,0.0
s14T1622,0.44729531311482795,0.1400166592106101,0.09331470454158387,0.3193733231329782,0.0
s15T1622,0.6597596032880749,0.03623472272127453,0.15231342961191305,0.15169224437873768,0.0
s02M1722,0.8660028456070977,0.0,0.13399715439290227,0.0,0.0
s03M1722,0.8624722177127997,0.0,0.13752778228720028,0.0,0.0
s04M1722,0.7999114143891243,0.0,0.1843614811358089,0.015727104475066946,0.0
s05M1722,0.7247376523825142,0.00859689791616555,0.2501992907735409,0.016466158927779476,0.0
s06M1722,0.6595609158500328,0.005236685087594701,0.30092370290280085,0.03427869615957142,0.0
s07M1722,0.5590959208289614,0.012726636316353838,0.3597320000148114,0.06844544283987333,0.0
s08M1722,0.0,0.8533757847552692,0.04084251088038875,0.10578170436434198,0.0
s09M1722,0.04184746629777329,0.42776454261815644,0.1650468572895725,0.36534113379449773,0.0
s10M1722,0.13060717563529087,0.38155499613296856,0.1396199693381052,0.3482178588936354,0.0
s11M1722,0.02683292160200937,0.4408709108868615,0.18096709220459078,0.3513290753065384,0.0
