,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
s02T1622,0.0,0.0,0.0,0.0,0.0,0.2191691671807496,0.0,0.0,3.4964108444629995,2.0935718481191588,0.0,0.07758468898087185,0.1594725337948629,0.0,0.0,0.48434535190565964,0.0,1.40432497872785,0.08615995040077615,0.2289608892736802
s03T1622,0.0,0.0,0.0,0.0,0.0,0.4303638098954036,0.0,0.018262678239025266,5.033814478251454,3.1346684089851355,0.0586908976093965,0.2716798678019678,0.44826453008432604,0.0,0.2538415627309595,1.8926478721920208,0.0,4.231448521772958,0.32778982937044054,0.7754229713494202
s04T1622,0.33032336064803114,0.0,0.0,0.0,0.0,0.41526325552041143,0.0,0.12492852663299622,8.450171549277568,3.0207219138598695,0.0,0.4702889883110044,0.6144323740120909,0.0,0.16886271852009233,1.8520537731370634,0.0,1.7091506832641943,0.35479181049515823,1.3549618787637046
s05T1622,0.0,0.0,0.0,0.0,0.0,0.8292056899928236,0.0,0.20365768391564873,11.16592686742742,5.779959021261564,0.26449781676765544,0.5324417113281581,1.4870998025788607,0.0,0.0,2.3024471393151735,0.0,5.826677045922349,0.4948165936632404,1.9908964437054975
s06T1622,0.0,0.0,0.0,0.0,0.0,0.215871753867487,0.0,0.09602099791412796,4.031580397054248,1.6011136868943614,0.2906937876849622,0.971085300997951,0.8521962129120634,0.0,0.16643596886184,3.019718726901827,0.0,6.175951658571196,0.7301274245874378,1.3236315785978225
s07T1622,0.47676149776355814,0.0,0.0,0.0,0.0,0.0,0.0,0.052569038703364636,0.5588568713454676,0.3207013377847905,0.05732776253575027,0.26558279365868637,0.1520260805158835,0.0,0.12117735832253579,1.5884477501182026,0.0,2.0080945839022113,0.3292197802746093,0.8359518773949917
s08T1622,0.0,12.319575559020677,0.0,0.0,0.22984767716068666,0.0,0.0,0.0,0.0,0.0,0.0,0.19383028776500497,0.19680858534045692,0.2934111551923461,0.3490913867262752,0.0,5.8617609935815755,0.0,0.0,0.16267928948990754
s09T1622,0.0,8.176465946433497,0.14223979934750106,0.0,0.004754716303536652,0.0,0.0,0.08978361721239993,0.0,0.025678003474263692,0.0,0.21490814057939894,0.33552620314369375,0.0,1.0979030421424014,0.0,4.830495330079619,0.0,0.0,0.9842534422545772
s10T1622,0.0,2.6072870295498847,0.11306009438490851,0.0,0.20162012075925675,0.06265122443127301,0.01430666605436588,0.4840463750113951,0.0,0.17839636942272796,0.0,0.19058598327509554,1.3708015996252596,0.0,0.0,0.0,4.922831482616856,0.0,0.0,7.741357919681297
s11T1622,0.0,0.4019882700306314,0.5280566080144122,0.0,0.954156142075246,0.0,0.0,1.3917918443942767,0.0,0.18752656430455877,0.0,0.8596971896603733,3.090836143284063,0.0,2.0593901899793416,0.0,12.476998890687096,0.0,0.4353563776115768,9.133212513462405
