,0,1,2,3,4,5,6,7,8
s02T1622,0.365747272111404,0.0,0.0,0.00584536154228906,0.0,0.33197044678379406,0.0,0.0,0.29643691956251284
s03T1622,0.440956452424763,0.0,0.005065716996732203,0.018998253786937966,0.0,0.30499752473286007,0.0,0.009152792496261644,0.2208292595624451
s04T1622,0.3491995935854727,0.0,0.012386879392884124,0.0011893679631239315,0.0,0.4193954246487693,0.0,0.024564889584642643,0.19326384482510728
s05T1622,0.40845915654639475,0.0,0.0,0.026819050100548768,0.0,0.31674847615458696,0.0,0.025726828942923555,0.22224648825554613
s06T1622,0.4745747013299483,0.0,0.06399825788321126,0.04467547967964866,0.0,0.29278693058084854,0.0,0.03920728895721003,0.08475734156913342
s07T1622,0.4154225957953812,0.0,0.08438840377739329,0.0335566564302836,0.0,0.3223737445480973,0.0,0.0904126727295191,0.05384592671932539
s08T1622,0.0,0.8641457130768354,0.016905341572243007,0.0,0.0,0.0,0.0,0.11894894535092154,0.0
s09T1622,0.0,0.7790149776173197,0.01557274655993564,0.0,0.0,0.0,0.0,0.20364059754183442,0.0017716782809102047
s10T1622,0.0,0.3131636470803904,0.010123708403553762,0.0,0.0,0.0,0.0,0.6485977433886436,0.028114901127412197
s11T1622,0.0,0.18634260728720697,0.03859659251683597,0.0,0.0,0.0,0.0,0.7584327471749466,0.01662805302101051
s12T1622,0.0,0.0,0.0,0.009501316793500721,0.0,0.0,0.012001784585912743,0.9066928838428147,0.07180401477777192
s13T1622,0.0,0.058266103732142215,0.0,0.02077770448014001,0.0012535981252737621,0.0,0.0,0.7925669813760554,0.12713561228638864
s14T1622,0.0,0.0,0.0,0.09516141205514383,0.00025588706404000534,0.04492938046767879,0.0,0.6612187742504573,0.19843454616268
s15T1622,0.1473479499807006,0.0,0.03646766798590156,0.11408283562717982,0.0,0.20178800479900225,0.0,0.2685043588482773,0.23180918275893855
s02M1722,0.31803634681500026,0.0,0.0,0.011686360834699268,0.0,0.3740402255560364,0.0,0.005715201942670614,0.2905218648515935
s03M1722,0.3582128013419436,0.0,0.0,0.017188271377836767,0.0,0.33318757789749864,0.0,0.0036871432370412863,0.2877242061456797
s04M1722,0.41528615503090793,0.0,0.0015482600412381313,0.025084305985458976,0.0,0.3197307986421515,0.0,0.03688377202620117,0.20146670827404234
s05M1722,0.3692341547308289,0.0,0.014693722750443249,0.011259045549093395,0.0,0.4179748786122314,0.0,0.06149633224286672,0.12534186611453643
s06M1722,0.4410189985441624,0.0,0.02875282814213052,0.02433841434079133,0.0,0.362284363628794,0.0,0.06647005296153566,0.07713534238258617
s07M1722,0.33704712161373174,0.0,0.11952698363489368,0.04448193562894891,0.0,0.30485865814777413,0.0,0.11029216341719868,0.08379313755745278
s08M1722,0.0,0.7070968950214718,0.027800727625542088,0.0,0.0,0.0,0.05704895581118494,0.2080534215418012,0.0
s09M1722,0.0,0.0905828346800218,0.02652551822907999,0.0,0.0,0.002084629148287256,0.0,0.8613899794145009,0.019417038528109908
s10M1722,0.0,0.09588242841790137,0.015633597001100008,0.0,0.0,0.0,0.0,0.8240042431062914,0.06447973147470723
s11M1722,0.0,0.08028616809991429,0.031124534451190285,0.0,0.0,0.008479334095969824,0.0,0.8721447528332618,0.007965210519663871
s12M1722,0.0485099868241911,0.0,0.040668402614383044,0.0,0.001211996162209887,0.006890523616022119,0.025117343725297572,0.8554108026799778,0.022190944377918298
s13M1722,0.013379375513523884,0.0036272784357705107,0.05296913120187877,0.0,0.0,0.0,0.0,0.9099286004342203,0.02009561441460647
s14M1722,0.07422283040085315,0.0,0.03358368428190676,0.046031075485654216,0.0005843767420788053,0.049255713128876756,0.0,0.7511227900661199,0.045199529894510364
s15M1722,0.1560835455844313,0.0,0.054820421180012326,0.14555821641419678,0.0,0.15530852737836778,0.0,0.3851968133957647,0.1030324760472273
s01X1722,0.25679914471288384,0.0,0.32346364092088986,0.010963132581541362,0.0,0.24940081920747348,0.0,0.12098402086435607,0.03838924171285536
s02T1722,0.2978745676677316,0.009159838570160145,0.21498363614818755,0.008608183518499873,0.0,0.29705635632382593,0.0,0.0693671232699924,0.1029502945016024
s03T1722,0.2642947442266787,0.0,0.31095079227856964,0.010344788827436812,0.0,0.2875905664781103,0.0,0.07605869338342043,0.050760414805783985
s04T1722,0.2904811365411666,0.0,0.062381577029226414,0.010072027136122267,0.0,0.36314787684685834,0.0,0.054752194855810205,0.21916518759081616
